"","X_Arctotheca_calendula","X_Briza_maxima","X_Hypochaeris_glabra","X_Lagurus_ovatus","X_Lolium_rigidum","X_Medicago_polymorpha","X_Medicago_sp_","X_Moraea_sp_","X_Ornithopus_compressus","X_Trifolium_sp_","X_Unknown_grass","X_Zantedeschia_aethiopica","Acacia_pulchella","Acacia_saligna","Amphipogon_laguroides","Aotus_gracillima","Astartea_scoparia","Baumea_articulata","Burchardia_umbellata","Caladenia_flava","Caladenia_marginata","Caladenia_sp_","Calothamnus_lateralis","Cassytha_racemosa","Chamaescilla_corymbosa","Conostylis_sp_","Corymbia_calophylla","Dampiera_linearis","Dasypogon_bromeliifolius","Dielsia_stenostachya","Drosera_macrantha","Drosera_pallida","Drosera_sp_","Eriochilus_dilatatus","Euchilopsis_linearis","Gonocarpus_pithyoides","Hibbertia_sp_","Hibbertia_stellaris","Hypocalymma_angustifolium","Hypolaena_exsulca","Jacksonia_sp_","Kunzea_glabrescens","Lagenophora_huegelii","Lepidosperma_longitudinale","Leptocarpus_scariosus","Lepyrodia_glauca","Leucopogon_australis","Leucopogon_sp_","Lomandra_caespitosa","Loxocarya_flexuosa","Macrozamia_reidlei","Melaleuca_preissiana","Orchidaceae_B","Orthrosanthus_laxus","Patersonia_occidentalis","Pericalymma_ellipticum","Platytheca_galioides","Pterostylis_nana","Pultenaea_reticulata","Schoenus_sp1","Sowerbaea_laxiflora","Sphaerolobium_sp_","Stylidium_brunonianum","Stylidium_sp_","Taxandria_linearifolia","Thelymitra_macrophylla","Thysanotus_multiflorus","Trachymene_pilosa","Tricoryne_elatior","Unknown_native_herb","Xanthorrhoea_preissii","Xanthosia_huegelii"
"X_Arctotheca_calendula",1,-0.0109845254008769,-0.023624590732233,-0.00575279192653038,-0.0109630776442705,-0.00478934744113944,-0.000675518942304872,-0.0132093354794984,-0.0122080762582903,-0.00485133226765485,-0.00722252727840533,-0.0139560594943375,-0.00796320655458044,-0.00311450687434079,-0.0010350248016733,-0.000633506575124351,-0.00560447639344476,-0.00180134863637745,-0.00177838812766746,-0.00122632656589221,-0.014529494745286,-0.0045350668716388,0.000711956745527857,-0.000542436482184752,-0.0122834213099744,-0.0069217257317282,-0.00568452551989786,-0.0110165986368358,-0.00992703954295785,-0.00432301821082535,-0.000510906216437231,-0.0101627973380156,-0.000862066055203421,-0.0134906324226345,-0.00247892717067931,-0.0144668953985397,0.0027631011683964,-0.0049628812173523,-0.000935526152887493,-0.00658240433203862,-0.00170689194073343,-0.0064273888206361,-0.00604958137762144,-0.00545832568262176,-0.00444991407870831,-0.000830919329145726,-0.0047005346098878,-0.000583035604656512,-0.0108271946508594,-0.00319653319745869,-0.00329490320563727,-0.0022654200190115,-0.00407778051082162,0.000457444506942867,-0.000158894374084592,-0.00103849125231476,-0.00361345761599773,-0.00313812102090056,-0.00255898267066955,-0.00312091298689208,-0.00185440218647743,-0.00201152611118201,-0.00483555785374686,-0.00196246798288322,-0.000107162192446396,-0.0153476040916028,-0.0152685806420032,-0.00642416483420739,-0.000188383763052973,-0.010680088788999,-0.00703578829290376,-0.00240176018756852
"X_Briza_maxima",-0.0109845254008769,1,0.0480903305071739,-0.040871830138564,0.00624758924229203,0.0076818907135762,-0.0467964393386824,0.0173335217455,0.0134251219958078,-0.0209867535653656,0.0082412041960629,0.0212887416133125,-0.0702566080876853,-0.00569000538902493,-0.232833020557465,-0.112626596367874,0.0032145763691263,-0.0547097567689954,-0.234635234648966,-0.0697629948400605,0.00150578192317439,-0.00725251381307944,-0.0757835132945075,-0.108863743568227,-0.0301444600708082,-0.00139086330572315,-0.0313476742812977,0.00888701618205875,-0.00851596070725884,-0.0038381493971179,-0.0578467538740144,0.00563775974701373,-0.0517259193837989,-0.000263926310122484,-0.053965595383057,0.0101963098963226,-0.222752336938584,-0.0434932098294481,-0.186708381404257,-0.00527996464183392,-0.0513961340954401,-0.0402041852266044,-0.00848084292511713,0.0191214191312864,-0.0252315163439845,-0.0367161200359095,-0.0055522761904459,-0.1327512054821,-0.0045398953662095,-0.0768698796717555,-0.0877613936136437,-0.0338966048044962,-0.00762960030853903,-0.0743588259913954,-0.121845679713726,-0.0963900187426984,-0.0405995346834224,-0.0282979656786538,-0.0768751431096547,-0.0664277253372565,-0.0715303058862071,-0.0227448132949905,-0.144926547024815,-0.0339807491997153,-0.144790378776161,0.0139205682410423,-0.00454485267656557,0.00294425282778203,-0.0627169791091414,0.00742695811037853,-0.00644970594919505,-0.144986597007951
"X_Hypochaeris_glabra",-0.023624590732233,0.0480903305071739,1,0.000901858395991016,0.0407170743304683,0.0423068572218675,-0.0874050662461738,0.0475561859998877,0.0429118055563821,-0.000465857416839086,0.00447860414053476,0.0737545997112161,0.0291531870219544,-0.0103982077139172,-0.0133954321276065,-0.0641682779462276,-0.161146346254113,-0.439123356369064,-0.132738093598069,-0.218276763167619,0.0114116334761575,0.0295510530960518,-0.149599950660571,-0.389017784809905,-0.112196831507395,-0.0270848877564192,0.0644911667991515,0.0540840840965454,-0.0328479536916511,-0.0206709982474616,-0.0241757500896103,0.0846201727865024,-0.00938361580921312,-0.0109536114331913,-0.0284708715599965,0.0383737481013302,-0.216278104693509,-0.00407201945971336,-0.198439501938189,-0.00582738392615249,-0.0957400174065974,-0.0713432706890741,-0.0267014304568537,-0.156610829364353,-0.184746222645464,-0.0566678879873003,-0.00762685599625714,-0.184022920785721,-0.0424219051052895,-0.096707749489847,-0.0832463249980955,-0.062239772166752,0.00393458945400694,-0.0525322189448378,-0.221305972010341,-0.181897538044203,0.0184629032154324,-0.0316622114248896,-0.106480055991156,-0.00585523158075033,-0.0379973609287384,-0.0520182903248291,0.00841253620389869,-0.0576590064141858,-0.0889773699943745,0.0386223516162114,0.0557008482013191,0.0103912315451796,-0.0655530401725629,0.0179017411746981,0.0180100543408605,0.00782115751832148
"X_Lagurus_ovatus",-0.00575279192653038,-0.040871830138564,0.000901858395991016,1,-0.0202531268699592,-0.0310841110905485,-0.0171237821017978,-0.0140780007368795,-0.00564101212832473,-0.00479740460256978,-0.0373822167351742,-0.0138007013512548,0.00489334619348818,-0.00317962684320464,-0.00420050958732634,-0.0114708747535219,-0.0413774367146469,-0.0667662787586515,-0.0283603210851051,-0.0485260760271315,-0.00706283751182572,0.000458609581315949,-0.0186882888057097,-0.0471304171579774,-0.0266020162600301,-0.00455589917835926,0.00412150008377416,0.00945958158770716,-0.00747670548430423,-0.0026153308288666,-0.000409224061495571,0.00673558409381498,-0.00115878059715624,-0.00701792773737355,-0.00588581112495775,-0.0117817472582557,-0.0414918368141312,-0.00226152950634932,-0.00390769653952778,-0.0410941459369155,-0.00771047361085549,-0.00538247552723219,-0.0301493268218674,-0.0626260637183608,-0.0457798258969348,-0.00927338903361889,-0.00619026074767883,-0.0362108034141421,-0.0156938636924961,-0.00436875440689712,-0.0241889746685729,-0.0166576297888652,-0.00270512519965335,-0.00989097665634003,-0.0501795542600874,-0.030456001319909,0.000133021374514474,-0.0263853424987559,-0.0140677943142591,-0.00301022088831263,-0.00164451919000461,-0.00211108929943817,0.00173353492456959,-0.0124493437423877,-0.0232563881224959,-0.0780739112349899,-0.000960753876703958,-0.00181909829726577,-0.0186928340803185,-0.0255664692910851,-0.000152172233697994,-0.00229987441234868
"X_Lolium_rigidum",-0.0109630776442705,0.00624758924229203,0.0407170743304683,-0.0202531268699592,1,0.00644005027114678,-0.0195057824790783,0.0247692551813574,0.0077498881317481,-0.0113844206273384,0.00488572702395569,0.0280837868337946,-0.0145440138482726,-0.00172714903612896,-0.0804138639264032,-0.0702711100996511,-0.0552570399573614,-0.175402131903945,-0.163933680764298,-0.101160972875498,0.00910978798241513,-0.0056287848176262,-0.0902990274318436,-0.191374157178276,-0.0232849302072457,0.000244516804955471,-0.0122185265568095,-0.00313072003895072,-0.00500649113485968,-0.0128111684964372,-0.0480735401815906,-0.0106257217854756,-0.02336729736574,0.00477707934847065,-0.0427545758707187,0.0172029674618083,-0.128453829790885,-0.0321313590180272,-0.11102223316191,-0.000293824166077593,-0.0574730458786232,-0.0340827701171771,-0.0151328875077196,-0.0079842293288924,-0.0671747881292284,-0.04677670670714,-0.00683402410271925,-0.0945328442644893,-0.00844120233941828,-0.0394128954471964,-0.044776866772147,-0.0303060262457927,-0.00143882999314842,-0.0723635641004296,-0.105987625762767,-0.0728595448860101,-0.0162347468346873,-0.0272151134686123,-0.0289661608370597,-0.0603745412471756,-0.0269100421731154,-0.0238047463831887,-0.0892358114720698,-0.0316437510300707,-0.108410508474694,0.0212003202506576,0.00171058881739493,0.000234638314485407,-0.0424210193920891,0.0140107408561924,-0.000172440641494671,-0.0450628325708372
"X_Medicago_polymorpha",-0.00478934744113944,0.0076818907135762,0.0423068572218675,-0.0310841110905485,0.00644005027114678,1,-0.0187503500309406,0.00841147697391373,0.0053769741036688,-5.65007295783763e-05,-0.000365984655600937,0.00778231690059461,-0.0221285000078313,-0.00827983697586927,-0.0921163361729279,-0.0793344349349587,-0.0916775271196114,-0.169165852224922,-0.101220160811797,-0.0606093536466737,-0.0285417428933611,-0.0179259441381835,-0.0538100241125334,-0.124120631196579,-0.0267060870661769,-0.0103759675198347,-0.035270036368535,-0.0126922703983914,-0.00767907747162961,-0.0111675609754956,-0.0430890878756535,-0.0080846168752305,-0.0165882095211775,-0.0244924281702501,-0.050793597166879,-0.00507104999577296,-0.0916612589983524,-0.0145362187746641,-0.088272400232675,-0.0122577890158879,-0.0213403376325376,-0.0250038913932018,-0.01370354201496,-0.0620067328843515,-0.0978295578878418,-0.0237752236446847,-0.00417285741158212,-0.0439393952966826,-0.00896879829792569,-0.0403906234750034,-0.027848699053901,-0.0345556037089895,-0.0101673334588929,-0.0515929542350852,-0.0962343674815934,-0.0720194764708007,-0.0305986306345335,-0.0410449113187175,-0.0369585368378599,-0.0585356521211819,-0.0146583105809073,-0.0110755720874826,-0.110541913326386,-0.0228980266567653,-0.111736711169056,0.00647089586128572,-0.0363669081946392,0.00572078241304537,-0.0610822152743936,-0.0192990779529661,-0.00556765340660226,-0.0475126420967654
"X_Medicago_sp_",-0.000675518942304872,-0.0467964393386824,-0.0874050662461738,-0.0171237821017978,-0.0195057824790783,-0.0187503500309406,1,-0.0490598417011077,-0.0526184454290868,-0.0142605790773216,-0.0260654151567035,-0.0400033691905943,-0.022960057560215,-0.0127909064246225,-0.00173384211443221,-0.0122241240159218,-0.031022533135762,-0.060199737540942,-0.019953490157844,-0.0111904379764664,-0.0319586357045936,-0.00856859869375463,-0.00610800711772426,-0.0527457858482685,-0.0312086154256101,-0.0159935354538044,-0.0232108837676077,-0.0404845586609196,-0.033068090561623,-0.0337048502449636,-0.00156954632331111,-0.0388685673521909,0.00115473912707896,-0.0393522125911454,-0.00321762808117459,-0.0275157197980772,-0.00897421084204858,-0.013485654669773,-0.00100826518461473,-0.0328931873106981,-0.0110119386890766,-0.0215303350399392,-0.0227231167334618,-0.0424162622194342,-0.0376395250102372,-0.00846468973152416,-0.00977929838236292,-0.00683898647099315,-0.039321998284269,-0.0138258374096723,-0.0247630459708082,-0.0127413885266562,-0.0123913010701968,-0.00453262453757872,-0.0253502270479142,0.00193474007953162,-0.0103112179677009,-0.0223935755482842,-0.00570085030358469,-0.0131168749784308,-0.00999448197348,-0.0106413425985843,-0.0136139034879276,-0.0134946554551657,-0.0120033257861656,-0.0486838404365796,-0.0359233444162323,-0.0145418898137144,-0.00210093852861673,-0.0555601054083884,-0.0194122570772164,-0.0108022340912538
"X_Moraea_sp_",-0.0132093354794984,0.0173335217455,0.0475561859998877,-0.0140780007368795,0.0247692551813574,0.00841147697391373,-0.0490598417011077,1,0.0235883563163717,0.00133630021694023,0.0214186642311624,0.0336779472695962,-0.025309196039373,-0.00470605706324677,-0.21358717563337,-0.0954630223080621,-0.0754034984050716,-0.254477412374454,-0.252470569815323,-0.149678872406367,0.017085888846084,-0.026134938819264,-0.142700548063104,-0.275599682068261,-0.0236043098006915,0.010313844358061,-0.00276064031659997,-0.0141606882584348,-0.00524439506518483,-0.00280198893190555,-0.0612420978780107,0.00435050794877771,-0.0308154988308244,0.016527710538082,-0.108724699271813,0.0219720900614242,-0.255096091757119,0.00052390209606048,-0.140711271707314,-0.00014227693240043,-0.0593320367026087,-0.0385342794779828,-0.00869986242224703,-0.067732964271323,-0.0849810262302803,-0.0594474925153761,-0.0102043119240738,-0.133254054592181,0.00893180290427158,-0.0783999432843068,-0.00370743733126221,-0.0521773678120022,0.0166651179563703,-0.0744108233661087,-0.198499918213381,-0.0998627171140723,0.00581777858077822,-0.0417991440473762,-0.119374684488941,-0.0980498648573055,-0.0722190579775107,-0.0309732250628069,-0.07308375999997,-0.0545408962336894,-0.125158331183849,0.0228666631367169,0.005909921498546,-0.00194338474179328,-0.092019711017047,0.0188805700640912,0.00412246838754062,-0.133133164269746
"X_Ornithopus_compressus",-0.0122080762582903,0.0134251219958078,0.0429118055563821,-0.00564101212832473,0.0077498881317481,0.0053769741036688,-0.0526184454290868,0.0235883563163717,1,0.000745730090309282,0.00799210013610461,0.0328647082399025,-0.0290025619064914,-0.0147671165628202,-0.0549943443675768,-0.0933508287558671,-0.0584110871363008,-0.122972685692159,-0.135897534623227,-0.159026611901383,0.00220566968620872,-0.0151536517306103,-0.0758140490714085,-0.0888684277098422,-0.0799475736511934,-0.000170155301136479,-0.0110025860596039,-0.024201311036604,-0.0254269718485456,-0.0588119765530412,-0.00314751279409784,-0.0309386728001178,-0.00734092699613291,-0.0355324727176867,-0.0225269402644028,0.0118648059359166,-0.148654451853551,-0.00426399334099282,-0.0546631809073036,-0.0165369247395112,-0.065189106017991,-0.0158449915097236,-0.0268330079966903,-0.0383239241793415,-0.069410894882134,-0.0415448684086655,-0.00519713965627757,-0.12746672098575,-0.00644597914589803,-0.0209347667635553,-0.0436359706239961,-0.0727901286065135,0.0065012500319312,-0.0229392938082699,-0.228629064196351,-0.0949937866911988,0.0142747831486093,-0.0837686901956952,-0.0402945713013309,0.00269770345231286,-0.0129976362624263,-0.0161934157200921,-0.00633160212965263,-0.0353326729537133,-0.0850727415810048,0.0149620227485716,-0.00198775282755134,0.00229829391224049,-0.0380593084052081,0.00821403259191797,-0.00771153444240323,-0.00514692158655631
"X_Trifolium_sp_",-0.00485133226765485,-0.0209867535653656,-0.000465857416839087,-0.00479740460256978,-0.0113844206273383,-5.65007295783762e-05,-0.0142605790773216,0.00133630021694023,0.000745730090309282,1,-0.00450434678710643,0.00242562379824753,-0.0118172060703727,-0.00174573805847127,-0.0599121725241381,-0.0345231531103865,-0.0270711762541831,-0.0898030718170773,-0.0233344410248537,-0.0263969747787474,-0.00249592590383122,-0.00107225540554106,-0.0202946818231049,-0.0805669725099835,-0.0116429373598236,-0.00445317298854566,-0.000243652622761051,-0.00347949467824966,-0.00358905745576411,-0.00336579920527757,-0.0115839100312601,-0.00311890450105516,-0.00701945873141876,-0.00221949945776951,-0.0129650642831241,-0.000849917470236757,-0.0511644399353312,-0.00114215769335858,-0.0364527614814814,-0.0217660056190347,-0.0141280149696682,-0.00685144910798714,-0.0171163814240386,-0.0254924956576587,-0.0321641282436675,-0.0150066628273877,-0.00554394290387961,-0.0154467963763128,-0.012652027251586,-0.0179617760639462,-0.0265744520133604,-0.0155954747728823,0.000399024609025394,-0.0172239587525464,-0.038292065416499,-0.0261344496200561,0.000437645654536758,-0.0232869056047353,-0.0132703060139586,-0.0143462863653748,-0.00279744340247083,-0.00151295993370135,-0.0302094805395169,-0.011922828900852,-0.013961765472325,-0.00480716487871149,-0.00245615201780966,-0.000285191403663545,-0.0160574121543885,0.000531713629623751,-0.000850123453966684,-0.0387132980468017
