"","X_Arctotheca_calendula","X_Briza_maxima","X_Hypochaeris_glabra","X_Lagurus_ovatus","X_Lolium_rigidum","X_Medicago_polymorpha","X_Medicago_sp_","X_Moraea_sp_","X_Ornithopus_compressus","X_Trifolium_sp_","X_Unknown_grass","X_Zantedeschia_aethiopica","Acacia_pulchella","Acacia_saligna","Amphipogon_laguroides","Aotus_gracillima","Astartea_scoparia","Baumea_articulata","Burchardia_umbellata","Caladenia_flava","Caladenia_marginata","Caladenia_sp_","Calothamnus_lateralis","Cassytha_racemosa","Chamaescilla_corymbosa","Conostylis_sp_","Corymbia_calophylla","Dampiera_linearis","Dasypogon_bromeliifolius","Dielsia_stenostachya","Drosera_macrantha","Drosera_pallida","Drosera_sp_","Eriochilus_dilatatus","Euchilopsis_linearis","Gonocarpus_pithyoides","Hibbertia_sp_","Hibbertia_stellaris","Hypocalymma_angustifolium","Hypolaena_exsulca","Jacksonia_sp_","Kunzea_glabrescens","Lagenophora_huegelii","Lepidosperma_longitudinale","Leptocarpus_scariosus","Lepyrodia_glauca","Leucopogon_australis","Leucopogon_sp_","Lomandra_caespitosa","Loxocarya_flexuosa","Macrozamia_reidlei","Melaleuca_preissiana","Orchidaceae_B","Orthrosanthus_laxus","Patersonia_occidentalis","Pericalymma_ellipticum","Platytheca_galioides","Pterostylis_nana","Pultenaea_reticulata","Schoenus_sp1","Sowerbaea_laxiflora","Sphaerolobium_sp_","Stylidium_brunonianum","Stylidium_sp_","Taxandria_linearifolia","Thelymitra_macrophylla","Thysanotus_multiflorus","Trachymene_pilosa","Tricoryne_elatior","Unknown_native_herb","Xanthorrhoea_preissii","Xanthosia_huegelii"
"X_Arctotheca_calendula",1,0.17759835848755,0.249365959219603,0.022863637255749,0.1138506040757,0.124000013975359,0.0337198496194451,0.299779771211576,0.0856032360646089,0.0998657292902065,0.154685092411244,0.303060396419387,0.101709481556645,0.135246226243994,-0.0299200870704792,0.0327934859054871,-0.0708611794629726,-0.1582137277742,-0.0165669055179163,0.0541642603475858,0.307590515716271,0.0348881725540231,-0.101077399950217,-0.139491823040172,0.191011926403139,0.23949507033999,0.111961210660341,0.157941689609413,0.17807425469403,0.0924542072536766,0.00377809179654472,0.178055100319485,-0.00522462870988961,0.275736100625322,-0.150676229940995,0.254717956753125,-0.065835876756492,0.133819273697176,0.0175322390365968,0.213728202532582,-0.0589771665072129,0.037765358116194,0.23140375131266,-0.0312048653544279,-0.0714504208646973,-0.105398595659115,0.0856448132697878,-0.123579122886483,0.250543703610174,-0.0406271859212528,0.0296218380251385,0.0548841638969866,0.0427316891750471,-0.0366465558642441,-0.0143448796774388,0.0704629438124782,0.0922601463861184,0.10394353857636,-0.014215368802771,-0.0261723502294458,-0.0228385936678667,0.0468856405194513,0.0683285451860494,-0.00634585925647305,-0.0819251838462927,0.297541585101898,0.168379385162106,0.195831327738162,-0.0363244172064897,0.297181324884967,0.114059042373478,-0.0127740765635194
"X_Briza_maxima",0.17759835848755,1,0.463095239850636,0.0733277997914317,0.169205949950602,0.21003276650152,0.0782225859275621,0.445300001689518,0.148632343372341,0.170636723066584,0.24673218784599,0.451010287330137,0.287870053709507,0.200267397902428,0.0902664657553983,0.140886383266543,-0.161567115562204,-0.353137015155454,0.0163892073928561,0.140125913484784,0.489702105186715,0.077107628855539,-0.0896427518482975,-0.265752799273511,0.404469370852707,0.393040484900357,0.302730378886312,0.370639947816118,0.370984477888588,0.268129161648018,0.0380610578184596,0.394816429277726,0.0064066354994767,0.432425432174848,-0.136794101486041,0.382169043610882,-0.0168454796981491,0.321118655595216,0.175985578573167,0.26554391389031,-0.0610660104074259,0.088777932324006,0.361284243864512,-0.0889848251533004,-0.151613991052313,-0.139249910773413,0.184078629510731,-0.150518787102607,0.377978162306225,0.00313359349360526,0.109837388967289,0.194665863589281,0.0830936545355671,0.0259640226274225,0.0840636466021939,0.25567020809828,0.249026220055418,0.27790415945847,0.020168504924513,-0.002002691799342,0.00299079059784228,0.179945430869463,0.209688034904354,0.00931219953719301,-0.0484791806698262,0.480511884193923,0.357005934811259,0.336957023056332,0.0517158613214916,0.447411016303453,0.302746003196789,0.0252345840267979
"X_Hypochaeris_glabra",0.249365959219603,0.463095239850636,1,0.184837854336796,0.244521887015577,0.349033328878951,0.157685621440712,0.62456130186799,0.240589860118978,0.287961210097173,0.370886290243498,0.651015278062722,0.677341836577924,0.287836920765433,0.399768548492178,0.385248848172216,-0.339886728865078,-0.717783594976006,0.111360289053512,0.314175780506609,0.766284494906581,0.163083137867029,0.00201308239724964,-0.490058305133132,0.810082347129574,0.621359142122985,0.697006687077577,0.791652409399501,0.736327825901441,0.636613475701569,0.116841108359619,0.813389141786944,0.0409033633033313,0.65247231896485,-0.0202237692644883,0.551438909074802,0.146113892825427,0.686374351673536,0.535975749309642,0.262163994105113,-0.0470774902953689,0.180069074074786,0.521592865594307,-0.20174503072676,-0.301870721209556,-0.153131150844938,0.374854573275071,-0.163407281636311,0.562480217170606,0.12634598219616,0.284381566741982,0.503474773325414,0.157571522854151,0.197270715780291,0.336114039322415,0.658184238397455,0.568746523883625,0.637769372386851,0.123700466576478,0.0604003892625219,0.0764029091609806,0.463275491096137,0.509002291364028,0.0507523498417762,0.0865403223900082,0.74871325923691,0.71501737142892,0.565720723154589,0.270646808095404,0.656630833599754,0.687224967877197,0.129183276758648
"X_Lagurus_ovatus",0.022863637255749,0.0733277997914317,0.184837854336796,1,0.0155396422966879,0.055252407574803,0.0496713685941667,0.0263372314692839,0.0378635499608419,0.0551191825069419,0.0324073551152867,0.0361112096128957,0.254235374167815,0.0182565637574647,0.243062177328193,0.177470611410622,-0.105602757008878,-0.218015699629095,0.0743372674584862,0.111230896575992,0.09123100480641,0.0511307966114997,0.108163347546882,-0.116897755970361,0.232282707054711,0.080733781462853,0.253064973619228,0.254458957635537,0.208477492197922,0.24286987503501,0.0554187567404177,0.246819203192084,0.0278149411222731,0.0574426417921012,0.139894533670409,0.0311218995909252,0.147635799494887,0.218784574774611,0.265016639471862,-0.0818401918413704,0.0331951297192286,0.0531098981970567,0.031164918233942,-0.0708126833628258,-0.0844574623979751,0.0274821440093326,0.115043432459701,0.0400749955325633,0.0446734952968246,0.111764640610068,0.123014428940642,0.216418696403656,0.0406789663595689,0.141233644775682,0.198982718371325,0.274282223043996,0.207076212210018,0.234393245522864,0.0796579582614004,0.0583647040057383,0.0679291685055712,0.189833358497671,0.193456912787997,0.0287769474363596,0.137430491542849,0.0869272009810773,0.203991547349001,0.101735894997177,0.178892381641428,0.0417268132252557,0.246271231386448,0.0803724923617514
"X_Lolium_rigidum",0.1138506040757,0.169205949950602,0.244521887015577,0.0155396422966879,1,0.120597388984565,0.0326596760310202,0.296467702851425,0.0868457327201821,0.0992501236817122,0.159850111163607,0.29979415753029,0.100377482971768,0.130562793018559,-0.0316111260823312,0.0241118822945166,-0.0701987920990991,-0.157524792523797,-0.0154124613095301,0.0541361959341067,0.302647905847027,0.0334137749661201,-0.102480129400071,-0.133959242968462,0.188431587523418,0.243286587903547,0.110896347778562,0.156054975033041,0.174172650431327,0.0903059940512903,0.00450317670229781,0.17531912370002,-0.00704843190586493,0.275025795085428,-0.152888481887669,0.255712218309598,-0.069564540284694,0.138654883371833,0.0183184026209035,0.211522494483701,-0.0565189779516469,0.0399516295777193,0.236282779196965,-0.0355334973376769,-0.0732801153391273,-0.111827930075777,0.0774463224966855,-0.119402258310602,0.242446166957107,-0.0389429425752283,0.0250295773074247,0.0491851461796969,0.0405072672402441,-0.0344704366337043,-0.0175487793038285,0.0707254207760263,0.0897864558358074,0.0993334987963726,-0.0137401469806467,-0.0266515048635431,-0.0227875179966251,0.049944302513141,0.072781574733711,-0.00369080797708698,-0.0903489948307301,0.294712905419496,0.165840208767801,0.188195017789964,-0.0379358975427822,0.296911196832943,0.112936667753524,-0.012175129247253
"X_Medicago_polymorpha",0.124000013975359,0.21003276650152,0.349033328878951,0.055252407574803,0.120597388984565,1,0.055036910543312,0.3295392322785,0.109724480657233,0.129874161082335,0.182944580166687,0.335312800713074,0.224552414665831,0.150350979298366,0.0775194992184419,0.107952459089191,-0.124996537851206,-0.266258204988683,0.0195856816612123,0.108945101277778,0.366172426327222,0.0599878324120414,-0.0616155700192084,-0.201272580967526,0.309434875357174,0.290706514250566,0.23685112000944,0.285743223516797,0.283414478450328,0.208300104867486,0.0291776439725008,0.301768513483765,0.005508676155116,0.321715652642514,-0.0950606052823637,0.282175085110406,-0.00439970186128889,0.247200223259471,0.141556456733096,0.190460472354857,-0.0453721343679857,0.0669287957793316,0.264581926018048,-0.0705761934602178,-0.115454933559148,-0.0990543995956831,0.138528972301248,-0.114012373067222,0.281865114796096,0.00324872304560713,0.086243413103004,0.153258575211943,0.0647738753992423,0.0266426962139508,0.0723939876545641,0.202492615404961,0.193707062740041,0.215033083532266,0.0169719687437906,-0.00253024216173083,0.00757858597706273,0.138687733464855,0.163365187149659,0.0103544802833786,-0.0344696481009326,0.358792788882639,0.272582798113645,0.251902156586344,0.0437359622699266,0.33298221420528,0.236176114459454,0.0213160643519866
"X_Medicago_sp_",0.0337198496194451,0.0782225859275621,0.157685621440712,0.0496713685941667,0.0326596760310202,0.055036910543312,1,0.0735489931166805,0.0369428170914672,0.0499091308944751,0.0517937284141203,0.0795471078989761,0.170396672596571,0.0380648006492456,0.138162961448418,0.110285503532301,-0.0771323580317304,-0.159363354634447,0.04235037799405,0.0764620461606909,0.111943213346611,0.0365323218729507,0.0444293439071104,-0.0964400342407528,0.174903304007682,0.0967087285734893,0.173137050839316,0.183022957652307,0.157328283240572,0.163016386882521,0.0338573207289285,0.181534508874861,0.015237159740309,0.0915230705708827,0.0552991015294744,0.0685984325843027,0.0725512794223398,0.156676443377034,0.161651005700202,-0.00776688506391963,0.00809831789674982,0.0385432722569129,0.0684888321440429,-0.0482707289973444,-0.0631187895438847,-0.00272713028051754,0.0845703256233547,0.00107184421731594,0.0731791081946037,0.05944011485289,0.0753486306935882,0.138027046580517,0.0317822919134158,0.0766542402382403,0.113935117203861,0.177006244199841,0.140596641929264,0.157708187063867,0.0429845465624113,0.0304516198528786,0.0340423297191052,0.125736518313371,0.12866618379019,0.0186526092645967,0.0647097791440515,0.110744852354765,0.15290397839552,0.0969794058456143,0.104729353084247,0.0806030479719335,0.168878625650854,0.0466307842356533
"X_Moraea_sp_",0.299779771211576,0.445300001689518,0.62456130186799,0.0263372314692839,0.296467702851425,0.3295392322785,0.0735489931166805,1,0.234171315421405,0.249588570185839,0.431025091878045,0.815689174301748,0.204688808356861,0.355706927621977,-0.154508521844137,0.0193373691429239,-0.164404253248184,-0.370782216685641,-0.0718457815763239,0.111378587804553,0.813628694820938,0.0783984311423915,-0.314478370279602,-0.343745068858476,0.452845509372851,0.632728858457324,0.234378512077365,0.359502348782888,0.421850079892141,0.180366366065537,-0.00577175411262925,0.413917670490343,-0.0271269833992949,0.745231122413112,-0.452857488066378,0.688982107090224,-0.233074189447923,0.311611786538588,-0.02641923104524,0.611384735395109,-0.166145550928285,0.0955965961057312,0.640013298217702,-0.0730952888819024,-0.174322973154369,-0.292733838781411,0.18826600812071,-0.344994204836148,0.651714324303903,-0.14702913958904,0.0475295662075992,0.0779319936376478,0.103214276000526,-0.137094360396412,-0.109593981941972,0.11802689313505,0.194066312878933,0.207448415138287,-0.0582264910063274,-0.0801154129717549,-0.0762166589223628,0.085448299525359,0.139050727512557,-0.0274784717090232,-0.28213205544405,0.789913406037453,0.399520470123017,0.502034376375196,-0.144773725949076,0.804820224076141,0.242212565466649,-0.057635468426784
"X_Ornithopus_compressus",0.0856032360646089,0.148632343372341,0.240589860118978,0.0378635499608419,0.0868457327201821,0.109724480657233,0.0369428170914672,0.234171315421405,1,0.0882791308578142,0.131255092208413,0.238602355187378,0.146808764249669,0.103743273454887,0.0448620241967832,0.0695555008937374,-0.0837715648786867,-0.181877430486229,0.00446344273636939,0.0723203254210791,0.260308545171996,0.0403059010393289,-0.0499813922098644,-0.136456327394373,0.208325280467671,0.203950956350021,0.153164673578042,0.191292820661027,0.192970471961807,0.135307901571966,0.0213943326470824,0.204134255806645,0.00140824473236344,0.230847248632711,-0.0757386747096437,0.203187685038401,-0.0119077829414244,0.165977902337251,0.0875149667120209,0.142517073992513,-0.0329995231368954,0.0474607603774326,0.192682933152192,-0.047308080661162,-0.0787067759676069,-0.0707325172912287,0.0921136172573695,-0.0838093647089164,0.20170755091092,-0.00160965433279468,0.05483104045438,0.0961588026840064,0.0430612838356189,0.0150887221271114,0.0368935312273027,0.130110960478086,0.126415276067668,0.139893965784737,0.0133641420690411,-0.00339745211840598,0.00180012011887852,0.0894384713961193,0.107888298842159,0.00355309854671791,-0.0324440235559335,0.249236276144112,0.184265966776236,0.177998794529841,0.0235372416904185,0.235583786529716,0.153983203812046,0.0121138959509216
"X_Trifolium_sp_",0.0998657292902065,0.170636723066584,0.287961210097173,0.0551191825069419,0.0992501236817122,0.129874161082335,0.0499091308944751,0.249588570185839,0.0882791308578142,1,0.14592068608679,0.257760193993358,0.20206713409034,0.110777800876863,0.0903639559584868,0.104762210661558,-0.107630934624835,-0.232793842082111,0.0211204854737579,0.0968958000324214,0.287753468128657,0.0545634666653756,-0.0288518763744301,-0.168119231251959,0.263153831937961,0.230627470053817,0.210857552153044,0.249049796905357,0.241630740932803,0.189730419875347,0.0313189601692418,0.260529381757606,0.00689933600595819,0.250318495620266,-0.0532185196177484,0.217282446209751,0.0213335713359175,0.218471441889583,0.141755615028096,0.131489301442431,-0.0313976227439713,0.059379137019314,0.200654759957062,-0.0634142061781849,-0.10120252597365,-0.0700345243758954,0.116016053477771,-0.0818692992103552,0.220117201087847,0.019136928254748,0.0847376415018083,0.143346085633891,0.0540584460346088,0.0388970447662177,0.0814432157612506,0.190045190434467,0.171741329736575,0.194596242940141,0.0274031580182911,0.00659809573628081,0.0142494987228984,0.131325286490113,0.153197658630803,0.00973879193201153,-0.00838881172441043,0.278298450538457,0.230731246729129,0.205049791176462,0.062922856099133,0.25637585642633,0.210022557055584,0.0271950089768261
