"","X_Arctotheca_calendula","X_Briza_maxima","X_Hypochaeris_glabra","X_Lagurus_ovatus","X_Lolium_rigidum","X_Medicago_polymorpha","X_Medicago_sp_","X_Moraea_sp_","X_Ornithopus_compressus","X_Trifolium_sp_","X_Unknown_grass","X_Zantedeschia_aethiopica","Acacia_pulchella","Acacia_saligna","Amphipogon_laguroides","Aotus_gracillima","Astartea_scoparia","Baumea_articulata","Burchardia_umbellata","Caladenia_flava","Caladenia_marginata","Caladenia_sp_","Calothamnus_lateralis","Cassytha_racemosa","Chamaescilla_corymbosa","Conostylis_sp_","Corymbia_calophylla","Dampiera_linearis","Dasypogon_bromeliifolius","Dielsia_stenostachya","Drosera_macrantha","Drosera_pallida","Drosera_sp_","Eriochilus_dilatatus","Euchilopsis_linearis","Gonocarpus_pithyoides","Hibbertia_sp_","Hibbertia_stellaris","Hypocalymma_angustifolium","Hypolaena_exsulca","Jacksonia_sp_","Kunzea_glabrescens","Lagenophora_huegelii","Lepidosperma_longitudinale","Leptocarpus_scariosus","Lepyrodia_glauca","Leucopogon_australis","Leucopogon_sp_","Lomandra_caespitosa","Loxocarya_flexuosa","Macrozamia_reidlei","Melaleuca_preissiana","Orchidaceae_B","Orthrosanthus_laxus","Patersonia_occidentalis","Pericalymma_ellipticum","Platytheca_galioides","Pterostylis_nana","Pultenaea_reticulata","Schoenus_sp1","Sowerbaea_laxiflora","Sphaerolobium_sp_","Stylidium_brunonianum","Stylidium_sp_","Taxandria_linearifolia","Thelymitra_macrophylla","Thysanotus_multiflorus","Trachymene_pilosa","Tricoryne_elatior","Unknown_native_herb","Xanthorrhoea_preissii","Xanthosia_huegelii"
"X_Arctotheca_calendula",0,0.190974009404904,0.248960623665934,0.0958113201360247,0.158359909266375,0.156898328568056,0.0702683153586,0.266728526537012,0.124144860034941,0.143491596606043,0.18701111979279,0.270588888503979,0.165702413935139,0.175796097374199,0.127233643567525,0.125235032503953,0.0986877959146452,0.200726051947172,0.0810958892728988,0.113543611461815,0.277840162283794,0.0735263583852706,0.127992033854747,0.154468067750421,0.216607256382764,0.23771841799475,0.172430475733735,0.198192299708432,0.201897673931793,0.155640880768708,0.0471358695347238,0.210655552998557,0.031507376744207,0.252678926979433,0.162766307589182,0.242307987788632,0.119058967184822,0.180172468782256,0.139502674109902,0.195010746449955,0.095613436404958,0.0915579933656341,0.232059763552102,0.0728180966668,0.0934088633642632,0.145882294224924,0.124447065941879,0.162237590121936,0.2468834679935,0.0948841161082386,0.101703771517355,0.12864635881359,0.0687268597274894,0.0921398954409628,0.115914258225966,0.159703026676598,0.153595248589667,0.170704051529132,0.0878995697585332,0.0559378576250591,0.0827354275260787,0.129156251972974,0.146107437702696,0.0425909061463775,0.119847274349991,0.270146037494791,0.196294964055977,0.212373392544567,0.124109440032855,0.267894386395965,0.169014731553987,0.0680753459617012
"X_Briza_maxima",0.190974009404904,0,0.219104216871184,0.121866922500435,0.168707488469413,0.172986771998472,0.101269796783698,0.215134972832851,0.148265896601407,0.174819449842417,0.198373919599688,0.214069872418432,0.190012116389185,0.182541121062605,0.178967457547643,0.164522901592962,0.105629753000723,0.204107879595915,0.114850357031642,0.151990427626266,0.220627851945717,0.0903217605138291,0.153566325565728,0.147624448220993,0.208261961804266,0.220819839045737,0.194954648912616,0.209313478096487,0.197264930659704,0.179893238203338,0.0670534852516554,0.208902401102777,0.0470066988370223,0.215697809293514,0.17364749563463,0.209437122925052,0.1670174545148,0.196729625933979,0.192113448667408,0.175696998785488,0.098072187070388,0.126333124214366,0.215259982630293,0.0890044000339737,0.100316447475066,0.150380893677111,0.144896943326245,0.168010400649805,0.21862012713397,0.120773223098437,0.144138912983606,0.162196610755237,0.0800813845814138,0.134218862811431,0.168095120986216,0.194922066494864,0.175204465896162,0.204191270487112,0.1200060103967,0.0723724730351317,0.117768804824789,0.170791907458376,0.178742833322814,0.0651175228640068,0.157306264643854,0.219568741842622,0.190212647105619,0.208430761181525,0.172058973250107,0.216673168699194,0.187072158104365,0.0935843475565078
"X_Hypochaeris_glabra",0.248960623665934,0.219104216871184,0,0.194638335568198,0.219036103250122,0.239942880019038,0.147523132987061,0.170998931224994,0.214201977668525,0.242319422405843,0.257536620885381,0.176937966568499,0.142303655330885,0.226747247479302,0.200221547223107,0.21199431192492,0.10181972654378,0.138130304398646,0.190910338673031,0.244316140124936,0.129159657062888,0.148722789638614,0.203284936725792,0.115680104821416,0.107515870806268,0.226577317018921,0.140121423376196,0.118163045238056,0.130074438279027,0.140374570928768,0.106270549961563,0.112242848374619,0.0736298803705602,0.199900540445355,0.226775427946239,0.202886095096344,0.225735595090646,0.178183232035027,0.182645456856567,0.178849980795202,0.13451040703146,0.199468371821331,0.243729120532267,0.111685197074721,0.11190187622804,0.18529581492424,0.178928133431499,0.224042881711566,0.226367802064511,0.174736937756108,0.221312212897203,0.152751919234449,0.119958693938347,0.18585206222177,0.193122035430618,0.157978634969108,0.183093928121278,0.198078654529705,0.205755107127877,0.109653316184565,0.179646437010296,0.22717531224462,0.21836052657176,0.110660053375371,0.21603704643569,0.14463914632624,0.12172627835094,0.238761569931471,0.246705467778123,0.176896339620361,0.13668607240147,0.151069258638765
"X_Lagurus_ovatus",0.0958113201360247,0.121866922500435,0.194638335568198,0,0.0926415744208826,0.11782441766603,0.0748514670566979,0.141073952192356,0.0904396490617026,0.112546815835742,0.113047181669174,0.156172943959559,0.217907208628368,0.100574211326718,0.204675942513071,0.167805852992187,0.096487559918555,0.196336801470253,0.108701108085147,0.149195558652124,0.165242563459461,0.0767552683454572,0.132620695913176,0.118459317990422,0.212519058464108,0.160771920927729,0.216446443076603,0.222613684974968,0.197522024846075,0.207196260939475,0.0641894273220014,0.219316999566768,0.0426326636666719,0.157997221662106,0.150747697171278,0.136158112270557,0.160904322991955,0.200356342501267,0.22200286613081,0.117522860951942,0.0758134765061385,0.0939712662193809,0.145955818003868,0.0696039341733571,0.0855385899432455,0.0853679549179995,0.123827477576662,0.096942312201942,0.136036133200287,0.134602341450879,0.149327800077296,0.183122296544349,0.0616261479773912,0.146317365750358,0.170485782380331,0.230013913989032,0.189073092941147,0.208934976683284,0.115389730611529,0.0740583039505769,0.112420189278494,0.183541167144332,0.181207278630566,0.0488041830210614,0.129803432409521,0.17452415651293,0.190318514167728,0.156825322927478,0.185195902155339,0.158054399665059,0.210250810631792,0.0964017621197321
"X_Lolium_rigidum",0.158359909266375,0.168707488469413,0.219036103250122,0.0926415744208826,0,0.142666302482642,0.0706014313667176,0.23511830442014,0.121546514045976,0.139158362192702,0.173510584255612,0.243100526165729,0.19276313642421,0.163334644320798,0.194259254212881,0.151374162029822,0.0963796708852122,0.197466463877413,0.0937018178565856,0.119571011534051,0.237939015327051,0.0666394492446035,0.156506658669462,0.133537824158699,0.206319832188476,0.213901718190431,0.195655841008012,0.204595162770666,0.193122367393803,0.181877601778699,0.0561499981767437,0.206405028500897,0.0382867841135393,0.222415181944604,0.194460429800024,0.224341767631034,0.162338471260994,0.192446541541756,0.197937566034556,0.197614533160809,0.103278940333734,0.0908228528394263,0.21567494752717,0.0736721942866807,0.091596666486424,0.151686355201065,0.118957671907388,0.154279218446212,0.214846642930452,0.108337837394271,0.120455286342741,0.161059208675949,0.0564523830838712,0.135140690966462,0.161998547948585,0.204650640767358,0.166752634975341,0.186462847466169,0.0965358252632489,0.071150479647936,0.0956105642415645,0.15523291257816,0.160021010107944,0.06091258317013,0.158258974262715,0.236376728728139,0.187857028102997,0.180486771899174,0.171423821011388,0.235797813826164,0.188879862197788,0.0809366802559285
"X_Medicago_polymorpha",0.156898328568056,0.172986771998472,0.239942880019038,0.11782441766603,0.142666302482642,0,0.0820281969808503,0.216299517767287,0.125462390715111,0.155375628545316,0.176391124674182,0.221453201209445,0.217023935933783,0.154746866724037,0.191784388499381,0.170836632046583,0.112121885632469,0.220808954481184,0.108432309098116,0.149804047555953,0.234494395238621,0.0893364013867876,0.145000876972261,0.153015714681459,0.23817593665069,0.216212955741189,0.224146633220777,0.238234361263432,0.22001509429256,0.207766013779613,0.0631297363679627,0.239933160284822,0.0424293232643579,0.218315438276567,0.16877769508531,0.200375383257792,0.153609210332083,0.214834714759929,0.210119433450965,0.167445291514293,0.0871246283782498,0.112226171151875,0.20207035001329,0.0857288801854238,0.104391878374777,0.124883433024892,0.141795601472138,0.158850448006378,0.208783576076736,0.112802879584418,0.144968598744795,0.180815117056209,0.0785265508939411,0.13814816544716,0.172794528934003,0.224372510177844,0.195093799739206,0.21690788977331,0.108538695999473,0.0668994733292226,0.107906607225788,0.177912169611422,0.181684488682288,0.0713081182343705,0.151680103091956,0.233320045903853,0.213000261775632,0.203602790402168,0.174682010374421,0.218979429965122,0.218664309999845,0.0893753209017821
"X_Medicago_sp_",0.0702683153586001,0.101269796783698,0.147523132987061,0.0748514670566979,0.0706014313667176,0.0820281969808503,0,0.110283094533675,0.0641588062199264,0.0832957660497837,0.0922960564728927,0.115315046170311,0.157306018627479,0.0782122130429062,0.142953536526352,0.11643446848877,0.0740035291102926,0.145524405552463,0.0804595807446174,0.10375426315019,0.128471015017361,0.0560409508052089,0.0894881031736424,0.0902627907071098,0.159707269112426,0.124304907855454,0.160046052095015,0.166177651327455,0.147143802496225,0.151695166278307,0.0450710589281289,0.164607741418914,0.0271723508703734,0.127804761925369,0.10011150347545,0.103675117211647,0.102074141139722,0.150806010831654,0.157035112676418,0.0815472192382594,0.0444595587362895,0.0685375409714175,0.109613776975615,0.049778747846803,0.061876997826842,0.05653926870604,0.0930108934606384,0.0761455598248726,0.110899680217819,0.0867255465572034,0.099751764667412,0.131573494530884,0.0459824864115901,0.0981359874182737,0.121638462597194,0.166206378509138,0.138700764500692,0.152135020893801,0.0784804472520917,0.0488593221245074,0.067793066592254,0.1342878172666,0.133640961893375,0.0436738885952696,0.0951067955900709,0.131682293240496,0.14149068298283,0.115840714166897,0.131950445019848,0.110075649753618,0.155250291944465,0.0702747658886256
"X_Moraea_sp_",0.266728526537012,0.215134972832851,0.170998931224994,0.141073952192356,0.23511830442014,0.216299517767287,0.110283094533675,0,0.206618627343846,0.217983054423875,0.263028542091637,0.128000446444832,0.208312604433404,0.254398913779306,0.220331760933188,0.209483263319967,0.123937476861652,0.240719587117375,0.152926160736762,0.165652765133997,0.118889255751643,0.109876418189402,0.223001191434235,0.148619630121449,0.180927307047285,0.214191219839049,0.206201927669073,0.196993492470376,0.179604401444897,0.196770324234796,0.0841117110472558,0.193422883544204,0.0570065782710487,0.162650725639561,0.207934094681813,0.203766080736049,0.221768690957268,0.206555510744382,0.232438002319305,0.181977723930823,0.16516639366364,0.163002606436425,0.224483515716732,0.124478141447816,0.113660786842816,0.224436020251617,0.161183469329122,0.254633885127961,0.221589300342424,0.156564452745078,0.168410179173896,0.191262777765594,0.0958050418438693,0.163303495804956,0.207975084937061,0.22216162101857,0.198853479818263,0.235618024443704,0.162980203735036,0.100648203725368,0.155619962005981,0.188284909271032,0.216674481872797,0.0951240179051099,0.205816897494356,0.126666638790618,0.183921422072903,0.220481094902478,0.223596179646733,0.129888460723509,0.199232587288645,0.113516105659176
"X_Ornithopus_compressus",0.124144860034941,0.148265896601407,0.214201977668525,0.0904396490617026,0.121546514045976,0.125462390715111,0.0641588062199264,0.206618627343846,0,0.125839858349286,0.158225016285827,0.215059213178667,0.187296239130483,0.13188341152637,0.169026705650907,0.139708758212838,0.0984964817374862,0.192331590393652,0.0893544774813285,0.119179102321352,0.221738338545157,0.0687277815804346,0.127641732987493,0.129118107632678,0.20557334553996,0.188960069407277,0.190229448810007,0.205542333936299,0.189543220553861,0.177608157352896,0.055248938559127,0.209303980475754,0.0335942829509559,0.212074297794129,0.154427293218647,0.197526671832324,0.136928131848622,0.188771707096593,0.182915920809237,0.167387850955673,0.0750146891476929,0.0958174659846408,0.196070554077064,0.0726100921637588,0.0883760839841058,0.111361393072575,0.117244165772563,0.128951283498081,0.194525325299636,0.105774315701395,0.113875990778468,0.153773272242254,0.0607520288269062,0.120592972169801,0.144234830373893,0.195082391297937,0.160610875463012,0.181714408366022,0.0992555492885096,0.0578937326702141,0.0850795637136422,0.149691770425906,0.160090594109261,0.0421118055038083,0.134205643526523,0.215839119915013,0.184952624731931,0.183457134927765,0.152407154383071,0.209451389773786,0.186355775975118,0.0748683823259265
"X_Trifolium_sp_",0.143491596606043,0.174819449842417,0.242319422405843,0.112546815835742,0.139158362192702,0.155375628545316,0.0832957660497837,0.217983054423875,0.125839858349286,0,0.171415101316962,0.227855192430933,0.218965144166387,0.138834497131457,0.189398953806938,0.158243618437967,0.109304499621478,0.220904667636938,0.0927726166376948,0.146910062630923,0.237716924371229,0.0855222846523816,0.131598457489357,0.15241573750567,0.237347209160927,0.217804299194617,0.221834574872272,0.239556133887646,0.222937488618095,0.205508253355193,0.0613235497365651,0.242581464832119,0.0381338196555665,0.221704073916235,0.162222020703157,0.202720816864251,0.147753984776673,0.22241659690395,0.208119191311488,0.165204820146738,0.089337368828594,0.115535553526888,0.197433619647745,0.0821755679900062,0.104107006059273,0.11156397877768,0.126733719796965,0.146022282711654,0.203332896446112,0.114236849442536,0.146951062145151,0.176299076494581,0.0784399178467877,0.129011639089344,0.165196152405739,0.22449460475964,0.189531964041503,0.217476362279202,0.111456986874611,0.0616839947885051,0.101841304905612,0.178534502102507,0.187264624662662,0.0571511530204559,0.134880994301916,0.234502179117041,0.210482695193132,0.199673746455337,0.178352197506394,0.221828149656396,0.216902114499101,0.0831614537611182
