"","X_Arctotheca_calendula","X_Briza_maxima","X_Hypochaeris_glabra","X_Lagurus_ovatus","X_Lolium_rigidum","X_Medicago_polymorpha","X_Medicago_sp_","X_Moraea_sp_","X_Ornithopus_compressus","X_Trifolium_sp_","X_Unknown_grass","X_Zantedeschia_aethiopica","Acacia_pulchella","Acacia_saligna","Amphipogon_laguroides","Aotus_gracillima","Astartea_scoparia","Baumea_articulata","Burchardia_umbellata","Caladenia_flava","Caladenia_marginata","Caladenia_sp_","Calothamnus_lateralis","Cassytha_racemosa","Chamaescilla_corymbosa","Conostylis_sp_","Corymbia_calophylla","Dampiera_linearis","Dasypogon_bromeliifolius","Dielsia_stenostachya","Drosera_macrantha","Drosera_pallida","Drosera_sp_","Eriochilus_dilatatus","Euchilopsis_linearis","Gonocarpus_pithyoides","Hibbertia_sp_","Hibbertia_stellaris","Hypocalymma_angustifolium","Hypolaena_exsulca","Jacksonia_sp_","Kunzea_glabrescens","Lagenophora_huegelii","Lepidosperma_longitudinale","Leptocarpus_scariosus","Lepyrodia_glauca","Leucopogon_australis","Leucopogon_sp_","Lomandra_caespitosa","Loxocarya_flexuosa","Macrozamia_reidlei","Melaleuca_preissiana","Orchidaceae_B","Orthrosanthus_laxus","Patersonia_occidentalis","Pericalymma_ellipticum","Platytheca_galioides","Pterostylis_nana","Pultenaea_reticulata","Schoenus_sp1","Sowerbaea_laxiflora","Sphaerolobium_sp_","Stylidium_brunonianum","Stylidium_sp_","Taxandria_linearifolia","Thelymitra_macrophylla","Thysanotus_multiflorus","Trachymene_pilosa","Tricoryne_elatior","Unknown_native_herb","Xanthorrhoea_preissii","Xanthosia_huegelii"
"X_Arctotheca_calendula",1,-0.00232704612144231,-0.00315209445447103,0.00162080378310428,-0.000514963058536057,-0.000307551377931851,0.00438076319275364,-0.00487954364708879,-0.00113432021023967,0.000347116698559221,-0.00106495803047994,-0.00345246433640995,0.00153712771462983,0.000106530456262136,0.00322509736458478,0.00373461752666515,7.24531592201685e-05,0.00437354570499328,0.0112557850359367,0.0104057602384802,-0.00384034545751014,0.000185082313108269,0.00397488629410333,0.00539494101590345,0.00493537649120513,-0.000958680460933889,0.00297110700180196,-0.00187693326063721,0.00116958606290958,0.000619269627829515,0.00225386471230398,-0.00137674573232452,0.00151688700729553,-0.00334553554657451,0.00203620089886768,-0.00418496293420408,0.00833481582958529,0.000692504488727036,0.00755480780452818,-0.000561505607930797,0.00231448743000621,0.00102534156864782,0.00077032337429654,0.000983956908724856,0.00175395058686862,0.00160221104680622,0.00242061353392535,0.00836495169223908,-0.000627973312246112,0.00195871841857598,0.00131719727317932,0.00297538454214922,-0.000270198431507891,0.00357385454419824,0.00885204451212,0.00692341734183152,0.0010427415740113,0.00492990837099251,0.0016509942018155,0.00291453052519791,0.00335685053434615,0.00189859264636976,0.00540133974535618,0.00133038726280397,0.00654296480795239,-0.00255189001689527,0.000632187582389321,0.000888007075268291,0.00389688615759956,-0.00291211052306499,-0.00100811796645738,0.00244503464116397
"X_Briza_maxima",-0.00232704612144231,1,0.26787664899071,0.0310158299557622,0.213487082873532,0.0944740620068361,0.00690623058362048,0.344969233942743,0.105601479212231,0.0759327272806226,0.145993203118666,0.3308048795682,0.0206871091335496,0.0515113383427779,0.00402402336823471,-0.00104829222194275,0.0984285930668657,0.103441775378731,0.0758434998034608,0.0212665542839405,0.365068520709889,0.0155171452290248,-0.00991811879825095,-0.00225784197138079,0.223750691320337,0.12566821469895,0.0413363646318612,0.0870993650745585,0.178520093383009,0.0470863948608429,0.00348109680363647,0.180368048761849,0.0156456155973142,0.291947531974282,0.00782709271766567,0.287014130939148,-0.0196308223938298,0.0508077609078549,0.0197723584750078,0.17397067666293,0.00995144981086967,0.0299441680850603,0.127009815974699,0.141885313137183,0.042160814189055,0.0150707229955487,0.082918549884955,0.0055011410400983,0.116283811094971,0.0138576508809825,0.0375310039111279,0.0313359960178116,0.0530664043774262,-0.00334012549412702,-0.0129899848249112,-0.00564904081361212,0.069735599788212,0.0206360119544415,0.03348173888083,0.0407420794251546,0.023918373799043,0.0905885902468379,0.0414452748723034,0.0289341872384401,-0.0075755858887376,0.357813104214406,0.265845752017629,0.140219590612876,0.00252503799581275,0.296242281524543,0.0781011613560473,0.0398694332359394
"X_Hypochaeris_glabra",-0.00315209445447103,0.26787664899071,1,0.147660695003773,0.426889468540455,0.364222397103835,0.118839512605159,0.725129786020635,0.332337499072402,0.180522370423372,0.150716732988602,0.683444833633649,0.755330196209584,0.175939379214878,0.664363129473106,0.774875231904217,0.105409828890383,-0.0105765171143448,0.338665704726742,0.263954135752716,0.846490826758184,0.148183832567924,0.119675769758583,-0.0252885434431702,0.888946522069188,0.434731168055308,0.856565064202196,0.864948051176903,0.866345418595581,0.851004218570501,0.112092731658863,0.899157660545777,0.0714853832126742,0.727729277577093,0.0839918790808805,0.583393625988651,0.200126842129726,0.83761941012577,0.771936062188998,0.157641811452516,0.0544808273424367,0.130325791483565,0.366195101448023,0.174130701266095,0.070923438013202,0.0591271570453883,0.570062576133711,0.178994293037185,0.306260677767045,0.0590004096408919,0.603890535207285,0.70519959648716,0.229891184443624,0.0580920848618034,0.6478959531049,0.824499768429267,0.591089914866291,0.866954449349668,0.101384196166265,0.190242378679888,0.0848701841737326,0.293190391515923,0.464632961500036,0.16576087731502,0.360446888385321,0.649436948944669,0.883726280889788,0.353787206014532,0.187560697160752,0.521710615256241,0.893692265967272,0.492995126083761
"X_Lagurus_ovatus",0.00162080378310428,0.0310158299557622,0.147660695003773,1,0.0421726496032241,0.0547689257480798,0.0256191976523677,0.0698511541622329,0.0623400623883597,0.0373640454718729,0.0272548675775535,0.0417677131098216,0.152699357298775,0.0270141087186315,0.177426445270921,0.177904751696012,0.0200983711306697,-0.0021344511829501,0.0739247901842153,0.0365176538642613,0.0797891989516038,0.0377066284365934,0.0162717461559493,-0.00252192681701544,0.120027835377584,0.0397880835815228,0.183373736549124,0.159835675751634,0.138552102222268,0.166099065890282,0.0378893244730671,0.144179111529225,0.0157387702547478,0.0717984703367435,0.0347693375082376,0.062025822688858,0.0699202191567796,0.150723136063475,0.199010876726365,0.0143821251687375,0.00558906216806232,0.0196277022433399,0.0293410919702773,0.0377910124584164,0.0168680354742501,0.00308263576305517,0.0818408517362159,0.0245935323801171,0.041707568508943,0.0296332010638215,0.101456512289057,0.156963980163692,0.0420972167564828,0.0444095115973828,0.161702276875179,0.185329580202533,0.0809592598713671,0.175596876402984,0.0156621497666636,0.0479643300336765,0.0157969704978035,0.0429658270310205,0.145476372616181,0.0110136082829939,0.135238692788017,0.0622192019206464,0.133536253121772,0.0294729529372877,0.0418168592364589,0.076502178052556,0.170713921645177,0.0849553836401909
"X_Lolium_rigidum",-0.000514963058536057,0.213487082873532,0.426889468540455,0.0421726496032241,1,0.170848605937255,0.0262021807424847,0.353061569266684,0.12749158642675,0.0931815249127831,0.198321545702452,0.334876489509571,0.301611315423199,0.0732637347057251,0.091935670876743,0.153212023653056,0.0293851246793279,0.0461179264961384,0.167833855492902,0.0923082078909432,0.48968950648026,0.0377846302690636,0.0218043252052054,-0.000240460357935164,0.420550734833342,0.243429762145581,0.309908255412568,0.359085371470801,0.408436322570231,0.312644456694299,0.00378768565908544,0.381906283113678,0.0250449616029705,0.422335599905502,0.0121559179964103,0.439316555690526,0.00458694865919827,0.28151901229197,0.186499319926808,0.150551097955651,0.0140717343798244,0.0459632690313308,0.165447281704909,0.0658141022203143,0.0246129646880741,0.0184991562990119,0.265273772652441,0.0498562693989033,0.165193940579849,0.0199564667479408,0.239408822654614,0.251052829820929,0.0471808128485914,0.00664719300383764,0.17670918641639,0.259271059517463,0.15216502894204,0.323414115627776,0.0537499791726268,0.0612004507232245,0.016508435142657,0.0729032831327705,0.119054768049191,0.0414706444694318,0.131443412881025,0.444657352843157,0.377063122281165,0.129622020060678,0.0214559179027747,0.214061769555312,0.347006172263221,0.0483447100463065
"X_Medicago_polymorpha",-0.000307551377931851,0.0944740620068361,0.364222397103835,0.0547689257480798,0.170848605937255,1,0.0418412733667656,0.227885789136616,0.117323433408863,0.0298502368085909,0.0923112417426598,0.129591418045979,0.370282792955451,0.0515612366385128,0.246806727996582,0.27555108190387,0.0320085663299788,0.00478389048666421,0.146974764595167,0.111871183612347,0.199150532578161,0.0219964988724627,0.0322440294181098,0.00336713793185805,0.338944247140977,0.10264026852436,0.366924799091462,0.388539730023626,0.373041546553919,0.360240718752307,0.0356401780643159,0.332079609042847,0.022950203800468,0.18891622567533,0.0408843494279572,0.178265814989817,0.0159540452486715,0.303520561338784,0.320604827139119,0.128904604832138,0.0244861827362935,0.0467223519520436,0.112936105102686,0.0786438904949706,0.023538979036682,0.0125080274096943,0.256080845937957,0.0695969802790774,0.060516213808006,0.0184441500721529,0.313018647055667,0.331467668329378,0.0746959940910806,0.0217725721856844,0.295719824385198,0.363328421571375,0.218476641891685,0.381645795568522,0.0335829624862956,0.0792885695294805,0.0300358832906638,0.0806506180635676,0.218707831459997,0.0552087927001483,0.172764455770764,0.21937755111079,0.292104608893293,0.111583001864758,0.00761690438149463,0.130411459297296,0.377623042331785,0.185173790756562
"X_Medicago_sp_",0.00438076319275364,0.00690623058362048,0.118839512605159,0.0256191976523677,0.0262021807424847,0.0418412733667656,1,0.0315858856461754,0.035922176560393,0.0212739081057478,0.0101086832134632,0.0800757896064251,0.128297144589179,0.0137059086409042,0.115430354020086,0.0968452925658393,0.00545476510609712,0.00735455000123852,0.0385150037099265,0.0431752451317712,0.0672045145494295,0.015714990592778,0.0381319899182848,0.010540132285784,0.109974808641981,0.042331018451263,0.135865146592951,0.138055122202673,0.111896669839205,0.12931704675397,0.0230406344053294,0.127054156127021,0.0144908381389651,0.061650522098172,0.0221240414574838,0.0182586090318186,0.0560407962295904,0.104350009529353,0.114279070422079,0.00103588317995655,0.0151581111398346,0.0165461625055006,0.0489712266214917,0.0167292405872509,0.00970014547200904,0.0117463927235855,0.0747533831461797,0.0321947104549682,0.0279585262068392,0.020548914489254,0.10483782740784,0.120558736061635,0.0203877645545514,0.0246079568018165,0.116145941026742,0.115215503413787,0.0599754415639901,0.118830746892596,0.0202482486544754,0.0303621660456463,0.0121815401328493,0.0199633848904078,0.084307678126116,0.0269665032948541,0.0899166831997445,0.047005000040055,0.112478767394215,0.0380479803276483,0.0398013874072488,0.0444555051443176,0.141738439651991,0.0696580958517819
"X_Moraea_sp_",-0.00487954364708879,0.344969233942743,0.725129786020635,0.0698511541622329,0.353061569266684,0.227885789136616,0.0315858856461754,1,0.203962014058762,0.11453697950035,0.194489147882758,0.443028354767799,0.508540877653847,0.090438519061949,0.33915779331334,0.497337258560794,0.106479585756689,0.0719961595807056,0.158452422858135,0.179524346721204,0.70580654750057,0.0547657076000863,0.0277792860016985,0.00132662340318362,0.661418410132059,0.272164104467069,0.559093760364819,0.643688643278967,0.622725046788531,0.569832058128159,0.0559342689146808,0.599057860048246,0.0231288197401242,0.651141913791064,0.0308894550809164,0.542740324747236,-0.0315915127516028,0.518499560865669,0.422852769918887,0.360718385511505,0.00749500518784369,0.0786199343961079,0.248078480778936,0.166644991085976,0.0191607320538827,0.0292629507058199,0.389550570094792,0.110192138630583,0.163719248336681,0.0181153694457449,0.173442661987761,0.45069481005183,0.174095942256334,-0.00261948415580608,0.354269334165275,0.505883669751311,0.43160310713712,0.569989312475077,0.0469259467759739,0.117374044029541,0.0574045301684103,0.233841660955926,0.276430904530722,0.0998750152982696,0.143532445830385,0.664722554431254,0.609706101096369,0.276905494402148,0.044526158416174,0.415082605579378,0.60979649369155,0.313269659094637
"X_Ornithopus_compressus",-0.00113432021023967,0.105601479212231,0.332337499072402,0.0623400623883597,0.12749158642675,0.117323433408863,0.035922176560393,0.203962014058762,1,0.0538342580528202,0.0939006514339419,0.159594070722527,0.298198905007215,0.046621536934189,0.215928345238854,0.197502305955176,0.0821597932608514,0.00702191299652819,0.0970951054117573,0.0689859632221512,0.297604559784964,0.0329819766102012,-0.000227326172420135,0.0241612599183702,0.320873560619244,0.146896523617521,0.302285396719549,0.326903373071482,0.305412480168697,0.308725365034085,0.0384270320703091,0.315092954619015,0.0385948593551335,0.193744766767225,0.0199215845796564,0.175322604695164,0.0992308788845651,0.267810029341111,0.223419105875507,0.0552857758467165,0.0318409079399099,0.0731628613120269,0.0828163290693316,0.156618313369757,0.0539728345114411,0.00888824423674553,0.163727099103168,0.0377219236693022,0.175217359462677,0.0415521115499242,0.185827306860644,0.246028566024352,0.0591476032081607,0.0165596032021681,0.240007844916734,0.27074436971528,0.145417757438052,0.271751408834416,0.0560704705532747,0.0894802583918871,0.0452911691374231,0.0697330683671176,0.150595100514083,0.0467666140213712,0.119058014551259,0.230626116062638,0.262229324636999,0.103295937689509,0.0777513141686384,0.128591996548602,0.317703553867924,0.12723315781045
"X_Trifolium_sp_",0.000347116698559221,0.0759327272806226,0.180522370423372,0.0373640454718729,0.0931815249127831,0.0298502368085909,0.0212739081057478,0.11453697950035,0.0538342580528202,1,0.0438448403655217,0.107937723613947,0.137480075977586,0.0340841521925818,0.109354687215538,0.124641665533776,0.0133278444649952,0.0276531958767015,0.052035652252568,0.0295758726664997,0.182705394962236,0.0334469924794195,0.0291027669548408,0.000425061874343041,0.17904145871049,0.0948478777059578,0.148419304572916,0.161128505171799,0.163111865118261,0.15417337225052,0.0206823011299621,0.173562318608342,0.0168392776927762,0.159778984438629,0.0183059332527615,0.129427920099981,0.0400147044842305,0.15399684063376,0.125076256568135,0.0471890964934581,0.0125616352327428,0.0237817007342763,0.0551049980315339,0.0409966192577866,0.0118969993255239,0.0101789478892693,0.0976626757165411,0.0263443426234513,0.0342014541830265,0.0242147085885972,0.0721984355090699,0.121483876119124,0.0333283709727799,0.00983480816675287,0.108339381102664,0.139508294306206,0.0765558504573601,0.14981363695941,0.0164571915308188,0.0343345805106394,0.0154913555523871,0.0416781214246868,0.0684493603813073,0.027842175221594,0.0670789897727242,0.116192048980347,0.171564226098964,0.0481742992184376,0.0312128446858986,0.107816760280109,0.16358453952364,0.0767895594335921
