"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-1.46903396767541","-2.70921461352046","0.431915529627434","1.11292791516219","-0.757591682460063","-0.475364373562839","-1.37932262185701","-0.401116385078482","boral","X_Aira_caryophyllea"
"2","meanGW","0.0480045394443894","-0.483519681568194","0.481550592310939","NaN","NaN","NaN","NaN","NaN","boral","X_Aira_caryophyllea"
"3","intercept","-2.46492157902288","-3.18069720260969","-0.942349560572492","0.851412955279443","-0.345411782072577","-0.17632971939099","-0.542886794790956","-0.167475865195875","boral","X_Briza_maxima"
"4","meanGW","0.370000494823837","0.080916220008094","0.745849283205363","NaN","NaN","NaN","NaN","NaN","boral","X_Briza_maxima"
"5","intercept","-1.8447288874249","-3.26713556300851","-0.319750491751522","1.03492222952289","-0.561015895927974","-0.316537571578334","-0.82171137478583","-0.302426732682023","boral","X_Ehrharta_calycina"
"6","meanGW","0.144665257049159","-0.11772288369016","0.340327507055885","NaN","NaN","NaN","NaN","NaN","boral","X_Ehrharta_calycina"
"7","intercept","-0.416336348817491","-1.03294820414817","0.70598005192654","0.645097956228798","-1.54946345199273","-0.772170550330262","-5.31834138664364","-0.768151431947012","boral","X_Hypochaeris_glabra"
"8","meanGW","-0.113525342399933","-0.259350089475075","0.13216827787866","NaN","NaN","NaN","NaN","NaN","boral","X_Hypochaeris_glabra"
"9","intercept","-2.01557548332164","-2.99306892706198","-0.710193741075828","0.789192738660619","-0.391547101654582","-0.261273682522703","-0.616449706802488","-0.20840792757039","boral","X_Poa_annua"
"10","meanGW","0.314775572535484","-0.0345130478354049","0.604717976908915","NaN","NaN","NaN","NaN","NaN","boral","X_Poa_annua"
"11","intercept","-2.45827573113928","-3.71251684924979","-1.19626629243128","0.790743594821175","-0.321665948536499","-0.142421054191368","-0.512601694593662","-0.168574207300465","boral","X_Sonchus_oleraceus"
"12","meanGW","0.411190438529562","0.035168319611383","0.670677814296516","NaN","NaN","NaN","NaN","NaN","boral","X_Sonchus_oleraceus"
"13","intercept","-1.39416766038698","-2.88952717467345","-0.31374983118282","0.907723147964447","-0.65108607361649","-0.542921188725805","-0.804106962582868","-0.344961650266736","boral","X_Ursinia_anthemoides"
"14","meanGW","0.103612975735098","-0.237998197571826","0.373555963861183","NaN","NaN","NaN","NaN","NaN","boral","X_Ursinia_anthemoides"
"15","intercept","-1.4179931542941","-2.5079384804836","-0.577051666991924","0.746464909039037","-0.526423492792277","-0.3942329861425","-0.625897238301308","-0.271326774805641","boral","Adenanthos_cygnorum"
"16","meanGW","-0.136960834006674","-0.377466357617819","0.113956499587928","NaN","NaN","NaN","NaN","NaN","boral","Adenanthos_cygnorum"
"17","intercept","0.150092211731554","-0.887016714949594","0.85151689266279","0.556167669856562","3.70550652455765","0.796095182888067","-48.9730228384449","1.87191137580438","boral","Aotus_gracillima"
"18","meanGW","-0.112919701296385","-0.316002182809415","0.060618395123975","NaN","NaN","NaN","NaN","NaN","boral","Aotus_gracillima"
"19","intercept","-0.655426761288276","-1.39696785317947","0.395636229636699","0.631765467395093","-0.963899408308145","-0.409045967210818","-1.79022018347311","-0.506283665392178","boral","Astartea_scoparia"
"20","meanGW","-0.208413303379164","-0.399976150175865","0.054762244498657","NaN","NaN","NaN","NaN","NaN","boral","Astartea_scoparia"
"21","intercept","-1.61828698047179","-2.22636010430907","-0.862869589666338","0.440105759679999","-0.271957795490446","-0.126271748989875","-0.441369095118372","-0.141964702759353","boral","Austrostipa_compressa"
"22","meanGW","-0.0443800461099102","-0.096512671233051","0.0325218260229948","NaN","NaN","NaN","NaN","NaN","boral","Austrostipa_compressa"
"23","intercept","-0.549892618529099","-1.18031817884707","0.0561359393099975","0.432474921520031","-0.786471589083798","-0.446161563460882","-1.09986982063178","-0.418790355290971","boral","Banksia_attenuata"
"24","meanGW","0.0766847139691907","-0.0969268698299098","0.290802346895192","NaN","NaN","NaN","NaN","NaN","boral","Banksia_attenuata"
"25","intercept","-1.61000616954153","-2.54645410369484","-0.748786638481902","0.625674978495222","-0.388616509881692","-0.289217398989061","-0.545534486207357","-0.210327743268795","boral","Banksia_ilicifolia"
"26","meanGW","-0.150738755661064","-0.408669642490226","0.0536272553885753","NaN","NaN","NaN","NaN","NaN","boral","Banksia_ilicifolia"
"27","intercept","-1.37981040248028","-2.14998667256416","-0.630308985480971","0.511222089854015","-0.370501692794219","-0.245422401727788","-0.546588519348945","-0.199246935326694","boral","Banksia_menziesii"
"28","meanGW","-0.0624653875064229","-0.27853799783805","0.147584749854099","NaN","NaN","NaN","NaN","NaN","boral","Banksia_menziesii"
"29","intercept","-2.44288014762785","-3.46539041097257","-0.193562471578026","1.13120802358536","-0.46306325125439","-0.138332898634569","-0.894197887870534","-0.221955795801495","boral","Baumea_articulata"
"30","meanGW","0.213079420466486","-0.271278128289684","0.797001706268524","NaN","NaN","NaN","NaN","NaN","boral","Baumea_articulata"
"31","intercept","1.53373878184091","0.729090856018506","1.99671237636964","0.421404806487236","0.274756569682247","0.103572295410122","0.465045130656968","0.137579650246062","boral","Beaufortia_elegans"
"32","meanGW","-0.0281651268755619","-0.153684472014428","0.0703342229237329","NaN","NaN","NaN","NaN","NaN","boral","Beaufortia_elegans"
"33","intercept","-1.29499687969603","-2.04669271204917","-0.565470695171351","0.475552481234646","-0.367222878055328","-0.167853804481979","-0.567047992780021","-0.192952040224287","boral","Caladenia_flava"
"34","meanGW","0.223734427086324","0.0492299346602911","0.366710887441382","NaN","NaN","NaN","NaN","NaN","boral","Caladenia_flava"
"35","intercept","-1.90935194246315","-4.5014515526346","-0.278684459217484","1.51592388901394","-0.793946812685736","-0.477002110885911","-0.883398941567143","-0.403742519023875","boral","Comesperma_virgatum"
"36","meanGW","0.327340098971663","-0.0926149330398028","1.18338505091629","NaN","NaN","NaN","NaN","NaN","boral","Comesperma_virgatum"
"37","intercept","-2.02691708595746","-2.54941011329516","-1.1890470443308","0.50885399471458","-0.251048253645862","-0.164436645604024","-0.363883551852238","-0.130913942813098","boral","Dasypogon_bromeliifolius"
"38","meanGW","-0.158879663647123","-0.329566003305312","0.114319413231816","NaN","NaN","NaN","NaN","NaN","boral","Dasypogon_bromeliifolius"
"39","intercept","-1.96503071424333","-3.75805323460016","-0.891197944864191","1.01434210419742","-0.516196564687289","-0.316540205316534","-0.616627318910798","-0.264804481657236","boral","Dielsia_stenostachya"
"40","meanGW","0.142883378257682","-0.160721624381289","0.496572211390766","NaN","NaN","NaN","NaN","NaN","boral","Dielsia_stenostachya"
"41","intercept","-1.59773148678359","-2.80847037928863","0.110542790957541","0.987654745671764","-0.618160657057602","-0.325700341073482","-1.08194644766276","-0.316499805173002","boral","Dryandra_sp_"
"42","meanGW","0.177644670306675","-0.108536745060816","0.748016829432714","NaN","NaN","NaN","NaN","NaN","boral","Dryandra_sp_"
"43","intercept","-2.7758742769337","-3.65567769416518","-1.63402398657252","0.685919067700527","-0.247100192325068","-0.138553511251893","-0.38218671479234","-0.131990807776427","boral","Hibbertia_sp_"
"44","meanGW","-0.178285287605961","-0.773943063005549","0.273072856834831","NaN","NaN","NaN","NaN","NaN","boral","Hibbertia_sp_"
"45","intercept","-0.535036346172117","-1.82541109218407","0.833513227527398","1.01387843470902","-1.89497113974172","-1.91622397621851","-2.68064325416387","-1.00880026415288","boral","Hibbertia_subvaginata"
"46","meanGW","0.0568829008019548","-0.287691366588457","0.312259795010523","NaN","NaN","NaN","NaN","NaN","boral","Hibbertia_subvaginata"
"47","intercept","-1.88354361892112","-4.22913365330639","0.0206244839775553","1.43446367009007","-0.76157709101089","-0.451662038516405","-1.0098013254327","-0.407246243788853","boral","Hypolaena_exsulca"
"48","meanGW","0.0700810428247381","-0.301931445695574","0.488100466257444","NaN","NaN","NaN","NaN","NaN","boral","Hypolaena_exsulca"
"49","intercept","-2.41397094466544","-3.75348648733452","-1.00833797863278","0.960935764421504","-0.398072630718711","-0.289422590095377","-0.576490907701717","-0.215926223208722","boral","Isolepis_cernua"
"50","meanGW","-0.380066917053092","-0.716033683553752","-0.00658736669190391","NaN","NaN","NaN","NaN","NaN","boral","Isolepis_cernua"
"51","intercept","0.34306616317509","-0.176671367921948","0.780797989478519","0.305577257449362","0.890723977617708","0.236175184449058","1.5848819158697","0.449234152103817","boral","Kunzea_glabrescens"
"52","meanGW","-0.118153755129657","-0.297853719174002","-0.00282965424091837","NaN","NaN","NaN","NaN","NaN","boral","Kunzea_glabrescens"
"53","intercept","1.36093970923563","1.14980005534686","1.77115918181523","0.227163549923589","0.166916688801133","0.117949205229907","0.21272434019725","0.08435219662246","boral","Melaleuca_preissiana"
"54","meanGW","0.077901611384761","-0.0147234449746215","0.196503098216055","NaN","NaN","NaN","NaN","NaN","boral","Melaleuca_preissiana"
"55","intercept","-1.62503147761231","-2.55040681862948","-0.316584033512015","0.750649778076503","-0.461929377010866","-0.108118431937913","-0.779152393684449","-0.233635775689588","boral","Microtis_sp_"
"56","meanGW","0.142800016092265","-0.0832421062240953","0.581687506825513","NaN","NaN","NaN","NaN","NaN","boral","Microtis_sp_"
"57","intercept","-2.74019909540166","-3.54630586755119","-1.03967039039079","0.905041849475406","-0.330283245109511","-0.184519567961458","-0.546587102979308","-0.166546178719014","boral","Patersonia_occidentalis"
"58","meanGW","0.157861450114062","-0.171385414145804","0.505913508103265","NaN","NaN","NaN","NaN","NaN","boral","Patersonia_occidentalis"
"59","intercept","-1.75488554133882","-2.51990700078136","-0.463180638598716","0.685716994320092","-0.390747418089132","-0.122856645469412","-0.689462265550488","-0.197760694845837","boral","Podotheca_gnaphalioides"
"60","meanGW","-0.178414133717998","-0.360268209146123","-0.00875888234608165","NaN","NaN","NaN","NaN","NaN","boral","Podotheca_gnaphalioides"
"61","intercept","-1.44507188468862","-2.3405217820948","-0.448299639229195","0.641965169377053","-0.444244453289176","-0.264676588764385","-0.678502441352903","-0.239665907272625","boral","Pteridium_esculentum"
"62","meanGW","0.134440351213426","-0.213287071729021","0.58730117613408","NaN","NaN","NaN","NaN","NaN","boral","Pteridium_esculentum"
"63","intercept","-1.90881511892854","-2.60264770333405","-0.514963510662189","0.689044208210494","-0.360980066313217","-0.13903627240299","-0.669642251509549","-0.173845869089367","boral","Pterostylis_sp_"
"64","meanGW","0.173105562898234","-0.164102404193848","0.774549658460722","NaN","NaN","NaN","NaN","NaN","boral","Pterostylis_sp_"
"65","intercept","0.286046164887621","-0.0734626942441578","0.70518691241318","0.288860265799848","1.00983792568354","0.913022290187265","1.23257836926715","0.54403006906082","boral","Pultenaea_reticulata"
"66","meanGW","-0.264826099209382","-0.376290048819183","-0.168790497712276","NaN","NaN","NaN","NaN","NaN","boral","Pultenaea_reticulata"
"67","intercept","-1.41642260513193","-2.710095234538","-0.191715131664502","0.802261469716711","-0.566399792554839","-0.228011924068548","-0.867865154871996","-0.29612242059514","boral","Regelia_inops"
"68","meanGW","0.257493869564782","0.0493573212845559","0.56953019422046","NaN","NaN","NaN","NaN","NaN","boral","Regelia_inops"
"69","intercept","-1.85334100798693","-3.14057726749823","-0.82886458012782","0.870721192143851","-0.469811647393275","-0.380325417192558","-0.582377265144454","-0.25295515600229","boral","Restionaceae_sp_"
"70","meanGW","0.12020918716386","-0.0605523228331358","0.329311340553627","NaN","NaN","NaN","NaN","NaN","boral","Restionaceae_sp_"
"71","intercept","-2.12639966784645","-4.02327677771278","-0.526975127437515","1.21345495871843","-0.570661751441756","-0.446752717065388","-0.768375404956791","-0.30413136610556","boral","Rhodanthe_chlorocephala_subsp__rosea"
"72","meanGW","0.229285737470155","-0.093324818091835","0.844294869525476","NaN","NaN","NaN","NaN","NaN","boral","Rhodanthe_chlorocephala_subsp__rosea"
"73","intercept","-1.34595801749861","-2.56208530841955","-0.068850940278135","0.905016778827557","-0.672395993828607","-0.56041285626641","-0.947660502749","-0.361554445062319","boral","Schoenus_sp_"
"74","meanGW","0.308268930764523","-0.223914488472268","0.956072008928496","NaN","NaN","NaN","NaN","NaN","boral","Schoenus_sp_"
"75","intercept","-1.93134866375513","-3.07667030337512","-0.921376857666253","0.71298174355842","-0.369162625546942","-0.249754984747479","-0.539086548730826","-0.193790309245303","boral","Stylidium_repens"
"76","meanGW","0.00920020741007084","-0.121139144668315","0.201005742639456","NaN","NaN","NaN","NaN","NaN","boral","Stylidium_repens"
"77","intercept","-1.89078991954834","-2.48248516894107","-1.23768180608034","0.40538699624665","-0.21440086603777","-0.106857813452045","-0.33460954070578","-0.112960940262225","boral","Thysanotus_manglesianus"
"78","meanGW","0.187593710760349","0.00180831470886697","0.390836997854594","NaN","NaN","NaN","NaN","NaN","boral","Thysanotus_manglesianus"
"79","intercept","0.643161109397325","-0.101783614934503","1.54653038763899","0.562833670949824","0.875105261692873","0.573143764444476","1.14090166783203","0.465940944762055","boral","Trachymene_pilosa"
"80","meanGW","0.233707085847628","0.0941532627990947","0.342089935239868","NaN","NaN","NaN","NaN","NaN","boral","Trachymene_pilosa"
"81","intercept","-2.69127410243565","-4.7105455898382","-1.12257886798839","1.18489999625082","-0.440274736482049","-0.249094989705684","-0.615102034559824","-0.232328369403351","boral","Xanthorrhoea_preissii"
"82","meanGW","0.0581092110508941","-0.20917301136019","0.243007088707731","NaN","NaN","NaN","NaN","NaN","boral","Xanthorrhoea_preissii"
