"","X_Aira_caryophyllea","X_Briza_maxima","X_Ehrharta_calycina","X_Hypochaeris_glabra","X_Poa_annua","X_Sonchus_oleraceus","X_Ursinia_anthemoides","Adenanthos_cygnorum","Aotus_gracillima","Astartea_scoparia","Austrostipa_compressa","Banksia_attenuata","Banksia_ilicifolia","Banksia_menziesii","Baumea_articulata","Beaufortia_elegans","Caladenia_flava","Comesperma_virgatum","Dasypogon_bromeliifolius","Dielsia_stenostachya","Dryandra_sp_","Hibbertia_sp_","Hibbertia_subvaginata","Hypolaena_exsulca","Isolepis_cernua","Kunzea_glabrescens","Melaleuca_preissiana","Microtis_sp_","Patersonia_occidentalis","Podotheca_gnaphalioides","Pteridium_esculentum","Pterostylis_sp_","Pultenaea_reticulata","Regelia_inops","Restionaceae_sp_","Rhodanthe_chlorocephala_subsp__rosea","Schoenus_sp_","Stylidium_repens","Thysanotus_manglesianus","Trachymene_pilosa","Xanthorrhoea_preissii"
"X_Aira_caryophyllea",1,-0.00160517374982242,-0.0226320052304744,-0.00637452934800905,-0.0325171646819866,-0.0918018433553003,0.00204138558391149,-0.00857696849529059,-0.020401979501197,-0.00744795739402925,-0.0182661400482558,-0.00751932148583697,0.000145092504698671,0.00190682451706191,-0.0263846578718003,-0.11208884710666,0.00234939682273287,-0.0647491421978842,-0.00568757667028265,-0.0178091808936043,-0.000550223056754173,-0.017889359679655,0.00183383953742802,-0.00283933586221447,-0.0147856018711349,0.00523756170769952,0.00489491839393066,-0.0716017815479244,-0.0206945172204363,-0.0282921084338227,-0.00197597992462599,-0.0489236929296213,-0.0824666975176376,0.000667141538662171,-0.00277151419771196,-0.00369347890050737,-0.0114809838314775,-0.00180169988227549,-0.0054829064655642,-0.0139502951107187,-0.0029353977691746
"X_Briza_maxima",-0.00160517374982242,1,-0.012489908034296,-0.00991683888151621,-0.0613176813910475,-0.0977035729877811,0.0212232672190433,-0.179394309182742,-0.0824835859820947,-0.0563531971595892,-0.0167728783091065,0.0126443418695885,0.00511803847789557,-0.0655125137648934,-0.105196616459674,-0.0572400903293622,0.0129984715643463,-0.0872508810474254,0.0174769537119919,-0.0826784901285833,-0.0100313154282691,-0.120308339973481,-0.00405471789608734,0.00343035986183584,0.000276165398943343,-0.00663552339901743,0.0212050797229986,-0.0644486511556379,-0.0454981395146958,-0.0265764352569444,-0.107297809143196,-0.064892803334713,-0.147611580112834,-0.00531681842782971,-0.00203670704209051,-0.0026591951904907,-0.0484457445595244,0.00744015180267564,0.00347614718906381,0.00985897193992059,-0.0192773992175361
"X_Ehrharta_calycina",-0.0226320052304744,-0.012489908034296,1,-0.0341445706613037,-0.0150475833710282,-0.0198923613366139,-0.0159983810615533,-0.0568027342582958,-0.0418814451016089,-0.00556929614389638,-0.0142437334124043,0.00147266341703003,0.000675567713600635,-0.0492513313996494,-0.0691237687228017,-0.030041718461195,-0.0264761636125282,-0.0251220823559625,0.0065572949585412,-0.00475078118684502,-0.00747046391861761,-0.05119953753764,-0.0153806021678896,-0.00378877186759322,0.00253270217488203,-0.0635113857723551,-0.0163913594343301,-0.0254467326099897,-0.00846616503291952,-0.0116640502014404,-0.0368076615701507,-0.0303934052763346,-0.0662841526481459,-0.0161846858154783,0.000806171147934441,-0.00653536093856274,-0.0245074211409567,-0.00524570425006415,0.00514100068585856,-0.0196913178179644,-0.00935580164810894
"X_Hypochaeris_glabra",-0.00637452934800905,-0.00991683888151621,-0.0341445706613037,1,-0.0775467314144598,-0.144236463255388,-0.0843073017683153,-0.202522163997834,-0.0955200370211266,-0.0966414169451148,-0.010465945051478,-0.114982732059262,-0.0362822006049942,-0.0631008806926987,-0.137431790755185,-0.0953087621141524,-0.0565007828236168,-0.109308061410663,-0.0552293937174262,-0.0679742662712791,-0.0266583614522154,-0.0974431246835826,-0.0937667502361556,-0.0409767104539504,-0.0352975900848954,-0.0808976697392392,-0.041717990373459,-0.0596307703023217,-0.101847914911365,-0.072616232342448,-0.123121074955122,-0.0487443723243136,-0.178263391319681,-0.0411884174103296,-0.0149043960852399,-0.0565132921250543,-0.0359235120929913,-0.00861266705902428,-0.0641798367269957,-0.0335392317230322,-0.00771633793955895
"X_Poa_annua",-0.0325171646819866,-0.0613176813910475,-0.0150475833710282,-0.0775467314144598,1,-0.0175705212183751,-0.126225123979242,-0.013301232171261,-0.0026215623571851,-0.0966459600197016,-0.0160280352736539,-0.114502509181039,-0.041058924081704,-0.0520195127180618,-0.0146572220000797,-0.0212376434405167,-0.0534915184991019,-0.0221724882213497,-0.0698587090639083,-0.0191371526757909,-0.0445820970312768,-0.0316644980809869,-0.115357955743015,-0.0606123677197172,-0.0329551273118528,-0.0633610980714897,-0.0621931871885648,-0.00985064387928087,-0.039837690476505,-0.0157744332792169,-0.0146326176415472,-0.0321430155442171,-0.0626466927427798,-0.111361892315046,-0.0427804644791294,-0.0107252472754331,-0.0161826152951373,-0.0699833010908784,-0.0908022303614599,-0.0433078818123915,-0.0223547851958803
"X_Sonchus_oleraceus",-0.0918018433553002,-0.0977035729877811,-0.0198923613366139,-0.144236463255388,-0.0175705212183751,1,-0.251801016348099,-0.0243652596440538,-0.00561250905089369,-0.222875073498956,-0.0305106396637171,-0.25356421898935,-0.051309533817588,-0.0930289036247085,-0.0217332015800817,-0.0123444116658589,-0.165810423564767,-0.0226897235317362,-0.167251792207483,-0.0417669067953512,-0.088622652053065,-0.0534160846375714,-0.193737696972019,-0.0673145223841635,-0.0316244730072558,-0.167883171310701,-0.168282379693167,-0.0201167374159949,-0.0472302889332319,-0.0374591745700248,-0.0307588905057737,-0.0248053783278194,-0.00740381852803687,-0.216863185238734,-0.0655175310596045,-0.0261709015711101,-0.0181428235922436,-0.118322456329945,-0.20866681611323,-0.0560465111737139,-0.0454669935758228
"X_Ursinia_anthemoides",0.00204138558391149,0.0212232672190433,-0.0159983810615533,-0.0843073017683153,-0.126225123979242,-0.251801016348099,1,-0.278298599548393,-0.149224025080539,-0.0223932683042377,-0.00428698371886456,-0.00482925057360386,0.00284507513999113,-0.128350945191706,-0.234067417748655,-0.114906401869343,0.00445572513496169,-0.160489333060748,-0.00728707337167391,-0.0305505389675119,-0.039700864567675,-0.266791110640251,0.00367690023073122,-0.00426337130484446,-0.00475138210342816,0.0507542695771588,0.0446608529140637,-0.110948557477037,-0.17051537733677,-0.128602256067297,-0.167392829881975,-0.127445575709536,-0.255868778592975,0.0239583611530103,-0.0022085033912197,-0.0347893775962094,-0.0674020097811888,0.0148089194226628,-0.00336648735663098,0.021123961197969,-0.0173101411327553
"Adenanthos_cygnorum",-0.00857696849529059,-0.179394309182742,-0.0568027342582958,-0.202522163997834,-0.013301232171261,-0.0243652596440538,-0.278298599548393,1,-0.0133109403475521,-0.263185203126499,-0.0134745548260577,-0.29545583959779,-0.122117480629996,-0.0310885736038828,-0.00727379090466662,-0.0978155880747655,-0.0364137678407529,-0.0108155502251787,-0.17955173563061,-0.0519154850621486,-0.019971714391855,-0.00218625329261069,-0.337416649122395,-0.165809328925495,-0.110278858371833,-0.160175689366688,-0.175249425686001,-0.0283875615428,-0.121393145098351,-0.0957740132414253,-0.0106222028178183,-0.0482970017702192,-0.0455711717688251,-0.300217359682048,-0.0868677134724951,-0.0308266667835913,-0.00661182107027565,-0.14968586022692,-0.243282808873712,-0.138564474080819,-0.0473563453631947
"Aotus_gracillima",-0.020401979501197,-0.0824835859820947,-0.0418814451016089,-0.0955200370211266,-0.0026215623571851,-0.00561250905089369,-0.149224025080539,-0.0133109403475521,1,-0.119920418032699,-0.0140732894667295,-0.141743940083082,-0.0804915162685671,-0.0441681439895945,-0.00493613798000903,-0.078708521464876,-0.0569909733177842,-0.0159236912659187,-0.107413767885918,-0.0578515390278522,-0.0254278176953324,-0.0283977144985096,-0.17648929698606,-0.100925747440585,-0.0934062300294405,-0.0622378099843842,-0.0970543931525512,-0.0170442255834046,-0.103763961331994,-0.0328098018742541,-0.0191339607822321,-0.0295894114414546,-0.0416077764395025,-0.132916698702451,-0.0360593686243538,-0.0225964736372452,-0.00798388848354832,-0.0764010291889507,-0.151031409502246,-0.0750879238573497,-0.0233043818966857
"Astartea_scoparia",-0.00744795739402925,-0.0563531971595892,-0.00556929614389638,-0.0966414169451148,-0.0966459600197016,-0.222875073498956,-0.0223932683042377,-0.263185203126499,-0.119920418032699,1,-0.0210814619801543,-0.0135493500696898,-0.0227395132625785,-0.0636657385978381,-0.163092867128581,-0.105251394535165,-0.0175520046168471,-0.150166205474731,-0.0279132464975579,-0.00886606656231065,-0.0261823840709427,-0.1823968751717,-0.00747064308688648,-0.0254795958579163,-0.0339770230825091,-0.0819741454311672,-0.0455852171061736,-0.127977429584057,-0.198586450526496,-0.136199119685393,-0.162966991674775,-0.0976464962878784,-0.241485202810631,-0.0205183002430282,-0.0261091747380303,-0.0461203826962474,-0.0487726378317149,-0.0264682733284478,-0.0162597463679025,-0.0314150983772855,0.00482150320276147
