"","X_Aira_caryophyllea","X_Briza_maxima","X_Ehrharta_calycina","X_Hypochaeris_glabra","X_Poa_annua","X_Sonchus_oleraceus","X_Ursinia_anthemoides","Adenanthos_cygnorum","Aotus_gracillima","Astartea_scoparia","Austrostipa_compressa","Banksia_attenuata","Banksia_ilicifolia","Banksia_menziesii","Baumea_articulata","Beaufortia_elegans","Caladenia_flava","Comesperma_virgatum","Dasypogon_bromeliifolius","Dielsia_stenostachya","Dryandra_sp_","Hibbertia_sp_","Hibbertia_subvaginata","Hypolaena_exsulca","Isolepis_cernua","Kunzea_glabrescens","Melaleuca_preissiana","Microtis_sp_","Patersonia_occidentalis","Podotheca_gnaphalioides","Pteridium_esculentum","Pterostylis_sp_","Pultenaea_reticulata","Regelia_inops","Restionaceae_sp_","Rhodanthe_chlorocephala_subsp__rosea","Schoenus_sp_","Stylidium_repens","Thysanotus_manglesianus","Trachymene_pilosa","Xanthorrhoea_preissii"
"X_Aira_caryophyllea",0,0.082601368729051,0.0713566694069012,0.122603457653977,0.0591206889499943,0.0679598792424984,0.12251684013664,0.133314320359793,0.128846527001903,0.101188080206063,0.0814602578940417,0.145890998698367,0.109968966584711,0.146132983175633,0.102866214398815,0.103484706804667,0.0500284575883217,0.0693566749817615,0.143748949772018,0.0569129514978393,0.0554517508570095,0.129076402494153,0.121252236175767,0.0557453555846386,0.104548739872113,0.0983319763178838,0.113528370138613,0.0658602876518986,0.0775718230038358,0.0870904066372234,0.0973051716564146,0.0853378711086294,0.0966523116337364,0.123427883958939,0.107267077229381,0.070025947630367,0.0633138470524069,0.114323851312331,0.118435606176427,0.109416495602716,0.0790193670065878
"X_Briza_maxima",0.082601368729051,0,0.0976251326904102,0.194500720469772,0.0733402442441223,0.0974992680946514,0.166197528986015,0.192638067897281,0.198954910100899,0.151367366988066,0.115323448782,0.223715850598343,0.14582356590048,0.216961433582947,0.161770274858237,0.143307489654963,0.0704729829676071,0.0996399438695208,0.237912060271937,0.088094916182189,0.0793020831431236,0.187874049834639,0.164556993561903,0.0798271065159963,0.135548912043359,0.149983427991963,0.17673918148762,0.105014711512121,0.120392298402341,0.140440313022038,0.14011960378155,0.0973290844096626,0.136840831829864,0.184645416684108,0.167816866074651,0.0863963273884955,0.103283828349263,0.189403343207366,0.159104796932176,0.159604335177302,0.121210175061465
"X_Ehrharta_calycina",0.0713566694069012,0.0976251326904102,0,0.145975356568572,0.0801145660950303,0.0951336992075453,0.164686581267682,0.187282130704914,0.147924155936657,0.141332892186272,0.153584619238401,0.157975263528053,0.16157382011043,0.211356114823293,0.143363111528701,0.134379091746412,0.0699122878021381,0.101055957250232,0.18113193552498,0.0708833337564055,0.0700022386082719,0.176598510114299,0.149993766963833,0.0743390170223858,0.173943809540697,0.126318226319304,0.148280711398825,0.0961004024973512,0.0947950451431287,0.142964449384231,0.136441086800559,0.102895357337226,0.130269527662161,0.14206775882372,0.127496570035573,0.0840068471662964,0.0855853195728692,0.128984185062084,0.132349157060729,0.134324754084899,0.0904119604691989
"X_Hypochaeris_glabra",0.122603457653977,0.194500720469772,0.145975356568572,0,0.137482126269275,0.164163857963685,0.289597221758199,0.243161123859126,0.155368462049899,0.21007059948435,0.164485474911292,0.187585856660412,0.219968273542322,0.250768759612637,0.21687007545123,0.183391303462933,0.120014128210906,0.156884147339475,0.17738572344839,0.150320246953254,0.127830281145082,0.243304556110328,0.267764677456156,0.138642988005889,0.198746672458044,0.175820177138776,0.161424282818271,0.156897546188714,0.185228609647103,0.19267038325987,0.176925046406754,0.169520355397564,0.192462040785992,0.222718567245654,0.225019500818759,0.159996323719051,0.15818192775616,0.232963150188169,0.268757966444256,0.175748338924608,0.186711724262888
"X_Poa_annua",0.0591206889499943,0.0733402442441223,0.0801145660950303,0.137482126269275,0,0.0758281073767651,0.13167257599097,0.161251279656209,0.146055432497902,0.11860523815954,0.0942784074240709,0.159853912574822,0.123509647804821,0.167757114364468,0.108237503710599,0.123133889574539,0.0684770418510055,0.0855252038579001,0.165591783251988,0.0621150378886595,0.0615875999130512,0.147290816694251,0.119453968255844,0.0568941782462719,0.115971345712718,0.106971046626237,0.133862112649139,0.0695742868480587,0.0838415046709474,0.113950053798794,0.0955947533073284,0.0809197650505502,0.109904246166383,0.124804064743777,0.111345808325904,0.0751613937580178,0.0656650481813428,0.121646022480543,0.119285303067786,0.125102062492638,0.0852525150320835
"X_Sonchus_oleraceus",0.0679598792424984,0.0974992680946514,0.0951336992075453,0.164163857963685,0.0758281073767651,0,0.14438822865141,0.154379617113065,0.174368928639379,0.124429490278456,0.0910374711950146,0.183094725035956,0.12848726300064,0.177641094616597,0.135381264294992,0.145245165280848,0.0705844435712343,0.101997952910077,0.185812881742928,0.0758833126188083,0.0639877219658079,0.152731566381969,0.129660881691534,0.0688428661653342,0.115813102766821,0.127000068433444,0.139440798984723,0.110810391005094,0.0979849710939391,0.133833031556209,0.111280592624895,0.0883795488290811,0.123055382005824,0.155693595434415,0.142091056269744,0.0892539475031599,0.0918250650347723,0.142495027739011,0.134920673977393,0.148226671237585,0.100360793416352
"X_Ursinia_anthemoides",0.12251684013664,0.166197528986015,0.164686581267682,0.289597221758199,0.13167257599097,0.14438822865141,0,0.297100829687631,0.302528083372085,0.230531643126815,0.207100801975934,0.340512189667009,0.23885991322565,0.326533438076966,0.238085465789122,0.223624906415944,0.121544000196975,0.168575099322681,0.344657065278782,0.136374237082309,0.122957146367784,0.28396309055371,0.247037288374277,0.118504905740367,0.235925695787994,0.228582492493665,0.266671443767673,0.150805750110887,0.179620114553842,0.210689242397522,0.220326718446849,0.167708232975468,0.208474276042234,0.269040062906057,0.249560837424783,0.152923243991566,0.147650753097745,0.261264428629934,0.25742508965383,0.252866879587349,0.184802176147548
"Adenanthos_cygnorum",0.133314320359793,0.192638067897281,0.187282130704914,0.243161123859126,0.161251279656209,0.154379617113065,0.297100829687631,0,0.225199462996939,0.21892676087179,0.207109305127781,0.270210919134868,0.253653103293961,0.266686170628924,0.235964504103357,0.178377128002734,0.13580017372171,0.168827532523549,0.260375741089912,0.14800044298777,0.142184420515399,0.274640425034622,0.279972520628497,0.14122803657161,0.240922771060829,0.196644506189649,0.20116095142127,0.148246241342542,0.192117678660338,0.208799496434483,0.227774570418156,0.192527898200585,0.178658094848534,0.258207155694612,0.2380010335463,0.173631225378994,0.126211372430436,0.25141586941312,0.285731644044397,0.226080474113448,0.188892439970074
"Aotus_gracillima",0.128846527001903,0.198954910100899,0.147924155936657,0.155368462049899,0.146055432497902,0.174368928639379,0.302528083372085,0.225199462996939,0,0.20787721646439,0.165296566119147,0.152490699264817,0.223863129908512,0.240228902560517,0.228874184725437,0.189208969578035,0.129455433841099,0.172617290940576,0.156785491953701,0.159960469379712,0.13094008973519,0.233693924588899,0.277956309070976,0.143152695637453,0.201667992947255,0.183886707433603,0.157179267875547,0.166905525029807,0.194401765526722,0.203514166071776,0.170913997511535,0.174807140625164,0.198298145823797,0.218377863630652,0.222576108655954,0.164154769478765,0.17870915501894,0.232384855758265,0.26550873591077,0.183832463708734,0.202083434034493
"Astartea_scoparia",0.101188080206063,0.151367366988066,0.141332892186272,0.21007059948435,0.11860523815954,0.124429490278456,0.230531643126815,0.21892676087179,0.20787721646439,0,0.158811803767586,0.252139059495837,0.198559538410899,0.219213642594078,0.177918960605242,0.16727612700498,0.105422995906693,0.124679023662813,0.242430977154988,0.118157494951132,0.0993040063332746,0.212831767833029,0.215196459835001,0.108893265053852,0.186704806271706,0.154466715464636,0.174754629250028,0.12765352309809,0.149805871094403,0.180594074533634,0.165631177953057,0.140862514024523,0.155332413447554,0.225256116869846,0.212629949586722,0.127552656021911,0.105774090079662,0.222193668754144,0.227926461830941,0.189224785243343,0.148965978991946
