"","X_Aira_caryophyllea","X_Briza_maxima","X_Ehrharta_calycina","X_Hypochaeris_glabra","X_Poa_annua","X_Sonchus_oleraceus","X_Ursinia_anthemoides","Adenanthos_cygnorum","Aotus_gracillima","Astartea_scoparia","Austrostipa_compressa","Banksia_attenuata","Banksia_ilicifolia","Banksia_menziesii","Baumea_articulata","Beaufortia_elegans","Caladenia_flava","Comesperma_virgatum","Dasypogon_bromeliifolius","Dielsia_stenostachya","Dryandra_sp_","Hibbertia_sp_","Hibbertia_subvaginata","Hypolaena_exsulca","Isolepis_cernua","Kunzea_glabrescens","Melaleuca_preissiana","Microtis_sp_","Patersonia_occidentalis","Podotheca_gnaphalioides","Pteridium_esculentum","Pterostylis_sp_","Pultenaea_reticulata","Regelia_inops","Restionaceae_sp_","Rhodanthe_chlorocephala_subsp__rosea","Schoenus_sp_","Stylidium_repens","Thysanotus_manglesianus","Trachymene_pilosa","Xanthorrhoea_preissii"
"X_Aira_caryophyllea",1,0.0740476118373656,0.00150894444875617,0.0837401998161905,0.00611049780680548,0.00467154662888671,0.122696963449767,0.0254729243292289,0.0422474031571908,0.153031366449064,0.0515950359525655,0.184374119387263,0.121823696380918,0.192881875652551,0.0117287740533745,0.0177898106372649,0.220498374042238,-0.00102487259542533,0.151259298095696,0.0495899567899541,0.182248102589276,0.107795853631469,0.150889611637397,0.0539474917992377,0.00318211157592707,0.128564205973659,0.140897395264836,0.00204613266069107,0.0679692535114171,-0.000504044626654383,0.0523282669952123,0.00492386647184689,0.00651347419173692,0.174010142431278,0.0216373631582024,0.0118301018905836,0.0317158867294815,0.173648392345414,0.149428092755643,0.0243023017070196,0.0681144362898477
"X_Briza_maxima",0.0740476118373656,1,0.0872536246337484,0.293779022357956,0.0443648251701931,0.0388634299771352,0.386224550491828,0.00787927104705137,0.0569126928584186,0.387471088676836,0.0328881560834444,0.444838688910678,0.213920171541739,0.13213738118783,-0.00302248763887127,0.0428643011572875,0.171763077719163,-0.0125461991880906,0.297307036251589,0.0804419715651811,0.118952771638756,0.075240426461402,0.401069235825192,0.0994500108236238,0.152522722642653,0.251096134593243,0.302264254940028,0.00363796350972505,0.111119508756856,0.162853687952018,0.0270107615494052,0.0139224813506492,0.0365623490460284,0.448746553769065,0.0692204496293405,0.0724522518644423,0.00520002436666336,0.236139215944982,0.380891514171108,0.153782173459466,0.0815245368772647
"X_Ehrharta_calycina",0.00150894444875617,0.0872536246337484,1,0.151294223651704,0.0156530541972153,0.0280187159250137,0.251758159116389,0.00678736921747011,0.0134117029188904,0.148668720796983,0.00708136663207521,0.197812599913367,0.142518437066516,0.039527584602231,-0.00149131596106569,0.0418854305612407,0.0944042761131966,0.00268976390334275,0.114591793491827,0.0443496276306436,0.0214138740308594,0.0229198898372089,0.186682644445285,0.050337876458215,0.205456989084277,0.0387628237834509,0.0648541619744651,0.00288417992311634,0.0745540421800128,0.110708811227243,0.000242741800667913,0.0117827460206977,0.0150504535408777,0.241678977361674,0.0407660924200431,0.0100727503151891,-0.0029359805104446,0.118438925271814,0.205469932935613,0.0482526862616224,0.0509924125482386
"X_Hypochaeris_glabra",0.0837401998161905,0.293779022357956,0.151294223651704,1,0.0161926095206452,0.0483367827663353,0.512463128847295,0.00593667658680096,0.0617963426249896,0.451932432879834,0.0352492889047789,0.547346654945747,0.283762882797958,0.147929630085811,0.0295306746659584,0.063530942769701,0.224092233848488,0.0319251375575772,0.366472443956273,0.0974193671688835,0.11176296273605,0.0680957959513268,0.475404897916842,0.109043010598176,0.351768553986755,0.375995937049765,0.358753993063111,0.00396713208065744,0.150706449132744,0.0556950019820092,0.0512372510955687,0.0549459144082898,0.0476703318031786,0.574250027485362,0.0894731727224719,0.0418033368241959,0.0150355487832943,0.28620864227155,0.492713497567195,0.171945348133091,0.0537529498138581
"X_Poa_annua",0.00611049780680548,0.0443648251701931,0.0156530541972153,0.0161926095206452,1,0.024959882439067,0.0489069095824143,0.0764447844693529,0.0336286475756582,0.0460454994763653,0.00714888429603155,0.0570637989598997,0.0193764686804653,0.0463006215147203,0.0568220763323832,0.0167622854267309,0.0317468775686247,0.0242433066331956,0.0477845123133544,0.00317156354556297,0.0265667798920906,0.0538106339932535,0.0435437632480826,0.0309606455850738,0.0404649644217229,0.0633496055035811,0.0370842305172851,0.0205499017957802,0.0149712921886875,0.0361955073127209,0.0356121763328016,0.0142660415044888,0.0333464965981305,0.0238868830460111,0.0291556857730945,0.0406922907504091,0.0102727209141057,0.01543770301839,0.0356521743450272,0.029424190810841,0.0163172925910392
"X_Sonchus_oleraceus",0.00467154662888671,0.0388634299771352,0.0280187159250137,0.0483367827663353,0.024959882439067,1,0.0688599737516846,0.0406787532642223,0.0216829969759237,0.0417181311878123,0.0106218093798928,0.048792798697942,0.0847341863897432,0.0317618895059205,0.0380547457685637,0.0474775383558397,0.0228055556710142,0.0531394818089109,0.0496201618384449,0.0156681326341011,0.00364155887660416,0.0508085990170155,0.0604771621000054,0.0157558583905655,0.0609076443871659,0.0625664176654237,0.0895360215992517,0.0330084788895188,0.0753259236130536,0.050045201500772,0.0269046111241766,0.0317056006624547,0.091316752472952,0.0115517684272848,0.0173688410899929,0.0633454384944904,0.0191983318651639,0.0281485675024271,0.0319830251534771,0.0441536351939461,0.0124287713056506
"X_Ursinia_anthemoides",0.122696963449767,0.386224550491828,0.251758159116389,0.512463128847295,0.0489069095824143,0.0688599737516845,1,0.00591449954268558,0.0229369424538595,0.682868509035312,0.0768949013262347,0.798765458552293,0.427668087059265,0.144250595019347,0.014157854274621,0.087636718960253,0.454052717026128,-0.00738132032076059,0.505423463466718,0.145347607115807,0.154894774737754,0.0781332276341072,0.703131819671063,0.308950385949457,0.571498160784232,0.490133998439732,0.483414771136664,0.0163708984722602,0.229697513552063,0.0463410089209507,0.0183779941026877,0.0160655225771096,0.0526107083463775,0.805646747199613,0.244061469907477,0.0540399694393546,0.0227375610841405,0.446629460696099,0.687952990537817,0.241658143957937,0.128600078530095
"Adenanthos_cygnorum",0.0254729243292289,0.00787927104705137,0.00678736921747011,0.00593667658680096,0.0764447844693529,0.0406787532642223,0.00591449954268558,1,0.120727586572585,0.0141771939877023,0.0119612911531998,0.00470140822381348,0.0118967046255386,0.165076561775588,0.186122035493322,0.0273491800673127,0.0344790429055521,0.0626202256299879,0.0107223887537449,0.0124685978630692,0.060325946514006,0.14970940784544,0.0114776695470528,0.000967498600406184,0.00552220569065291,0.0831180682559387,0.0917750763047331,0.0250935464153636,0.0096586030748721,0.0250150334695059,0.113425505300944,0.027884082751779,0.0830652491894629,0.00707070036021975,0.00279170875323165,0.0170133160756666,0.0268380465882833,-0.00140296637664712,0.00525340824174083,0.0142828249439128,0.00421428666436392
"Aotus_gracillima",0.0422474031571908,0.0569126928584186,0.0134117029188904,0.0617963426249896,0.0336286475756582,0.0216829969759237,0.0229369424538595,0.120727586572585,1,0.0428836751676572,0.00848438223758778,0.0392435271945911,0.0569612004746597,0.0848566237358015,0.106055837815525,0.0150447171871387,0.0522572369304116,0.036507961434965,0.022757522050965,0.0292032382607665,0.0310581480418059,0.0751228358733308,0.0239967142570053,0.010489964814804,0.00892358485871884,0.0908927173655318,0.0915626336086605,0.0295829189090988,0.0236527076601581,0.0286303259151538,0.0669555258794148,0.0247686039406647,0.0629181424908568,0.0165613145567204,0.0143404558738487,0.0272137428844603,0.025944986362508,0.0308346478489208,0.0233523837908404,0.0590935682323798,0.0145820994673591
"Astartea_scoparia",0.153031366449064,0.387471088676836,0.148668720796983,0.451932432879834,0.0460454994763653,0.0417181311878123,0.682868509035312,0.0141771939877023,0.0428836751676572,1,0.0785833132469957,0.730244370349296,0.384523072193124,0.268789531683316,0.000950271989659106,0.0552447943974943,0.437998089565161,0.0150868002237315,0.477582712738456,0.140110682252047,0.24396431276756,0.154108739954676,0.62623653684043,0.21323102624753,0.320604317187678,0.447323702645271,0.447161856452645,0.0214440020237174,0.202341578027028,0.200101803266989,0.0224382297845393,0.0215786196548475,0.0711201759297073,0.719693198731536,0.174920422867193,0.052169267305544,0.0240472961139984,0.417654827307994,0.608936354926956,0.224017829861064,0.120244677391236
"Austrostipa_compressa",0.0515950359525655,0.0328881560834444,0.00708136663207521,0.0352492889047788,0.00714888429603155,0.0106218093798928,0.0768949013262347,0.0119612911531998,0.00848438223758778,0.0785833132469957,1,0.0957612540051264,0.0619637419253787,0.0841594835445582,0.0184528472335865,0.0205309432579329,0.0919187964537779,0.00246703544802381,0.0644891876004384,0.0244300134455986,0.069108848821222,0.048822313876817,0.0880385796837747,0.0260107167281826,0.0117950899315512,0.0541605677386225,0.0366847996951089,0.00311660691818877,0.0279472140366528,0.00169787481611851,0.0198592144334872,0.00928838392452807,0.0263062815713132,0.0731143400634067,0.0232435349749437,0.00361553141366329,0.010768137657527,0.0818980859323325,0.053939883165133,0.0308052665604169,0.0271230054875889
"Banksia_attenuata",0.184374119387263,0.444838688910678,0.197812599913367,0.547346654945747,0.0570637989598997,0.048792798697942,0.798765458552293,0.00470140822381348,0.0392435271945911,0.730244370349296,0.0957612540051264,1,0.513130398009439,0.341195343650515,0.0106059694436642,0.0675184174059477,0.538520629673916,0.00669350729265878,0.578426295947409,0.184123717398942,0.303338169969339,0.192084459358916,0.747143511650703,0.263946000018155,0.460764655061239,0.524014135811458,0.526185004225673,0.0189297530107062,0.269237386701795,0.13375140228357,0.0208008387351675,0.010139586335991,0.0369631884609935,0.878546460921451,0.212254480812729,0.0667295242688056,0.0168424037235815,0.544322868205768,0.742146465580951,0.26709728878682,0.123759782656935
