"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-1.81575141519454","-3.31284373649153","0.211307040143871","1.28431726159741","-0.707319983809462","-0.511177613504737","-1.13625957764272","-0.378033052828873","boral","X_Asteraceae_A"
"2","meanGW","-8.51760641997536","-16.0874593539071","0.0943499325810323","NaN","NaN","NaN","NaN","NaN","boral","X_Asteraceae_A"
"3","intercept","-0.168061411173433","-0.842459272035251","0.445339336510441","0.421859606720328","-2.51015152005944","-1.32980201309983","-3.24284553190162","-1.29866795087647","boral","X_Briza_maxima"
"4","meanGW","-10.8306304700069","-16.5855863147279","-3.83823755203622","NaN","NaN","NaN","NaN","NaN","boral","X_Briza_maxima"
"5","intercept","-0.0587655181996047","-1.20002445312044","0.88582048876496","0.68976037974689","-11.7375018697875","-3.70062504669487","-6.63850612503894","-6.04431925674722","boral","X_Bromus_diandrus"
"6","meanGW","-9.3134516946274","-12.1915634334945","-4.16147705768141","NaN","NaN","NaN","NaN","NaN","boral","X_Bromus_diandrus"
"7","intercept","-0.721151839747375","-2.2661039449464","1.47695970790926","1.21116360874842","-1.67948487682248","-0.774854907291827","-4.74319329367349","-0.87177515847929","boral","X_Conyza_albida"
"8","meanGW","-6.67095095558645","-12.4244537932986","-2.64827233982504","NaN","NaN","NaN","NaN","NaN","boral","X_Conyza_albida"
"9","intercept","-1.17567272087255","-1.96719324622085","-0.0457429248857716","0.639781625616163","-0.544183440048977","-0.288017329724327","-0.954551042857336","-0.286726517475802","boral","X_Conyza_bonariensis"
"10","meanGW","-3.56204742118188","-9.89326684668528","3.31042742526469","NaN","NaN","NaN","NaN","NaN","boral","X_Conyza_bonariensis"
"11","intercept","0.452829198050541","-0.223892053323512","0.787315930739941","0.36477274911288","0.8055415831913","0.515677513321384","1.79475528921552","0.405965043897451","boral","X_Cynodon_dactylon"
"12","meanGW","-0.940962091863583","-1.76480667479195","-0.321459659894143","NaN","NaN","NaN","NaN","NaN","boral","X_Cynodon_dactylon"
"13","intercept","0.587151933682863","0.294807295299662","0.92387725914744","0.245837608949591","0.418695051223956","0.33736843792315","0.516187689055579","0.219991124789313","boral","X_Cyperus_tenuiflorus"
