"","X_Aster_subulatus","X_Asteraceae_A__prickly_","X_Briza_maxima","X_Bromus_diandrus","X_Conyza_albida","X_Conyza_bonariensis","X_Cynodon_dactylon","X_Cyperus_tenuiflorus","X_Ehrharta_calycina","X_Fumaria_capreolata","X_Hypochaeris_glabra","X_Isolepis_prolifera","X_Lactuca_serriola","X_Lotus_subbiflorus","X_Lysimachia_arvensis","X_Moraea_flaccida","X_Pelargonium_capitatum","X_Pennisetum_clandestinum","X_Phyla_nodiflora","X_Rumex_crispus","X_Schinus_molle","X_Setaria_palmifolia","X_Solanum_nigrum","X_Sonchus_oleraceus","X_Sparaxis_bulbifera","X_Stachys_arvensis","X_Typha_orientalis","X_Vicia_sativa","X_Zantedeschia_aethiopica","Acacia_saligna","Agrostis_avenacea","Baumea_articulata","Centella_asiatica","Eucalyptus_rudis","Juncus_pallidus","Lepidosperma_gladiatum","Melaleuca_rhaphiophylla","Microtis_media","Persicaria_sp_"
"X_Aster_subulatus",1,-0.0562576352124792,-0.208298337345257,-0.0561231380205163,-0.076398016449626,-0.0639314015478341,-0.0727480472321491,-0.185217252488373,-0.235184565985922,-0.251005493902984,-0.148380188992017,-0.0724742104261583,-0.0590085822752184,-0.0404191246532666,-0.0523218613792315,-0.0382819200282329,-0.208015484747809,-0.0728081913185303,-0.0538577767705214,-0.107332762273649,-0.100638275771048,-0.139367949124908,-0.140562209942456,-0.173251966905969,-0.127126818055675,-0.281191010093439,-0.160767489748965,-0.223322717391424,-0.0597655633201129,-0.147608637612338,-0.0780689124307118,-0.366924985588105,-0.0823998394287375,-0.199998598410952,-0.183863859478967,-0.342228658504759,-0.119658121660966,-0.26281369219878,-0.0835797215448106
"X_Asteraceae_A__prickly_",-0.0562576352124792,1,0.0152249228504654,-0.0279731287044583,-0.00744809121150738,-0.00607287238564508,-0.0392063236733498,0.0108742370223036,-0.126541404540803,-0.0410851863497078,-0.00582509333898121,-0.0492329555957355,-0.0378855370577256,-0.0191820258847575,-0.0346551062418651,-0.0746589543390586,0.0117749135625667,-0.0230833121868201,-0.0832705135047619,-0.0378719040092853,-0.113488142586627,-0.194194829380615,-0.0042857198668221,0.00942645097677063,-0.0608545168804737,-0.415198079165879,-0.244070022755831,-0.00969742089165971,-0.159153712717648,0.00372991769677813,-0.0501802614673701,-0.560191427681255,-0.0619875851120728,-0.147585300404642,0.000263826620530377,-0.579036802039319,-0.107057882301028,-0.0959795828110773,-0.212033654807753
"X_Briza_maxima",-0.208298337345257,0.0152249228504654,1,-0.0683196383621181,0.0104168436375032,-0.000449281445507639,-0.0694197211958835,0.599174310473566,-0.0428613653083218,0.239629263575029,0.415355350663451,-0.14061983776266,-0.0609100751269438,-0.0258783133283423,-0.0441379448420746,-0.187696851023365,0.724140690286557,-0.0193319542204204,-0.183074179961577,0.160632812031684,-0.367952484844027,-0.607645031851373,0.189539582709839,0.410104638669269,-0.0387750981079229,-0.824270913844691,-0.72189400755987,0.541710106128199,-0.451108834736214,0.357149084825442,-0.0479240831993096,-0.919434862462484,-0.154348956402667,-0.177728761384324,0.315326295601405,-0.930463274241945,-0.172371716350556,0.222834105183992,-0.698316112919033
"X_Bromus_diandrus",-0.0561231380205163,-0.0279731287044583,-0.0683196383621181,1,-0.0190863995150259,-0.0340777623070815,-0.0446439458867551,-0.0726046415059374,-0.141123364322778,-0.113673277777703,-0.0674715035255888,-0.099505468139895,-0.0702511192973678,-0.0514812751220884,-0.0926841204448909,-0.0708174767945114,-0.0712265131438754,-0.0306008052943872,-0.13850614668897,-0.105227743698402,-0.0955125217774504,-0.137606999977102,-0.0721631492932984,-0.0692969332423826,-0.0623922675121967,-0.274056055320804,-0.184952101463713,-0.088024364526012,-0.192284354991893,-0.0643930051763858,-0.122663005808096,-0.411234380043079,-0.0627636854164593,-0.129254414933302,-0.0615332595572883,-0.38264799019459,-0.091943763967001,-0.143372304351184,-0.194564790890192
"X_Conyza_albida",-0.076398016449626,-0.00744809121150738,0.0104168436375032,-0.0190863995150259,1,-0.00393205904295723,-0.059004143439416,0.00409927122591899,-0.156334633753661,-0.0693938474438397,0.00503622553792685,-0.0671920147455657,-0.0312991383960673,-0.0248001057584332,-0.0318479551142819,-0.0710240257678667,0.0069898636577908,-0.0261492122647185,-0.0807848964781619,-0.0228446608582798,-0.166934469179735,-0.215390393523628,0.00593768685878868,0.0108416908338908,-0.0832183409479247,-0.544488476459947,-0.323638183552535,-0.0333889273811294,-0.183220426195384,0.00856764278688939,-0.0569990330513223,-0.654811415992328,-0.097785537743803,-0.200814371851659,-0.00349852842040549,-0.629049024273835,-0.1568061329189,-0.121850218419227,-0.251874325024066
"X_Conyza_bonariensis",-0.0639314015478341,-0.00607287238564508,-0.000449281445507639,-0.0340777623070815,-0.00393205904295723,1,-0.0457236980848747,0.00292352482631052,-0.149168396613574,-0.0768101429083173,0.0226283157470386,-0.0274352501102623,-0.00954219567148863,-0.00565308422572817,-0.00933575242097994,-0.0783621640063053,0.00322104079556852,-0.031903563249733,-0.034556018830415,0.0157276929307179,-0.153907795106526,-0.219305286760098,0.0124250534035984,0.0251221882147259,-0.0780201882263245,-0.560933661577227,-0.307582839928641,-0.0426779900647555,-0.120910841868777,0.0179677861650549,-0.00551794700523385,-0.715710664791818,-0.0983641296747409,-0.208028618809213,-0.00281828562271529,-0.669679791018321,-0.159594921384698,-0.113772584858952,-0.227692589325487
"X_Cynodon_dactylon",-0.0727480472321491,-0.0392063236733498,-0.0694197211958835,-0.0446439458867551,-0.059004143439416,-0.0457236980848747,1,-0.0696296112443292,-0.0227774387858487,-0.0407552226217394,-0.132944837067525,-0.146777163797574,-0.126942237932228,-0.0880599841959395,-0.140869978712307,-0.0926309856507914,-0.0666784915966902,-0.0213302625767301,-0.17003272863976,-0.161126205199643,-0.0684514623462152,-0.190662536505618,-0.115136185022876,-0.125696575896436,-0.0236110545415076,-0.107366854358881,-0.148507234674594,-0.0340619058752224,-0.230995527209147,-0.0975281233154543,-0.171912902301562,-0.201816668908515,-0.0148835665708094,-0.00980605902668161,-0.0694874399367666,-0.186538127921467,-0.0100166782684997,-0.0208535608751128,-0.257767322866049
"X_Cyperus_tenuiflorus",-0.185217252488373,0.0108742370223036,0.599174310473566,-0.0726046415059374,0.00409927122591899,0.00292352482631052,-0.0696296112443292,1,-0.0864142186130537,0.114419416212765,0.378644095437505,-0.0938656932704812,-0.0511082713783974,-0.0161950502799503,-0.0361109257707808,-0.168309441730986,0.596754379829142,-0.0206661707302523,-0.114570607383378,0.209448029806645,-0.334351070804146,-0.53261296075357,0.175737740362887,0.398073967359108,-0.0607033054673374,-0.741743087474554,-0.592222876346198,0.393405533740983,-0.339643295049951,0.328591246537159,-0.00405679646662638,-0.839012401225617,-0.145676027979764,-0.187133370476198,0.296720538304215,-0.841993077028086,-0.179648601161786,0.0981448878026263,-0.59489702532082
"X_Ehrharta_calycina",-0.235184565985922,-0.126541404540803,-0.0428613653083218,-0.141123364322778,-0.156334633753661,-0.149168396613574,-0.0227774387858487,-0.0864142186130537,1,0.109847807099749,-0.355181487182818,-0.463927133146156,-0.400788319853756,-0.281989381517783,-0.405269709369897,-0.292090981696552,-0.0908357019081162,-0.0363314304664171,-0.488648982930756,-0.460885293416023,-0.31345960329668,-0.568482437210035,-0.315438317664206,-0.31954320859628,-0.0149128291495773,-0.461070529776905,-0.598486212869747,0.148490357627523,-0.723926983366491,-0.240514064980928,-0.563580551328664,-0.7725804612856,-0.0698090237758411,0.082346672932874,-0.133977506929644,-0.739025018698206,-0.0193711754857701,0.239991044079336,-0.756682394855107
"X_Fumaria_capreolata",-0.251005493902984,-0.0410851863497078,0.239629263575029,-0.113673277777703,-0.0693938474438397,-0.0768101429083173,-0.0407552226217394,0.114419416212765,0.109847807099749,1,-0.107954294990356,-0.357452497774364,-0.243637591970209,-0.174731798722087,-0.280472178162309,-0.22116816391312,0.18750348939851,-0.0221889114128561,-0.395931159333569,-0.237954276698927,-0.318791441993454,-0.562138811251251,-0.0754677739272164,-0.06430075070462,-0.00543026522837567,-0.628909145455185,-0.636946106826462,0.339532404866264,-0.669292337255138,-0.007509136716793,-0.363596191351877,-0.820764843995227,-0.0987907306876719,-0.0518166020746738,0.061586571586806,-0.827292849725191,-0.0930582679872735,0.2390728069654,-0.768261004399529
