"","X_Aster_subulatus","X_Asteraceae_A__prickly_","X_Briza_maxima","X_Bromus_diandrus","X_Conyza_albida","X_Conyza_bonariensis","X_Cynodon_dactylon","X_Cyperus_tenuiflorus","X_Ehrharta_calycina","X_Fumaria_capreolata","X_Hypochaeris_glabra","X_Isolepis_prolifera","X_Lactuca_serriola","X_Lotus_subbiflorus","X_Lysimachia_arvensis","X_Moraea_flaccida","X_Pelargonium_capitatum","X_Pennisetum_clandestinum","X_Phyla_nodiflora","X_Rumex_crispus","X_Schinus_molle","X_Setaria_palmifolia","X_Solanum_nigrum","X_Sonchus_oleraceus","X_Sparaxis_bulbifera","X_Stachys_arvensis","X_Typha_orientalis","X_Vicia_sativa","X_Zantedeschia_aethiopica","Acacia_saligna","Agrostis_avenacea","Baumea_articulata","Centella_asiatica","Eucalyptus_rudis","Juncus_pallidus","Lepidosperma_gladiatum","Melaleuca_rhaphiophylla","Microtis_media","Persicaria_sp_"
"X_Aster_subulatus",1,0.0108655415838813,0.0360313029911494,0.00383536925924281,0.0140266950716819,0.0173158620800974,-0.00788946447809779,0.0353110973705489,-0.0222460667259371,-0.00177368240024028,0.059751730092984,0.0274167813963995,0.0323772115962441,0.0251929849085654,0.0384690232502026,0.00745549904274893,0.0367583403676952,0.00478149682675966,0.0433365059949679,0.0649957374531892,-0.0103139518808119,0.0205236755664053,0.0506049595951725,0.0570898084978071,-0.00363569434899914,-0.052410520991839,-0.00968670972879422,0.00483708280842357,0.0344103384341074,0.0485684328024997,0.0561640217463577,-0.0506456312039322,-0.0132448139314518,-0.0387826362258972,0.0270067948804012,-0.0513690876442378,-0.0258774314722983,-0.0223828269688694,0.0172341823386837
"X_Asteraceae_A__prickly_",0.0108655415838813,1,0.200524756595929,0.030002476713935,0.0632125926442667,0.0625308742195184,0.0164949805945982,0.176087136986642,0.0982042077872666,0.136277087418828,0.180456435591803,0.0551138990672195,0.0699044858995423,0.054244209790908,0.0746744992097273,0.00885117479359796,0.196603202886524,0.039877538566558,0.0554486398838564,0.145077557528727,-0.00880100319190588,0.0491774696646325,0.167779652074365,0.185619384154549,0.0492502958893232,-0.10242064510563,-0.0513484973722996,0.165750313940341,0.0104784882935513,0.164886037380442,0.108745591591102,-0.175329405473882,0.00161794492020179,0.00645506794181948,0.150204298045112,-0.162498000040539,-0.00719139084283751,0.11521448905906,-0.0260561175644768
"X_Briza_maxima",0.0360313029911494,0.200524756595929,1,0.134987311701908,0.268527019480871,0.257150727123803,0.0985825867991012,0.783760497464464,0.540990401892292,0.688030139178714,0.73467387568742,0.198490197849482,0.254125965035436,0.220731582131765,0.275161644181528,0.0471968499432348,0.884320144229384,0.195568394418456,0.1884925485662,0.586701445492426,-0.0395681642178962,0.259832329199305,0.70842411656389,0.763760213233197,0.253407480256151,-0.388069666062832,-0.236349703921053,0.789644488752998,-0.0103506842678182,0.687734066308281,0.408935364077245,-0.745665498352677,0.0304740201901287,0.109190690468911,0.691808979814758,-0.682087818741508,0.0176236762341905,0.612653265881792,-0.163305029096519
"X_Bromus_diandrus",0.00383536925924281,0.030002476713935,0.134987311701908,1,0.0452725264396437,0.0365583982687667,0.0160227295414819,0.117434340917386,0.0869826098981046,0.103906089725634,0.110544371702189,0.0253465882300101,0.0331183749504664,0.0292793480041865,0.0342963207912092,0.00700089428126322,0.130777829910503,0.0294063093569729,0.0255809507586205,0.0835367818715881,-0.00459498718541521,0.0460716948378546,0.102039792305862,0.113478413154342,0.0403235982637324,-0.0533805679597246,-0.0360133921078906,0.121892638190795,-0.0067763002472942,0.10246556087148,0.0538012859356191,-0.111681669044301,0.00583662883789186,0.0209045583191143,0.101914302114028,-0.100789871460292,0.00649456635024409,0.0972587123757976,-0.0265942197116026
"X_Conyza_albida",0.0140266950716819,0.0632125926442667,0.268527019480871,0.0452725264396437,1,0.0813277586261515,0.0189781436305798,0.238880290787611,0.125189040794995,0.179912135910097,0.252238114636284,0.0777127721538993,0.0963805128478127,0.0739371641841768,0.103293667940569,0.0197563523754111,0.264064571786194,0.05267075589917,0.0899101896732088,0.213813710549334,-0.0174407750813068,0.0837527426705884,0.22660106692694,0.254601732494907,0.057937250094268,-0.146922618482195,-0.0690088194688124,0.214346703573855,0.024834718849568,0.22792393263068,0.153757453662191,-0.245382313888415,-0.00447311521722205,-0.00220267198196237,0.203127465333938,-0.224299768562468,-0.0171984483012679,0.142795876880955,-0.0233519337169273
"X_Conyza_bonariensis",0.0173158620800974,0.0625308742195184,0.257150727123803,0.0365583982687667,0.0813277586261515,1,0.0149192440406432,0.232468342391359,0.101490103559642,0.16266379123156,0.244731967927672,0.0879103750213477,0.103086527170036,0.0814849104161444,0.111609094662497,0.0156745807909142,0.253904273789324,0.0486402673025084,0.0942882427551304,0.217794485045198,-0.0200782156142145,0.078730012574006,0.229735333991387,0.249109747126685,0.0532722924353342,-0.152287544148916,-0.064433179520596,0.195639510797349,0.0410832693443563,0.218953569658934,0.166710379808835,-0.241829898796068,-0.00762868237740063,-0.0185191394419575,0.197772584940787,-0.226673965381691,-0.0258700340398225,0.123261936626369,-0.0198627807467325
"X_Cynodon_dactylon",-0.00788946447809779,0.0164949805945982,0.0985825867991012,0.0160227295414819,0.0189781436305798,0.0149192440406432,1,0.0781996638320269,0.144724642139151,0.128645406207469,0.0196100772463246,-0.0191881772572832,-0.0158026599442946,-0.00379211714319637,-0.0216481823491611,-0.00336742783378922,0.0952187117119565,0.0296998364939822,-0.0435356905551412,-0.0131828970894125,0.00946070415754818,0.0207653364013294,0.0357416512747884,0.0289437748523512,0.0566817376346888,0.0218510638935286,-0.0294301310480274,0.13655199312387,-0.0664662486691948,0.0358271018312006,-0.0298158900322313,-0.0382389194422158,0.0330537673525652,0.0927234982034267,0.0750559625605762,-0.0307768490109364,0.0521279848939866,0.153048374438271,-0.0663409248247055
"X_Cyperus_tenuiflorus",0.0353110973705489,0.176087136986642,0.783760497464464,0.117434340917386,0.238880290787611,0.232468342391359,0.0781996638320269,1,0.440263802792988,0.578029865002047,0.663092726020812,0.195595333759666,0.243514316458062,0.205640669730768,0.262768009889629,0.0464460835252808,0.770527671302163,0.168940612397356,0.195196722683003,0.548022202787415,-0.0474809565125487,0.231173124410172,0.639016431174956,0.685294444314262,0.207292401652841,-0.369635508504495,-0.206501979132346,0.666674303521169,0.0207271228817662,0.612465714135806,0.3945872391059,-0.672728017986572,0.0152080136916781,0.0633231113919407,0.607891375594378,-0.618715450097315,-0.00539739485531671,0.498734589951632,-0.124012791555532
"X_Ehrharta_calycina",-0.0222460667259371,0.0982042077872666,0.540990401892292,0.0869826098981046,0.125189040794995,0.101490103559642,0.144724642139151,0.440263802792988,1,0.633948128817042,0.213474129901131,-0.0445274567338103,-0.0145711623653597,0.0244772302954207,-0.0285920058534473,0.00131139807517458,0.527350949531159,0.156931654143659,-0.13198098144823,0.0644270192187397,0.0343977154371709,0.134912545608637,0.263830735509502,0.266969264364581,0.271675600128254,0.018373715666055,-0.153143940758501,0.668017531692492,-0.248382139197089,0.261817161195983,-0.043597634489528,-0.282270713730468,0.116916022815596,0.360747994162159,0.420286892963744,-0.240622171994158,0.196441886728871,0.706884942071666,-0.269032770214622
"X_Fumaria_capreolata",-0.00177368240024028,0.136277087418828,0.688030139178714,0.103906089725634,0.179912135910097,0.16266379123156,0.128645406207469,0.578029865002047,0.633948128817042,1,0.411234211158761,0.0448765939972975,0.0854447742295366,0.0981947743880034,0.0821506865055529,0.0237634396225752,0.671587535843922,0.174494822443963,-0.0111174758627208,0.261616244543176,0.00739079561809358,0.19512655083787,0.432602835528121,0.455601143342226,0.272918812122473,-0.133451138285066,-0.189311390015832,0.729086384389075,-0.170923905440666,0.425451132387241,0.121492260777804,-0.46226153665677,0.0850457292497773,0.275391408949407,0.532488294208046,-0.408705965594536,0.132815752938943,0.687295480415486,-0.236311367872026
"X_Hypochaeris_glabra",0.059751730092984,0.180456435591803,0.73467387568742,0.110544371702189,0.252238114636284,0.244731967927672,0.0196100772463246,0.663092726020812,0.213474129901131,0.411234211158761,1,0.275894517067901,0.31929712316216,0.252891309063169,0.36349738385833,0.061969098775724,0.72275688928853,0.13504894292462,0.332372429039463,0.687560739234695,-0.0738880339761471,0.236504543499552,0.689591754484488,0.772154700543192,0.120307342878121,-0.49532660934755,-0.18433189003524,0.510238687546781,0.161328390036711,0.674799196986903,0.537548114008413,-0.727118705524901,-0.0465873039120501,-0.118801506732736,0.562466394440776,-0.678432924086865,-0.114726904737568,0.267554631352295,-0.0120431767615698
"X_Isolepis_prolifera",0.0274167813963995,0.0551138990672195,0.198490197849482,0.0253465882300101,0.0777127721538993,0.0879103750213477,-0.0191881772572832,0.195595333759666,-0.0445274567338103,0.0448765939972975,0.275894517067901,1,0.141803313040879,0.106884657496393,0.165729681950395,0.0223527701689457,0.197392207974086,0.0230028144707975,0.170394338603162,0.278712218621625,-0.0446667780500971,0.0682912423118472,0.239419276991337,0.263218065620106,-0.00420538784325694,-0.212314843280466,-0.04736819552057,0.078945788585071,0.121200266810233,0.232568700875879,0.244911625282485,-0.253661050836753,-0.0417262566761715,-0.124326048111203,0.15734134589128,-0.239810579332148,-0.0885528865682618,-0.0285033772319658,0.0471687622101531
"X_Lactuca_serriola",0.0323772115962441,0.0699044858995423,0.254125965035436,0.0331183749504664,0.0963805128478127,0.103086527170036,-0.0158026599442946,0.243514316458062,-0.0145711623653597,0.0854447742295366,0.31929712316216,0.141803313040879,1,0.121433285674401,0.182555703608055,0.0309799024489674,0.252817231510131,0.0397071784208184,0.181649801620827,0.318246805933246,-0.0481532132468738,0.0813264970373478,0.280324668324324,0.309827730067062,0.00960385365071974,-0.23804093611199,-0.0600534297438533,0.125193844037135,0.122680244470357,0.264945383046173,0.278353857786612,-0.295730327638008,-0.0430477748389451,-0.121716888359373,0.198056513082109,-0.285093340099768,-0.0915204292202989,0.00271874309663063,0.043593452710735
"X_Lotus_subbiflorus",0.0251929849085654,0.054244209790908,0.220731582131765,0.0292793480041865,0.0739371641841768,0.0814849104161444,-0.00379211714319637,0.205640669730768,0.0244772302954207,0.0981947743880034,0.252891309063169,0.106884657496393,0.121433285674401,1,0.142387680483721,0.023839246261419,0.219312358892558,0.0359243396707502,0.129111893944219,0.241174159816101,-0.0328288958474785,0.0751823108345046,0.2264951135097,0.249984396984472,0.0257543268124868,-0.185099654527664,-0.0534186410994558,0.128014321268051,0.077125621403445,0.216915625951864,0.202545859119612,-0.238635412896128,-0.0246229949212604,-0.0701243489635456,0.172200528157114,-0.223786850186526,-0.0575231657235631,0.0412050871891438,0.0145568613146881
