"","X_Aster_subulatus","X_Asteraceae_A__prickly_","X_Briza_maxima","X_Bromus_diandrus","X_Conyza_albida","X_Conyza_bonariensis","X_Cynodon_dactylon","X_Cyperus_tenuiflorus","X_Ehrharta_calycina","X_Fumaria_capreolata","X_Hypochaeris_glabra","X_Isolepis_prolifera","X_Lactuca_serriola","X_Lotus_subbiflorus","X_Lysimachia_arvensis","X_Moraea_flaccida","X_Pelargonium_capitatum","X_Pennisetum_clandestinum","X_Phyla_nodiflora","X_Rumex_crispus","X_Schinus_molle","X_Setaria_palmifolia","X_Solanum_nigrum","X_Sonchus_oleraceus","X_Sparaxis_bulbifera","X_Stachys_arvensis","X_Typha_orientalis","X_Vicia_sativa","X_Zantedeschia_aethiopica","Acacia_saligna","Agrostis_avenacea","Baumea_articulata","Centella_asiatica","Eucalyptus_rudis","Juncus_pallidus","Lepidosperma_gladiatum","Melaleuca_rhaphiophylla","Microtis_media","Persicaria_sp_"
"X_Aster_subulatus",1,0.10746409688652,0.434696375540907,0.0871203949934296,0.139443809038836,0.156565170803912,0.0647592046440803,0.382145563659687,0.267306493363867,0.35656752855125,0.38436415029956,0.165478548162237,0.227377843253274,0.185372626625596,0.228234939074381,0.0765253594358457,0.427833911882129,0.130637013849039,0.203466602592546,0.325564674756813,0.0436297316171676,0.241743156134368,0.363804771509139,0.366833258616875,0.150476792936575,0.0646466444574488,0.0788214071448977,0.371241903841806,0.212270142360697,0.351799672811517,0.292852278162484,0.172725787586942,0.031671870170048,0.0660724004628902,0.305729457810707,0.151248421565482,0.0325052461953922,0.275242768331339,0.142265182091163
"X_Asteraceae_A__prickly_",0.10746409688652,1,0.623405942263884,0.167409877097255,0.266288664003816,0.283152821227527,0.0933792197202176,0.54965549293781,0.442786224929688,0.484170479101969,0.55728877478322,0.285138861914026,0.356386789311667,0.25800221863775,0.319942258311705,0.104180143448977,0.600795084675303,0.180704133163365,0.255563291594161,0.464047365631882,0.0840189531530748,0.324298677504639,0.55486425676873,0.574514826342966,0.268769045607316,0.0456823695769335,0.0248267540803439,0.567076644895846,0.210203034463167,0.522470972958413,0.43742778240556,0.00457680514921321,0.0856328418508314,0.166010208250396,0.460803099277841,0.00480650507739411,0.0909392903702056,0.44848145624173,0.0861514453461389
"X_Briza_maxima",0.434696375540907,0.623405942263884,1,0.472319236522633,0.697015709889442,0.779340324500845,0.278859375598155,0.902386457029769,0.871855130247346,0.914798016771357,0.913441715704949,0.70156057656261,0.800755709988465,0.736113672893828,0.77534844662051,0.344098583568535,0.959006392829623,0.569869498653143,0.516385225153219,0.869255461410851,0.264789452218622,0.875167817852013,0.940545429138057,0.93570111179517,0.795194604110941,0.0271126322023886,0.0353236717304726,0.925225917287458,0.418204962368215,0.873326326429296,0.836903492728653,-0.355729557711858,0.236048789122598,0.39009397688432,0.89463236143399,-0.195483393323167,0.235564371018674,0.870437633954923,0.129815780692001
"X_Bromus_diandrus",0.0871203949934296,0.167409877097255,0.472319236522633,1,0.195435810476086,0.181963366629813,0.0916472069292328,0.425617780729421,0.382420647429032,0.402491582084923,0.406064968655288,0.198684257774342,0.217414155241902,0.168003601833108,0.215397983180744,0.0882676980261485,0.472798965036177,0.150860838676132,0.190577370768902,0.344971061093552,0.0827730125297897,0.310120949345847,0.400752204514709,0.415304232257418,0.230462334941875,0.112484331357121,0.0408398169424759,0.435536716486608,0.147931668873376,0.360968970470618,0.283958217939017,0.0616079095359471,0.0900593426704696,0.1984529160512,0.394467965224659,0.070971905472573,0.115920989936636,0.412429369032832,0.0833903509047072
"X_Conyza_albida",0.139443809038836,0.266288664003816,0.697015709889442,0.195435810476086,1,0.324759527370697,0.118625715029617,0.615017638619202,0.54852608165848,0.595431647895818,0.683145282010551,0.368219783059719,0.43480632257485,0.385054770181045,0.432991432206846,0.151234417525509,0.700720880344574,0.216128608603264,0.359515193652164,0.625906543845878,0.097452179584989,0.472866275693691,0.63925435438491,0.684043080824208,0.295566276587402,0.0393743086252867,0.0272723499806529,0.632620520875502,0.268200865808833,0.611117683237297,0.542350452440943,-0.00822816217998881,0.0969138170973146,0.220191069589336,0.564674554904608,-0.000517185428997943,0.101700384674156,0.55212595122207,0.146419099025564
"X_Conyza_bonariensis",0.156565170803912,0.283152821227527,0.779340324500845,0.181963366629813,0.324759527370697,1,0.117600075018187,0.68596986994153,0.443646599758093,0.580820187470699,0.695720152942864,0.409280801656263,0.472068852154243,0.375553738374567,0.473834865884522,0.141186822424104,0.765014411312432,0.22093513096523,0.342686257937733,0.684268081163324,0.0801895125770623,0.505323697912493,0.695571714544568,0.706510852832275,0.302483800043681,0.00239753286026873,0.0261364035899643,0.633598991858703,0.314243368133008,0.625343366208224,0.61740176594146,-0.0175206895646448,0.0807917356213993,0.141554681830599,0.628316791628926,-0.014847959683898,0.0669295604599242,0.52310342525835,0.125306563746576
"X_Cynodon_dactylon",0.0647592046440803,0.0933792197202176,0.278859375598155,0.0916472069292328,0.118625715029617,0.117600075018187,1,0.228126716470642,0.323455447780445,0.304903364674191,0.179352111160575,0.0787261999316856,0.0940720409778603,0.0865713520988341,0.0769631552143192,0.0653086818859775,0.268119805267735,0.121723928578953,0.065310378838197,0.142065534922856,0.108312041855474,0.221237966425645,0.193462804229947,0.185078123622684,0.205576257868271,0.159360091919106,0.0515779478070043,0.311586586537627,0.0106046510257855,0.192465646997463,0.100117589891623,0.11069175171194,0.116321692617966,0.224533555642089,0.237448089213384,0.115909332352976,0.144517078992692,0.340758275976845,0.00568516519311149
"X_Cyperus_tenuiflorus",0.382145563659687,0.54965549293781,0.902386457029769,0.425617780729421,0.615017638619202,0.68596986994153,0.228126716470642,1,0.792987095619329,0.845687545344946,0.842811394594997,0.630225070268267,0.720003112660993,0.667141481084197,0.705044608181793,0.318151169343473,0.895048822977545,0.501401314915654,0.486474495281196,0.801181468926367,0.198228751948184,0.783923768584801,0.86495309059303,0.858835639285564,0.68673456989553,-0.012739895078701,0.0350398325448292,0.853499741041786,0.414051522719619,0.795625425099485,0.757016250489555,-0.367812149675347,0.207807309210342,0.321831024057724,0.814244527197567,-0.184027247360719,0.192329504671672,0.788683395624215,0.133786909944392
"X_Ehrharta_calycina",0.267306493363867,0.442786224929688,0.871855130247346,0.382420647429032,0.548526081658481,0.443646599758093,0.323455447780445,0.792987095619329,1,0.905423543420871,0.724533515037982,0.396214219708569,0.394283047254348,0.406687472782266,0.354416353735471,0.244460711193442,0.863555539935317,0.490878811072602,0.278955120583578,0.560910701847453,0.390999010965491,0.78166479356864,0.740753832832808,0.746523514016953,0.762214292636299,0.514582458808668,0.167652852187434,0.907262835601722,0.0639641822743829,0.697839396018118,0.48353565364579,0.292217223719375,0.331171672306365,0.608640505325992,0.811448747514525,0.309048036148508,0.405197891085801,0.92548089483624,-0.0195587521069223
"X_Fumaria_capreolata",0.35656752855125,0.484170479101969,0.914798016771357,0.402491582084923,0.595431647895818,0.580820187470699,0.304903364674191,0.845687545344946,0.905423543420871,1,0.793713655011712,0.53658007134525,0.576730992144867,0.512914914836194,0.514538252862257,0.275740955962017,0.908971207272738,0.528011016663864,0.382493527358652,0.698047259894893,0.345258567104459,0.824946136667782,0.839306937630885,0.824011798288799,0.783125381835371,0.343120821466744,0.104978755739499,0.924584492521592,0.152661258469171,0.767844016924089,0.643972407502387,0.103086841130264,0.297915386143502,0.543772412458892,0.855732024067366,0.174283351851153,0.352947844518742,0.924295016146586,0.0144149532738953
