"","X_Avena_barbata","X_Bromus_diandrus","X_Conyza_parva","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Hordeum_leporinum","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lotus_angustissimus","X_Pelargonium_capitatum","X_Rumex_crispus","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","X_Unknown_shrub","X_Vicia_sativa","Acacia_saligna","Azolla_sp_","Banksia_littoralis","Centella_asiatica","Eucalyptus_rudis","Melaleuca_rhaphiophylla","Persicaria_decipiens"
"X_Avena_barbata",1,-0.135822123072399,-0.0943750202966742,-0.0724350655797876,-0.147662341207128,-0.059707718866371,-0.169163250577417,-0.117146458272415,-0.228979682097255,-0.0295308219295234,-0.0323106769376106,-0.022953454095913,-0.00849507139204232,-0.0272506759499719,-0.0282278534281933,-0.0704249079071427,-0.0195757371843082,-0.0169601128229179,-0.0809238868008516,-0.0120051039095607,-0.0102881455896502,-0.0621562393182687,0.00252469602566928,0.00666731133006765,-0.0616438632890107,-0.00437998260501884
"X_Bromus_diandrus",-0.135822123072399,1,-0.289487549822341,-0.155110000332655,-0.244765647642639,-0.114182211592846,-0.234501558059333,-0.212062204819486,-0.658009832025843,-0.181821139763863,-0.0621961469156213,-0.0998370366729473,-0.125367232503338,-0.219506546640588,-0.069266133848858,-0.338689875059304,-0.227478989632243,-0.256255941828651,-0.0301305772942017,-0.0766537852497529,-0.0772698241608077,-0.204814668609862,-0.538220318057108,-0.577312609927137,-0.500420706539805,-0.570270129050319
"X_Conyza_parva",-0.0943750202966742,-0.289487549822341,1,-0.223079551085426,-0.316459617620546,-0.330566510919095,-0.301771113043052,-0.251811719336543,-0.304463308966532,-0.0348802427597114,-0.12830652581543,-0.118063174419574,-0.251893325022371,-0.118025947140707,-0.0415794296297269,-0.2892516903818,-0.112372126631953,-0.0350455486579448,-0.258936308833688,-0.120412004516653,-0.0168347673822866,-0.294204349000841,-0.411178474955076,-0.350052925626016,-0.416502182135402,-0.15952436055713
"X_Cynodon_dactylon",-0.0724350655797876,-0.155110000332655,-0.223079551085426,1,-0.0547337436306887,0.000482837838958711,-0.0330947505876815,-0.0414104203303209,-0.00717472355083055,-0.16803804684284,-0.0420165883177954,-0.0461442796884953,-0.232076880865649,-0.146422366347372,-0.148937160252156,-0.306130383229285,-0.0848903349063568,-0.140680557039371,-0.0756177657894774,-0.0594377301977707,-0.0681315051628276,-0.143089326735928,-0.431473912555711,-0.366921319227213,-0.185161842415484,-0.49982446874973
"X_Ehrharta_calycina",-0.147662341207128,-0.244765647642639,-0.316459617620546,-0.0547337436306887,1,0.079911478498268,-0.20535424523525,-0.257403436552057,-0.0688757547985135,-0.427522216574358,-0.0442801452465829,-0.0105840540382595,0.0189133527021013,-0.307879198788645,-0.203844848447879,-0.345721063300592,-0.308395680309535,-0.231300713753441,0.11808042504381,-0.0336616376002753,-0.107611280151522,-0.231781326852187,-0.222108734080141,-0.297983407380823,-0.117450075250081,-0.6716651736442
"X_Ehrharta_longiflora",-0.059707718866371,-0.114182211592846,-0.330566510919095,0.000482837838958711,0.079911478498268,1,0.0731357257213811,-0.177538640727886,0.0207004347934958,-0.390813260305455,0.0065336544015666,-0.0153875613660613,-0.000937294034108347,-0.20697315266536,-0.21059520669344,-0.356517431796747,-0.193194949287668,-0.071319639159719,0.0369127310942813,-0.0288527889928356,-0.111971926477264,-0.133231334791195,-0.328869003297075,-0.268910626432737,-0.300138766633023,-0.765378753192359
"X_Euphorbia_peplus",-0.169163250577417,-0.234501558059333,-0.301771113043052,-0.0330947505876815,-0.20535424523525,0.0731357257213811,1,-0.183092813487016,-0.222623752722043,-0.410858677287997,0.011849301238063,-0.132746201088407,-0.0493365940785114,-0.234687526415006,-0.0595514966053977,-0.302620850540465,-0.519134876930473,-0.214519466006363,-0.234345175984602,-0.116299530320167,-0.109912756372031,-0.0374420969611445,-0.634872772772686,-0.639265324327914,-0.640708409149081,-0.494495881507949
"X_Fumaria_capreolata",-0.117146458272415,-0.212062204819486,-0.251811719336543,-0.0414104203303209,-0.257403436552057,-0.177538640727886,-0.183092813487016,1,-0.0423827068083642,-0.0704786510005392,-0.0305173345261138,-0.0823928762041533,-0.229348952248037,-0.145810010956666,-0.00431510014977296,-0.294132337711101,-0.564604138644135,-0.0865820148410868,-0.241459808378135,-0.0967114376462664,-0.0856454644871066,-0.0368109176111268,-0.801460532131203,-0.598288062625883,-0.596692594721514,-0.652173133178056
"X_Hordeum_leporinum",-0.228979682097255,-0.658009832025843,-0.304463308966532,-0.00717472355083055,-0.0688757547985135,0.0207004347934958,-0.222623752722043,-0.0423827068083642,1,-0.187767152661483,-0.0643323820043123,-0.0785668267653489,-0.402042164712708,-0.372135944909046,-0.121041303542475,-0.369042643013955,-0.374405438497114,-0.150354952881514,-0.26895901744112,-0.239221387727265,-0.0949155623494333,-0.266140063478195,-0.438495272976874,-0.707385721915964,-0.675199012856628,-0.38807894490211
"X_Hypochaeris_glabra",-0.0295308219295234,-0.181821139763863,-0.0348802427597114,-0.16803804684284,-0.427522216574358,-0.390813260305455,-0.410858677287997,-0.0704786510005392,-0.187767152661483,1,-0.102647056420902,-0.0867387230383598,-0.361979162353207,-0.153026470802633,-0.0114853329764349,-0.180633590422843,-0.0387918635363934,-0.115386946166982,-0.324518308259207,-0.134171504404607,-0.00785791468404351,-0.0643788710857929,-0.0957939487127586,-0.0446775899025343,-0.110129957107174,-0.087608803319346
"X_Lactuca_serriola",-0.0323106769376106,-0.0621961469156213,-0.12830652581543,-0.0420165883177954,-0.0442801452465829,0.0065336544015666,0.011849301238063,-0.0305173345261138,-0.0643323820043123,-0.102647056420902,1,-0.0260152744134515,-0.000750046022473169,-0.0919484702925898,-0.026385392663632,-0.189004521084774,-0.252685556939736,-0.014797586250196,-0.0212881006039341,-0.0204054235006032,-0.0406645201275703,-0.0191183880317767,-0.285810315575409,-0.260574366052545,-0.21214278825971,-0.296975234631461
"X_Lotus_angustissimus",-0.022953454095913,-0.0998370366729473,-0.118063174419574,-0.0461442796884953,-0.0105840540382595,-0.0153875613660613,-0.132746201088407,-0.0823928762041533,-0.0785668267653489,-0.0867387230383598,-0.0260152744134515,1,-0.00573418402256992,-0.0478541978174363,-0.0577657859609488,-0.121123462111527,-0.127433948780973,-0.0204353054444335,-0.00712023276995808,-0.000963669661886822,-0.0328029476780534,-0.103186379175513,-0.11157373241576,-0.24919068679918,-0.201498496397041,-0.188339350346778
"X_Pelargonium_capitatum",-0.00849507139204232,-0.125367232503338,-0.251893325022371,-0.232076880865649,0.0189133527021013,-0.000937294034108346,-0.0493365940785114,-0.229348952248037,-0.402042164712708,-0.361979162353207,-0.000750046022473169,-0.00573418402256992,1,-0.139244136143066,-0.0601788038687487,-0.290489122874894,-0.414081478649011,-0.0845569343575669,-0.112156627152714,-0.0224616211267794,-0.0861805251803238,-0.0680089895322829,-0.406238649295372,-0.404085182179949,-0.338290326054816,-0.335093333099581
