"","X_Avena_barbata","X_Bromus_diandrus","X_Conyza_parva","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Hordeum_leporinum","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lotus_angustissimus","X_Pelargonium_capitatum","X_Rumex_crispus","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","X_Unknown_shrub","X_Vicia_sativa","Acacia_saligna","Azolla_sp_","Banksia_littoralis","Centella_asiatica","Eucalyptus_rudis","Melaleuca_rhaphiophylla","Persicaria_decipiens"
"X_Avena_barbata",1,0.854336523238395,0.691008779398526,0.745306804519275,0.813249354664729,0.841372032654285,0.730815092771541,0.814030440977407,0.706523319060613,0.389188601581252,0.638633170024867,0.37330127136573,0.833711587330053,0.262433888080101,0.459305595861109,0.817353276401254,0.283945088593395,0.391188064233189,0.837798353120372,0.334516734647842,0.282121576517344,0.437671818065115,0.559180869140455,0.56609912479085,0.644745588662319,0.267668722917756
"X_Bromus_diandrus",0.854336523238395,1,0.815623087992812,0.8909451213949,0.913911304596261,0.939852280571795,0.872731974388259,0.904950522116691,0.808394082977837,0.546100307029894,0.777300463720947,0.612004504793298,0.912777786928432,0.319197210027242,0.523434086388225,0.905234262672754,0.380034153896246,0.609038929274,0.941863525000186,0.421509408708528,0.254970451384935,0.554258300106152,0.71225931743842,0.77191967663927,0.776077361402617,0.286728473348583
"X_Conyza_parva",0.691008779398526,0.815623087992812,1,0.732603773444639,0.816354747410645,0.834885198101177,0.755436282889131,0.786612981639776,0.76112835920858,0.435825834993553,0.723966070107055,0.458838842701123,0.830970039555546,0.289389577525565,0.498679980503818,0.840792019919937,0.336904895407981,0.459826285908584,0.810009279400645,0.41578036319399,0.290701024010166,0.537203922463373,0.632783289703366,0.599306742483151,0.677860358196885,0.376360842709727
"X_Cynodon_dactylon",0.745306804519275,0.8909451213949,0.732603773444639,1,0.836709590430635,0.915355764077324,0.785350472064495,0.835344734650982,0.689000791528545,0.453911349462799,0.634918364204735,0.445559933671435,0.850003495871347,0.3792520652836,0.392417768003597,0.820501956750018,0.385863315524743,0.494975681692816,0.902791703033271,0.360246049520436,0.298792826052435,0.496291388413191,0.732336989421684,0.884109745059622,0.848360468566796,0.364081039273144
"X_Ehrharta_calycina",0.813249354664729,0.913911304596261,0.816354747410645,0.836709590430635,1,0.927130262503415,0.851009078605736,0.891442263091417,0.847586514261136,0.466013843001889,0.802830206376442,0.528939519616112,0.920495880748719,0.30660213985892,0.577733520590005,0.891317250191524,0.356452706003478,0.604538584825099,0.921071233133053,0.467658039040604,0.291663149969067,0.575782775457554,0.744182351320236,0.782400778024473,0.822878584435856,0.330932395955159
"X_Ehrharta_longiflora",0.841372032654285,0.939852280571795,0.834885198101177,0.915355764077325,0.927130262503415,1,0.874793300487854,0.921622604916158,0.811341957872588,0.546660524714543,0.802398238333615,0.575167753282875,0.932076468119859,0.327856674358227,0.543371789184867,0.906783927958855,0.358188888704254,0.641410563039458,0.94486301031523,0.387678428384006,0.254186714042075,0.588891485104998,0.751867747746426,0.831961943055326,0.826346561232708,0.267285538606118
"X_Euphorbia_peplus",0.730815092771541,0.872731974388259,0.755436282889131,0.785350472064495,0.851009078605736,0.874793300487854,1,0.878432520052611,0.849538543282326,0.469922198103135,0.851232684427139,0.457540952008514,0.853627211679108,0.370308735703783,0.63855185981637,0.849708907834331,0.483837369814318,0.454049331679351,0.847865833344502,0.378862885139997,0.333125342439108,0.614579089413229,0.575769763885692,0.714304098967241,0.735389975347542,0.413430714671766
"X_Fumaria_capreolata",0.814030440977407,0.904950522116691,0.786612981639776,0.835344734650982,0.891442263091417,0.921622604916158,0.878432520052611,1,0.816045502728752,0.505483801378544,0.854316912194939,0.521580615294589,0.899811238600048,0.317693359861828,0.61263303644785,0.89473486745127,0.39462034061463,0.577470474593168,0.91871503681538,0.394355162122061,0.346688533514965,0.630616099522257,0.701134905304563,0.766489608027306,0.767043031183538,0.350474424606213
"X_Hordeum_leporinum",0.706523319060613,0.808394082977837,0.76112835920858,0.689000791528545,0.847586514261136,0.811341957872588,0.849538543282326,0.816045502728752,1,0.396054380512076,0.83015643937038,0.43942428316356,0.812397456296371,0.339744823002258,0.644296078943015,0.831854042409225,0.488968666710764,0.48458939739845,0.820321828844927,0.36814358714425,0.446901335987274,0.60919914586893,0.632714549390463,0.692546045393312,0.717487073780529,0.490811327012444
"X_Hypochaeris_glabra",0.389188601581252,0.546100307029894,0.435825834993553,0.453911349462799,0.466013843001889,0.546660524714543,0.469922198103135,0.505483801378544,0.396054380512076,1,0.36852427208254,0.200161323575007,0.505951579610266,0.152995739801602,0.191542845675814,0.477524062049452,0.181513907259923,0.202796247042924,0.527538071726693,0.126504618699252,0.158741767887387,0.246160576972673,0.273318187556559,0.298787809779613,0.361797612311475,0.156995615410401
"X_Lactuca_serriola",0.638633170024867,0.777300463720947,0.723966070107055,0.634918364204735,0.802830206376442,0.802398238333615,0.851232684427139,0.854316912194939,0.83015643937038,0.36852427208254,1,0.426133620826377,0.804526396955785,0.311113530372046,0.597922311025844,0.828064106458019,0.426894672870525,0.419381617545134,0.795307132729539,0.375010005096656,0.416287136830457,0.597176743545464,0.597682945129981,0.634030548554296,0.725418249727281,0.431763630674394
"X_Lotus_angustissimus",0.37330127136573,0.612004504793298,0.458838842701123,0.445559933671435,0.528939519616112,0.575167753282875,0.457540952008514,0.521580615294589,0.43942428316356,0.200161323575007,0.426133620826377,1,0.569956485709476,0.161638259434337,0.290392403658249,0.573772885159218,0.2362758947339,0.233016955060566,0.556642953421998,0.180143542239056,0.197538580972844,0.233294550399107,0.332879823819849,0.415893288297839,0.471005522938698,0.262350019926737
