"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","0.497276956840076","0.293363252163124","0.676178426140433","0.119059595415446","0.239423109753577","0.113121417448827","0.394841379740512","0.122905802028899","boral","X_Briza_maxima"
"2","meanGW","-0.121539090186515","-0.208203447610296","-0.069777156575071","NaN","NaN","NaN","NaN","NaN","boral","X_Briza_maxima"
"3","intercept","-2.35650474678248","-3.22276286414427","-1.12538559131917","0.741164644765776","-0.314518630093041","-0.190988956058844","-0.482361008210229","-0.166824092397639","boral","X_Briza_minima"
"4","meanGW","-0.0871868071412258","-0.285003468842094","0.24346489700101","NaN","NaN","NaN","NaN","NaN","boral","X_Briza_minima"
"5","intercept","-2.93606083498598","-3.9332881335358","-1.5523944717263","0.895217634054529","-0.304904320573726","-0.245987106321232","-0.43401958026621","-0.162097238155694","boral","X_Bromus_diandrus"
"6","meanGW","-0.108692012112671","-0.269104004303795","0.0571393417224729","NaN","NaN","NaN","NaN","NaN","boral","X_Bromus_diandrus"
"7","intercept","-3.99685697623096","-5.57466481780629","-2.64844394757588","1.12744295778549","-0.282082387358446","-0.25280702059018","-0.355853358349008","-0.150719898635029","boral","X_Carpobrotus_edulis"
"8","meanGW","-0.108155392567798","-0.559446764716982","0.144542081125725","NaN","NaN","NaN","NaN","NaN","boral","X_Carpobrotus_edulis"
"9","intercept","0.748448728827493","0.625733745268965","0.83758481109878","0.0786170745319863","0.105040026796687","0.0851207538705364","0.144774399878911","0.0563648767635208","boral","X_Ehrharta_calycina"
"10","meanGW","-0.0787186092832153","-0.104205476012274","-0.0497310091967963","NaN","NaN","NaN","NaN","NaN","boral","X_Ehrharta_calycina"
"11","intercept","-2.81485670820266","-4.58043265963847","-1.18688481512393","1.1765467085558","-0.41797747825929","-0.266122264459712","-0.588410098692258","-0.224863001364204","boral","X_Ehrharta_longiflora"
"12","meanGW","-0.253914427888352","-0.404266322356346","-0.165519090048059","NaN","NaN","NaN","NaN","NaN","boral","X_Ehrharta_longiflora"
"13","intercept","0.410776984672747","0.258730818302298","0.559904067244532","0.0984524936250757","0.239673831053387","0.145829950591194","0.367896915046636","0.127502797075525","boral","X_Gladiolus_caryophyllaceus"
"14","meanGW","0.0281761026295567","-0.00350988916707048","0.088239323607709","NaN","NaN","NaN","NaN","NaN","boral","X_Gladiolus_caryophyllaceus"
"15","intercept","-0.150855605794557","-0.361723569718167","0.133825294646482","0.162539799434458","-1.07745283032977","-0.518250300976306","-2.1744300794237","-0.552453166093582","boral","X_Hypochaeris_glabra"
"16","meanGW","-0.021725997056694","-0.0793437999361563","0.0535285158349188","NaN","NaN","NaN","NaN","NaN","boral","X_Hypochaeris_glabra"
"17","intercept","-3.34730706144883","-5.14265033903328","-1.9781828605176","1.13239908400119","-0.338301525140347","-0.257759841658765","-0.44439567531441","-0.179652799922919","boral","X_Lolium_sp"
"18","meanGW","-0.0787427100748629","-0.277122413140937","0.229250014971338","NaN","NaN","NaN","NaN","NaN","boral","X_Lolium_sp"
"19","intercept","-4.25519911269219","-5.61666098605164","-1.42083220895339","1.4346652556699","-0.337155845748946","-0.09237568473011","-0.596210704697562","-0.161343120283079","boral","X_Lotus_sp"
"20","meanGW","-0.185532744699088","-0.459550098884558","0.0192124571338165","NaN","NaN","NaN","NaN","NaN","boral","X_Lotus_sp"
"21","intercept","-3.57014096756435","-5.24643643359498","-1.38546746174935","1.3459961712845","-0.377014852778425","-0.158097957886756","-0.582181079939363","-0.197205912098177","boral","X_Pelargonium_capitatum"
"22","meanGW","0.0157993962056831","-0.2144927509158","0.42249191299545","NaN","NaN","NaN","NaN","NaN","boral","X_Pelargonium_capitatum"
"23","intercept","-4.18525008397988","-6.42221871443798","-2.81403642576344","1.40456347656597","-0.335598458486936","-0.252965426078056","-0.39065424610995","-0.168746028324327","boral","X_Pentaschistis_airoides"
"24","meanGW","-0.113080956662524","-0.260183043945735","0.124531587687824","NaN","NaN","NaN","NaN","NaN","boral","X_Pentaschistis_airoides"
"25","intercept","-2.16691364350481","-3.69307958477993","-0.547511449703657","1.26183180973588","-0.582317534211917","-0.531531141877634","-0.741775877347563","-0.304753578063621","boral","X_Pinus_pinaster"
