"","X_Briza_maxima","X_Briza_minima","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Lolium_sp","X_Lotus_sp","X_Pelargonium_capitatum","X_Pentaschistis_airoides","X_Pinus_pinaster","X_Pinus_sp","X_Solanum_nigrum","X_Sonchus_oleraceus","X_Ursinia_anthemoides","X_Wahlenbergia_capensis","Acacia_huegelii","Acacia_pulchella","Adenanthos_cygnorum","Alexgeorgia_nitens","Allocasuarina_fraseriana","Amphipogon_turbinatus","Astartea_scoparia","Austrostipa_compressa","Austrostipa_sp","Banksia_attenuata","Banksia_ilicifolia","Banksia_menziesii","Beaufortia_elegans","Burchardia_congesta","Caladenia_flava","Caladenia_sp","Calytrix_fraserii","Cassytha_racemosa","Cassytha_sp_","Conostephium_pendulum","Conostephium_sp","Conostylis_sp","Corynotheca_micrantha","Dampiera_linearis","Daviesia_sp","Desmocladus_flexuosus","Dianella_divaricata","Dianella_revoluta","Diuris_corymbosa","Eucalyptus_rudis","Euchilopsis_linearis","Gompholobium_tomentosum","Gonocarpus_pithyoides","Haemodorum_sp_","Hibbertia_hypericoides","Hibbertia_subvaginata","Hovea_pungens","Hovea_trisperma","Hybanthus_calycinus","Hypocalymma_angustifolium","Hypolaena_exsulca","Isolepis_marginata","Jacksonia_furcellata","Lagenophora_huegelii","Lechenaultia_floribunda","Lepidosperma_longitudinale","Lepidosperma_sp","Lepidosperma_tenue","Leucopogon_sp","Lomandra_haemaphrodita","Lomandra_preissii","Lomandra_sp","Lyginia_barbata","Melaleuca_preissiana","Microlena_stipoides","Microtis_alba","Microtis_sp","Patersonia_occidentalis","Pericalymma_ellipticum","Phyllanthus_calycina","Platysace_compressa","Podotheca_gnaphalioides","Pterostylis_nana","Pterostylis_sp","Pterostylis_vittata","Rutaceae_sp","Scaevola_sp","Sedge_A","Schoenus_pedicellatus","Siloxerus_humifusus","Stipa_sp","Stylidium_repens","Tetratheca_sp","Thysanotus_manglesianus","Trachymene_pilosa","Trichocline_spathulata","Restionaceae","Unknown_native_shrub","Xanthorrhoea_preissii","Xanthosia_sp"
"X_Briza_maxima",1,-0.0193336930391265,-0.0195163667136249,-0.0117455767200882,-0.0583627491304313,0.000220232407677521,-0.00630386461838083,-0.0126752565022836,-0.0129841826498333,-0.019646025703641,-0.00884756137945678,-0.00743041820857919,-0.0446972378036187,-0.0116040309038876,-0.0180266323724067,-0.0896252121650182,-0.0348315418481104,-0.00727333986489942,-0.0273539700079052,-0.0249821607201218,0.00667603268834216,-0.0264982119987912,-0.0196413103418831,-0.032833193810997,0.00026824564124129,-0.0122172107907136,-0.0197843858976359,-0.0193926866003053,-0.0262845008830569,-0.0202335920505369,-0.0250701300926796,-0.0467515684402391,-0.0213978868819037,-0.00214334950490826,-0.0112885334154806,-0.0180609521264319,-0.0223449439783819,-0.0146712851514863,-0.0242871065259534,-0.00962472637476129,-0.0228420454690224,-0.0619725497624298,-0.0338517175713855,-0.0323299318452578,-0.0790614703046395,-0.00700076953201571,-0.0216897955521199,-0.0175027765428769,-0.049069063435437,-0.00913375074002677,-0.0446766293725328,-0.0199760214961861,-0.00476314345316624,-0.076335504090942,-0.0252928887457341,-0.0758489197235488,-0.0148832309165807,-0.00467502982016968,-0.0297325715216719,-0.0180565776237977,-0.0585985484797366,-0.0189172885915272,-0.0407300865503567,-0.00636637464567887,-0.0158856045744117,-0.0510850020337198,-0.0577096119471584,-0.0163228279157921,-0.0599747267290801,-0.00848793707221703,-0.025927400814463,-0.00268711042364664,-0.0100208810206969,-0.0148211285106697,-0.0224753737037965,-0.0425514433463046,-0.012843624335987,-0.0435753658816262,-0.00547669514704927,-0.0459118292231644,-0.0139098253491981,-0.0133513874173357,0.000214894411789848,-0.0341543947651009,-0.0382378596695675,0.00871195802782064,0.00189898170465693,-0.0210161222311589,-0.0391411150774612,-0.0293903842884698,-0.0331982329332937,0.0108584515139302,-0.0209968957897699,-0.0177326799848101,-0.0405348061041666,-0.0191077975199605,-0.0344441422534439,-0.0408949126805608
"X_Briza_minima",-0.0193336930391265,1,-0.0219884516889704,-0.0143379659843222,-0.0242709454407481,-0.065017730618013,-0.0240510423585069,-0.0549037504648689,-0.0743601538060399,-0.0461189297548276,-0.0330997416000007,-0.0703716823658657,-0.0267705183636236,-0.0430594911141394,-0.0180957170797342,-0.0364201725368573,-0.0203841723447369,-0.00993687331762937,-0.0195097889591217,-0.00538304120784017,-0.10129609040573,-0.0172731238058484,-0.00665729007044411,-0.019427030161501,-0.0892799133060377,-0.0175125781948457,-0.00769294385559399,-0.0399905363781626,-0.0357520310451587,-0.0268836976450519,-0.0319234202401311,-0.0709561785411637,-0.118851307683823,-0.00678188061212189,-0.00912417030840127,-0.00421730872574982,-0.110028705747043,-0.00101562401157481,-0.00624731402651291,-0.123892496534364,-0.00849212167327254,-0.0463474154835176,-0.00561904460353779,-0.0329869032192577,-0.0426259232596997,-0.149079438958604,-0.0278404158288742,-0.0330068158123352,0.00301469125549849,-0.0223102001159307,-0.0119879324601956,-0.0149219037621798,-0.0233380659437618,-0.0073176414173752,-0.0415520917292751,-0.0340744330699386,-0.0479848919390287,-0.0267571562506797,-0.0448419551379211,-0.0524500872336669,-0.0398115480278984,-0.15189504655167,-0.0339180317562195,-0.0277755622980166,-0.0583950563461015,-0.00741816144979582,-0.037136354761578,-0.00866667739365832,-0.0416046726732164,-0.112727962302999,-0.0518590487457989,-0.10357592494185,-0.017786082089824,-0.0157751586763288,-0.030847322542118,-0.0123862165764253,-0.012962685487356,-0.00332331418163156,-0.0455951752338757,-0.0579194506851877,-0.00274556852090807,-0.0291325307803555,-0.043134678657918,-0.0114504324877878,-0.00347867240654508,-0.13382341701588,-0.0202081866564393,-0.0170594413262715,-0.0267938561319288,-0.0117011334507557,-0.041295332571436,-0.119405901597973,-0.131474338249985,-0.00961394824283404,-0.0172023359197554,-0.00828107164830673,-0.0406288864450693,-0.00359218534134681
"X_Bromus_diandrus",-0.0195163667136249,-0.0219884516889704,1,-0.0299508247588293,-0.0767341618537273,0.0113844522401896,-0.00425430067573102,-0.0639097740178658,-0.0274570652597449,-0.035903519330935,0.00673729619063005,-0.0701424338368236,-0.0568800772064609,-0.00189994084675946,0.00883483319245817,-0.0169442212626368,-0.284489167706221,-0.00449797007788818,-0.00875320620913859,-0.316334922161708,-0.0333168167303951,-0.0708442591861383,-0.00319584681068345,-0.0659030703997248,-0.372247650198705,-0.0436741718005908,-0.0581413245876148,0.00963365737900251,-0.0884317729935088,-0.00345027377038979,-0.520961999468052,0.00597087003988895,-0.0290242705480186,-0.0316706179787389,-0.0388443623375431,-0.270115053335212,-0.116458224440251,-0.00802875834487763,0.00711600352006924,-0.0478444166090812,-0.119092219249495,-0.098484797770653,-0.108681517111486,-0.0430100545676635,-0.254976790662834,-0.0317864180044415,-0.0603913185198613,-0.00468699905593853,-0.403283726036782,-0.33542000331633,-0.0299885197337783,-0.0246103680101892,0.0113920565270708,-0.475745953917131,-0.0932808677438803,-0.0222390710203628,0.0262534185453518,-0.346471902465057,-0.42554458385863,-0.0846501057648053,-0.121637654542163,0.00975821515412638,-0.0479289851151241,0.00124548978045382,-0.0805171395982612,-0.0702017031469533,-0.00820519332503028,-0.0317876043998849,-0.270471695228465,-0.0102738870522992,-0.139778832924738,-0.211758140529549,-0.113998211989609,-0.0512860454296947,-0.00902716278235436,-0.0030050385438527,-0.533126015159956,-0.0800846825705322,-0.0830869248340402,-0.0448064015114558,-0.0315088465231885,0.00504343874677681,-0.0387744846284489,0.0142392904125653,-0.0779156341583446,-0.118289104776034,-0.00717233145929712,-0.0608098852266843,-0.156515985788973,-0.0494361705051648,-0.0178637206185404,-0.125669913843032,-0.0537398737649082,0.000497602575033233,-7.92033719756117e-05,-0.0154317785804804,0.00512778384388618,-0.0652463483208854
"X_Carpobrotus_edulis",-0.0117455767200882,-0.0143379659843222,-0.0299508247588293,1,-0.0403959785760359,-0.0255635227772782,-0.0229618796214299,-0.0570832359755417,-0.0787008567407398,-0.0190840804386841,-0.0508877854364841,-0.00390187027599842,-0.0443237242661651,-0.0253905001404307,-0.0146699989219686,-0.0514494905359755,-0.0299407428824648,-0.00971323289940328,-0.0260279022175642,-0.0426592307843184,-0.123959749857628,-0.00976027186207829,-0.00973114987242708,-0.0369504151875671,-0.188536848018962,-0.078363640712185,-0.0292936185765926,-0.0284105848922569,-0.0505375214508166,-0.0254459666615128,-0.0724898451651864,-0.0406074579032934,-0.0859460680571623,-0.0176964649885212,-0.0132630347437063,-0.106930587067302,-0.0142607025951117,-0.0160310957085505,-0.00789544509612668,-0.0617787682082985,-0.0086940528071628,-0.0617011458157121,-0.00841382270075632,-0.0266494895566549,-0.0538988165946326,-0.108037154196605,-0.0252180311742831,-0.0285444209206216,-0.0703787584161293,-0.0856651255962049,-0.0390096389899724,-0.0217479844535681,-0.0441752921193472,-0.0791479302433192,-0.0710103907620465,-0.0551678690731099,-0.0102391743973557,-0.130423313548934,-0.155938733980025,-0.0577173989731612,-0.0419693870409002,-0.0496614127584286,-0.0583294160613868,-0.0227605357855174,-0.00758076591977742,-0.0316817696972243,-0.0353132310477939,-0.0204877692129117,-0.0314092315176113,-0.0138842541117073,-0.0177142231189416,-0.116285562221063,-0.0255718769048469,-0.0187940201189751,-0.0331939617953974,-0.0184142190344245,-0.0856099820555297,-0.0243783373046674,-0.0902469519011793,-0.104704584786037,-0.0308700759621468,-0.0255206365089112,-0.0210076947090973,-0.00487522416449533,-0.0111386392320197,-0.145270474165527,-0.0693877550627378,-0.0177281897408716,-0.0348693188548263,-0.0245228358524126,-0.0287309103926973,-0.202108951754115,-0.103711145959654,-0.0263845203316152,-0.0595194874629978,-0.011569982622918,-0.0284095231136361,-0.0423489350120312
"X_Ehrharta_calycina",-0.0583627491304313,-0.0242709454407481,-0.0767341618537273,-0.0403959785760359,1,-0.0913382669883336,-0.127537476723161,-0.126806698534779,-0.116467074150679,-0.0718708232672992,-0.100821134905351,-0.146539977023863,-0.000776457227733636,-0.0472985618851698,-0.0282410245834548,-0.0120564305684391,-0.00840009260171699,-0.0431062267023329,0.00458716323744084,-0.135018507316436,-0.203658397164236,-0.0374826375090258,-0.016373627386566,-0.0546461487707825,-0.384188875030141,-0.196194008755833,0.0135218635760884,-0.124444507609191,-0.0314784779240209,-0.0252228803335119,-0.306690286192815,-0.0493465580818998,-0.210182528587915,-0.0362500909544202,-0.0218454885713344,-0.299671190868692,-0.0752293900417729,-0.0251396371813396,-0.00335818694141538,-0.161783562110555,-0.0125538766592542,0.0571674341498466,-0.0116031453454819,-0.0378220837564014,0.00597776277530418,-0.189504503071941,-0.108707225127989,0.0107188479535254,-0.204540156777214,-0.253165676930269,-0.0619221476581647,-0.0107636727171532,-0.0736532599362151,-0.0129631678105975,-0.121449788738792,-0.0800649796039941,-0.0437612891308612,-0.315261499040836,-0.337700821943785,-0.200782369250577,0.00807504909541029,-0.149151598519735,0.0210869761576197,-0.0455702043063883,-0.123369566881598,0.0151095224734645,0.00474599937159348,0.00424052071231093,-0.0505094961515798,-0.0593102258756253,-0.104185672894053,-0.201951610746828,-0.0622878552169299,-0.0105509089417161,-0.0481064021739958,0.00514651338348822,-0.322352370917208,-0.0326254797058846,-0.176519416144425,-0.235084113004393,-0.0840636147514582,-0.151892443245773,-0.0915409570673723,-0.0586844364353946,-0.00477523912802159,-0.303419753957345,-0.183625958927265,-0.108348738172032,-0.112252190144402,-0.0447021459773704,-0.0143484929049798,-0.429515540080373,-0.198798580423393,-0.0131343351080997,-0.103644693006471,-0.0320865632626963,-0.0201856476161244,-0.0164571672638128
"X_Ehrharta_longiflora",0.000220232407677521,-0.065017730618013,0.0113844522401896,-0.0255635227772782,-0.0913382669883336,1,-0.0441492886698358,-0.0247949910916978,-0.0131812323661898,-0.0190703397762526,0.00177992767753035,-0.0352875024076065,-0.136908182997174,8.10775096160969e-05,-0.000958965667460293,-0.0718825021653975,-0.105000228955469,0.00462461703899446,-0.0403861193793904,-0.196041715564339,0.0160872249663268,-0.0279282638807207,-0.0221780388716485,-0.0319352003268,-0.147828063032854,-0.0365858174610632,-0.0325581896600097,0.0173498231057936,-0.0351844464754883,-0.0117295698396986,-0.198852157509939,-0.0514935030508508,-0.00879586076720839,-0.0100283765088233,-0.0613502744496322,-0.0698231759503176,-0.0467733914301692,-0.0132532271823202,-0.0156002824173157,-0.00233072543662874,-0.0285673702816565,-0.230699978251244,-0.0557586223304931,-0.0231344034826192,-0.140391486559753,0.0086006185514381,-0.0119398698857165,-0.00876015958501794,-0.193817433160214,-0.16366114199456,-0.0481729886171413,-0.046892439497598,0.00311268520941886,-0.206896986354104,-0.0306297439451731,-0.0569325341664121,0.000599320171890702,-0.171532100552252,-0.144117150615956,-0.0235303519416765,-0.109515527804289,-0.00476641345942283,-0.140050606456869,-0.0011733576261814,-0.0241329373422504,-0.0430289482979905,-0.0538896437433623,-0.0291930318623366,-0.0921783787764211,-0.00899556658191639,-0.0503327716813906,-0.0644188159347668,-0.0254792662184785,-0.0273075985721839,-0.0173885793755439,-0.0283939420334301,-0.180275327139171,-0.0460991531702163,-0.00851896888991192,-0.0418583427424556,-0.0307303948269608,-0.050521059036144,-0.0377280912995609,-0.00953966418965272,-0.0288070931459952,-0.00903212931584129,0.00714252589493872,-0.0295235308019834,-0.0759411227091114,-0.0152553236329552,-0.0454074626436004,-0.00197726876116446,-0.0286071894239881,-0.0386173591235597,-0.00652518719750548,-0.0363679317591763,-0.0397968673830521,-0.054029972472771
"X_Gladiolus_caryophyllaceus",-0.00630386461838083,-0.0240510423585069,-0.00425430067573102,-0.0229618796214299,-0.127537476723161,-0.0441492886698358,1,-0.0149890424083701,-0.109820267766841,-0.0419494488135772,-0.0056219309590577,-0.0519549498050173,-0.0869819158628878,-0.0293464506590814,-0.000537898924300429,-0.029499901402246,-0.155921647331074,-0.0012126552872965,-0.0222433909511754,-0.284197739438016,-0.155779576176275,-0.046700322100382,-0.0089009052272613,-0.042564735009242,-0.264458731680249,-0.0553905921337818,-0.0216120662469974,-0.00676516413142847,-0.0246372775119739,-0.00790769358395983,-0.315082231477475,-0.0369628858170631,-0.0327473061916594,-0.0228775238822074,-0.02441549641465,-0.126972594091021,-0.087140132502847,-0.0102821444407636,-0.00401441854702864,-0.0967951415108945,-0.0782917425652657,-0.234634065862978,-0.0931455678868808,-0.0100177014147693,-0.193390487904784,-0.149095069536356,-0.000843658890322858,-0.00962890153072707,-0.324386290733802,-0.236757601891277,-0.0678815854118783,-0.00926347649681226,-0.00624411194199769,-0.355157330008785,-0.0946767803378497,-0.0761305722180219,-0.00964280607061451,-0.26682976792215,-0.23037813165248,-0.0691594768259688,-0.0986554063968335,-0.056805425600708,-0.0987975623493472,-0.00261142368675126,-0.0476630343924524,-0.0484468738484105,-0.0168890956678809,-0.0450566738232193,-0.174133467747194,-0.0251135806039987,-0.0938286170056521,-0.166284171616878,-0.0731890184978209,-0.0337416887878787,-0.0418926865967903,-0.00428516187940978,-0.273584927812404,-0.060936378942859,-0.104959447554681,-0.0476478811514394,-0.0401524535548365,-0.00354449330141201,-0.0652850739858945,0.00180528704174328,-0.0559441495528907,-0.184202139379611,-0.0353509380879252,-0.042961492205389,-0.0498474144458554,-0.014696821582928,-0.0321104037846506,-0.254069281157122,-0.141703598698857,-0.0177867692418697,-0.00197704767936347,-0.0458670174881656,-0.00331991395812336,-0.0359612129557995
"X_Hypochaeris_glabra",-0.0126752565022836,-0.0549037504648689,-0.0639097740178658,-0.0570832359755417,-0.126806698534779,-0.0247949910916978,-0.0149890424083701,1,-0.019111809412826,-0.00564980200376284,-0.0196331080658362,-0.119085483572639,-0.195028082745017,-0.00560434845062552,-0.0287956419109153,-0.0351892641417695,-0.417119501061832,-0.0238614140287575,-0.123477245145639,-0.531286903525154,-0.0530143592962175,-0.19305801011322,-0.036336883625902,-0.12813546366192,-0.273496195198767,-0.0474201343827488,-0.0815344634313805,-0.0787607977563945,-0.00743346945033626,-0.0244857418590151,-0.49770103553862,-0.0632136894275559,-0.0332635048687337,-0.0491001083238912,-0.0457186940312059,-0.176180283005822,-0.200885952258622,-0.0164180977784639,-0.0119287015088774,-0.0367985124755552,-0.233160864120326,-0.297461959831588,-0.20397703883471,-0.0100551674934152,-0.514798267846036,-0.0183230577180294,-0.036966950420789,2.49371645570607e-05,-0.58259902028158,-0.403990335696467,-0.0493314890517633,-0.0303824120272456,-0.0466850866451655,-0.716471169560885,-0.0543080265164634,-0.0393345580303516,-0.0414147446682467,-0.407126890966522,-0.253333732961411,-0.0526561592716635,-0.241941153630722,-0.0832127769788882,-0.247946205123215,-0.0149450274376981,-0.172084726015055,-0.11680250630627,-0.181113153696815,-0.0826094266361688,-0.458463662511706,-0.0336811136857181,-0.243490978968031,-0.169407233814119,-0.194609559868982,-0.0813644573421215,-0.0183433834160253,-0.0276408338367831,-0.354505500046552,-0.0723592133688798,-0.0857966979684993,-0.0295935227683578,-0.041931844679075,-0.0483111520259044,-0.0741375120286274,-0.0670260770916495,-0.129298147126272,-0.100356298920172,-0.0170225938531232,-0.136014131322336,-0.24849922491722,-0.0419698973967691,-0.039125845185235,-0.170924910144851,-0.0527679366545972,-0.0456485841337118,-0.0441133426500235,-0.0164473738685499,-0.0298142956124403,-0.0613849827788213
"X_Lolium_sp",-0.0129841826498333,-0.0743601538060399,-0.0274570652597449,-0.0787008567407398,-0.116467074150679,-0.0131812323661898,-0.109820267766841,-0.019111809412826,1,-0.00872642588342336,-0.0206518375700061,-0.038338730557641,-0.205337087183329,-0.0282571507471996,-0.00926329584227966,-0.00525361864999748,-0.128997090936299,-0.0122833511516485,-0.0716767740729704,-0.192396984584887,-0.0270198860232594,-0.02915203432559,-0.0297240015283101,-0.046566763804282,-0.0449612736936345,-0.00469011907279478,-0.0484061700810006,-0.0555620767813225,-0.0858033631531949,-0.0627627599974806,-0.0683391423005474,-0.0431582071417079,-0.0165982341609037,-0.0107047545842943,-0.0527109578472787,-0.0116312448844965,-0.0579616432998175,-0.013897986135212,-0.0302813268916091,-0.0128068747211038,-0.0599446825583664,-0.272529209823783,-0.0422825918391023,-0.0854794417976001,-0.182261242356833,-0.0113927683598306,-0.00892925343111645,-0.0798824436332512,-0.109062005064239,-0.106697601228721,-0.00840517454785091,-0.0702547647652276,-0.0567755080339194,-0.240145497142341,-0.00407700520232591,-0.00204160982349302,-0.032530422017224,-0.0747871917405414,-0.0460272626045105,-0.0048936310268243,-0.192004226458391,-0.0305134452064454,-0.207812205758765,-0.0044263807771064,-0.0709923739194564,-0.0529928659570995,-0.115471517884666,-0.0318786508417125,-0.108009645696296,-0.0403491792558794,-0.0569406122582764,-0.0239811111116646,-0.0494981421321808,-0.0690661333610712,-0.00260042188572749,-0.0866004388044904,-0.0423996380276686,-0.0532001555738296,-0.0171591328762912,-0.0206491430151582,-0.0288714286952845,-0.0320868884653762,-0.0161269739466805,-0.0528647055270675,-0.0601498255594763,-0.0245769742750145,-0.0122493976925903,-0.102787378262215,-0.0729599871535353,-0.00847921861554731,-0.041418764085869,-0.0286563221842144,-0.0190571051702522,-0.0297958053725804,-0.0306086681158486,-0.0084514807277483,-0.165659175193294,-0.0835534488041021
"X_Lotus_sp",-0.019646025703641,-0.0461189297548276,-0.035903519330935,-0.0190840804386841,-0.0718708232672992,-0.0190703397762526,-0.0419494488135772,-0.00564980200376284,-0.00872642588342336,1,-0.0232146612693575,-0.0706262804444233,-0.0813050703833398,-0.0152221645459312,-0.0243024430834286,-0.0199483714825903,-0.184257927074454,-0.0102636743924156,-0.0358842452621173,-0.330738462787534,-0.0318520389417632,-0.0490627806844546,-0.0196725044955703,-0.0586787587733716,-0.238982828070679,-0.00720841850068938,-0.0386313881622581,-0.0478029381583195,-0.107898579459574,-0.0164416700584764,-0.30813145549175,-0.0588490047343709,-0.0134807736039363,-0.0170747025189546,-0.0435754754327645,-0.120632855293198,-0.0740185858112966,-0.0163625881672478,-0.0196070614158108,-0.00164124027219711,-0.0549038375416305,-0.143437112738218,-0.0473240957113242,-0.00578160543189526,-0.105637596925342,-0.0473807156469506,-0.0277648993545868,-0.0138177875973072,-0.316216579962754,-0.170516454658004,-0.011752419468805,-0.0281384745031154,-0.019981667334278,-0.320597589429954,-0.0215544001843727,-0.0156350648123882,-0.0346965689613217,-0.282309648406085,-0.213430647454609,-0.0235833516777384,-0.030795194099476,-0.0424284885838019,-0.101812450157464,-0.031134698943723,-0.0551070771849124,-0.0423038208097777,-0.0229076355919832,-0.0213852713007553,-0.111722268937683,-0.00779527487878082,-0.0591574855584729,-0.0818849326788407,-0.0270329834079579,-0.017023935508672,-0.0164167754014954,-0.0406824988786837,-0.260217682402343,-0.0438922196962933,-0.0108670252380643,-0.0118783200025449,-0.0469797093724408,-0.0450714090174167,-0.0690339196783703,-0.0337403982017254,-0.0322509067598325,-0.0231599890497711,-0.00747921316822025,-0.0475266391220541,-0.0764256076789984,-0.01516564397808,-0.0296476270710137,-0.0570774740100497,-0.00338376383960939,-0.0234323214015677,-0.0530362598593503,-0.0148830792613356,-0.0473969544734708,-0.0492744076079553
