"","X_Briza_maxima","X_Briza_minima","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Lolium_sp","X_Lotus_sp","X_Pelargonium_capitatum","X_Pentaschistis_airoides","X_Pinus_pinaster","X_Pinus_sp","X_Solanum_nigrum","X_Sonchus_oleraceus","X_Ursinia_anthemoides","X_Wahlenbergia_capensis","Acacia_huegelii","Acacia_pulchella","Adenanthos_cygnorum","Alexgeorgia_nitens","Allocasuarina_fraseriana","Amphipogon_turbinatus","Astartea_scoparia","Austrostipa_compressa","Austrostipa_sp","Banksia_attenuata","Banksia_ilicifolia","Banksia_menziesii","Beaufortia_elegans","Burchardia_congesta","Caladenia_flava","Caladenia_sp","Calytrix_fraserii","Cassytha_racemosa","Cassytha_sp_","Conostephium_pendulum","Conostephium_sp","Conostylis_sp","Corynotheca_micrantha","Dampiera_linearis","Daviesia_sp","Desmocladus_flexuosus","Dianella_divaricata","Dianella_revoluta","Diuris_corymbosa","Eucalyptus_rudis","Euchilopsis_linearis","Gompholobium_tomentosum","Gonocarpus_pithyoides","Haemodorum_sp_","Hibbertia_hypericoides","Hibbertia_subvaginata","Hovea_pungens","Hovea_trisperma","Hybanthus_calycinus","Hypocalymma_angustifolium","Hypolaena_exsulca","Isolepis_marginata","Jacksonia_furcellata","Lagenophora_huegelii","Lechenaultia_floribunda","Lepidosperma_longitudinale","Lepidosperma_sp","Lepidosperma_tenue","Leucopogon_sp","Lomandra_haemaphrodita","Lomandra_preissii","Lomandra_sp","Lyginia_barbata","Melaleuca_preissiana","Microlena_stipoides","Microtis_alba","Microtis_sp","Patersonia_occidentalis","Pericalymma_ellipticum","Phyllanthus_calycina","Platysace_compressa","Podotheca_gnaphalioides","Pterostylis_nana","Pterostylis_sp","Pterostylis_vittata","Rutaceae_sp","Scaevola_sp","Sedge_A","Schoenus_pedicellatus","Siloxerus_humifusus","Stipa_sp","Stylidium_repens","Tetratheca_sp","Thysanotus_manglesianus","Trachymene_pilosa","Trichocline_spathulata","Restionaceae","Unknown_native_shrub","Xanthorrhoea_preissii","Xanthosia_sp"
"X_Briza_maxima",0,0.00779434890663808,0.00881659526357622,0.00932690484357291,0.0193882082098863,0.00821776256745778,0.00960408113729929,0.0175617793223538,0.0080590923665223,0.0102444449343497,0.00895637986534996,0.0135203555766713,0.0181314529784792,0.00992724682517329,0.00719200878618853,0.0341332103129997,0.015124232999275,0.00429387183063419,0.00910030467623147,0.00909323737851287,0.0150398289637704,0.014368845438818,0.00651032236326379,0.0181003431985885,0.019693921253307,0.0136293870576209,0.00666228481608356,0.0216296016368701,0.010804807743778,0.00976249199068256,0.0162918582310829,0.0196538026278925,0.0240245405782971,0.00485930768264542,0.00986121612236632,0.0164564605441449,0.0107208200248853,0.0075665073867846,0.00847576100773547,0.0111446281861044,0.007849794832717,0.0267353614266365,0.0112511895289877,0.0151226774180176,0.0269302324335709,0.0169250005969431,0.0104476502731783,0.00830337754251083,0.0162413312413709,0.0186984847704474,0.0181995143743853,0.00758891591996662,0.00728711601050543,0.0240817948278605,0.0135371807602034,0.0294395571173573,0.00926223495156079,0.0111552904576686,0.017206262523587,0.0122595572534924,0.0213503271389198,0.0171452197846215,0.0177410728125725,0.00473981541964918,0.012267420083545,0.0178841784192822,0.020684018533853,0.00546334748948198,0.0232411763343376,0.00511525020414648,0.0128000537597367,0.0148643967467088,0.00646266095980164,0.00619362480832723,0.0108634623004413,0.0154318511876789,0.0114957159889046,0.0159187494728706,0.014477434962349,0.0277425386482423,0.0105796701174067,0.0134996940707511,0.00729155530034542,0.0121725806056493,0.0124697491374895,0.0231954455676524,0.0179218220684719,0.011040965912769,0.0166246053553021,0.0129877979628227,0.0128350334663547,0.0176702581434737,0.0196140535236995,0.00674574965572108,0.0212232528498532,0.0110306291048005,0.0102053025318857,0.015777599087453
"X_Briza_minima",0.00779434890663808,0,0.0103768615665877,0.0185878093511057,0.0345740311778021,0.0229778030778315,0.0291443714538417,0.0207545538229808,0.0265825583572047,0.0206674897000615,0.0169888686271659,0.0241881316635884,0.0527486711784474,0.0123586394346704,0.00870213748956681,0.0282844354148969,0.0357640578538104,0.00517456270025492,0.0169431420845614,0.0509767325458287,0.0399939681739633,0.00860221371663626,0.0067572199733566,0.0163460379654008,0.0425334843585427,0.01384925571655,0.0160977476638987,0.0133859522930223,0.0416586554725463,0.0142503099665336,0.0187601302735826,0.0387942210350826,0.045614247087321,0.00435856268852612,0.0203028924951702,0.00936565624602633,0.038157010797669,0.00458798602897818,0.00939257239230681,0.0435620648378352,0.00594029730516409,0.0861773891840612,0.0173950988962159,0.0155321369639321,0.0589725487368694,0.0592450413688008,0.0112079299009993,0.016475540786734,0.0249424687657747,0.0471821141266261,0.0139825095146626,0.0200045955877456,0.0108525787226554,0.0656121818008339,0.0199690091043642,0.0247277682553452,0.0207863804841224,0.0189829006733182,0.0229302750850212,0.0211645526115436,0.0480816082671246,0.0548709690864321,0.0538103921857527,0.0105822607153915,0.0238714472181171,0.0192821298382557,0.023792517634788,0.00942134629973272,0.0375029537131044,0.0417775449555926,0.0186446776595017,0.0381585488287055,0.00861778468975513,0.0172649585180415,0.0155312824416926,0.0199159274921261,0.0171316626366665,0.0165773317245812,0.0231365208450001,0.0318674703123335,0.00833199930556894,0.0181766227065286,0.0184108947907348,0.0127284983795281,0.0131704706755878,0.0558976209931192,0.0127886351582103,0.0190626827864502,0.0302015413644628,0.0101188831612772,0.0224162568372041,0.0491723185969484,0.0507697531070073,0.0101954420973733,0.0192801062945834,0.0096099126090412,0.0378983195763898,0.0241788089930188
"X_Bromus_diandrus",0.00881659526357622,0.0103768615665877,0,0.0285646543968783,0.0987538043861367,0.0527070340917344,0.0896196283940869,0.179170218550482,0.0214434305626812,0.0743168123828383,0.14316542389897,0.109783677904811,0.0469591761331747,0.146748722315412,0.0602652973257636,0.0313867022692636,0.109003572234212,0.0366934881790197,0.0302753054388377,0.120277092227579,0.0628545363027985,0.0389196997428872,0.0239966980526099,0.0388338348295915,0.113901475879039,0.10115054079915,0.0396373263586853,0.167186039945108,0.216616541056496,0.150827498993074,0.192123293811813,0.147774407517405,0.16595600509965,0.0262139514794759,0.0303947643123996,0.0809612038949299,0.112927590438363,0.0129808369385311,0.0239419014266969,0.122997521414982,0.052139010163237,0.0694729663430206,0.0557653793087893,0.158156571394231,0.104378178192398,0.108751292132313,0.0566541975826986,0.223910973643901,0.174755799532687,0.100621152141895,0.0625039763746453,0.0518116242734424,0.186899856631241,0.169006731993083,0.0361317149957995,0.033533499660453,0.118657633426374,0.120733499678293,0.155332093459651,0.0760410301014596,0.130518539464829,0.188135988147874,0.0742643233002837,0.0313999860046501,0.0835072364146438,0.0448951733372292,0.109081982497053,0.0159683866013834,0.0954409674796263,0.0663324519851385,0.113318172597697,0.078517233534857,0.0488534010235506,0.122493866438449,0.0440636813678041,0.0732651220873601,0.178972091500691,0.0353016147217711,0.0679461639186245,0.202945854735261,0.0440335237430749,0.0860496599276036,0.0432752469044205,0.0521021116464146,0.0438753251973507,0.115114871229649,0.11853916623065,0.0559752483072807,0.0946348626076319,0.0522169320340879,0.0450147843093757,0.144704394595383,0.183560345565215,0.0156837539188677,0.104131766814535,0.0222965023819958,0.180455130087403,0.0431340196079878
"X_Carpobrotus_edulis",0.00932690484357291,0.0185878093511057,0.0285646543968783,0,0.0612461790450083,0.0218026855311582,0.0418212616241068,0.0462641687396783,0.0269367799020785,0.0123053504936506,0.0366288036861587,0.0477149892457649,0.059216808005558,0.0150814319076233,0.0107580110876958,0.0307463991541378,0.0406907174388591,0.0134989936893372,0.0257385821117316,0.0414683418154004,0.053746090301626,0.0186336458971937,0.0119089867567312,0.0246401335880345,0.0665838689003551,0.0307492071582328,0.0193523897276258,0.041311878297295,0.07858788756882,0.0545105236685087,0.039563416681115,0.0431677434333559,0.0538113870738818,0.00986604061417561,0.0233722226045277,0.0429700334885743,0.0319131383336163,0.00862300900934319,0.0149039833811632,0.0304615931048974,0.0130044216107122,0.0940051920483771,0.0191566411523003,0.0348277637518041,0.0656687404887175,0.0590828169184169,0.0217038632518538,0.0479073122546351,0.0389825619710364,0.0346144488734592,0.0175231261653607,0.0210348242425873,0.0478929279579823,0.0797484612609352,0.0219560765913539,0.0247814145362032,0.0175037373793988,0.0495931963284535,0.0625922763364888,0.0235515303973219,0.0666021622675798,0.0542452621509198,0.08526831085833,0.0141866689737789,0.0630484804797342,0.0262683465940139,0.0482303572600909,0.0146355665276495,0.0514981288221475,0.0112884657750055,0.0475877553418769,0.0464838744038733,0.0159171021925976,0.0308653787925287,0.0213843919066213,0.0419282522406445,0.036833528654224,0.0196778536134537,0.0363475341051486,0.0526038472086578,0.0144261497481205,0.0219687049871487,0.0167257125184464,0.0123968534129607,0.0240227190160383,0.0579172167151187,0.0325034691501384,0.0554660819746831,0.0350306917623481,0.0141600769866052,0.0217042299945346,0.0774907757889572,0.0472301261500884,0.0150590692982241,0.0384154733471058,0.00740398061521732,0.0735996640875002,0.0323997193907055
"X_Ehrharta_calycina",0.0193882082098863,0.0345740311778021,0.0987538043861367,0.0612461790450083,0,0.040330335666179,0.0961052099770166,0.104062487413,0.0464674727634375,0.0422392057623446,0.0996772320241304,0.128930666895435,0.0945843465196742,0.0734565023431966,0.0366644373780958,0.0468169601939482,0.0721903126269986,0.0354755695725297,0.0696709367649631,0.0930378669653773,0.0718549545208355,0.0574007553805692,0.0328823886263212,0.0525883195189209,0.144589632692328,0.0873030459628771,0.0431010903197769,0.157253362269274,0.201324710029562,0.13833082447882,0.119798773256906,0.138506318119177,0.106218489530814,0.0255877738639056,0.0594092230018026,0.131531680851444,0.104811963326921,0.015032040095007,0.0340749381965765,0.0604783848673685,0.0545009990745055,0.104281862451886,0.0499542904298558,0.12926685900809,0.114884364047372,0.0803254423696385,0.0660689347405669,0.139679328162398,0.128724840728618,0.118048829328883,0.0498407498117565,0.0355447767800292,0.1345000766784,0.130098287621686,0.0562403128528288,0.0653224637841404,0.0988107932322424,0.120150026082722,0.151080071189534,0.0737862149880197,0.149321800466533,0.17270222915842,0.128294133715552,0.0414227739508985,0.157794206129015,0.0467675708389312,0.14206817671346,0.0297384091132829,0.121343813806834,0.0661928026399079,0.153315841064736,0.072057361440925,0.0620282909355027,0.0728593206524373,0.0353412103596717,0.0802752292746524,0.145781795781135,0.0570058754209517,0.0822895206098791,0.105035072640747,0.0453514173193004,0.123743303336362,0.0381111128863884,0.0630332454234489,0.0434865846109738,0.127570880370008,0.059453856410685,0.130644118219859,0.110387233551453,0.0289713884142989,0.0454711407264941,0.161318778119749,0.0990224097240906,0.0541555237930204,0.0931547364000907,0.0345845504435041,0.174608886674464,0.0588105542494806
"X_Ehrharta_longiflora",0.00821776256745778,0.0229778030778315,0.0527070340917344,0.0218026855311582,0.040330335666179,0,0.0593823868209311,0.0801281684478736,0.0277309757505524,0.0506035360798263,0.0548007426429806,0.0840707910673004,0.0688776211753598,0.0522015342489507,0.0291132523317883,0.0491686915382608,0.0384572738716249,0.0187982633762744,0.0315999369371612,0.0652988350522694,0.0333597126956772,0.024971714946886,0.0146409421332018,0.0205182295936678,0.0766436224713876,0.0444390783315481,0.0165252192810616,0.0716736175645833,0.104400181316093,0.0815178786239924,0.101002594590933,0.0787390606899646,0.0761443964260568,0.0110919945961801,0.0261645077835648,0.030134131958201,0.0623187932597301,0.00759799664705451,0.014602421585509,0.0516160601107524,0.0146320933933767,0.110907602360813,0.0273148556174754,0.0821247986728705,0.0576935037138955,0.0646652130716392,0.0253798863174979,0.095825966363316,0.063887386324223,0.0587020951373176,0.0389345520530399,0.033525609900654,0.0817351538914037,0.0602865165201201,0.0182263521714005,0.0285521806119846,0.0408422356742826,0.0710062636232598,0.073158314285143,0.0324585508619811,0.0867878311165295,0.0885726573261399,0.0638904225509689,0.0298898636268974,0.0877029717568727,0.0234130282497295,0.0572612104668671,0.0112405882966645,0.0375029617693389,0.0514282209788575,0.0570021944186165,0.0488361773757575,0.0168069101455171,0.0497160905668515,0.0309963671600083,0.0452316571203153,0.0778354847884678,0.0150671615087486,0.0398775263978009,0.0864429569475667,0.0215157286541996,0.0681906122432725,0.0379031252220571,0.0267586353753322,0.0119992254439295,0.0451663063024463,0.0316386369532027,0.036473331261288,0.0661666977060821,0.0247385101009557,0.0432727089301878,0.0432493900040809,0.074833894057156,0.0200460489958874,0.0617903963179241,0.0206801640921199,0.0998730907476534,0.0205135197698508
"X_Gladiolus_caryophyllaceus",0.00960408113729929,0.0291443714538417,0.0896196283940869,0.0418212616241068,0.0961052099770166,0.0593823868209311,0,0.138993221888403,0.0496129930987726,0.0770718478199708,0.0933723983274263,0.0817921542274954,0.0955414818938911,0.0924518837869786,0.0477197880141506,0.0227290453484964,0.0937474067799811,0.0302867144668195,0.0311752093152469,0.137808193334769,0.089706138169173,0.0286725003905971,0.0171830205767516,0.0234123057494985,0.10380228243071,0.078102333073059,0.024810907189416,0.121344238438572,0.143483071058493,0.122286391201457,0.141267143875698,0.121293302845934,0.14208764421666,0.0245055672076243,0.0328784521718988,0.0512951325092135,0.0529982223128372,0.0128396509863959,0.0213233073517914,0.106915574578531,0.0352755140855651,0.1593899108488,0.0515583547994957,0.115385516255937,0.114111243715171,0.120265023341781,0.0343228388007941,0.152195032110572,0.131601364319333,0.090433696739758,0.0497313856625461,0.0436928252599148,0.126731451431693,0.199467780439669,0.0349353816244817,0.0403762363723909,0.0649170791554112,0.102804652333807,0.106238555268935,0.0629780659386822,0.129897267224516,0.157997515962449,0.114024765297338,0.0503408576503941,0.087396900472955,0.0411776312349138,0.0698328801975464,0.0191759885918559,0.0763675095565271,0.0534678165156505,0.0778139203574442,0.0630979922440874,0.0342591587584106,0.0708024673761772,0.0506241958390051,0.0641396200312227,0.116973476430851,0.0390987801540092,0.0827889629585087,0.148092184860062,0.0311758171507054,0.093753900746002,0.0453281330883424,0.0344303058554865,0.0416561758475798,0.0958154484770023,0.0736024860936693,0.0850115348668614,0.0817419034505345,0.0363731572022454,0.0563475801729909,0.144085592739033,0.15543103855349,0.0182456038893207,0.0870267216746071,0.0291810369981345,0.133925501291336,0.0441934374505863
"X_Hypochaeris_glabra",0.0175617793223538,0.0207545538229808,0.179170218550482,0.0462641687396783,0.104062487413,0.0801281684478736,0.138993221888403,0,0.0536573323917871,0.12558885129574,0.187438831267206,0.148613459139937,0.0870906159681149,0.122716999302046,0.0904569679053842,0.0603595787015022,0.177590187134581,0.0658526030480157,0.0619259458739547,0.196930726296305,0.1171470615233,0.0960625234192435,0.0320787013083164,0.051195568217217,0.120404200444729,0.167471298027432,0.0519364060754319,0.19829392577312,0.199008777141048,0.167038161944509,0.179859428494856,0.22614098973755,0.299366291609643,0.0444710071570326,0.0328988491576853,0.103862352730606,0.157710383245941,0.0267076393173395,0.0317216998856325,0.207501560825423,0.0946443941124503,0.137647138556633,0.0918424597427419,0.133502862039937,0.200762555596203,0.205304614776368,0.0740338636982161,0.223748245009184,0.221812835605686,0.165338515380301,0.0694483616381294,0.0976713819747235,0.215028392912331,0.320281458889464,0.0516820124653633,0.0695254653925926,0.112905679755822,0.154370817169869,0.0943154037883313,0.12043021590649,0.15858012767352,0.29000098562956,0.118380207198622,0.0903309545434608,0.160603964411832,0.0615979970466436,0.100788276524806,0.0395891608000425,0.189231979228859,0.111045971481261,0.17635649645905,0.0900237166621058,0.0755138394698275,0.0739053986448392,0.0808376436498471,0.0884023562189377,0.15793470629351,0.0372230071013662,0.146370929257276,0.309914444504747,0.0843268123811961,0.155359347036631,0.0659459773429239,0.0476530475485875,0.0552117352510529,0.221068789702267,0.22382961032151,0.0920037710037361,0.135932717752325,0.0766321923474179,0.0782725855763936,0.251667320357348,0.281432420338905,0.0290084532531281,0.19874228750765,0.0452204807893783,0.170265021386739,0.0460140866383051
"X_Lolium_sp",0.0080590923665223,0.0265825583572047,0.0214434305626812,0.0269367799020785,0.0464674727634375,0.0277309757505524,0.0496129930987726,0.0536573323917871,0,0.0318505439040425,0.0378508766657478,0.0211792909214883,0.0693907265427692,0.0275485581514722,0.0151009039757227,0.0141168887030353,0.0523398941501324,0.0121951655822555,0.0322018068035675,0.0812448711806025,0.0564240778152251,0.0126432187155912,0.0138725569375806,0.0259299289787414,0.0680915418556325,0.0317385375449342,0.0210219287471627,0.0491385915135041,0.0640304086758327,0.0489380455137027,0.0508792125681637,0.0421115873295509,0.0671124939500397,0.00714510186222406,0.021545237502471,0.0300808068354792,0.0448858160007473,0.00909090468622116,0.0131756108290734,0.054994596933648,0.0259706878331823,0.0950461699334664,0.022724269379534,0.0485929342771754,0.0781511704886092,0.065364561728199,0.0162037205138248,0.0540195508288706,0.0468403443248301,0.0380262939170934,0.0144975008805152,0.0254473901459447,0.0565832213445321,0.0891255801148023,0.0223823489997289,0.0191319750986053,0.0268363297499201,0.0501221918735668,0.052597684006268,0.0339152883474659,0.0801286120532178,0.0719356836386569,0.0731985232921743,0.0243555117567926,0.0324821711872128,0.024019695804898,0.0497320435126537,0.016037433899729,0.0429667958071886,0.0420261204794732,0.0256689317843246,0.0558087831749481,0.0229831817151278,0.0260014089598941,0.0200321529584916,0.0395074267719069,0.0423420972750824,0.0218184173581602,0.0449435821420229,0.0617355839633099,0.0184279857796724,0.0350206566641542,0.0140882534471126,0.0254489319243365,0.0238627982310505,0.0786311258803647,0.0352965259293957,0.0409885683683291,0.0382896540444623,0.0140965864889608,0.0290207029990189,0.0751049557137045,0.0709036709457017,0.0132055943521163,0.0488165349128126,0.0102880076300654,0.0721944362453369,0.0337679796076666
"X_Lotus_sp",0.0102444449343497,0.0206674897000615,0.0743168123828383,0.0123053504936506,0.0422392057623446,0.0506035360798263,0.0770718478199708,0.12558885129574,0.0318505439040425,0,0.0892140281893062,0.0732902681824003,0.0625172970664019,0.0626342031671,0.0455809443602567,0.0214464833996575,0.0646836975050871,0.0302307369194048,0.0203941788504542,0.122119083769504,0.0454629674927173,0.0276024956949695,0.0132923249691426,0.0320013171633035,0.0986722422659003,0.0396662940316088,0.0164733478733413,0.1222324138204,0.165808872915468,0.122080508710951,0.11603865202235,0.0979103687903196,0.139804791264337,0.0110128274357695,0.0258290237460314,0.0551648022645784,0.0654631075376545,0.0121233893569593,0.0170916587431382,0.086969487357823,0.0238092854123521,0.0651199967469934,0.0305641596309438,0.100494168145705,0.0464875730801752,0.0849336395555317,0.0400325057809297,0.138360452599586,0.112197686533505,0.0843336997792406,0.0287927425781777,0.0342677146354909,0.120716025219487,0.118740941009374,0.0188897797860975,0.0181561260397578,0.0663083755218686,0.103715142646546,0.0787100061505348,0.0287153796296413,0.0911334243375307,0.163640627286226,0.040638671183906,0.0607912420583695,0.0616079012773838,0.0285190824595147,0.0513429196073473,0.0132779008080466,0.0497539298042839,0.0652906401243342,0.068320454560556,0.0460967540019116,0.0212243000816171,0.0539443446805521,0.0368097169357574,0.0656647679915562,0.0997622894091941,0.0218003366585687,0.0693314358904016,0.117178228641099,0.0279805287620187,0.0967957543783952,0.0368372169754159,0.026592465529675,0.0177588601653613,0.0522714909999389,0.0710406061939763,0.0328334089399833,0.0563956679423276,0.0202942318307403,0.0568526446534158,0.0682794985735302,0.106711464761082,0.0141155545345981,0.10741573516862,0.0201165106225328,0.117614486985196,0.0227747080570522
