"","X_Briza_maxima","X_Briza_minima","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Lolium_sp","X_Lotus_sp","X_Pelargonium_capitatum","X_Pentaschistis_airoides","X_Pinus_pinaster","X_Pinus_sp","X_Solanum_nigrum","X_Sonchus_oleraceus","X_Ursinia_anthemoides","X_Wahlenbergia_capensis","Acacia_huegelii","Acacia_pulchella","Adenanthos_cygnorum","Alexgeorgia_nitens","Allocasuarina_fraseriana","Amphipogon_turbinatus","Astartea_scoparia","Austrostipa_compressa","Austrostipa_sp","Banksia_attenuata","Banksia_ilicifolia","Banksia_menziesii","Beaufortia_elegans","Burchardia_congesta","Caladenia_flava","Caladenia_sp","Calytrix_fraserii","Cassytha_racemosa","Cassytha_sp_","Conostephium_pendulum","Conostephium_sp","Conostylis_sp","Corynotheca_micrantha","Dampiera_linearis","Daviesia_sp","Desmocladus_flexuosus","Dianella_divaricata","Dianella_revoluta","Diuris_corymbosa","Eucalyptus_rudis","Euchilopsis_linearis","Gompholobium_tomentosum","Gonocarpus_pithyoides","Haemodorum_sp_","Hibbertia_hypericoides","Hibbertia_subvaginata","Hovea_pungens","Hovea_trisperma","Hybanthus_calycinus","Hypocalymma_angustifolium","Hypolaena_exsulca","Isolepis_marginata","Jacksonia_furcellata","Lagenophora_huegelii","Lechenaultia_floribunda","Lepidosperma_longitudinale","Lepidosperma_sp","Lepidosperma_tenue","Leucopogon_sp","Lomandra_haemaphrodita","Lomandra_preissii","Lomandra_sp","Lyginia_barbata","Melaleuca_preissiana","Microlena_stipoides","Microtis_alba","Microtis_sp","Patersonia_occidentalis","Pericalymma_ellipticum","Phyllanthus_calycina","Platysace_compressa","Podotheca_gnaphalioides","Pterostylis_nana","Pterostylis_sp","Pterostylis_vittata","Rutaceae_sp","Scaevola_sp","Sedge_A","Schoenus_pedicellatus","Siloxerus_humifusus","Stipa_sp","Stylidium_repens","Tetratheca_sp","Thysanotus_manglesianus","Trachymene_pilosa","Trichocline_spathulata","Restionaceae","Unknown_native_shrub","Xanthorrhoea_preissii","Xanthosia_sp"
"X_Briza_maxima",1,0.0530037117784636,0.472821631570064,0.0745566100766911,0.322651718275971,0.434352286516066,0.218069385598559,0.252961423260868,0.0724740451540622,0.242349134708161,0.405030572948825,0.226330908042308,0.553935478248866,0.557150507228041,0.38160059620277,0.273104690593054,0.0833415803929026,0.171585174140713,0.491062279436823,-0.0565831749198753,0.0356059001540198,0.350963325348412,0.112771939968243,0.194010393217807,-0.140122330232125,0.0383481839027011,0.159567791138781,0.530621876623943,0.656067732009555,0.570053789412471,-0.157653413505783,0.586073891675382,0.278808637344957,0.0852338582083237,0.616329287798479,-0.210319341796123,0.136986680773598,0.152885907472797,0.392271946473349,0.201880246286953,0.615153266927953,0.549942134568846,0.412498981080036,0.597607674424698,0.568926095847175,0.0512618779277343,0.2391629851471,0.646143558248388,-0.0122800952623203,0.238024690338405,0.139313714555478,0.371764726606238,0.596204122102239,0.162401244945827,-0.0178145061857837,0.043493815102684,0.291039077468612,-0.123351778495646,-0.123322838770957,0.0957091564145684,0.582454779647735,0.438604197722992,0.572390063728372,0.266788421929148,0.269001993411928,0.442724203387822,0.622226521637229,0.512356936912958,0.510260561807036,0.483159638509724,0.30686746838464,0.102658888851107,0.293107472825209,0.402879875838436,0.136674488969646,0.519375841099795,-0.203693427030002,0.291700212783878,0.0840905568826792,0.184712438637156,0.107025697071726,0.175584972909992,0.225353050931086,0.186423173858025,0.245727571975056,-0.0275697137120877,0.167556628132579,0.21376986892925,0.386058993561675,0.146689117340383,0.191213675045035,0.0225372671766834,0.179324924169667,0.42451092817437,0.370449712286002,0.105523541986053,0.667229168379935,0.248295056367126
"X_Briza_minima",0.0530037117784636,1,0.143921963713251,0.0227212092938395,0.0207611744004162,0.235973351628368,0.0657932248259007,0.290746097921096,0.205564084394891,0.177894255458899,0.287836885261345,0.000833495091223075,0.0729530214960697,0.221649074994944,0.285565375268709,0.214494875990131,0.0116576071915549,0.0724859482130104,0.0206600444961999,0.0812816352403137,0.0863469850458155,-0.0031476882527455,0.119008440028569,0.0732371660037899,0.102893903975155,0.33783561341321,0.0598474929465804,0.136406517993554,0.134915914970126,0.133975423365765,0.067974324387589,0.182126604379736,0.295739904154962,0.118384390090569,0.0444127836601985,0.211645392733024,0.000892874999663698,0.0644083243670865,0.0946939881899619,0.332602370949709,0.0442409436351863,0.0546695726583822,0.0260803565664257,0.102126369039009,0.0194726385428276,0.238882728008579,0.155735242861646,0.152780289451733,0.037711616922937,0.0432944529869851,0.191225868794012,0.0956536943711137,0.212836039478928,-0.00814285299277689,0.282159219747425,0.0720855576097433,0.0954284733808468,0.0787034718802105,0.084645527499705,0.22705228036123,0.0500682721626942,0.240277382297673,0.0226061986193388,0.0984743282573022,0.0043624938533587,0.00968851226552838,0.0785013085700906,0.0208598032944212,0.0429810951976858,0.138916312915192,-0.0114210221998046,0.058039141168815,0.0220800388405172,0.0173651794489196,0.185034620370001,0.144044894141033,0.119595648684337,0.0123286558041134,0.167294989500308,0.332044290003061,0.226608724526984,0.0542572191124051,0.201864275291661,0.0678395140527008,0.00917293906912835,0.334236533630062,0.202836699978217,0.0953856387230017,0.0531313527122477,0.0708219803214223,0.0968768460987075,0.29974915767539,0.309046221127608,0.0270563029141978,0.202708645872138,0.158190076081523,0.127711834231241,0.00564355523224956
"X_Bromus_diandrus",0.472821631570064,0.143921963713251,1,-0.0744143203968923,0.315004605440437,0.806502739910988,0.310953656162838,0.66308754926509,0.354807426335629,0.523114582372958,0.845495907468647,-0.0178454430923512,0.664611041100285,0.884504648066829,0.805522327694259,0.611536005754051,0.0277794503852992,0.296590761964617,0.476816173510495,-0.013834857720559,0.152511352323486,0.0983966545737676,0.289540710539252,0.349739145515916,-0.00880447265492685,0.52732968463531,0.279671894000959,0.765801617227712,0.901577540845221,0.80713033442792,-0.0788170670215406,0.869216311752361,0.699445927769532,0.234760893487423,0.731027958508017,0.0665477344675289,-0.0882645000097741,0.258926489551738,0.585144136748805,0.656218095848482,0.648016433315286,0.625980033807018,0.412968182220004,0.797029041791546,0.455717246099723,0.380532729664762,0.466459132128263,0.915303778440233,-0.0729998768092287,0.26010778634459,0.493206915550612,0.512783860658992,0.916864754733452,-0.0608080143011135,0.396306976305967,0.122763950981464,0.477937068649974,-0.0463994016756936,-0.0333182056982136,0.385225991156247,0.648236177578006,0.761469521086301,0.522368400882422,0.497205673717399,0.141761874857371,0.301107808721292,0.774540453398737,0.493768601706022,0.545352642901849,0.721531718835789,-0.0430595113694742,0.178541080722504,0.271548662545927,0.292988735748628,0.453504442350271,0.7462129043858,-0.0583201537587675,0.223346924650637,0.272335612602084,0.635699969053888,0.447256419019407,0.286203087347545,0.586249118819564,0.304305292938037,0.16896606268827,0.428364122894039,0.462989184049596,0.384965101364815,0.442570761990728,0.246433804147461,0.281031920826828,0.439552531003315,0.604892376142406,0.371745034175926,0.701342794233959,0.342551174291073,0.894297243794197,0.167934579464009
"X_Carpobrotus_edulis",0.0745566100766911,0.0227212092938395,-0.0744143203968923,1,0.164281264066314,-0.199741819866863,0.146161158717839,-0.135190384504783,0.13612558881812,0.0621434333755039,-0.0867867337396093,0.886143897660465,0.156494953211941,-0.208641121319009,-0.120372001363458,0.0236209222734754,0.373528471268632,0.0823935919302336,0.432165114487676,0.62570213163167,0.124266370613747,0.682740398072316,0.168156640730055,0.0283407092562346,0.598787198193919,0.102093399912174,0.00616297339076207,-0.176252530850641,-0.20510158665346,-0.190425549391416,0.813707346215619,-0.203661950321353,-0.132024412746296,0.0724450475535107,0.260765225317231,0.675518923075473,0.919589460112083,0.0126533515189956,0.026975294295899,-0.00535171321779275,0.41967418229101,0.134829379768691,0.217562770913025,-0.143661096622687,0.534848133223331,0.0778067552277321,0.072863524939785,-0.219120161554778,0.750332238962752,0.305767320221045,0.0109348765601194,0.112990931640942,-0.258898853966363,0.735042821730787,0.310851037739123,0.18781690114043,0.128143166919383,0.584740904702455,0.620716564913878,0.0921984641831908,0.205421365191424,-0.222681844534407,0.530733035999448,0.0509455587799937,0.372518544421235,0.4541033264131,0.0675218707092571,0.461283156513692,0.284478924008262,-0.0810154900984944,0.89887315590184,0.115806045903515,0.138123475248423,0.563036910815041,0.0655083390723186,-0.0741800525437731,0.861096263127395,0.243434569012357,0.234917355757298,-0.0490359729207976,0.124182129393788,0.0333931510280284,0.000434626467915684,0.101763295571161,0.216320048598563,0.216699608593744,-0.00880148651672156,0.100115680529511,0.15839447913608,0.18081932191202,0.226745841669926,0.203996783084465,-0.0943065484073583,0.229120165757032,-0.0314777876724488,0.0785305083129513,-0.195018573968725,0.27864333175265
"X_Ehrharta_calycina",0.322651718275971,0.0207611744004162,0.315004605440437,0.164281264066314,1,0.2554553316658,0.156688255277362,0.0967590650906802,0.0239146140895558,0.129790826048413,0.238065019969319,0.268426978448379,0.438589840166565,0.340889392613574,0.225528839894921,0.1445293494539,0.0921437639294212,0.118792147578656,0.42723036079168,0.00063049869284618,0.00632659566833187,0.360684065218088,0.0461491074247861,0.129409836758393,-0.0785533257200767,-0.0678339459361596,0.107494098865553,0.377374825440408,0.478006271614836,0.404462647547481,-0.0342135528180731,0.407191014408865,0.116903674736483,0.0430440730926589,0.517430619114023,-0.142446577221136,0.210474062676735,0.0981351789431286,0.274462018075008,0.0479942632625646,0.52604086512679,0.457523709648078,0.32692503264412,0.449569370548163,0.512526271328043,-0.0264630064366377,0.134469321173855,0.458171040380215,0.0741648902490371,0.180689373067895,0.0598965266541316,0.247837816578824,0.396009727917168,0.205440067886041,-0.0634045142137221,0.0363537266542517,0.198087350864418,-0.0497930156022923,-0.0512281282919852,0.0139500507264334,0.49122007365837,0.259845141194625,0.506736620506944,0.177916896270591,0.254456470005915,0.391599630153155,0.505046393590308,0.427010679592186,0.434298855099677,0.331163807036791,0.340471809177711,0.0642461594587927,0.229170945342004,0.377463876475072,0.0628225405928577,0.373657222000509,-0.0707429009728292,0.254979446012598,0.0333808550319731,0.0378874543924862,0.0160634406072882,0.120305423956418,0.127524809138626,0.124194470104071,0.208781459500266,-0.116260298122612,0.0495546914160685,0.150464139532315,0.305254399197818,0.117046806646942,0.119563758387845,-0.0658200450361594,0.0377485300335934,0.350159249546918,0.194267932756567,0.0483605654024066,0.496958707580803,0.225252742350151
"X_Ehrharta_longiflora",0.434352286516066,0.235973351628368,0.806502739910988,-0.199741819866863,0.2554553316658,1,0.353294785311035,0.800728642184212,0.612212174072633,0.718956890037799,0.914935403591904,-0.0900938416012168,0.657934470996017,0.925876007728031,0.895054298030184,0.755956055375256,0.0284917018796016,0.377057096578417,0.360677759519763,-0.000321204775291176,0.235965794829977,-0.0288247744427885,0.407597624772757,0.43125102678994,-0.0413707804561264,0.736201966147106,0.362671737805732,0.745073405285742,0.846671437812273,0.782383595269159,-0.239319838546037,0.859768141542299,0.823316552242319,0.422340869075277,0.599675929399593,0.159395452573086,-0.253633132609254,0.302546799379077,0.69670675722256,0.835313602984867,0.493699120771936,0.521229888880575,0.375590248677532,0.719066691232895,0.251730798410993,0.540660814296302,0.633978692418248,0.871159822855476,-0.181254513713372,0.303218590180553,0.683475777947275,0.65742079728224,0.927194490076985,-0.281202302965903,0.611863359873135,0.195731479130493,0.591907544987093,-0.0975184058355017,-0.0810742751937893,0.615618683480007,0.511846344334677,0.837950579024785,0.355295598278698,0.564442176950294,0.0690005144963737,0.179037060450241,0.692859577227759,0.3687483363199,0.499170392312188,0.779424157088207,-0.32343827710629,0.2425576549521,0.265785842873499,0.250293543051957,0.672392714997677,0.773776551419546,-0.164510287756282,0.179640147890482,0.435137560361971,0.845584981013501,0.634370079463705,0.341949354036433,0.784575099230903,0.410094151885909,0.123824775689742,0.635188284863551,0.628611572602427,0.533990175619353,0.451250225509585,0.364818721053256,0.449193046606693,0.638047013689654,0.775747941366732,0.363757383260964,0.83764787005846,0.575230062656587,0.825484010611308,0.102697466688234
"X_Gladiolus_caryophyllaceus",0.218069385598559,0.0657932248259007,0.310953656162838,0.146161158717839,0.156688255277362,0.353294785311035,1,0.29320641691233,0.183023696029228,0.204399002367691,0.340025089061311,0.145168767884143,0.299565612078843,0.379435399625977,0.309650244570243,0.245237675176312,0.04058475994572,0.0969593731756027,0.212536515728514,0.115635840455387,0.0817790485819327,0.158015696783562,0.123140055578196,0.117938255916919,0.136585150629457,0.271964445305179,0.102636187979025,0.328079398388231,0.403902753244702,0.352623333834183,0.160131844066567,0.377867505282479,0.286273882228196,0.0913417134772489,0.335399663827943,0.210264742896165,0.15096396245452,0.0928160258305244,0.195804791114458,0.28673862411594,0.317845089337604,0.31038836230573,0.14628067836427,0.354482566319068,0.281028835794287,0.192438805016143,0.153570034374408,0.41111847934477,0.11010442710655,0.104752417822107,0.185122428949324,0.165989156451598,0.405418707582047,0.129479760317724,0.221968617575583,0.050995768593741,0.142927827367747,0.114150039446062,0.124816881872089,0.188170239543887,0.313770627002379,0.335219911049236,0.286798618004383,0.158197057929555,0.103867386765374,0.200774164786921,0.356583968723454,0.209276687129404,0.259657185510771,0.295452441866871,0.187916690561783,0.0752809836596936,0.122398690892699,0.159330522752885,0.179448592163981,0.323743401325315,0.180783568082265,0.106831899461858,0.134257252555018,0.293904937777614,0.190908597584115,0.0972783895366965,0.240876183300926,0.0943114342640345,0.0845954681358931,0.262914581400943,0.191342741120397,0.126149285570969,0.182392157274333,0.0910163588547419,0.145628800142889,0.238926585529719,0.274765350098376,0.156809588314103,0.262706384906177,0.134831287910638,0.40172306570164,0.0971032061598014
"X_Hypochaeris_glabra",0.252961423260868,0.290746097921096,0.66308754926509,-0.135190384504783,0.0967590650906802,0.800728642184212,0.29320641691233,1,0.746225021543463,0.753165948432651,0.8646253808905,-0.0873820836318219,0.39000393107848,0.813168804867357,0.858927087912261,0.756159086815823,0.034231883860099,0.353320562379403,0.11441555904472,0.227204245261214,0.282455003013818,-0.118347403713834,0.432811997267815,0.377597410249344,0.204059766062717,0.833019395348693,0.31659942209564,0.525710477610518,0.566179075225376,0.550330886580726,0.0159367725140505,0.703512202810868,0.81427384408631,0.496813369642759,0.248772861380564,0.488353772241636,-0.260843423237048,0.281370997061973,0.548558017814211,0.852643334230587,0.10326956037057,0.233511823460343,0.172254070778659,0.442928107690441,-0.153872003697216,0.627696910550405,0.687651970725585,0.612616536275112,-0.0363129948188594,0.244542854700997,0.76505100876902,0.53359236639648,0.774075342249616,-0.394412319405493,0.758720263020495,0.244819575824851,0.525926622992464,0.128647361620192,0.140213254653964,0.70363545948843,0.172510827282223,0.759150495240517,-0.0441059550793517,0.51575844699823,-0.0129720886741148,-0.0186504197224595,0.39362667793975,0.102324601538125,0.219970686215867,0.621681287350485,-0.549125933504943,0.23484032131126,0.135625551339359,0.0815414269497753,0.735177629385145,0.590661199538282,0.191747940944429,0.0558804207562239,0.540108326186257,0.866154941181814,0.702973161993495,0.272251029106804,0.786392978508515,0.353798080213004,0.0476694908468455,0.804526652917553,0.661454136394977,0.506651667960912,0.276291318531572,0.403985016974727,0.478066963814293,0.764926129847377,0.796942463293845,0.169942585411813,0.771742999800555,0.661043991099531,0.530351626339873,0.0120247272013813
"X_Lolium_sp",0.0724740451540622,0.205564084394891,0.354807426335629,0.13612558881812,0.0239146140895558,0.612212174072633,0.183023696029228,0.746225021543463,1,0.577720465633049,0.764870713555371,0.0529733256397177,0.162561696692074,0.599553241879014,0.764053358708371,0.598425658009828,0.0446033691640303,0.18796660522205,0.0205734199610661,0.365670570165355,0.265136871520719,0.0048302334591188,0.327293172349858,0.185560851182298,0.408343512470502,0.898943264850576,0.149440237130355,0.312155535389723,0.302019600461282,0.324066433381608,0.358082620537463,0.455761007598851,0.737968723772912,0.298592929775469,0.0802454117310122,0.674810471048151,0.0517207987937297,0.18313191479713,0.225019826609353,0.84359472404591,0.0552973277729297,0.0737180426499774,0.0388069566314851,0.214257616636384,0.0155460088766236,0.585191696631423,0.393528456526299,0.351397638775587,0.168312552783118,0.1350847645966,0.584772714942413,0.273175137600736,0.497283215249309,0.0270181778073257,0.805269914361014,0.202211431279994,0.24970778828339,0.331184603600881,0.36778546970709,0.64056284993664,0.0612790168530482,0.587289262060992,0.0162418470914007,0.271689013920567,0.016122595126235,0.0123357024572655,0.114153172676429,0.0220808824465169,0.066548645882876,0.357141823370754,0.0151606067057011,0.168389839193459,0.0322185432042523,0.031985805208514,0.514985166695847,0.356389006864722,0.510316014205098,0.0112977376674892,0.459006369734818,0.859740379627203,0.684710324382918,0.139366651765904,0.616972638930981,0.179417288416009,0.00837314360095595,0.889062146008621,0.550685950423255,0.244724872669242,0.115898512678863,0.201039016677366,0.241322314571538,0.779720154206627,0.741658177068575,0.0610329206233265,0.501250615326012,0.464631706436103,0.272407916986085,0.00631522722155094
"X_Lotus_sp",0.242349134708161,0.177894255458899,0.523114582372958,0.0621434333755039,0.129790826048413,0.718956890037799,0.204399002367691,0.753165948432651,0.577720465633049,1,0.808730806646188,0.0233706942424506,0.38660097312296,0.755292713695382,0.809225760109031,0.664545311517608,0.0260315969272845,0.179735422613139,0.152535675858803,0.228586998026804,0.235530626350746,0.0226403260974522,0.308997017715584,0.198925680299639,0.256529363849864,0.825502597660689,0.18602225893744,0.550462528272445,0.629872855913429,0.57651633854169,0.176994768099158,0.659705578641102,0.764850290828763,0.259403807874705,0.30706221915328,0.534047267869703,0.0234955651030315,0.17236170231389,0.300542733572128,0.828119332452277,0.269446704921446,0.334384340663077,0.135732184215138,0.520346642324386,0.156388530987373,0.571967140466852,0.36205143677494,0.667442589180367,0.0828335519939272,0.135581226435795,0.497498577168263,0.339123241131454,0.732497596177916,0.00495937956976167,0.690510640895521,0.15330118168509,0.251121968908985,0.19271108658472,0.218396995025491,0.567474130787964,0.338389455438675,0.698964428817678,0.20012342036859,0.349811267599742,0.0337701946701387,0.0881563246714487,0.447550827448327,0.159807429430152,0.278872265696779,0.525341351832424,0.0032874235815527,0.168540862749792,0.107629549223769,0.105728302657708,0.513591743236075,0.521084417036248,0.315938437223536,0.0622055628383396,0.402834450448953,0.838435433081173,0.646511804821742,0.165671102150122,0.593527477084293,0.195191428923514,0.0573876517412763,0.803161305254298,0.535315431146846,0.268504812096846,0.230692493246463,0.196126332799481,0.261914277366556,0.713974131602238,0.765465864028434,0.157546493934971,0.583663809663661,0.400498585983027,0.607144696729964,0.0570641551732533
