"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-2.36532771147064","-3.63166421455172","-0.788027118812325","0.959912636023505","-0.405826487115682","-0.272132633191415","-0.643401740359764","-0.214379322545432","boral","X_Arctotheca_calendula"
"2","meanGW","-0.231630736161154","-0.803179631053614","0.150673189289406","NaN","NaN","NaN","NaN","NaN","boral","X_Arctotheca_calendula"
"3","intercept","0.427820825527024","-0.0794987471480131","0.903671613824679","0.354597612961733","0.828846077151366","0.557946073280194","1.19291765201778","0.446464144604606","boral","X_Bromus_diandrus"
"4","meanGW","-0.0273963952308882","-0.209192469520799","0.12726006344804","NaN","NaN","NaN","NaN","NaN","boral","X_Bromus_diandrus"
"5","intercept","0.0331649113087135","-0.26142856720048","0.499000881533312","0.279359249890341","8.42333776472196","57.5147029838636","3.20083361089144","4.4367438328645","boral","X_Cynodon_dactylon"
"6","meanGW","0.638276171968613","-0.224108849609948","1.38533223431262","NaN","NaN","NaN","NaN","NaN","boral","X_Cynodon_dactylon"
"7","intercept","1.25841037079178","0.796760954248435","1.63337597306356","0.285428749263241","0.226816907972279","0.117464945903611","0.34426661700109","0.120636476049137","boral","X_Ehrharta_calycina"
"8","meanGW","-0.033739126025047","-0.167991604481848","0.0741717409827622","NaN","NaN","NaN","NaN","NaN","boral","X_Ehrharta_calycina"
"9","intercept","0.289597177716513","-0.203791853079511","1.07088238794566","0.466018232367084","1.6091946615007","1.14037341723056","1.47005899588322","0.835248195869582","boral","X_Ehrharta_longiflora"
"10","meanGW","-0.180557352619138","-0.367672018511006","0.0441574881773447","NaN","NaN","NaN","NaN","NaN","boral","X_Ehrharta_longiflora"
"11","intercept","-1.86522638032553","-2.96866237315105","-0.287876221453698","0.946102890424371","-0.507232205379409","-0.337229236775155","-0.823201099516747","-0.263952318982642","boral","X_Euphorbia_peplus"
"12","meanGW","0.279416474605952","-0.193675351811989","0.751023872461143","NaN","NaN","NaN","NaN","NaN","boral","X_Euphorbia_peplus"
"13","intercept","0.0855236273259593","-2.1788228173092","1.48438736384197","1.23512378432773","14.4419012961209","3.20197978471255","-5.27509095749829","7.50507181761982","boral","X_Euphorbia_terracina"
"14","meanGW","-0.327088618304572","-0.723033938874746","-0.0995557646265701","NaN","NaN","NaN","NaN","NaN","boral","X_Euphorbia_terracina"
"15","intercept","0.364923177629335","-0.593572633155578","1.08246572472372","0.560544198811756","1.5360608291675","0.824459821371725","3.42823080707347","0.802351635398614","boral","X_Celery_like"
"16","meanGW","0.957493000410999","0.530503386474206","1.53527049629303","NaN","NaN","NaN","NaN","NaN","boral","X_Celery_like"
"17","intercept","0.83345161086942","0.139489010456522","1.54756749311427","0.517313162966509","0.620687699465684","0.520896007179894","0.834636231612536","0.335654430409218","boral","X_Ficus_carica"
"18","meanGW","1.49900661982888","0.96706771153337","2.20277433592927","NaN","NaN","NaN","NaN","NaN","boral","X_Ficus_carica"
"19","intercept","0.267164503998266","-0.17482268799562","0.697421654965603","0.294854860051888","1.10364534075156","0.579782323181626","1.66905102782441","0.590584434014266","boral","X_Fumaria_capreolata"
"20","meanGW","0.382218502795132","0.22131036820425","0.572596146004447","NaN","NaN","NaN","NaN","NaN","boral","X_Fumaria_capreolata"
"21","intercept","-1.39461864848588","-3.38083231730005","0.122975894506198","1.20625403362503","-0.864934679408345","-0.671634935368881","-1.07549497494474","-0.462230374813305","boral","X_Fumaria_officinalis"
"22","meanGW","0.692923977383834","-0.137200391427885","1.5846226760904","NaN","NaN","NaN","NaN","NaN","boral","X_Fumaria_officinalis"
"23","intercept","-0.8429653637353","-2.72397205324442","0.519313393755676","1.06423703214695","-1.2624920049279","-0.708886170668508","-1.47110548521475","-0.658757740445458","boral","X_Gladiolus_caryophyllaceus"
"24","meanGW","0.667828538713324","0.202449893693434","1.09937647277994","NaN","NaN","NaN","NaN","NaN","boral","X_Gladiolus_caryophyllaceus"
