"","X_Arctotheca_calendula","X_Bromus_diandrus","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Euphorbia_terracina","X_Celery_like","X_Ficus_carica","X_Fumaria_capreolata","X_Fumaria_officinalis","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Paspalum_distichum","X_Pelargonium_capitatum","X_Phyla_nodiflora","X_Phytolacca_octandra","X_Romulea_rosea","X_Rumex_pulcher","X_Solanum_sp","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Submerged_macrophyte","Acacia_cyclops","Acacia_saligna","Austrostipa_compressa","Banksia_prionotes","Baumea_articulata","Baumea_juncea","Conostylis_candicans","Cotula_coronopifolia","Dianella_divaricata","Dichopogon_capillepes","Haemodorum_sp_","Haloragis_brownii","Jacksonia_furcellata","Lepidosperma_longitudinale","Macrozamia_riedlei","Melaleuca_rhaphiophylla","Myoporum_caprarioides","Native_shrub","Persicaria_decipiens","Poaceae_sp","Podotheca_gnaphalioides","Ptilotus_stirlingii","Tetraria_octandra","Triglochin_sp","Viminaria_juncea"
"X_Arctotheca_calendula",1,-0.224684403687993,-0.190246841905865,-0.103290078656118,-0.0788904335747141,-0.0777853103148678,-0.0707233385800638,-0.0717832152577312,-0.230976772529414,-0.112596693850846,-0.124526907303445,-0.0647635335722779,-0.0258543017361679,-0.0647115750885593,-0.183916877391087,-0.210476502219467,-0.0886806559222482,-0.0634807861318592,-0.0247512413536133,-0.0292499719738955,-0.0964814651930307,-0.0516224694340976,-0.0636658063013499,-0.0533025082250796,-0.107028126960414,-0.114177596058689,-0.0910811650707215,-0.0746114941745104,-0.201789554733586,-0.192018464733217,-0.0743662366356889,-0.131778470975114,-0.0247911439545881,-0.0760056563534823,-0.0482628173474444,-0.0395225915533512,-0.0791104775722781,-0.250150463596782,-0.0780791133441817,-0.0859407519128192,-0.0345522984813526,-0.0511814543689043,-0.0619869363621501,-0.0489434963704958,-0.0499405065021468,-0.0650387710243854,-0.0428601408823988,-0.0491143768142878,-0.0374469006604139
"X_Bromus_diandrus",-0.224684403687993,1,0.0727591457884173,-0.0660995455056693,-0.164879708060415,-0.845451023610126,-0.500032421184148,-0.267863947182671,0.146035248930229,-0.203713446911537,-0.188387279817727,-0.768895346284199,-0.222168974345734,-0.0733680155800914,0.182712182199556,-0.0409771426956054,-0.0979218661281067,-0.827884397244971,-0.43031011325512,-0.19808252128104,-0.300332469716602,-0.335348738676978,-0.306257761087484,-0.423017215451045,-0.115340541987614,-0.142294666322736,-0.197060404116135,-0.857124864162612,0.272246604139869,0.269866917178303,-0.846965929755093,-0.0769645960658893,-0.575697803766908,-0.860819285068577,-0.778435069661942,-0.230149172961431,-0.738569729108319,0.339452046722995,-0.846815493604345,-0.0936040970132517,-0.241704619758223,-0.706101932619584,-0.569031343383828,-0.232930657163703,-0.444153617645271,-0.820224615666351,-0.150535337538568,-0.544556444116421,-0.452925019256839
"X_Cynodon_dactylon",-0.190246841905865,0.0727591457884173,1,-0.313944107352209,-0.0230077625137516,-0.915414364697442,-0.308293648454386,0.0362097152378913,0.418171788745024,0.257102352524849,-0.73313606746618,-0.896232096025624,-0.126661046257301,-0.0318180752418243,0.06916954498955,0.103535192813029,0.00769652624711929,-0.918487237144197,-0.503076106393197,-0.0333332898393234,0.0203186166193232,-0.767019979498188,0.0232755382075294,-0.190167138393727,-0.669189531745901,0.104025595587174,-0.677701641281202,-0.936321610594422,0.247657134250772,0.141239087043396,-0.918115299432536,-0.0778839070444671,-0.678456536714497,-0.914156393964752,-0.906916079361215,-0.518283674951687,-0.532414005754011,0.130701543584263,-0.913229520134012,0.0238314359481675,-0.481312704765468,-0.857070365265485,-0.135020838350114,-0.0192849136022307,-0.125772963274466,-0.923496000765585,-0.38731550680634,-0.83404088385721,-0.209933530151718
"X_Ehrharta_calycina",-0.103290078656118,-0.0660995455056693,-0.313944107352209,1,-0.353708171807839,-0.475431522893903,-0.478721255283763,-0.390107851771742,-0.312422780897904,-0.485507850346761,-0.00125178183172285,-0.438715415312128,-0.215870397639135,-0.15261411058513,-0.071536449427943,-0.29923009815658,-0.253040848575801,-0.467459369702012,-0.246063591461622,-0.260254188264226,-0.388116551105647,-0.0705739070150245,-0.382957277159571,-0.337555484382806,0.0166497689244016,-0.34410115092832,-0.00652988485893573,-0.442793545097108,-0.108116302124817,-0.0989770836571037,-0.491293009681893,-0.129487787630745,-0.337550021408404,-0.500767446288877,-0.391007982519757,-0.095780112033048,-0.592933045384219,-0.0623252203593666,-0.503503760771585,-0.161786860969251,-0.113021813319135,-0.372084760252422,-0.479025665652211,-0.370862717074647,-0.457306087521626,-0.424402809076916,-0.0893780757409814,-0.199746336845954,-0.390519778004788
"X_Ehrharta_longiflora",-0.0788904335747141,-0.164879708060415,-0.0230077625137516,-0.353708171807839,1,-0.462470582200926,-0.135478703978936,-0.0324339243009071,-0.0239089484806445,-0.0100033050569964,-0.547087271994037,-0.441843927878818,-0.0606287288425165,-0.032285629558307,-0.128503453860139,-0.0412400583421262,-0.0290947362402587,-0.475443000083577,-0.209853867852285,-0.0352476205050957,-0.0384290339023711,-0.466257789095118,-0.0479051789627612,-0.105401433775006,-0.563635194349718,-0.0115025066968413,-0.400236878766544,-0.493432220948354,-0.180383945323702,-0.187819622306501,-0.464724047083221,-0.132746050620114,-0.244833326384024,-0.483839050923207,-0.473386030451584,-0.307657532122794,-0.306682204969561,-0.248411789526893,-0.45825115115996,-0.0378391181491658,-0.245458593917576,-0.382051302816102,-0.142800791262948,-0.0153057575654808,-0.101919483903459,-0.489153218716743,-0.158412008292637,-0.452867025632199,-0.0859473815437367
"X_Euphorbia_peplus",-0.0777853103148678,-0.845451023610126,-0.915414364697442,-0.475431522893903,-0.462470582200926,1,-0.567818919819308,-0.595040648222131,-0.923070641820091,-0.762464506577025,-0.7523685022558,0.0535739525827523,-0.209218173234078,-0.466486240744217,-0.725622339698013,-0.909770183056163,-0.784582876426609,0.0919861170221118,-0.118724453832197,-0.367838023137944,-0.746515760027319,-0.521351921391695,-0.579888091794306,-0.355263693026386,-0.76297628277232,-0.713051724264575,-0.532798839858049,0.223213092354086,-0.864560492075353,-0.845020605344677,0.184871781773469,-0.820118749119339,-0.0370873913914313,0.201466412445217,0.0468244218379349,-0.365447872758334,-0.0816038376506661,-0.875984422831629,0.205977077426473,-0.493861351140773,-0.398696843549789,0.00690083358713324,-0.481807383171718,-0.421633613670273,-0.409696605795896,0.0952238924646475,-0.336965584001557,-0.551006888853762,-0.221856591525032
"X_Euphorbia_terracina",-0.0707233385800638,-0.500032421184148,-0.308293648454386,-0.478721255283763,-0.135478703978936,-0.567818919819308,1,-0.0989062383271574,-0.395516187812419,-0.14202052443872,-0.655411267974601,-0.509054652645792,-0.0561426629315656,-0.115242357674625,-0.41550942520684,-0.358187297599386,-0.184625678970461,-0.561896718576732,-0.17050999165902,-0.0612195551145663,-0.169056401245596,-0.551850412222508,-0.0824663187111274,-0.135846964753529,-0.680902566346442,-0.191268690142745,-0.540841902027946,-0.603033200700729,-0.472205629116715,-0.488842676017453,-0.567985237620843,-0.377659871554353,-0.289062165774716,-0.542630373137585,-0.536014818400982,-0.33404168502505,-0.347425394889893,-0.563521865502787,-0.569395135599835,-0.162311993423354,-0.299507441635839,-0.470580760771476,-0.138556944267946,-0.0521659284791981,-0.0853249621094808,-0.577553976760516,-0.252177304014303,-0.510433766839752,-0.0906893335270054
"X_Celery_like",-0.0717832152577312,-0.267863947182671,0.0362097152378913,-0.390107851771742,-0.0324339243009071,-0.595040648222131,-0.0989062383271574,1,-0.0405799902516521,0.0258815532382826,-0.758441017426168,-0.640717217232992,-0.0348559638616334,-0.0581182267527829,-0.18851887166744,-0.0746431182091313,-0.0211241558715887,-0.587659012335205,-0.208795601066916,-0.0120967386014426,0.00741681086230297,-0.67236157627414,0.0062683478263582,-0.0347050985795035,-0.73410092707639,0.0045665795051182,-0.649385947203304,-0.592442288273872,-0.0843853060238599,-0.133614040962956,-0.60650484839049,-0.167655111026632,-0.287562553893618,-0.578004321562641,-0.607076854584101,-0.29569797791996,-0.158489239104288,-0.229165673888396,-0.589293754113685,-0.0223398432554401,-0.289335048968321,-0.485842746441462,-0.012287247779346,0.00100048528986843,-0.0316428297302723,-0.624667220215907,-0.278725747522702,-0.567121423809408,-0.0415919864447776
"X_Ficus_carica",-0.230976772529414,0.146035248930229,0.418171788745024,-0.312422780897904,-0.0239089484806445,-0.923070641820091,-0.395516187812419,-0.0405799902516521,1,0.119171746175936,-0.662462350285283,-0.888632041966404,-0.172612771861397,-0.0218247214713177,0.124168164352131,0.112643687851578,-0.00943070360527794,-0.920325616306311,-0.459545915456217,-0.0713814502014378,-0.0464084117947456,-0.737594843591129,-0.0483870397705506,-0.286015384808388,-0.639669506228231,0.0737350300426644,-0.583013839875142,-0.944148538562835,0.233607152415093,0.196116769954987,-0.928826483204893,-0.0714674858153646,-0.663592719454416,-0.928427898786446,-0.903533522027071,-0.456215108046121,-0.668655406292475,0.174844331721614,-0.932673979094713,0.00169305171092981,-0.426893815864449,-0.844027512968371,-0.33336932519998,-0.0460716639338401,-0.25523673436985,-0.929610511154563,-0.292667695212491,-0.778971574790994,-0.290676457504507
"X_Fumaria_capreolata",-0.112596693850846,-0.203713446911537,0.257102352524849,-0.485507850346761,-0.0100033050569964,-0.762464506577025,-0.14202052443872,0.0258815532382826,0.119171746175936,1,-0.822948743153756,-0.771079749791663,-0.0589371202786392,-0.0658866746507269,-0.196446637325218,-0.0278108887865498,-0.0237783285637318,-0.781784882055436,-0.412777870785999,-0.0133901661327728,0.0527053177937498,-0.801014103916902,0.0500671790592308,-0.0773774937039257,-0.837361500407464,0.0922709045965395,-0.708508818113055,-0.767322222463376,-0.141949197562455,-0.190875987829455,-0.756510701011765,-0.216396733752521,-0.542194140219964,-0.742743922758585,-0.796942287458541,-0.574556143241539,-0.205854484229352,-0.289588058774522,-0.737443961194254,-0.0350868598485237,-0.601929450060321,-0.728692416460714,-0.0226444998034065,0.0283338021643234,-0.0362021987896464,-0.786328635835861,-0.436389528488619,-0.759042124638959,-0.0465087218663397
