"","X_Arctotheca_calendula","X_Bromus_diandrus","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Euphorbia_terracina","X_Celery_like","X_Ficus_carica","X_Fumaria_capreolata","X_Fumaria_officinalis","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Paspalum_distichum","X_Pelargonium_capitatum","X_Phyla_nodiflora","X_Phytolacca_octandra","X_Romulea_rosea","X_Rumex_pulcher","X_Solanum_sp","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Submerged_macrophyte","Acacia_cyclops","Acacia_saligna","Austrostipa_compressa","Banksia_prionotes","Baumea_articulata","Baumea_juncea","Conostylis_candicans","Cotula_coronopifolia","Dianella_divaricata","Dichopogon_capillepes","Haemodorum_sp_","Haloragis_brownii","Jacksonia_furcellata","Lepidosperma_longitudinale","Macrozamia_riedlei","Melaleuca_rhaphiophylla","Myoporum_caprarioides","Native_shrub","Persicaria_decipiens","Poaceae_sp","Podotheca_gnaphalioides","Ptilotus_stirlingii","Tetraria_octandra","Triglochin_sp","Viminaria_juncea"
"X_Arctotheca_calendula",1,-0.023634579646368,0.0680884561316884,0.0125248208309786,-0.00437496301355361,-0.0113431650227124,-0.000622521405689709,-0.00812326159180809,0.0591829981047784,0.0575557344550967,0.000921785375663076,-0.0211432801450046,0.00701670091639496,-0.0010803454894928,-0.00205616874462376,0.0495420057207852,0.0249260413860343,-0.00455157583276,0.00474688145953968,0.0159751872848525,0.0364702862786289,-0.0180740364535774,0.0161678928693805,-0.00291003509814489,0.0143314352476939,0.0528939927501875,-0.061375915957987,-0.00767347574532364,0.0627385627782791,0.0506838096838874,-0.00467719227936845,0.0219591778363207,-0.0121889628543575,-0.0160871037897986,-0.0399677138859493,0.000135175465226917,-0.00615061685136512,0.0409160358944237,-0.00614694482726978,0.054263640693508,0.00217610235007781,0.00732713069129524,0.00316770350558755,0.0294258214012055,0.00831080950885573,-0.00291603705460387,-0.00318838227772017,-0.0565473614376269,-0.0045375297526042
"X_Bromus_diandrus",-0.023634579646368,1,-0.0259568773266132,-0.0041587245261533,0.0105612422756474,0.0491449459180901,0.0302369688313237,0.0564052204286627,-0.0361053858449398,0.0384777913731207,-0.00193781595372201,-0.0229575105258981,0.0110136609480773,-0.0111721755905835,0.0535065452781974,-0.0595227647131877,0.0247696203625069,0.0371332626124688,-0.000957910750037643,0.00716329440331216,-0.0211844517231222,-0.0500603955260262,0.024622142112163,-0.0252836025960612,0.0172208487183866,0.0436295628955268,0.134156340096975,-0.0225261843864085,-0.0293335819780788,-0.0301371086865645,0.0863029373954915,-0.0477655334462156,0.0192871596632901,0.00670147252143698,0.0174796145411345,-0.02262618361507,0.0487777821895485,0.00771523415915494,0.0290719915684437,-0.0383327914192457,-0.0330178125759043,0.0182682719986479,-0.0117019017971767,0.0490292193717401,0.0360493609751275,0.00952506818971666,-0.0262180476016373,-0.0304864804186542,0.0436439043813614
"X_Cynodon_dactylon",0.0680884561316884,-0.0259568773266132,1,0.0488278083407659,-0.0272063279806812,-0.0538526414846074,-0.0122651792458426,-0.0307742331157362,0.17513085533494,0.154094588751656,0.0141461047487745,-0.169390891754619,0.016519385972802,-0.0128121872912946,0.0320604650267676,0.111517851229941,0.0578993214619169,-0.0292575410626187,0.0139870859165322,0.0557801137810762,0.0626205699943616,-0.0357765113437285,0.0350721403066069,-0.032570205433281,0.0743109678574297,0.119839228367005,-0.124305833774065,-0.0854957431114068,0.245415068427754,0.191621158570535,-0.139511906892619,0.0569790331577179,-0.0478879663144759,-0.115981126975876,-0.230827637780565,-0.0152698297480135,-0.0787818759986499,0.220836601704801,-0.0493048044323302,0.154078585688675,-0.00714798916381085,-0.00874922750864877,-0.00889163670316416,0.0778798258885316,0.0144872111647268,-0.0343179800839834,-0.00833321510952913,-0.226642394632615,-0.043179589915311
"X_Ehrharta_calycina",0.0125248208309786,-0.0041587245261533,0.0488278083407659,1,0.00302107254079224,-0.0173630550311327,-0.00184464188974864,-0.00235196015278412,0.0381159534812787,0.03225875316728,-0.000295214976721685,-0.0304117763822923,0.003524891002162,-0.00638433592810842,0.0028862670916452,0.0251689841774099,0.0195274075881075,-0.00829621232891269,-0.00208391821745798,0.0151189179842653,0.0120684362695437,-0.0151406983907222,0.00422647909604901,-0.000868282041855432,0.0138375654880126,0.0325358127901963,-0.0287193457100785,-0.0177159190571236,0.0538931096289545,0.0416257018654879,-0.0307075309187451,0.00594441556068387,-0.00875210422440862,-0.0208522282170666,-0.0430253861884482,-0.0046449780834299,-0.0047233655320926,0.0342794932188597,-0.00751985712037353,0.0282292854437521,-0.00140905942720954,-0.0058293176081722,-0.00350654435780829,0.0280750098092634,-0.0044843129879594,-0.00323496939186514,-0.00172533575403801,-0.0389125682347968,-0.00626082894945232
"X_Ehrharta_longiflora",-0.00437496301355361,0.0105612422756474,-0.0272063279806812,0.00302107254079224,1,0.00949283340303359,0.019955942620556,0.0359351638114728,-0.00600812233763592,0.0401740449310495,-0.015036976093912,0.0426875213685215,0.0142346281606073,-0.00059036300318839,0.010443174283773,0.00991000055096446,0.037887239179613,0.0334500378013185,-0.0076385490679269,0.000723749918875223,-0.00214074781878372,-0.0460749657376091,0.00141376444573014,0.023517520131673,-0.00998727868317683,0.0577065378331355,-0.000905474813757915,0.0277296380029658,-0.0212201688601227,-0.0202394164750133,0.0558703308284334,-0.0169084247426008,0.0137146321857485,0.0440958422874565,0.052258929975542,-0.0207317707011933,0.101600619667639,-0.0524744743009523,0.030952734732431,-0.0228183130922845,-0.0109212251359811,0.0152092106212299,0.01388566076845,0.0532979190831229,0.00767519427849077,0.0247937861911233,-0.00656670877292284,0.0136119909614618,0.0460011637143102
"X_Euphorbia_peplus",-0.0113431650227124,0.0491449459180902,-0.0538526414846074,-0.0173630550311327,0.00949283340303359,1,0.0491840862913185,0.0693872696629163,-0.0104407331023915,0.086616593160349,-0.0176028251748563,0.0736587091070094,0.0213415617954156,-0.000781630317748045,0.0181794229896876,-0.0408960577853273,0.0230292597148772,0.0788509069040934,0.0387081372151417,-0.00733022940159276,0.0113246148873991,-0.0186542462185769,0.0512406379410903,0.0084697459880527,-0.0122484370755206,0.0803478589949535,0.0635902383825831,0.043233142185264,-0.066605814215814,-0.0783141761529723,0.163213058966275,-0.0474491628179215,0.0172179421198791,0.0410973743977735,0.122641975298186,-0.033924012040519,0.103247326375114,-0.07578954358782,0.0477599284942892,-0.0438086688464725,-0.0144460471050705,0.0440942204739955,0.0112778691863283,0.060246954840876,0.0601396910228333,0.0421279743556579,-0.0154786123894892,0.0348467209248504,0.0653266780120734
"X_Euphorbia_terracina",-0.000622521405689709,0.0302369688313237,-0.0122651792458426,-0.00184464188974864,0.0199559426205561,0.0491840862913185,1,0.0566036298706354,0.0209356226803143,0.0802598689032736,-0.0183855469376997,0.0305553875686233,0.0189922524055901,-0.00604616288485183,0.0296821147783673,0.0148647441714067,0.0349603532249086,0.0450357209594218,0.00917214370153363,0.00524468148958936,0.0178140980663361,-0.034678229157268,0.030507693748824,0.0157494376805571,0.000597982156374272,0.0735684570851718,0.0295884933500802,0.0195489246613187,-0.0194595981349687,-0.0410341961667091,0.100908571236163,-0.0233502934365181,0.0140683565734788,0.022468744255135,0.0655045039255478,-0.0305446351600486,0.0764642919552646,-0.0312604174093427,0.0303060347966388,-0.0154756543623379,-0.0117871793100641,0.03026081559142,0.0042979020073881,0.0706135373717146,0.0317856771790719,0.030724831793111,-0.0216082864264278,-0.00199566422220931,0.0538549828093893
"X_Celery_like",-0.00812326159180809,0.0564052204286627,-0.0307742331157362,-0.00235196015278412,0.0359351638114728,0.0693872696629163,0.0566036298706354,1,0.0154468558340429,0.111343998845692,-0.026455660834412,0.0578182186359068,0.0289170002674603,-0.00756148698485039,0.0471474681052937,0.0151985789516793,0.0497779439217547,0.0647353395175683,0.020294822456535,0.00703495984620039,0.0210283460659597,-0.057595886948105,0.0402939089084124,0.0222397886581835,-0.00441411616009478,0.105990602810827,0.0513108156903734,0.0284020233295518,-0.0368904704760341,-0.0596762744662263,0.149650862765255,-0.0413307450734633,0.027485107523879,0.0422737778568672,0.0968748755395364,-0.0421159421604812,0.122137870206464,-0.0596207732401034,0.0407419957814981,-0.0342653398533384,-0.0192174188884381,0.0395728033676211,0.00508300139717215,0.103093453135729,0.0468282336802127,0.0477162901985108,-0.0285232000083566,0.0040853177592322,0.0816709601279939
"X_Ficus_carica",0.0591829981047784,-0.0361053858449398,0.17513085533494,0.0381159534812787,-0.00600812233763592,-0.0104407331023915,0.0209356226803143,0.0154468558340429,1,0.17361258961013,-0.00579594719430691,-0.0907706575979278,0.0202731653364449,-0.0148718837805078,0.0220926949057683,0.108640649460249,0.0693511967552112,0.00567363955452443,0.0217852939526293,0.0471091967250511,0.0757054998007669,-0.0492231063301155,0.051288890439789,-0.00381391338006996,0.0499980204116673,0.149784003039532,-0.111235667637762,-0.0396802252814435,0.172460023856154,0.101522994261899,-0.0321193126904808,0.0403592859573743,-0.0170563302940765,-0.0706748013050262,-0.106472497616836,-0.0309372172572739,-0.00584766610737809,0.114549015021295,-0.0165559119073369,0.105737059542066,-0.00751082381017417,0.0110973294967358,-0.00467469792229515,0.113238043647767,0.015135285737805,0.0133592000593967,-0.0240441949506456,-0.163963808322765,0.000840645587837731
"X_Fumaria_capreolata",0.0575557344550967,0.0384777913731207,0.154094588751656,0.03225875316728,0.0401740449310496,0.086616593160349,0.0802598689032736,0.111343998845692,0.17361258961013,1,-0.0545045659855514,0.0479596778889472,0.0618747323682471,-0.00735676940993359,0.0628558002289939,0.131960605000582,0.199083024925866,0.127241723372055,0.0242370525725533,0.0756401184230672,0.119509262770431,-0.139589922604969,0.142000118661842,0.0162115227441562,0.0325308501213176,0.408105375191018,-0.123168552944489,0.00239658141965612,0.160770818370191,0.0794490889274505,0.208804866912371,-0.0394803451970509,0.0154655229049467,0.0511007120817136,0.0410771573431752,-0.081325333028139,0.239877383758322,0.0572333341161399,0.069996656303046,0.101010296542337,-0.0446376566482634,0.0896160546578924,0.0347353349256404,0.307424156782098,0.123381160766198,0.0671137773967314,-0.055485077713196,-0.172126215845616,0.121333842615442
