"","X_Arctotheca_calendula","X_Bromus_diandrus","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Euphorbia_terracina","X_Celery_like","X_Ficus_carica","X_Fumaria_capreolata","X_Fumaria_officinalis","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Paspalum_distichum","X_Pelargonium_capitatum","X_Phyla_nodiflora","X_Phytolacca_octandra","X_Romulea_rosea","X_Rumex_pulcher","X_Solanum_sp","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Submerged_macrophyte","Acacia_cyclops","Acacia_saligna","Austrostipa_compressa","Banksia_prionotes","Baumea_articulata","Baumea_juncea","Conostylis_candicans","Cotula_coronopifolia","Dianella_divaricata","Dichopogon_capillepes","Haemodorum_sp_","Haloragis_brownii","Jacksonia_furcellata","Lepidosperma_longitudinale","Macrozamia_riedlei","Melaleuca_rhaphiophylla","Myoporum_caprarioides","Native_shrub","Persicaria_decipiens","Poaceae_sp","Podotheca_gnaphalioides","Ptilotus_stirlingii","Tetraria_octandra","Triglochin_sp","Viminaria_juncea"
"X_Arctotheca_calendula",0,0.052553434451041,0.0464234820981669,0.010811516556734,0.0267310667153506,0.0275587968483899,0.0138185136791524,0.0280713683050384,0.0460982155264688,0.0453088009704392,0.0137579731621172,0.0624220407835909,0.0197374570266738,0.0173982712638794,0.0346923730217523,0.0439292725863373,0.0303184238284324,0.0191277132760542,0.0252137883714967,0.0266629375033635,0.037614768973608,0.0454934114604236,0.0152283800365457,0.0310201519723916,0.0255705283187189,0.043611027071075,0.0601539723115416,0.0355252498414551,0.057874763725357,0.043800855071784,0.041386396036782,0.036097894031011,0.0174340839606221,0.0209701830964186,0.0636962494462795,0.0245772327009668,0.0278612380243213,0.0657189713106765,0.0160245771096115,0.0456387034787628,0.0176018693020035,0.020476189872658,0.0151457404212725,0.029850482614635,0.0184612146142314,0.0276791346208783,0.031918461104434,0.0824559433314597,0.0186694696221155
"X_Bromus_diandrus",0.052553434451041,0,0.136524722203616,0.0346949256365385,0.0485583597709153,0.0929590538901495,0.0390894351802238,0.057280974172987,0.13277662554738,0.117015113714457,0.0146311327300471,0.080085627923911,0.0231529902232977,0.0201886214259839,0.0537133031898831,0.139917661037695,0.0577667221819552,0.0490563630103415,0.0483674266699347,0.0347339959955126,0.0512781882967632,0.0688333191223435,0.0395826657991213,0.0494193948929327,0.0315294696207378,0.111921349105908,0.168544011367459,0.0403496632519127,0.144152579269437,0.125271167029595,0.109762248552142,0.0977095487043494,0.0301890735873999,0.0481943096027479,0.128752646781657,0.0396316221327728,0.0375158546818467,0.110065602225395,0.0406747383243772,0.122990988123936,0.0283685785366739,0.0407711726574122,0.0231615447054028,0.0584085873364305,0.059761938084073,0.07894439991899,0.0372430509376542,0.110362305423868,0.0358614712822006
"X_Cynodon_dactylon",0.0464234820981669,0.136524722203616,0,0.0517010381890534,0.065217343419111,0.0573500068562207,0.0453801814825089,0.070556990792883,0.149765089000311,0.17015853174962,0.0454090879175026,0.259898999958749,0.0430267334874007,0.0380284101623245,0.127289503555972,0.100463650379093,0.0847924174794709,0.041154404195194,0.0514896863179457,0.0594006438696945,0.0604992823368616,0.142316657228103,0.0390485951673801,0.0756759805611315,0.113153129107462,0.113025396358848,0.145261124165416,0.129095860588584,0.219794474993145,0.175003797233354,0.166020671011106,0.0971743098537246,0.0403823244941333,0.17143535756302,0.260629083358413,0.0627342707188218,0.0971613273671949,0.249013886591115,0.0583448313213265,0.112307645134934,0.0634615532009356,0.0531974680729037,0.0441041222577609,0.0971309005065607,0.0510609082676896,0.0624017687873676,0.0643114635267557,0.25344310236039,0.0458681529957842
"X_Ehrharta_calycina",0.010811516556734,0.0346949256365385,0.0517010381890534,0,0.0137221833194896,0.0241848706664768,0.0137184959586799,0.0177422446295115,0.0327999734640086,0.0543141614463185,0.00373627863011151,0.0547511752364623,0.0111589456579934,0.0107002809468153,0.0275334879251609,0.0186221967980263,0.0307274318230425,0.016615249653047,0.0188268718796203,0.0156578202552423,0.0162341240855388,0.0392056358948376,0.019762566860957,0.01280786470233,0.0259256245068084,0.0522167019401571,0.0286480710626422,0.0255582526610521,0.0505431801577893,0.038749017820728,0.0406182246153207,0.0191269796329673,0.00909162828903249,0.0382431647703271,0.0557126870917236,0.0181346747038433,0.0418362398672947,0.0510226951169216,0.0201463869694772,0.0266254903506441,0.015032120383068,0.0170409907472187,0.00821881489802755,0.0447201319071166,0.024024233914352,0.0169298490809755,0.009371523670383,0.0490601569162031,0.0151359286978737
"X_Ehrharta_longiflora",0.0267310667153506,0.0485583597709153,0.065217343419111,0.0137221833194896,0,0.0292914227881166,0.0249380598889355,0.0479300187005133,0.0502733791984153,0.102677337538629,0.0215406468560541,0.0911930241372382,0.0159062978057936,0.020206985864989,0.0444586522085736,0.0418887856216202,0.0633191381646796,0.0476749645209198,0.0390893707000934,0.0268800968870081,0.0394028838564026,0.0610150643849478,0.0334119055882985,0.0228937827856855,0.0259784163679036,0.130125297410733,0.0929028510157447,0.0330034361020571,0.0599913720366136,0.0702230633159679,0.0948724943148152,0.0355388290364251,0.0209919805098823,0.0667981106273957,0.115220851689143,0.0271200665805681,0.132577067938162,0.0861896806665649,0.0513891700714958,0.045970585255783,0.0251588621385479,0.035129456829318,0.0194885639200889,0.0807250216828957,0.0431931973480351,0.0395583940193585,0.0301507805595367,0.0994657072123598,0.0491051661256076
"X_Euphorbia_peplus",0.0275587968483899,0.0929590538901495,0.0573500068562207,0.0241848706664768,0.0292914227881166,0,0.0586823824419557,0.0794072559215387,0.0456831131103332,0.114261628928182,0.0240617073948459,0.0561613086807786,0.0251136728636842,0.0169244555640424,0.0524302933965215,0.133924372811347,0.0331341002402582,0.0985716251530078,0.103359898081498,0.0107580817349072,0.0209555315933156,0.0309121724630899,0.0694790107035013,0.0424698321405926,0.0287062422662131,0.093698352560739,0.127998061047866,0.0280547399198576,0.0405058378202633,0.0739050634356559,0.113757769220848,0.0945028696691448,0.0245839141609056,0.0351804934282252,0.0568457837827066,0.0593285575786692,0.0760325696757681,0.0627421163411245,0.0446995158736463,0.0922736714753866,0.0193910330683688,0.0365421352229756,0.0267293500553945,0.0594263568983313,0.0759660507197056,0.0830676916469579,0.046916562383998,0.0757592100088076,0.0472325841557521
"X_Euphorbia_terracina",0.0138185136791524,0.0390894351802238,0.0453801814825089,0.0137184959586799,0.0249380598889355,0.0586823824419557,0,0.0644130271761185,0.0229004775858351,0.0605766271531774,0.0217282879260807,0.0481992107610875,0.0247285620153699,0.0121953577478815,0.048335535236791,0.0761475832890554,0.0281342732385628,0.033454434160719,0.0374363734285797,0.0180078058895312,0.0328256750647269,0.0330324308066808,0.0290168380549464,0.0294052338322254,0.0119636451171397,0.0464384797754826,0.0778027841944924,0.0184453494547771,0.0667954927415309,0.0841390644844035,0.0952277166788257,0.0328714024159869,0.0323454921748622,0.0246210685377305,0.0920031827578583,0.0302295801916467,0.0456825355782178,0.0623172321068949,0.0188053117899892,0.0415684845626572,0.0130079800623956,0.0305669638682158,0.0144875669407013,0.060839845355277,0.0281483144679731,0.0476251034843178,0.027847631784099,0.0663806298056821,0.0526575469744312
"X_Celery_like",0.0280713683050384,0.057280974172987,0.070556990792883,0.0177422446295115,0.0479300187005133,0.0794072559215387,0.0644130271761185,0,0.0329420015235363,0.0808357987765842,0.0354511159283874,0.109565735032577,0.0359829581504932,0.0229581257533299,0.0673231083864873,0.134607173945563,0.039600491758427,0.0458029808111864,0.0522863061006364,0.0278035474444947,0.0589257169870381,0.0651282415387786,0.0319288324137369,0.0514632330496011,0.0253481613607277,0.0904498645454846,0.117330229687209,0.0269184329442659,0.0824894865524176,0.11873883663288,0.122910179962847,0.0579427052684678,0.039763462238382,0.0440042893372724,0.146967449353248,0.0439763112517603,0.105445418313876,0.112103446451291,0.028289016411404,0.0661037316980545,0.0169050690754779,0.0472978933255937,0.022995762398895,0.11095735287431,0.0319753769881097,0.0600417578382101,0.0476221979752407,0.122525353642654,0.0779142588448537
"X_Ficus_carica",0.0460982155264688,0.13277662554738,0.149765089000311,0.0327999734640086,0.0502733791984153,0.0456831131103332,0.0229004775858351,0.0329420015235363,0,0.122391866343676,0.0413767979766133,0.177617463909954,0.030969843897875,0.0436669569821207,0.0921756974931532,0.0610743709029975,0.0656326438240992,0.0317120023350499,0.0631692636648437,0.0671561053592486,0.0779607636610326,0.0916764170741907,0.0515864593679487,0.0758436059711825,0.0752469649977148,0.114481086060791,0.114357268149116,0.102357101493321,0.142603287610004,0.124259535909811,0.166388576672438,0.0748480168358726,0.032458791041715,0.110495530078914,0.19335776716843,0.0390125364356376,0.0481279545994868,0.187770614184418,0.0371613615827411,0.110753562340525,0.0576943739545244,0.0451856514356303,0.0270954504056697,0.105722136746018,0.0752171836287892,0.0805614287537015,0.0565189132427405,0.206728871149132,0.0279688003120991
"X_Fumaria_capreolata",0.0453088009704392,0.117015113714457,0.17015853174962,0.0543141614463185,0.102677337538629,0.114261628928182,0.0605766271531774,0.0808357987765842,0.122391866343676,0,0.0526500766615184,0.134139237667511,0.0579300097226728,0.0504620160982926,0.122507537335884,0.157657003277591,0.140638877142053,0.0661048723852285,0.0806996303652106,0.0911351587914628,0.104421351365378,0.189467001383064,0.0839328591525338,0.066528358675648,0.0586839041366688,0.262698156233174,0.187105825511495,0.0724010224285709,0.190614123542259,0.201635153781881,0.216930348244076,0.118717330200099,0.0562828548403873,0.0531181996939587,0.284417898912335,0.0481340947268304,0.182363508709352,0.155884581187671,0.0872741439162869,0.101428202997515,0.0925305836354975,0.0566223713368179,0.0345385058859245,0.219329269379481,0.0733842525110802,0.0995622590460198,0.0644459882917535,0.317694977172735,0.0883923110641701
