"","X_Arctotheca_calendula","X_Bromus_diandrus","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Euphorbia_terracina","X_Celery_like","X_Ficus_carica","X_Fumaria_capreolata","X_Fumaria_officinalis","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Paspalum_distichum","X_Pelargonium_capitatum","X_Phyla_nodiflora","X_Phytolacca_octandra","X_Romulea_rosea","X_Rumex_pulcher","X_Solanum_sp","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Submerged_macrophyte","Acacia_cyclops","Acacia_saligna","Austrostipa_compressa","Banksia_prionotes","Baumea_articulata","Baumea_juncea","Conostylis_candicans","Cotula_coronopifolia","Dianella_divaricata","Dichopogon_capillepes","Haemodorum_sp_","Haloragis_brownii","Jacksonia_furcellata","Lepidosperma_longitudinale","Macrozamia_riedlei","Melaleuca_rhaphiophylla","Myoporum_caprarioides","Native_shrub","Persicaria_decipiens","Poaceae_sp","Podotheca_gnaphalioides","Ptilotus_stirlingii","Tetraria_octandra","Triglochin_sp","Viminaria_juncea"
"X_Arctotheca_calendula",1,0.0758105716846709,0.0486874293140289,0.0504822330904081,0.0162389954227894,0.228030872163515,0.0922557784989964,0.0243274013031421,0.059677100861122,0.0160127759816005,0.0831030579206452,0.204385794185431,0.032811289581949,0.0137412443953114,0.0587592517208237,0.0477205094721528,0.0256780687051768,0.196968258221736,0.0503100741086461,0.0317874384533976,0.0279382102863968,0.0834210340168286,0.0310919056937475,0.0416067895489249,0.0941879497656681,0.0270233645101386,0.07179951440889,0.234935414917619,0.0673082651128454,0.0758801280774919,0.233573672988076,0.0336838305424016,0.0917670792590132,0.247592476914292,0.19898182635623,0.0452204442010962,0.181585544448993,0.0890008818065904,0.229617610504267,0.0240664370046057,0.0342193831458466,0.138907463129588,0.0615136117485905,0.0149205872460015,0.0550938515174969,0.2047426898692,0.0248504859960691,0.0920529056410095,0.0535977494597036
"X_Bromus_diandrus",0.0758105716846709,1,0.767889454607083,0.47100604231576,0.400564616492006,-0.138090241288,0.49881516702539,0.360657471492074,0.828673736698187,0.491146730673681,0.680024473357462,-0.042299652268869,0.149399643456982,0.400191133451163,0.703236719087109,0.83827390861839,0.616289847163976,-0.0866818130308025,0.08875907242975,0.238558357345742,0.540398185972407,0.487839627652802,0.318999388758082,0.253232008128904,0.651675387486182,0.563602476649848,0.520817326575269,-0.266768067228625,0.7660512774669,0.753319869831933,-0.186921089866945,0.710861341594401,0.0271534291864684,-0.192402728263405,-0.0457605121216938,0.361243555604859,-0.11325813600348,0.824935838985007,-0.204884997098788,0.409712731680883,0.367410175079276,0.0209166419781993,0.256489891979378,0.239609252157359,0.262125489109983,-0.0730878198995716,0.363898014601172,0.475791811395383,0.108788186666533
"X_Cynodon_dactylon",0.0486874293140289,0.767889454607083,1,0.288448667782103,0.546523816164865,-0.0878454748690082,0.592100432205187,0.782818755397579,0.935282061536391,0.854494723711321,0.37994111877435,-0.0357257417724537,0.327279215438562,0.481210122018559,0.652190564693677,0.923102623695967,0.849076136043728,-0.0619900144840391,0.152794175665493,0.526311001864691,0.853871946046253,0.309331972472035,0.763218703048936,0.495982581770177,0.343701812880777,0.805100333671861,0.203722432080469,-0.193737294546792,0.832281538803261,0.802051840716533,-0.0980108739853735,0.772194857455044,0.107651456464584,-0.154953081432148,-0.0454959303502011,0.292576414831401,0.350549741723068,0.800029772390897,-0.110968047290836,0.526125024352789,0.308754659211189,0.00788485415719804,0.678166695795196,0.651734449587393,0.66540822896448,-0.0772044554526276,0.25864758520402,0.379056227240196,0.416764622346456
"X_Ehrharta_calycina",0.0504822330904081,0.47100604231576,0.288448667782103,1,0.145124876713677,0.20757941057967,0.132672847584899,0.0775376491572813,0.380677611944892,0.1119583678494,0.583338223189667,0.224845434462527,0.0458393205207112,0.147254440520791,0.382291105605522,0.402890871027066,0.208713179550691,0.235594025756055,0.127526559387933,0.0514636082952507,0.15388313484166,0.48145680777256,0.0440714187728734,0.0934725622329776,0.598232018149077,0.172456438023088,0.485429545875081,0.202104850282122,0.440235719254781,0.460885753105608,0.20730388599241,0.392386634174626,0.118203074011636,0.167861902603385,0.245571833133964,0.315439201708451,-0.00712082933122316,0.541472310223754,0.168630904649974,0.176583665300679,0.303884900378297,0.196983825501243,0.0364057642923886,0.0291656228753553,0.0368252311995324,0.220857989049088,0.261292693389878,0.419692275937849,0.0157309342366537
"X_Ehrharta_longiflora",0.0162389954227894,0.400564616492006,0.546523816164865,0.145124876713677,1,0.189730360083346,0.395376722837529,0.368913758619319,0.550760561114082,0.599195661295832,0.214502913210653,0.176030640452671,0.165197067163358,0.215240393597535,0.340817031875475,0.541197304686096,0.413982175045232,0.168739311456068,0.108992830509813,0.226657725682513,0.455717250168794,0.130729778490045,0.450617666138844,0.214081290113232,0.200668112460967,0.46827743042764,0.164464423146746,0.165276924729187,0.394793973205204,0.386537531149688,0.17915456040424,0.337803235180904,0.14639118589397,0.194966096166522,0.107389746964442,0.100049865115398,0.380046078915784,0.414615524333162,0.20898648737112,0.239426069839347,0.127408624609151,0.105013181833428,0.358875996590445,0.412429040167871,0.366872996935448,0.127896152090284,0.141296509625161,0.142826200384698,0.311438466181478
"X_Euphorbia_peplus",0.228030872163515,-0.138090241288,-0.0878454748690082,0.20757941057967,0.189730360083346,1,0.501857190567715,0.226455037435547,-0.102154835149116,0.277282865432279,0.471666258399784,0.894598703888173,0.218197677269803,0.0999329913713542,-0.120431764972606,0.078833269464336,0.08155155344393,0.923182309317538,0.453943384202267,0.188075319020647,0.258939985045414,0.529888139105789,0.251404074528559,0.412354243483528,0.426193261500381,0.131975218136057,0.444063933237715,0.946813591370661,-0.21049041736342,-0.180842552685268,0.938983885498151,0.0835451136939676,0.724369417964402,0.943838703506512,0.90282607063277,0.32880162447224,0.849804465292213,-0.181928279964756,0.936667939458449,0.0586007674807608,0.306873855704701,0.825117830589908,0.591593779778595,0.208053951016141,0.45645699192738,0.929572924613139,0.256636734116711,0.715751192817106,0.479429462498281
"X_Euphorbia_terracina",0.0922557784989964,0.49881516702539,0.592100432205187,0.132672847584899,0.395376722837529,0.501857190567715,1,0.460038607196167,0.603627346851309,0.631006291595126,0.23042985362529,0.427982659886846,0.232076351070647,0.220578094458849,0.405989695265488,0.565974317714354,0.423757741795927,0.460781901604283,0.226517996862632,0.263449480177322,0.506625614588736,0.143927380473216,0.504868351643015,0.366728118226503,0.228895516231567,0.455183612995016,0.158871793666612,0.475965742621731,0.491140178105719,0.444701558203499,0.522286761955851,0.337952582655058,0.331230697440945,0.521016128937381,0.391351306136414,0.123757658881359,0.619621921818511,0.514272404636783,0.524059118387976,0.267466773110095,0.163336030853049,0.308735076190322,0.565875761981342,0.419271223260592,0.465144565601742,0.459531913177687,0.122246535554385,0.206328253758532,0.41959300884578
"X_Celery_like",0.0243274013031421,0.360657471492074,0.782818755397579,0.0775376491572813,0.368913758619319,0.226455037435547,0.460038607196167,1,0.667459961188206,0.749587552099041,0.081992516524629,0.137512472430518,0.215894404601428,0.259633559815933,0.298646619843084,0.598768549510434,0.480604337887466,0.191920517628032,0.151223387374862,0.337182674518069,0.68416719065523,0.0944179596908233,0.660759720562777,0.370096733385561,0.0598282228168072,0.618598052904076,0.025893442194127,0.145869613888793,0.469469421205723,0.393884501974947,0.202092261106687,0.321107783208934,0.162098207048864,0.229191026443342,0.104599028027064,0.121600831907953,0.542694014460296,0.383921912410297,0.212370610799274,0.305338041204928,0.120717290503722,0.119860669176387,0.710074906144764,0.470466986740347,0.482646381540598,0.162350173970136,0.10653024993637,0.120074305636623,0.309804766787094
"X_Ficus_carica",0.059677100861122,0.828673736698187,0.935282061536391,0.380677611944892,0.550760561114082,-0.102154835149116,0.603627346851309,0.667459961188206,1,0.82666073247562,0.558971853170009,-0.079386053983914,0.258229150111038,0.509814109324403,0.707335432854261,0.935526799977913,0.8305266044179,-0.114405626349651,0.118359914273712,0.432552281963552,0.797310307433983,0.382468826713651,0.647014528498509,0.444812866588836,0.472486119752871,0.803617361431051,0.327890274319565,-0.241273456925011,0.848080024163848,0.818278584796287,-0.148967931361154,0.795631311812725,0.0696282058879849,-0.185510470085925,-0.0589081818345139,0.291626354225646,0.257475190451282,0.84104477069975,-0.160775084287565,0.506712387598426,0.306923645308931,-0.00549515131810202,0.579289904090388,0.602093417714011,0.563612346890693,-0.0965418369192973,0.313595664994372,0.41670800586548,0.366179433192813
"X_Fumaria_capreolata",0.0160127759816005,0.491146730673681,0.854494723711321,0.1119583678494,0.599195661295832,0.277282865432279,0.631006291595126,0.749587552099041,0.82666073247562,1,0.0781432356872049,0.188640095083103,0.349665812315198,0.402284502904026,0.43154392609238,0.806846851523087,0.70668835331774,0.220818500168841,0.25221685097801,0.502645800943849,0.810186507374331,0.143420243441118,0.778954985252282,0.513027550742968,0.0551039058486669,0.743900137477163,-0.0452522694397018,0.193159976413352,0.586373890949676,0.541740180199278,0.278837109690981,0.525793938063184,0.262363484993779,0.23556441343256,0.21518911006358,0.205417355440538,0.623043766430911,0.524303905143261,0.30685513129038,0.431523811475267,0.231862545681992,0.167589484041975,0.723675775220646,0.670952706455815,0.748965426933666,0.273590107355531,0.182160151311529,0.250464166039595,0.55350726074502
"X_Fumaria_officinalis",0.0831030579206452,0.680024473357463,0.37994111877435,0.583338223189667,0.214502913210653,0.471666258399784,0.23042985362529,0.081992516524629,0.558971853170009,0.0781432356872049,1,0.545746605913009,0.0754046421831385,0.222024656883077,0.567369340022936,0.589883844738581,0.31476298878886,0.511281253079228,0.251527896809978,0.0672552460123422,0.159786522935084,0.820556907505886,0.0222571302822998,0.104328412809907,0.918120526614257,0.253994932713479,0.775490410649031,0.495689882286197,0.643856694663381,0.668433576662212,0.449797294695734,0.600278900298267,0.315245409327577,0.428331470836934,0.570591008293231,0.614894934909881,-0.00641348135938965,0.741094115611825,0.430112634478394,0.256286379950697,0.574444352908439,0.451060387969397,0.0470523108625001,0.0432809138864362,0.0357963948447217,0.547552824439463,0.460355108228163,0.754391555113969,0.0137551208303795
"X_Gladiolus_caryophyllaceus",0.204385794185431,-0.042299652268869,-0.0357257417724537,0.224845434462527,0.176030640452671,0.894598703888173,0.427982659886846,0.137512472430518,-0.079386053983914,0.188640095083103,0.545746605913009,1,0.158325245472194,0.0760790459919166,-0.033976506011015,0.0509225195777337,0.0473154376078822,0.885882139297095,0.388986032642077,0.117840551625591,0.194043797189906,0.606378929431579,0.178629473654039,0.285382888790868,0.532788552295491,0.0920296907886589,0.536139704286258,0.89844040610894,-0.099596535023279,-0.0800736169456492,0.900758530697117,0.0672284875226424,0.601019500274973,0.905481843507652,0.870658872507557,0.332257686496884,0.719389307569771,-0.0589703922292519,0.893423158306322,0.0384782377603765,0.331919387438377,0.783435931512018,0.417134101353444,0.172571830761635,0.300375418884392,0.883703253301584,0.257739431286702,0.703251641615143,0.376547140884446
"X_Hypochaeris_glabra",0.032811289581949,0.149399643456982,0.327279215438562,0.0458393205207112,0.165197067163358,0.218197677269803,0.232076351070647,0.215894404601428,0.258229150111038,0.349665812315198,0.0754046421831385,0.158325245472194,1,0.0971596232918866,0.123930755657102,0.237656557612977,0.183338694501722,0.198675120226091,0.0832338853498126,0.145845382668857,0.296912069451109,0.05823692312384,0.263179836831602,0.154491700415389,0.0735847133194208,0.258724729013029,0.0486595912426929,0.225421274419093,0.179108082359554,0.160637929201456,0.230672875296833,0.136975335583283,0.115525133738755,0.243949080739388,0.166716736629207,0.0521144793105215,0.325285697260242,0.155453429108041,0.215805509376994,0.115520796421206,0.0698033036421662,0.141977020298193,0.228421329756839,0.194890914866493,0.244712162829484,0.204271726524272,0.0394820170669369,0.0711544512060625,0.17944614115717
"X_Paspalum_distichum",0.0137412443953114,0.400191133451163,0.481210122018559,0.147254440520791,0.215240393597535,0.0999329913713542,0.220578094458849,0.259633559815933,0.509814109324403,0.402284502904026,0.222024656883077,0.0760790459919166,0.0971596232918865,1,0.319347293624535,0.464142021434392,0.258496547823862,0.0675361835744998,0.0587835579938477,0.133018355812541,0.333547125500825,0.130863102095162,0.241717264915246,0.128692101553136,0.211056903009299,0.333409412655544,0.144749587446379,0.0755204230347964,0.382287844138381,0.381516350537407,0.0940066964026207,0.26704780426207,0.0618685620806705,0.0900020555123683,0.0607991264569239,0.0948925346916007,0.190007183078032,0.435688610999959,0.108501933630025,0.197105281699793,0.0796191567083879,0.0517276684554881,0.194630656120464,0.191754926256442,0.176360588413083,0.0798361622364912,0.0892357490947266,0.126824274127937,0.129211171073078
