"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-2.08200614953687","-2.89536321068562","-0.773735688569469","0.747006237639514","-0.358791561593457","-0.223387263636597","-0.578242118942853","-0.18609790076062","boral","X_Avena_barbarta"
"2","meanGW","0.303368964672865","-0.389659868342249","0.909049645375977","NaN","NaN","NaN","NaN","NaN","boral","X_Avena_barbarta"
"3","intercept","-2.86479448301138","-3.90473073207307","-2.08293388233018","0.656802152936736","-0.229266761309288","-0.173511991980503","-0.3042583322654","-0.122938139337397","boral","X_Avena_fatua"
"4","meanGW","0.264815512763321","-0.598661893510866","0.959215182452636","NaN","NaN","NaN","NaN","NaN","boral","X_Avena_fatua"
"5","intercept","-2.44463148597644","-3.63672593929838","-0.131038806550451","1.15276038635947","-0.471547713007973","-0.189346186933543","-0.930442150511215","-0.228685935729412","boral","X_Briza_maxima"
"6","meanGW","0.583888044324828","-0.547472765531176","1.62334627332581","NaN","NaN","NaN","NaN","NaN","boral","X_Briza_maxima"
"7","intercept","-1.36850862224773","-1.78194896838412","-0.507235750024745","0.440740651140527","-0.322059097016593","-0.147777106978421","-0.556841572507695","-0.16057474040017","boral","X_Bromus_diandrus"
"8","meanGW","-0.769865759272487","-1.083286199177","-0.509961701199829","NaN","NaN","NaN","NaN","NaN","boral","X_Bromus_diandrus"
"9","intercept","-1.00915846638385","-1.87761700384198","-0.259748897626299","0.522368632032689","-0.5176279538183","-0.225572308266544","-0.756944847442488","-0.273478405421629","boral","X_Conyza_bonariensis"
"10","meanGW","0.267461022424495","-0.630174512788256","1.28135321807688","NaN","NaN","NaN","NaN","NaN","boral","X_Conyza_bonariensis"
"11","intercept","-1.10176556322657","-2.25254950227263","-0.497413967251426","0.628198024778509","-0.570173951470043","-0.364456208269161","-0.638239581897054","-0.289901027677422","boral","X_Conyza_albida"
"12","meanGW","-0.244478864909458","-0.804622116724922","0.0960866202757878","NaN","NaN","NaN","NaN","NaN","boral","X_Conyza_albida"
"13","intercept","-2.03968308623899","-3.7398182667607","0.189070455895605","1.27911972035427","-0.627116893297803","-0.316150510860278","-1.10649613319034","-0.321219312698743","boral","X_Conyza_sumatrensis"
"14","meanGW","0.307709369913596","-1.24863911157324","1.2856525048193","NaN","NaN","NaN","NaN","NaN","boral","X_Conyza_sumatrensis"
"15","intercept","-2.08917584032127","-3.33497900225708","-0.239382437399898","1.19479715968327","-0.571898801730129","-0.418286136281169","-0.866055830423869","-0.298892379859792","boral","X_Cotula_turbinata"
"16","meanGW","0.714063474005813","-0.558146663053727","1.76217167699604","NaN","NaN","NaN","NaN","NaN","boral","X_Cotula_turbinata"
"17","intercept","-1.71220969730633","-3.09286184357246","0.376270904526341","1.25914517541798","-0.735391919225129","-0.502560388282246","-1.27701697676902","-0.38838425229633","boral","X_Cynodon_dactylon"
"18","meanGW","2.48909471994182","1.38442436053455","3.39417899235225","NaN","NaN","NaN","NaN","NaN","boral","X_Cynodon_dactylon"
"19","intercept","-3.03094762541116","-3.97567880036399","-1.8177805729611","0.674780648245301","-0.222630256817376","-0.0841799629209631","-0.372471452434538","-0.112168184676776","boral","X_Cyperus_sp_"
"20","meanGW","1.1093983013105","0.373663053502076","1.94236746416035","NaN","NaN","NaN","NaN","NaN","boral","X_Cyperus_sp_"
"21","intercept","-1.86726823508021","-3.01741267791755","-0.392298065973296","1.03917414832988","-0.556521087226252","-0.477545698435699","-0.769893638821901","-0.292674276048584","boral","X_Datura_sp_"
"22","meanGW","1.04689927393985","-0.0592345221042237","2.37343519745612","NaN","NaN","NaN","NaN","NaN","boral","X_Datura_sp_"
"23","intercept","0.710840370438845","0.0101168830927043","1.39995655729054","0.562302662944894","0.791039291420309","0.756586375354774","0.985650558612104","0.423698290583485","boral","X_Ehrharta_calycina"
"24","meanGW","0.0978510384377494","-0.176717674723226","0.353415281318522","NaN","NaN","NaN","NaN","NaN","boral","X_Ehrharta_calycina"
"25","intercept","0.330041037192192","-0.0920374986145834","1.04699098537622","0.428583565240145","1.29857659182718","0.985741293055168","1.1927580764728","0.667172038856021","boral","X_Ehrharta_longiflora"
"26","meanGW","-0.368794751846964","-0.652227980847762","-0.158839014227061","NaN","NaN","NaN","NaN","NaN","boral","X_Ehrharta_longiflora"
"27","intercept","-1.94984055984852","-2.8679556437362","-1.37195491916738","0.540286793680291","-0.277092806871484","-0.178451857390702","-0.352837802206925","-0.145291554928147","boral","X_Euphorbia__peplus"
"28","meanGW","-0.140166168489591","-0.498258553581283","0.236083602141019","NaN","NaN","NaN","NaN","NaN","boral","X_Euphorbia__peplus"
"29","intercept","-1.66631211550548","-2.87391533517608","0.246408349985224","1.06924127749207","-0.641681271799262","-0.37191264377918","-1.18756056701202","-0.325560569631284","boral","X_exotic_herb"
"30","meanGW","1.99150944900833","0.8625779965663","3.40210945955382","NaN","NaN","NaN","NaN","NaN","boral","X_exotic_herb"
"31","intercept","-1.6608447102411","-2.49136799957644","-0.342418385229038","0.814255916007062","-0.490266134447248","-0.383842511610578","-0.758331547455337","-0.252575829403892","boral","X_Ficus_carica"
