"","X_Avena_barbarta","X_Avena_fatua","X_Briza_maxima","X_Bromus_diandrus","X_Conyza_bonariensis","X_Conyza_albida","X_Conyza_sumatrensis","X_Cotula_turbinata","X_Cynodon_dactylon","X_Cyperus_sp_","X_Datura_sp_","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia__peplus","X_exotic_herb","X_Ficus_carica","X_Fumaria_capreolata","X_Fumaria_muralis","X_Fumaria_officinalis","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lagurus_ovatus","X_Nymphaea_sp_","X_Orobanche_minor","X_Paspalum_distchum","X_Pelargonium_capitatum","X_Pentaschistis_airoides","X_Phyla_nodiflora","X_Poa_annua","X_Romulea_rosea","X_Rumex_crispus","X_Senecio_sp","X_Setaria_palmifolia","X_Solanum_laciniatum","X_Solanum_nigrum","X_Solanum_sp","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","Acacia_cyclops","Acacia_saligna","Austrostipa_compressa","Banksia_attenuata","Banksia_menziesii","Banksia_prionotes","Baumea_articulata","Centella_asiatica","Centella_cordifolia","Dianella_divaricata","Dianella_revoluta","Eucalyptus_sp","Exocarpos_sparteus","Gompholobium_tomentosum","Hakea_prostrata","Hakea_trifurcata","Haemodorum_spicatum","Hardenbergia_comptoniana","Hibbertia_sp_","Isolepis_sp","Jacksonia_furcellata","Jacksonia_sternbergiana","Juncus_pallidus","Lachnagrostis_filiformis","Lemna_disperma","Lepidosperma_longitudinale","Lobelia_alata","Macrozamia_riedlei","Melaleuca_rhaphiophylla","Microtis_alba","Myoporum_caprarioides","Paspalum_distichum","Persicaria_salicifolium","Rhagodia_baccata","Solanum_symonii","Spyridium__globulosum","Submerged_macrophyte","Thysanotus_patersonii","Villarsia_capitata","Villarsia_parnassiifolia","Viminaria_juncea"
"X_Avena_barbarta",1,0.019950690597493,0.00321377112994347,-0.00457602080175902,-0.00294002262966603,-0.0545375337525393,-0.0132522822862705,-0.000725063079221542,-0.0191366012182997,-0.0754475710260981,0.00948532942128441,-0.00883084917198528,-0.0758111067880308,0.010866221407694,-0.00445131045428055,-0.0827844396318081,-0.0262671025465701,0.00424317386385991,-0.00524644485176886,0.0173696890240567,0.0197850317559014,-0.0232133661484962,0.00966105299537097,-0.0102020900425192,-0.135978502130367,-0.0151245112840667,-0.109188654828922,-0.0381060776185536,-0.0111197306641388,0.017661279472303,-0.00167145545573522,0.00288789512343927,-0.002059538378763,-0.013231845914126,-0.0105224645854412,-0.0271851324174309,-0.0214738149603936,-0.0122046302528318,-0.0848810587674762,-0.0236918825664304,-0.0777156516427174,0.00980711088354504,0.00932012719616179,0.0137289369970587,-9.31426196983504e-05,0.00680770367598082,-0.0969594922866119,-0.00252677846393602,-0.0980174947402924,0.0105011923615321,0.00553417096153941,0.0131252157047293,-0.00898727113681937,0.000202077474256649,0.0248790844703115,0.0063211408917638,0.0487853700592817,0.0146026317417711,-0.067704264668318,0.0137137796805507,0.0263683355081528,0.0156517111585103,-0.0276448729744419,-0.0210366935589539,-0.0127876268773774,0.0442839182547334,-0.086640416735172,0.0253236647432326,-0.0818179391178391,0.00536857835970825,-0.120223521470322,-0.0312176639287985,-0.0279539937938779,-0.03459842177185,-0.00217141037724887,-0.137379913282198,-0.00365453736286353,0.020410564637013,-0.0178872925022461,-0.0101197253973827,0.00318595869449283
"X_Avena_fatua",0.019950690597493,1,-0.00313513055647563,-0.056495337815934,-0.00416898340545627,-0.314721176153259,-0.0132482236227303,-0.00299966361768102,-0.186380843263999,-0.463322893397341,0.00608475725510671,-0.0119130413919969,-0.313190743190824,0.00238758553970872,-0.00717395938397263,-0.408803688571102,-0.0657355606593175,0.00419487333211102,-0.00399365599224267,0.00982473087177565,0.0176623963149477,-0.0159300905090859,-0.0984810321111685,-0.0909749961659869,-0.12135359431088,-0.110923079217564,-0.176482119001331,-0.164902203943478,-0.00868922781863452,-0.02866371169524,0.0132680674299416,-0.071964674448758,-0.00114160261458104,-0.0828313436530862,-0.000716453979240686,-0.0488251100629813,-0.0897851468404131,-0.0486167859810993,-0.388728610492887,-0.0181772620696623,-0.108938068596308,-0.07673116198404,0.0128610363560755,0.0103620566181284,-0.0448021508062176,0.00734762543322084,-0.325571385006555,-0.0357335170718864,-0.129661661507987,0.0153132882998855,0.00369284275523388,0.00536127864450553,-0.0157794990952874,-0.0016190421510856,0.00734294285042709,-0.0160413994828799,0.0539007087844934,-0.0284033835161571,-0.00406971901100867,0.0138552798547635,0.0268794446142011,0.0107576018970758,-0.0382055614488872,-0.0249755457161403,-0.199627306485087,0.0455204368240505,-0.0742527781767968,0.0234586103719838,-0.226654751478441,0.0032813715839445,-0.334826731186329,-0.0409621351225533,-0.0860224902102351,-0.0855332152780429,-0.0926053468138724,-0.465379327172371,-0.0410855893475549,0.0268890149497181,-0.017601080136234,-0.0763455477366368,0.0132855664475332
"X_Briza_maxima",0.00321377112994347,-0.00313513055647563,1,-0.0108909081389773,-0.00688159247295982,-0.0319787959925151,-0.0138213233754991,0.0043452683106524,-0.00322935500824552,-0.0318852091274667,-0.00146795758011626,-0.0129565572724996,-0.019488436424005,-0.00830221163191518,-0.00170696495655386,-0.0355049071821045,-0.00714709999380623,-0.00269664803800704,-0.0263793288957466,-0.0186182623288777,-0.0189527224724469,-0.0455651589107946,-0.00350961436740581,-0.00423149202483816,-0.0588705099834759,-0.00926694777042763,-0.0640719188376574,-0.0307085473167196,-0.0510204870981297,0.00103220017634936,-0.0112538977828962,0.00360946912034506,-0.00718357725365348,-0.00817848832842478,-0.0453536493126272,-0.0144239713662388,-0.0193398210752519,-0.0156254318437916,-0.0619556369008679,-0.0333703092306993,-0.0359209606800865,0.00150995659304463,-0.00715252028352326,-0.0222966351810784,-0.0147908129622663,-0.00789448576741772,-0.0233486523084779,-0.00160230159740892,-0.0600697644864988,-0.0339534047390564,-0.00174143412759812,0.0027536374037277,-0.0613848352872261,-0.00980354704687488,0.0139809563389688,0.00347144723365936,0.00672429153768234,-0.000907747598114498,-0.0524475767623817,-0.00112667639815558,-0.0301733439959025,0.000394107728782481,-0.00677718606448985,-0.0346379592169304,-0.0079487529697522,-0.00108235725969614,-0.0470469724354313,-0.0409328565126198,-0.0370098275713114,-0.0148282064108273,-0.0451772061246374,-0.0145682612783381,-0.0106109541696844,-0.00535506775417602,0.00305898711111574,-0.0672360168276014,-0.00342817704008932,-0.0120602054976807,-0.0418364366010579,-0.012060466294311,-0.0329337332084888
"X_Bromus_diandrus",-0.00457602080175902,-0.0564953378159339,-0.0108909081389773,1,-0.0304655529527141,-0.00872070637248643,-0.000898785883298383,-0.00617545974200509,-0.00141371789323579,-0.0284938605734136,-0.0216905083571618,-0.032071428136881,-0.00924622742933551,-0.0113641950639091,-0.0118985075262746,-0.027703902693096,-0.00948208041220724,-0.00784607043668963,-0.0971584601792821,-0.0619973770220927,-0.00840874793316532,-0.0404462804785392,-0.00634064513201202,-0.00616272344950422,-0.0432790322559902,-0.00762419746083143,-0.0513243470385735,-0.000136551096482119,-0.0209606816052463,-0.00568917791943496,-0.0123905073397963,0.000374000237170255,-0.0353760988551956,-0.0168453677912752,-0.128203371893958,-0.00691616442707322,-0.00553173766090577,-0.00738744793728276,-0.0111511705413778,-0.0397031806155635,-0.0420650190233105,0.000724254099705869,-0.00803748927706679,-0.0894682321309056,0.00159483720989451,-0.0166623497173866,-0.0153080120189767,-0.00110050776485822,-0.09399936387893,-0.0708894230248643,-0.0128245818066535,0.00028230145100959,-0.00970148441217332,-0.0115149493565192,-0.00440661688301489,-0.00280479975091732,-0.0630596095289641,-0.00923253741169867,-0.106238381028026,-0.00482933763009024,-0.0818504311154974,-0.00542341624392339,-0.00986277728720374,-0.0483381523231475,-0.0032773187683701,-0.0983362728327583,-0.0553239669541275,-0.0720236038713255,-0.0225913061103778,-0.0271892929143173,-0.0226397443112758,-0.0235828734147829,-0.0113242972923877,-0.00204784556496505,-0.00536352205794453,-0.0196844214869155,-0.00271584137157921,-0.0346297621909198,-0.0215931808406258,-0.00864355183032684,-0.0177354203937661
"X_Conyza_bonariensis",-0.00294002262966603,-0.00416898340545627,-0.00688159247295982,-0.0304655529527141,1,-0.114164083155917,-0.00582825712347869,-0.0134869344026524,-0.0950662670689006,-0.207524992332924,-0.0115974135004587,-0.000336448205979996,-0.127517947496168,-0.0381094188495832,-0.00977803641334035,-0.176354313649431,-0.0341980955037547,-0.00163773521685035,0.000237303648670613,0.00134518296852371,-0.0209941100635908,-0.00904080030947086,-0.0681703546260231,-0.0563646602250305,-0.0307150848176063,-0.0565568744585578,-0.00480228893819847,-0.0580823828308547,-0.0203867151098831,-0.0310510029821268,0.000455696205158024,-0.0425770644439012,-0.00747661562661256,-0.0305783228284872,-0.0136762450436991,-0.0392701659652432,-0.0445498639944559,-0.0149175711567719,-0.125742437605588,-0.0114691354084659,-0.0315015720179915,-0.0457476658049218,-0.00934678376578545,-0.000114769240832398,-0.0303008692479187,-0.00424443199146397,-0.0916907331449086,-0.0159683015111919,-0.00405896503315929,-0.00104430388835424,-0.00471726008433406,-0.0214565497991828,-0.00817153126437164,-0.0089090455758431,-0.0334001649267003,-0.0102350092798035,-0.0105757844239702,-0.0299211923197361,-0.019483509141878,-0.0036555683532821,0.000340168874833634,-0.00475138614013912,-0.0115333086361809,-0.0126051176679135,-0.08523527135905,-0.0300095582525663,-0.017390562410241,-0.0291402429745205,-0.0768674620925228,-0.00539117601423802,-0.141108914614542,-0.00321465648242436,-0.0218557643244747,-0.0325361275691008,-0.0500099378208541,-0.164636088325255,-0.0213680951761517,-0.000266245941990635,-0.0131082217708623,-0.0402125915879982,-0.0084315314945408
"X_Conyza_albida",-0.0545375337525393,-0.314721176153259,-0.0319787959925151,-0.00872070637248643,-0.114164083155917,1,-0.0323059142588917,-0.0354776786886652,-0.0512839167759986,-0.0901050744498932,-0.148381576614506,-0.318055565874066,-0.0680421697122603,-0.0662347919360623,-0.0443035711315714,-0.0811334002301423,-0.0110157808781632,-0.0504751040164528,-0.29216317598075,-0.291871036418485,-0.0628871540113574,-0.121383222123525,-0.0106745642112963,-0.024595266829912,-0.0476980586490138,-0.0273650399100142,-0.0297485478753928,-0.0169402345414123,-0.067610659311831,-0.0475259833697698,-0.0985318955132842,-0.043179035990866,-0.204785578855249,-0.050203789096062,-0.410887271679433,-0.0358876558935157,-0.0129692300461815,-0.0126771504723059,-0.0680299483586324,-0.0957896949170973,-0.0565128148169654,-0.0624965100347348,-0.155690939034281,-0.526885852649581,-0.0375601531136788,-0.110184888400757,-0.041330200904631,-0.00745197349124682,-0.175902459392709,-0.443235616922613,-0.0425914681863961,-0.0368547124567842,-0.0301263665470612,-0.11106426566706,-0.101960033437681,-0.0390409813177273,-0.425865654627456,-0.0616550019615034,-0.291583771486394,-0.0475639553856082,-0.361569914342258,-0.0741887285388869,-0.0265986763912012,-0.13584689550299,-0.0192466615156972,-0.523209568908779,-0.0609114038396823,-0.45967566906921,-0.0226016899188387,-0.0915046294416105,-0.0502809746996035,-0.0591089219857889,-0.0376618306861492,-0.00963117252529923,-0.0107378759354001,-0.0329494890350178,-0.0104864758186903,-0.145319943659285,-0.0653824671756116,-0.0378006745165894,-0.109450881922119
"X_Conyza_sumatrensis",-0.0132522822862705,-0.0132482236227303,-0.0138213233754991,-0.000898785883298383,-0.00582825712347869,-0.0323059142588917,1,-0.00321106020740605,-0.00350767723556401,-0.0250468691917134,-0.0202775550513459,-0.00259851055365799,-0.0175480859811995,-0.00273461924854177,-0.00760511479815523,-0.0320887986290765,-0.00366506557888672,-0.00311467185489106,-0.0274341792045941,-0.00741662375552544,-0.00395356414642124,-0.0492870149023846,-0.00260784952594904,-0.00476304504486057,-0.0396682296449116,-0.00570639204693463,-0.0665583689296009,-0.0171794082296556,-0.0133710460054742,-0.0284623859378972,-0.0226496691450226,-0.00239503104295027,-0.0117192869499895,-0.0135527111642218,-0.0236967879281576,-0.00121217294665414,-0.00832550171925762,-0.00740484726572579,-0.0567683267608236,-0.0311377749925117,-0.0183826038817298,-0.0131642367447828,-0.0101240203023799,-0.00891109763878973,-0.00157279556067787,-0.00591228598085269,-0.0203883357394069,-0.00248512577636374,-0.060966651134028,-0.0325063276665118,-0.0149690486088715,-0.0105710235056719,-0.00655029472191376,-0.00819830725788577,-0.0185917934350983,-0.00319146111542916,-0.0204130869491146,-0.0121993788875038,-0.0553276585737134,-0.0030831077434011,-0.0219623132751504,-0.00542262398394639,-0.00147040288019964,-0.00626618901441882,-0.00933122859196505,-0.0205902860913996,-0.0487783273375767,-0.00949935946125779,-0.0335978447964454,-0.0108136387742187,-0.0412934637984584,-0.0101535004868506,-0.0212619356576272,-0.0015788884949675,-0.00247762399108679,-0.0594321463441986,-0.00552479773431444,-0.0146305853237512,-0.0104529490023621,-0.00470192115602265,-0.0101140988117136
"X_Cotula_turbinata",-0.000725063079221542,-0.00299966361768102,0.0043452683106524,-0.00617545974200509,-0.0134869344026524,-0.0354776786886652,-0.00321106020740605,1,-0.00681058172462743,-0.0417990531561306,-0.0083961416914874,-0.00193455217932184,-0.0229786729223034,-0.00707509108163504,-0.00985185547264469,-0.0339031200568853,-0.0164332715533717,-0.00084929808438599,-0.020510116915596,-0.00760206139182888,-0.0198661518447785,-0.0457263435049577,-0.00080100976329795,-0.00207772061854036,-0.10219311278159,-0.00811755452759884,-0.156471016358761,-0.0217741483780624,-0.0244513331046053,-0.0176579907453956,-0.0203278913151304,0.00018565865735194,-0.0108783257913199,-0.00381655170236143,-0.076335027755154,-0.00813139100532756,-0.0157183400616388,-0.0133536090746152,-0.0855102975862793,-0.0468534414744282,-0.0386449738556878,-0.0208007020680881,-0.0115211605674244,0.000877871877548652,-0.00788903884650856,-0.0037080925421689,-0.0320980030496774,0.000538059432630266,-0.135853793476176,-0.0688547844472871,-0.00878032952222847,-0.0155391872025106,-0.0171666388221305,-0.0167767618964691,-0.0013730024499315,0.00136962903160963,-0.00860407667281019,0.00284742482676789,-0.10675752165398,-0.00384570000968346,-0.0145554270857891,0.00118843411688034,-0.0108287733770371,-0.041944555715989,-0.00222630983481708,-0.025523398947395,-0.0744913195697572,-0.027336501185043,-0.0636747633757044,-0.00429534008835826,-0.0764296039028548,-0.0258561626320874,-0.0214878561881588,-0.0122527681797187,0.00321246591355622,-0.0982558455695402,-0.0030434227451002,-0.00517065170727589,-0.0205263732539415,-0.00245431923552309,-0.00725011244572852
"X_Cynodon_dactylon",-0.0191366012182997,-0.186380843263999,-0.00322935500824552,-0.00141371789323579,-0.0950662670689006,-0.0512839167759986,-0.00350767723556401,-0.00681058172462743,1,-0.0374982122054557,-0.0656305672265445,-0.137553259546501,-0.00415673457969101,-0.00740939124605854,-0.0408443274741037,-0.0126596608624823,-0.00484643288916594,-0.0273581921176017,-0.330028737019022,-0.184358785474707,-0.0459460203860025,-0.244221140442655,-0.0265399875933718,-0.00434001828688048,-0.211546982911947,-0.00609199639476297,-0.308363643608172,-0.018928696852413,-0.0523357412734254,-0.0225365725958778,-0.104406636826934,-0.00517458515503657,-0.139694201536378,-0.0107078763894905,-0.398711214550596,-0.00683865454185357,-0.00774182002299783,-0.032395586858272,-0.00932725987541916,-0.139170517405811,-0.107370660841837,0.000783998354472696,-0.0725348350533542,-0.332281450028299,-0.00717806271736759,-0.0479730799310325,-0.00702148131029942,0.000422888013185672,-0.273969163013757,-0.294625826367859,-0.0471312225167581,-0.00814675901621102,-0.0317234509906804,-0.0796615733400913,-0.0056837574425632,-0.0079784591234316,-0.178648673669507,0.0050336206033569,-0.371389061456667,-0.0161716828445435,-0.262282118578157,-0.0116911129991704,-0.00776356919715816,-0.112359071556069,0.000945712480563808,-0.334967919575598,-0.242199048842631,-0.251443686405479,-0.0407481645208104,-0.0843711379970422,-0.00319434305558664,-0.0978083781642555,-0.0260348602913046,-0.0031136171249615,-0.00556506340782489,-0.0337387948382275,0.00143794506295085,-0.120492423868888,-0.111161008314185,-0.00207416805611907,-0.0820129830799387
"X_Cyperus_sp_",-0.0754475710260981,-0.463322893397341,-0.0318852091274667,-0.0284938605734136,-0.207524992332924,-0.0901050744498932,-0.0250468691917134,-0.0417990531561306,-0.0374982122054557,1,-0.232933782334288,-0.428880742188844,-0.0400153058684433,-0.0950606002093522,-0.0929034728127655,0.0473737556340143,0.0138397384997188,-0.0613521460514957,-0.653249488236527,-0.469774438892627,-0.117653228213437,-0.396390531286072,-0.0572982116234647,0.024706888376592,-0.213417094316787,0.0130218224829565,-0.181725993479435,-0.0842559104674998,-0.135975683085735,-0.284628593341219,-0.130471537149513,-0.033802956997577,-0.309581178598906,-0.00625525236046789,-0.808061481623195,0.00161351769591403,-0.0634408681755555,-0.0386161450637912,-0.178448343135283,-0.204091436126917,-0.155646550376878,-0.210567469243304,-0.203444049553848,-0.782999921097157,-0.04382400866429,-0.145659929249874,-0.00107337366386081,-0.00353243131801936,-0.428753400135318,-0.681494123089626,-0.0955057469804538,-0.126582938871515,-0.087579187350468,-0.143828962210993,-0.080752805629482,-0.0488531132011388,-0.628073140995645,-0.00196330266858931,-0.568799042935227,-0.0808681905298093,-0.604875554308807,-0.0822069792570972,-0.00550791128383009,-0.271463817208916,-0.012438045410772,-0.812874627482766,-0.244578454121896,-0.68643754471195,0.022455742506581,-0.268835336436475,0.0137556459152391,-0.160686218191833,-0.0583911777109912,-0.00107566419635074,-0.0384273208484118,0.0201079575840608,-0.0275807899021437,-0.384803840851925,-0.126561051239309,-0.00437758507181549,-0.161447003326025
