"","X_Avena_barbarta","X_Avena_fatua","X_Briza_maxima","X_Bromus_diandrus","X_Conyza_bonariensis","X_Conyza_albida","X_Conyza_sumatrensis","X_Cotula_turbinata","X_Cynodon_dactylon","X_Cyperus_sp_","X_Datura_sp_","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia__peplus","X_exotic_herb","X_Ficus_carica","X_Fumaria_capreolata","X_Fumaria_muralis","X_Fumaria_officinalis","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lagurus_ovatus","X_Nymphaea_sp_","X_Orobanche_minor","X_Paspalum_distchum","X_Pelargonium_capitatum","X_Pentaschistis_airoides","X_Phyla_nodiflora","X_Poa_annua","X_Romulea_rosea","X_Rumex_crispus","X_Senecio_sp","X_Setaria_palmifolia","X_Solanum_laciniatum","X_Solanum_nigrum","X_Solanum_sp","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","Acacia_cyclops","Acacia_saligna","Austrostipa_compressa","Banksia_attenuata","Banksia_menziesii","Banksia_prionotes","Baumea_articulata","Centella_asiatica","Centella_cordifolia","Dianella_divaricata","Dianella_revoluta","Eucalyptus_sp","Exocarpos_sparteus","Gompholobium_tomentosum","Hakea_prostrata","Hakea_trifurcata","Haemodorum_spicatum","Hardenbergia_comptoniana","Hibbertia_sp_","Isolepis_sp","Jacksonia_furcellata","Jacksonia_sternbergiana","Juncus_pallidus","Lachnagrostis_filiformis","Lemna_disperma","Lepidosperma_longitudinale","Lobelia_alata","Macrozamia_riedlei","Melaleuca_rhaphiophylla","Microtis_alba","Myoporum_caprarioides","Paspalum_distichum","Persicaria_salicifolium","Rhagodia_baccata","Solanum_symonii","Spyridium__globulosum","Submerged_macrophyte","Thysanotus_patersonii","Villarsia_capitata","Villarsia_parnassiifolia","Viminaria_juncea"
"X_Avena_barbarta",1,0.0237970025128997,0.0130813295415162,-0.00287299341828329,0.0395509003300649,-0.0181482568192954,-0.00578246736444413,0.00644814329931549,0.015544419400991,0.0283069372235284,0.022596391501868,0.0047549603133324,-0.00218496924246037,0.058545804116143,0.00225282264575853,0.0153721631301334,0.00198782894637469,0.00436221491286227,0.0143894708747629,0.0551004758062037,0.0229470505642855,0.00934750151065321,0.0231990240970398,0.0263320293175916,-0.00275654684583414,0.0165564819998488,-0.0185667185355224,-0.0224508568813096,0.00771629668946644,-0.00453958386909683,0.0198628073007841,0.0143567045831724,0.0422519188534531,0.00895819238352995,0.00889250153113522,0.0451872067936882,0.000868778158427519,-0.00531518098582092,0.0312640536997664,-0.0171422442702918,0.00581233231771088,0.0192116332998316,0.0202792150222242,0.0397104990510024,-0.00703143814964946,0.0609676381353952,0.00776340446303609,0.0294136857509475,-0.0291323793351184,0.00889016275416023,0.0291729249825703,0.0302377443907662,-0.0107723488462389,0.0386546359488959,0.0125215053882307,0.00178897026218572,0.0106100744414226,0.0241156161956181,-0.0152572977316336,0.0166625366321126,0.0463376614242351,0.0456618521182802,0.0212574474256954,-0.063063676273107,0.0260642042194742,0.0263241705221104,-0.00602567751427954,0.0388381194936133,-0.0214146950971459,0.00409058454202303,-0.0156133958279122,0.0065817852852671,0.00201610238895299,-0.00202454215622609,0.00566208062730417,-0.0242722111329822,0.0140864590389109,0.0148955196528374,0.00842928422216053,0.0309084919310111,0.042037309350321
"X_Avena_fatua",0.0237970025128997,1,0.0230468865779051,0.0142551214195299,0.0286270707177852,-0.0463678416172115,-0.0114949938034608,0.00806199842773771,0.00349830161155978,-0.00772952810288131,0.032457353197039,0.0121757098637532,0.00691362883913272,0.117228333995623,0.00144656963801735,-0.0165495934795928,0.00251110815227815,0.000624917643891255,0.0275613369611394,0.0834389618145351,0.0208462447968793,0.0331329562276031,0.0375709369895097,0.0212918669879126,0.0150714771294111,0.00434375360033787,0.0437757811210621,-0.0306508489782351,0.0341388965115217,-0.00110741183312529,0.0203495152970115,0.0247175185766517,0.058747400217128,0.00382855481866622,0.0338422218876301,0.0430804328570748,-0.00676242108140817,0.00510453787076613,0.0597511024296705,-0.028738243636792,-0.0157818095264538,0.0392060715360508,0.0290990889467549,0.0537677683309949,-0.00345433798652571,0.107523796700829,-0.000804303358258921,-0.00520478639900763,-0.0226997871473418,0.0489980952342425,0.057344104339007,0.0471385705363515,-0.00585574243492575,0.0545764156962554,0.00187957555905792,0.0103293481677572,0.0184200486497614,0.059506783014805,-0.0018794871220059,0.0247012315221568,0.0861489272682847,0.0922415099033891,-0.00999205029152435,-0.0456203143493189,0.0191798499645549,0.0382027491985506,0.0162193126373789,0.0760856958421236,-0.0412349283180123,0.00508460680213819,-0.0482245427389307,-0.0121911363215799,0.0023136836327407,-0.000829966826317589,-0.0035358426922607,-0.0314408439730906,0.0139692499941573,0.00857900803807815,-0.000141030779761213,0.0204538505414166,0.058547190828993
"X_Briza_maxima",0.0130813295415162,0.0230468865779051,1,0.00966844260908324,0.0113305093128344,-0.0196807792729758,-0.00211607892544569,0.00634335399667089,0.0054523458344284,-0.00843917682894878,0.0150621767001479,0.00604449839348211,-0.00284459639944216,0.0585391123752704,0.00333771105439092,-0.013092436421925,0.00153332696180634,0.00389803795762228,0.0155980216102204,0.0401720172236795,0.0111877362240318,0.0120096203136385,0.0180450256416373,0.0165283116418384,0.00838364441067877,-0.00282341983548555,0.0218120822077813,-0.017756301518221,0.0189599305211061,0.000141240645552916,0.0097896110153953,0.0123606594799467,0.030026304471,0.00231400729863368,0.0175791976404035,0.0236912500766079,-0.00176493923012994,0.00437747885203361,0.037035049139894,-0.011118135529027,-0.00687384675111947,0.0237611831999577,0.0151846638268861,0.0275599934822438,-0.0042411250519791,0.0537386368305386,-0.00229197727888187,-0.0062592473575331,-0.0074741864860526,0.0265964793073306,0.0279358355726252,0.0236987352186988,0.00246258907780422,0.025104877040956,0.00631926993921562,0.00974478643931803,0.00621139295186816,0.0320200732378329,0.00113314309425563,0.0165975830354183,0.0453490742431268,0.0450191224652162,-0.00723227719587504,-0.0221207568662611,0.00863255627639787,0.0184581113287922,0.00760813880599434,0.0472257232763849,-0.0216395817990161,0.00371024883082021,-0.025809793965165,-0.00351604569010614,0.00108025236092296,-0.000244593114567286,-0.00211271472830044,-0.0096433603448006,0.00535204723331426,0.00467397595091177,-0.000612736971776208,0.00911547343704704,0.0302754985556399
"X_Bromus_diandrus",-0.00287299341828329,0.0142551214195299,0.00966844260908324,1,-0.0407409754654224,-0.0228061248917316,0.00385718001040553,0.00680263716545057,-0.0128252492178162,-0.0707109291016892,0.00591214782573529,0.0045223519821393,0.00646597612855216,0.0479860328187252,0.00992252222979975,-0.0596524564612314,0.000757180082305214,0.00591967658354605,0.0060343961018159,0.00408761753198877,-0.00975096465044336,0.0117304789261648,0.00532110792028038,-0.00758841670926057,0.0221053383143994,-0.0313541739583282,0.07861366309995,-0.00500627643128969,0.0322051724267087,0.00396367308520634,-0.00894013820352433,0.00551136286823081,0.00822645731535397,-0.0132669161121055,0.0222474094396135,-0.0265441937944361,-0.00562440838108704,0.0235145185490388,0.0432890981453006,0.00179495189058671,-0.0281951767228875,0.0227451219555257,0.000289311633185515,0.00993346305554614,0.000217612729403163,0.0268126695161284,-0.028334939292054,-0.0600957564038704,0.0283458218290119,0.0520281025629632,0.0213583168893304,0.00952834871229932,0.0263669143361691,-0.000955341251584754,-0.006739014719378,0.0198239639383078,-0.002732108877142,0.0401160991991644,0.0280165082427883,0.00975387632038533,0.0414930530528857,0.0323462572380696,-0.0567172440912979,0.0521519063687216,-0.0207763398933381,0.0128756827080103,0.0301982978460635,0.0555757636925466,-0.0147164579570881,0.00467388663290668,-0.0388990145997049,-0.0157288874428166,0.00457456536291406,-2.87335778406167e-05,-0.0146488072652787,0.0127973692770687,-0.0107411507179735,-0.0155837339623665,-0.0123579465884874,-0.0280115073939467,-0.00569537707252621
"X_Conyza_bonariensis",0.0395509003300649,0.0286270707177852,0.0113305093128344,-0.0407409754654224,1,-0.0279464055164804,-0.021083183191468,-0.00564874379798566,0.0820789262655866,0.183148444816533,0.0228524352384673,0.00949410040405472,-0.0146930220014147,0.052122196596278,-0.00540369980319146,0.125808007295734,0.00685781496643485,-0.00732184560815574,0.026358295059895,0.104886286260193,0.0459399189359149,-0.00192530628414383,0.0368582340414059,0.0440872318495926,-0.0441550916640958,0.0703629852123433,-0.165917081824282,-0.0140486900853461,-0.0450399414759417,-0.0117873753141456,0.0499593438205137,0.0111054816758485,0.0653002036589746,0.0420713865953602,-0.0247587561885638,0.154421374228832,0.0236324450794467,-0.0411086923512817,-0.0271557736914437,-0.0347410474342835,0.0778474351729728,-0.0102027149571982,0.0693327865484304,0.0572123903750763,-0.0129400036036748,0.0944932363978234,0.0686368087192938,0.140155351996547,-0.0900311141922354,-0.0512329487181993,0.0200635602974994,0.0427614274827347,-0.0875212111756356,0.0812895008746245,0.0394325770249445,-0.0205396585100803,0.0301161305851251,-0.00331125472861553,-0.0924145683106379,0.010113499935958,0.0356571264307404,0.0346854835828042,0.121669166450731,-0.253444553325075,0.0942870088659749,0.0302352735046374,-0.06035143046699,-0.00810516637564863,-0.0373236352366434,0.00673545343655729,0.00305082693785589,0.0295752510941681,0.000898277648911082,-7.74044577427989e-05,0.0293505430653093,-0.0814848624788839,0.0483332423294041,0.058680662459207,0.0500565661950686,0.10645752569289,0.117463526356953
"X_Conyza_albida",-0.0181482568192954,-0.0463678416172115,-0.0196807792729758,-0.0228061248917316,-0.0279464055164804,1,0.00405167503166421,0.00378344445221762,-0.0131571603302435,0.0246846176085461,-0.0316102151039557,-0.0194087053427633,-0.00901698442586247,-0.118486468730038,-0.0104124747379415,0.0439823672246013,-0.00309967663076043,0.000999378918764651,-0.0200869085932098,-0.0711353573978613,-0.0166850498070411,-0.0200794518715543,-0.0194775565318167,-0.00275548505660172,-0.0155877630085501,0.00956637639822065,-0.0646947394152406,0.0118114856311437,-0.028124923809684,0.0062748563470728,-0.00935851807342712,-0.0212464954773801,-0.05466998443439,0.00671874872485837,-0.0194772380873469,-0.0167496111867378,0.00928620769307364,-0.0106633719435588,-0.0408864637317436,0.0295878915247096,0.0116189894098098,-0.00979780928939644,-0.0394734537375671,-0.0595064488010073,0.00699230510464511,-0.109517840036864,0.0317819754840618,0.0219363406266136,0.00730125573757324,-0.0697024929703142,-0.0415803098881466,-0.0357635045511686,0.00262762027628632,-0.0577949763735509,-0.0056750125658543,-0.0232444622829096,-0.00870657290372036,-0.0665905278243096,-0.00156188334221457,-7.08399335571162e-05,-0.0886154517313879,-0.086783318622267,0.0578185688263978,0.0338059113957639,-0.0125532423832161,-0.0472804846813132,-0.0257694024728892,-0.0703658111165145,0.0407151453406835,-0.00981564193455602,0.0827718408754685,0.0171555629546677,-0.0173740891783559,0.00118290953779643,0.00941167936820497,0.0330872793030762,-0.0127162151907148,-0.00234878657648588,-0.0116745011057008,0.00286386725342751,-0.0433967349077018
"X_Conyza_sumatrensis",-0.00578246736444413,-0.0114949938034608,-0.00211607892544569,0.00385718001040553,-0.021083183191468,0.00405167503166421,1,0.0013186417314244,-0.0140054125609597,-0.0217514288874935,-0.00202936666078538,0.0001265905327678,0.00158166724091278,-0.0173382834927903,0.00137973668822393,-0.0108816455869218,-0.00540177683565106,0.00346547451693025,-0.00118742005153742,-0.0208227482345136,-0.00384439069209296,-0.00752647031918944,-0.0106588283084399,-0.00307972574586887,0.00492038948861243,-0.00864912587777793,0.022136625248732,0.00460242783187406,0.00398313601680588,0.00271085630228157,-0.00424674481638137,-0.00286664902342426,-0.0108669865732586,-0.00240124698203118,-0.00258803886127048,-0.0207102929814936,-0.00198487602881711,0.00497623637991664,-0.00200987048204222,0.00894402303028528,-0.00882431981547459,-0.00243124100530026,-0.0124838461347592,-0.0176829721191449,-0.000895131572829104,-0.0198053476372586,-0.00572446005448457,-0.013068704900541,0.0103257051354535,-0.000558786286064714,-0.00809508164327847,-0.00964963447053098,0.0135733628196746,-0.0136060465117167,-0.00584246640090165,0.00306501928184491,-0.00586500286840222,-2.61075600741261e-05,0.0119263073511814,-0.00387279221367188,-0.0151835379775442,-0.0133152484217176,-0.016022507359709,0.0363509527838954,-0.0133418386626054,-0.00732359013887438,0.00515946336102233,-0.0037767664269507,0.00979426981600953,-0.00176999102691363,0.00248057781053793,0.00142779133003683,0.0024082933098415,0.00170861869178038,0.000788733430094091,0.0105583840061363,-0.00820720931239874,-0.00674079862797992,-0.0044308847733351,-0.0141423563275838,-0.016909203877669
"X_Cotula_turbinata",0.00644814329931549,0.00806199842773771,0.00634335399667089,0.00680263716545057,-0.00564874379798566,0.00378344445221762,0.0013186417314244,1,-0.000192573311600631,-0.0101350446420609,0.00410057733231763,-0.00413487124887298,-0.00146349346321728,0.0246415861480175,0.000371527860180264,-0.00421269474334109,-0.000214498406847332,0.00890541876041525,0.00754622664457939,0.00996352856185899,0.00447752842783714,0.00805435660649032,0.0173758874587695,0.0158054845999751,0.00581455538600313,-0.00248066091607175,0.00153143617029999,-0.0142182725937158,0.0113901403943357,0.00819608552351663,0.0100211758411922,0.00482976357408691,0.012930194973553,0.00314610872834951,0.0135542245388189,0.0144102304385265,0.00482695503630913,0.00740215578337605,0.0311405293723082,0.00409913823636875,-0.003036095635169,0.036572624724681,-0.00623315578848341,0.0105023301692742,-0.00191152915586981,0.0157225081752168,0.0146982783674059,-0.00698554720283575,-0.000744451603168065,0.0108858464328106,0.024722050062839,0.0180315936109496,0.00959468655666281,0.00638871427097534,-0.000699166391345922,0.00200071612453567,0.00762304332065843,0.0203203867534656,0.00128449701599556,0.0305546018154528,0.0283315423810386,0.0151632187759846,0.012524694455204,-0.00712986417876507,0.00251302445723406,0.00670881366764656,0.00341638397159995,0.0438122176405124,-0.0128268701807931,0.00625681393861988,0.00514637452920701,0.00485561983310551,-0.00488084504270394,0.00079103417571228,-0.00175426200219433,0.00089747629488973,-0.000568669617951248,-0.000307448356403624,-0.00825806702873721,0.0156296731657488,0.00905544949317257
"X_Cynodon_dactylon",0.015544419400991,0.00349830161155978,0.0054523458344284,-0.0128252492178162,0.0820789262655866,-0.0131571603302435,-0.0140054125609597,-0.00019257331160063,1,0.113246327126266,0.0125009525807785,0.000753829420819025,-0.019492972672298,0.0221123716035717,0.00182246580070986,0.0360415815718957,0.014281538927832,-0.000414170626935432,-0.00751362623746118,0.0398791118111013,0.0179240404765149,-0.0243279488817105,0.0141566474564718,0.0257203968688291,-0.0298359338808409,0.0219841389458544,-0.115218456345499,0.00486311928989142,-0.0382975503983766,-0.0101455595803141,0.0255562015658898,-0.00835221860903127,0.0245057514601645,0.0156070610203599,-0.0284192333419222,0.0806806155655552,0.0236958229574232,-0.00878302430693289,0.0269125923184109,-0.00617596699262451,0.0581374011217308,0.0139956857966422,0.0542973428544823,0.0494264400124121,-0.0218387324946298,0.0336950899205472,0.032694874653467,0.0594672735665779,-0.0164100439168788,0.0104214020037788,-0.0156869426114535,0.0416392961518856,-0.0379001839203404,0.0353013760989432,0.0394991020574438,-0.00247202062307547,0.00916680991412619,0.012359993217575,-0.0529655809825289,0.0172518629721653,0.0267721448202772,0.00730575579849141,0.0480458456676077,-0.138362315226858,0.0520391038458954,0.0166298877366029,-0.0230969811421629,0.0123165217721859,-0.0218390567183316,0.0106298163388819,-0.00981571674336412,0.0269714107863897,0.0100040585391025,-0.00734507659415524,-0.00335553498107452,-0.0341843774176059,0.0298052936865962,0.031092038875331,0.0475664565450894,0.0693520337479376,0.0845540429620422
"X_Cyperus_sp_",0.0283069372235284,-0.00772952810288132,-0.00843917682894878,-0.0707109291016892,0.183148444816533,0.0246846176085461,-0.0217514288874935,-0.0101350446420609,0.113246327126266,1,0.00458172283426147,-0.00772434750265388,-0.0184417720139942,-0.0461035007205339,-0.00362373763415486,0.187724679333332,0.00847054188253676,-0.0101121122487302,-0.00405834151669524,0.0729479951390611,0.053216598413197,-0.0399272980906078,0.0196583009982321,0.054391537523929,-0.0789670586027503,0.0983743255321667,-0.291315108030972,0.00766228174327407,-0.0901817728057667,-0.0153466087206978,0.0626608453312172,-0.0145155722394461,0.0320706401093013,0.0574351240362795,-0.0605788407337536,0.176449353354337,0.0403985318891923,-0.0744073090486973,-0.0512450517818545,-0.0213048428014322,0.115903857457909,-0.0242517798623512,0.0487737097666851,0.0407644175077383,-0.00729057094849067,0.0155448471002011,0.104413962584952,0.214226590846023,-0.110751911685784,-0.13184964103865,-0.0285638173100322,0.0142756623689857,-0.101533989029019,0.0630917058233007,0.0566503195220296,-0.049899337631253,0.0275884128876091,-0.0673584104275234,-0.11895677989067,0.00750388189490067,-0.0248216693078498,-0.0418251558438909,0.195788346137013,-0.301556863365002,0.103208718028717,-0.00830123942371564,-0.0970797384693233,-0.0799294304220926,-0.00738819594833089,9.49824109619081e-05,0.0886365382927388,0.0666458418967275,-0.00754551736913567,-0.00500474417838747,0.0297331212854294,-0.0955055618137721,0.0591630259880532,0.0605770438476033,0.0561364443472829,0.145978924041949,0.0929797491451372
