"","X_Avena_barbarta","X_Avena_fatua","X_Briza_maxima","X_Bromus_diandrus","X_Conyza_bonariensis","X_Conyza_albida","X_Conyza_sumatrensis","X_Cotula_turbinata","X_Cynodon_dactylon","X_Cyperus_sp_","X_Datura_sp_","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia__peplus","X_exotic_herb","X_Ficus_carica","X_Fumaria_capreolata","X_Fumaria_muralis","X_Fumaria_officinalis","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lagurus_ovatus","X_Nymphaea_sp_","X_Orobanche_minor","X_Paspalum_distchum","X_Pelargonium_capitatum","X_Pentaschistis_airoides","X_Phyla_nodiflora","X_Poa_annua","X_Romulea_rosea","X_Rumex_crispus","X_Senecio_sp","X_Setaria_palmifolia","X_Solanum_laciniatum","X_Solanum_nigrum","X_Solanum_sp","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","Acacia_cyclops","Acacia_saligna","Austrostipa_compressa","Banksia_attenuata","Banksia_menziesii","Banksia_prionotes","Baumea_articulata","Centella_asiatica","Centella_cordifolia","Dianella_divaricata","Dianella_revoluta","Eucalyptus_sp","Exocarpos_sparteus","Gompholobium_tomentosum","Hakea_prostrata","Hakea_trifurcata","Haemodorum_spicatum","Hardenbergia_comptoniana","Hibbertia_sp_","Isolepis_sp","Jacksonia_furcellata","Jacksonia_sternbergiana","Juncus_pallidus","Lachnagrostis_filiformis","Lemna_disperma","Lepidosperma_longitudinale","Lobelia_alata","Macrozamia_riedlei","Melaleuca_rhaphiophylla","Microtis_alba","Myoporum_caprarioides","Paspalum_distichum","Persicaria_salicifolium","Rhagodia_baccata","Solanum_symonii","Spyridium__globulosum","Submerged_macrophyte","Thysanotus_patersonii","Villarsia_capitata","Villarsia_parnassiifolia","Viminaria_juncea"
"X_Avena_barbarta",0,0.0656059606061615,0.0487195566754852,0.0604274849826729,0.063594358673101,0.04399028556384,0.0437423202974166,0.0383471718525021,0.0839046149141405,0.112071205910868,0.0550846683546464,0.115641228883349,0.0639797612643714,0.100637426057727,0.0549566865621654,0.104325962190242,0.0763437540707081,0.0336102152887126,0.0798687511674139,0.114599913608582,0.0305913038496087,0.0549563636831843,0.0268211646669436,0.0751713232137009,0.101854880103227,0.0569867270065149,0.0961746215406766,0.0161643220508462,0.0587512597374146,0.0350616831478977,0.067170618638021,0.0417435151525224,0.0611814533428667,0.0836705919459869,0.124165243564998,0.0278613101781253,0.0341580730744123,0.0857362694873251,0.0443883664257151,0.0306869564122192,0.044997056498716,0.025916526182776,0.0843683980697447,0.106056066343604,0.0598601123133926,0.13995105340876,0.0972272194124891,0.13589967457847,0.117533371362868,0.074793986670434,0.0337898172663307,0.0611190954906208,0.0407625547862884,0.0930002727259072,0.0614733716877103,0.0320767992201671,0.0632329982283376,0.0276906629721386,0.102065381179404,0.0170191542705942,0.0870138309830065,0.0359472749238791,0.100032657561622,0.112516263416285,0.0821468735415492,0.0993415299391567,0.11023655257225,0.0979573517418375,0.039830621627212,0.0609926522443104,0.0743949288394346,0.0488586219865272,0.0525844081327972,0.0613726159337309,0.0466041026100829,0.0570749714351587,0.0915047739253017,0.0717835648698808,0.0562947629331412,0.0901347252226286,0.0852722841836028
"X_Avena_fatua",0.0656059606061615,0,0.067348702359791,0.190188372677662,0.181695710705766,0.0952721034545331,0.096138613511015,0.0777440258973624,0.16777181896903,0.203862402464662,0.127530583884222,0.158316987120619,0.209086659360144,0.153066710601669,0.11673053808285,0.225952372913475,0.215339616233184,0.0944617257855875,0.150201561446942,0.215454633655271,0.0679223317194506,0.103019955884803,0.075093993982416,0.136292769159391,0.186919527039278,0.090773398098639,0.141744934866827,0.0400295680377414,0.113289942076971,0.0736196476486297,0.14924854497279,0.0824574495331211,0.136218875360906,0.136003154394251,0.183657780249675,0.056308879037532,0.0697272486249785,0.140819511359961,0.123804923837812,0.0778060885122445,0.106045744255878,0.0629708006158348,0.178002594195611,0.225367213504229,0.144255402073541,0.191903767024957,0.191710029324526,0.207384153190025,0.167003220439343,0.14180378731599,0.0841367032926369,0.0951735447986189,0.0856289727203583,0.211909314025723,0.119943573016647,0.0849965105139479,0.166797224230531,0.0721082846293181,0.184535022309816,0.0401935415799466,0.140180918265054,0.0678219801764652,0.189333935682944,0.180119069626437,0.119565691314287,0.19774310475164,0.171011927391193,0.146256305314283,0.0866453632353256,0.117134657494181,0.179597450913765,0.12226652088577,0.10491089340378,0.194806579004437,0.0740440699163714,0.185873378839379,0.140013141698751,0.138117726687198,0.162452991420164,0.137866642217823,0.171424611116402
"X_Briza_maxima",0.0487195566754852,0.067348702359791,0,0.0914083800572466,0.0977131694030499,0.0433114486002728,0.0488235050004591,0.042165333891029,0.0893259371434976,0.107460175452225,0.0739828047527001,0.127471633848267,0.0904137803434461,0.126329996398197,0.0570462727650823,0.106354878212793,0.0895596561429262,0.0395556116442695,0.0948195192469855,0.119500826547938,0.0474869149565203,0.0674886650288502,0.031912189174594,0.0722393521756477,0.131841056589252,0.065539053495715,0.116917726396905,0.0239324366909144,0.0754581538209752,0.0413145090259252,0.0721036105039197,0.0500042935434889,0.0746569938427734,0.0757767857328387,0.129037608875633,0.0385415285887137,0.0430422835548356,0.112675430234452,0.0573026968066132,0.0356198808260611,0.0692487721647987,0.0379785168281496,0.100682996942717,0.117975466399414,0.0694182769965525,0.143576568158961,0.101533024893663,0.139853428528117,0.133708105964361,0.0893061328341593,0.0429162901438159,0.073728649354645,0.0549246067390064,0.105206747859921,0.0706495315946049,0.0486123375077361,0.0732877087607618,0.0333211019270832,0.134212607588868,0.0224138299248474,0.0978185694931786,0.0511641166725975,0.094851761652584,0.132501182596705,0.102090570454147,0.114102461572149,0.130931133787115,0.112103603468262,0.0378328499126027,0.0708271335454059,0.0788906926194354,0.0796809595921558,0.0543645208258926,0.0833225319716813,0.0517167838226572,0.0859683004931503,0.096262254292023,0.0738920469203746,0.0735719865117039,0.0916953866198248,0.0914601676920235
"X_Bromus_diandrus",0.0604274849826729,0.190188372677662,0.0914083800572466,0,0.200960968693585,0.143210349946504,0.139000678035314,0.116989907969968,0.195632576152985,0.22493359021048,0.188362367724771,0.174355474427576,0.152171055886654,0.2077116984604,0.195505655652997,0.203524581034172,0.172891538835822,0.160126230001072,0.180804021904097,0.269787189209397,0.130170994142784,0.162838332226647,0.123441107889148,0.185208114334258,0.210506591811006,0.120839027087313,0.158455048370392,0.0861289979036018,0.172783816510213,0.107819659135185,0.228964393780933,0.191893135527332,0.191312326122204,0.185644804810367,0.195274550129903,0.110596007892256,0.11228748928268,0.223340444542545,0.162276231835483,0.11864355197326,0.206504897218956,0.14710886924289,0.275290783948138,0.244359309395096,0.206824326702473,0.193689410420229,0.248130771166314,0.20818144456502,0.186114693252563,0.233756644622009,0.12212870537217,0.178043211298352,0.192470669950289,0.271181921549678,0.245794138367577,0.180538902976794,0.23936546344475,0.139606488268462,0.249169079953175,0.101920891455667,0.191032469828513,0.118090130078975,0.225941353668322,0.203883956903218,0.167470644590033,0.278963867113583,0.241229281772025,0.20757082649495,0.0951475103547391,0.191395483366723,0.157999782350213,0.241788349087552,0.156915571517952,0.203466034624271,0.10075015318621,0.143112409518269,0.170385169340645,0.24502622412178,0.255498951423645,0.179729117643477,0.255042742609877
"X_Conyza_bonariensis",0.063594358673101,0.181695710705766,0.0977131694030499,0.200960968693585,0,0.14082816994412,0.139127338650488,0.122210172205223,0.195225786965947,0.230823467559776,0.18478757414255,0.179077414313121,0.16390630843333,0.211663245827588,0.188217942615916,0.210355026115429,0.180978177751889,0.147555238058372,0.171851679866355,0.271213506721263,0.126452233043268,0.157050576684454,0.116395748040208,0.175843533612595,0.210457975401778,0.126665115052032,0.159240124213345,0.0828735112850616,0.172570521452316,0.106969969692411,0.22952183948103,0.19186027295292,0.189456915954775,0.182012931439775,0.19503310645508,0.114458528224407,0.111439507043993,0.224396464784585,0.165971931592066,0.113368381331846,0.204051739787345,0.144350091268678,0.27957666654486,0.250070215501774,0.191568095335243,0.191718958312898,0.242339280902814,0.208943838605731,0.187569139232538,0.246521504123664,0.123900296947809,0.176103925151189,0.18567737902069,0.272760674976219,0.237100533029177,0.178376814070684,0.235755167765105,0.137470029003008,0.249423862664853,0.097915980120106,0.193311895512323,0.120432665223419,0.230894024619174,0.205579478949518,0.170206781317034,0.279799714190381,0.238820226640196,0.209843157406246,0.0948328272241522,0.188479320527881,0.159161838587112,0.235807850942091,0.147728488012057,0.203660642387426,0.10423971217493,0.153621019589091,0.181266658131293,0.235256250859951,0.253772842510167,0.187004319383074,0.255487600080702
"X_Conyza_albida",0.04399028556384,0.0952721034545331,0.0433114486002728,0.143210349946504,0.14082816994412,0,0.0612426588761696,0.0501701265750897,0.107269929487932,0.134669205859752,0.0856427699997628,0.110196638283702,0.148361928384865,0.09622408722674,0.0839971792892388,0.145509099543455,0.145581358003761,0.0743683967703642,0.0944826676323934,0.13756148062643,0.047516071103934,0.0629443662943508,0.0512342791741399,0.0896819442858932,0.140358183469287,0.0592606909752965,0.106248922713226,0.0312353422754563,0.0691308815217696,0.0479874200064097,0.109014815072304,0.0726484908887249,0.0995668939979137,0.0947893269211674,0.10441241592813,0.0404486122952291,0.0508487168536025,0.106865264030728,0.0976520500551848,0.0533064302226408,0.080540127160837,0.0486677297852811,0.120887024410043,0.142628591608476,0.104414104824597,0.117998117113784,0.124595559268851,0.130945809942948,0.122088539477193,0.0990297404042138,0.0534704118647171,0.0685844577278374,0.0765339641119077,0.135036195766744,0.0915895764167929,0.0704056312637782,0.111150605146367,0.0592880905095197,0.128354946013188,0.0404787777293364,0.0948140719500917,0.0477868161726863,0.122605872708819,0.127464650818592,0.0860739793893512,0.135749690487783,0.120662134457748,0.100614345956594,0.0587155195752082,0.0807667544830824,0.122328078322164,0.0987971195401121,0.0668574510302902,0.13949401398334,0.0527188674867708,0.136633967049061,0.0987918530275535,0.111948817741813,0.124253640977734,0.0899496117083138,0.116885282779429
"X_Conyza_sumatrensis",0.0437423202974166,0.096138613511015,0.0488235050004591,0.139000678035314,0.139127338650488,0.0612426588761696,0,0.0520465499365058,0.122058618648306,0.144342530176981,0.0827481603440325,0.140389017777768,0.149658554590978,0.11964783692641,0.0928535698354546,0.162796163500157,0.153205374671914,0.061566389085472,0.105638198630139,0.159746245110783,0.0469536567346838,0.067370606913247,0.0438231494550454,0.0951081185747353,0.148530242579851,0.067731992054133,0.127046939688306,0.0253208840306329,0.081282421614231,0.045006717079541,0.0958843768977027,0.0546832264764644,0.0879264052069229,0.115962364063215,0.146714254838614,0.044233379463325,0.0479396345938679,0.122673735214871,0.0931106837061428,0.0478597954872964,0.0730965554106397,0.0479946784884915,0.126130059262453,0.162509130830547,0.10199046542442,0.143006208309419,0.133476867976674,0.159673780552744,0.139686473876732,0.108925324833363,0.0483781005361091,0.0787342384566907,0.0598468779338276,0.145545387132765,0.0864615139799352,0.0648159254241785,0.0953995557830405,0.0480392756812315,0.148364638371644,0.0299504536414352,0.118337973159787,0.0534686465284203,0.127166124830271,0.14679203625143,0.103587589204524,0.15167404458155,0.140995499910702,0.125697240979967,0.0620350652316485,0.0887607492193762,0.123792664170353,0.0931222029608682,0.0775019417263054,0.141839640705756,0.0587833417180987,0.135113984532072,0.114234044240897,0.0920527483262623,0.109399837268478,0.104419611137453,0.117164884333897
"X_Cotula_turbinata",0.0383471718525021,0.0777440258973624,0.042165333891029,0.116989907969968,0.122210172205223,0.0501701265750897,0.0520465499365058,0,0.0915588825335786,0.116031089854143,0.063194881500056,0.119066137048014,0.123172789781869,0.10791504729969,0.0646856181286461,0.134676958844984,0.124131487870787,0.0552748714957986,0.0817564160410393,0.127168060172538,0.0425050645782279,0.0592131732203065,0.0407349499554734,0.0724823622802467,0.134017452114298,0.0548948608075574,0.116579893035036,0.0229814938140016,0.0679635971034317,0.0477219563278405,0.0737389295643163,0.0461705674749685,0.0688084828874263,0.0897054436713468,0.11807958869583,0.0402854128748871,0.0412167073043991,0.108715355685005,0.0753774102025404,0.045039651159968,0.0610170080071996,0.0384893601388968,0.108607495305249,0.132913216446675,0.0822744814773446,0.128702837093245,0.107297245845251,0.138309858044267,0.124811264215211,0.0945071236898058,0.0503714882763631,0.0581481790368446,0.058518111548138,0.118871221195603,0.0730707257802038,0.0526518545449258,0.0772089690094844,0.0498532247986293,0.126423951725864,0.0241302217407522,0.0948031646654946,0.0438724161855859,0.104943360476727,0.128982601827063,0.0915712605575801,0.112447815825306,0.125274776365641,0.106707890085946,0.0505364453077477,0.0683622346864264,0.102525595798561,0.0780937533945458,0.0496413104417875,0.11764006703785,0.0542349839863472,0.114926496259227,0.0956212455709784,0.0808630575255964,0.0937129795879631,0.0835367117102074,0.0909380999052939
"X_Cynodon_dactylon",0.0839046149141405,0.16777181896903,0.0893259371434976,0.195632576152985,0.195225786965947,0.107269929487932,0.122058618648306,0.0915588825335786,0,0.226312461910349,0.16248963277378,0.200977497452748,0.211953159037214,0.20011724853243,0.162244455720405,0.244631163230495,0.224638355308118,0.111694940054216,0.200396806141199,0.258624653160793,0.0896782503483633,0.131843267758724,0.0804401833300977,0.17501211159344,0.225114478102768,0.125881677984871,0.177228261124066,0.052248095133509,0.145546686430866,0.0934382514465788,0.173013397807564,0.100039949833035,0.172272321258533,0.188652996246139,0.227096278100759,0.0819425735784537,0.0877097710318607,0.195515541524048,0.135353641877133,0.10714409495526,0.138936715981342,0.0821874689579894,0.227879236405923,0.257719886837522,0.179943681548335,0.228730960944247,0.220497787059938,0.244119603686021,0.203326050543465,0.188783505422402,0.0924909184705258,0.129107837363211,0.107751407174988,0.243629921706825,0.139180719753223,0.106007693192931,0.180383664075453,0.0825141066445417,0.229140653780464,0.0530076268789959,0.177743679883391,0.090511771101194,0.215842898990774,0.22210968242709,0.188345506844908,0.243001799250668,0.215215833527042,0.188539107586315,0.0985433662583913,0.157090716418051,0.194324915930663,0.134316385313004,0.132636413194298,0.198805895117661,0.0966273710694867,0.186660249670668,0.22031606426128,0.179549098423023,0.189356223286124,0.182416968650067,0.215614940363475
"X_Cyperus_sp_",0.112071205910868,0.203862402464662,0.107460175452225,0.22493359021048,0.230823467559776,0.134669205859752,0.144342530176981,0.116031089854143,0.226312461910349,0,0.187498830613037,0.172465568809989,0.208517555093557,0.211943803192183,0.197211128892811,0.200771348624031,0.204030929532032,0.143396228302739,0.213022505641262,0.222212157482622,0.104303540118064,0.168231046527779,0.116292656055981,0.204641325455746,0.279610662533853,0.135573699166764,0.181485598232819,0.0732443676940394,0.168291509956603,0.114120883960623,0.227376149598722,0.151903639461401,0.208086827479707,0.206348042336391,0.202837289712684,0.0965456295868195,0.1089341644272,0.217009554592839,0.161377837322278,0.141602825658883,0.177762303084116,0.106711726315531,0.228947422610489,0.208920227752274,0.215735661892722,0.209579012898708,0.196965146369884,0.201355578220755,0.230819525939525,0.165773097745214,0.118015562058303,0.145094284276937,0.151797428951176,0.237221074271443,0.181091160653302,0.139536072153234,0.219083145860487,0.114226931478445,0.269865056233503,0.0767419120968905,0.153530834844637,0.0940385195233774,0.253323252466947,0.249989001220509,0.18203471985636,0.245559806140092,0.238696935463712,0.175254794956756,0.0953151114628009,0.189907730058803,0.175258863983463,0.180875893176614,0.167026888282062,0.21302569027342,0.110657351721805,0.198467390613673,0.202387562462674,0.220909932386183,0.251857859205328,0.208637199360469,0.241318414635427
