"","X_Aira_sp_","X_Briza_maxima","X_Briza_minor","X_Carpobrotus_edulis","X_Disa_bracteata","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Sonchus_oleraceus","X_Unknown_Bromus_grass","X_Ursinia_anthemoides","Acacia_pulchella","Adenanthos_obovatus","Allocasuarina_fraseriana","Astartea_scoparia","Banksia_attenuata","Banksia_ilicifolia","Boronia_sp_","Caladenia_flava","Caladenia_sp_","Calytrix_angulata","Chamaescilla_corymbosa","Dasypogon_bromeliifolius","Eriochilus_dilatatus","Euchilopsis_linearis","Gompholobium_tomentoseum","Hibbertia_stellaris","Hibbertia_subvaginata","Hypocalymma_angustifolium","Hypolaena_exsulca","Kunzea_ericifolia","Lagenophora_huegelii","Lepidosperma_longitudinale","Lepidosperma_squarrosa","Leucopogon_racemulosus","Levenhookia_pusilla","Lomandra_sp_","Macrozamia_riedlei","Melaleuca_preissiana","Orthrosanthus_laxus","Patersonia_occidentalis","Pericalymma_ellipticum","Phyllangium_paradoxum","Platytheca_galioides","Podolepis_gracilis","Podotheca_gnaphalioides","Poranthera_microphylla","Pterostylis_nana","Pterostylis_vittata","Pulteneaea_reticulata","Restionaceae","Restionaceae_sp_","Schoenus_sp1","Scholtzia_involucrata","Siloxerus_filifolius","Stylidium_brunonianum","Stylidium_piliferum","Stylidium_repens","Thelymitra_sp1","Thelymitra_sp2","Thysanotus_thyrsoideus","Trachymene_pilosa","Unknown_native_herb","Unknown_native_shrub","Xanthorrhoea_preissii"
"X_Aira_sp_",1,-0.0058079125661221,-0.0743938897372008,-0.033089878503582,0.00277331782013303,-0.0215431337124497,0.0504174797047648,0.0072954119909023,-0.0211387964232528,0.00979837030581197,-0.0104133749679676,-0.0288094370012894,-0.0317995252752188,0.00941181196727564,-0.0292862763263143,-0.29253565095954,-0.0212347840085785,-0.0293479263104676,0.021805109505042,-0.10139005595664,0.011921449280887,-0.0217827022214685,0.0125892237193522,-0.0616583511591704,0.0136781900715315,-0.137144700285671,-0.34683318590581,0.010093015491121,0.00042471864617452,-0.147061932118577,0.0115219698099047,0.0385122913683834,-0.011771445926561,0.00901170125065397,0.00305430859494653,-0.0429233458563908,0.0362717111692138,-0.00643995005227603,-0.0554922973053634,0.0254433545032238,-3.23476561414876e-05,-0.0787652179731367,-0.117318255932389,-0.0305195369645695,-0.0207169149501666,0.00533670744804525,-0.00235571114472695,-0.0255090537276884,-0.13248776604929,-0.0484824987996563,-0.0120855975360435,0.0232764012586825,-0.0115135890965133,-0.106593580198178,-0.0159121901881703,-0.0551757535062359,-0.0762163431566262,-0.0358291228301936,0.00258217533830686,0.0149134609834663,0.0141838432757623,-0.0555335644793566,-0.0280477607299922,0.0527606409436608
"X_Briza_maxima",-0.0058079125661221,1,-0.0474788924598694,0.00138587245269218,-0.00880160052461335,-0.00349812387279895,0.0179845777797161,0.00404579290135076,0.0035695533916202,0.00220667827013475,-0.00823422752614882,-0.0313011018503449,-0.0577314792757284,0.00649679203064773,-0.0122190306612351,-0.0746494810163784,-0.000941971474346869,-0.00320717094830521,0.00909894360492355,-0.0302830256104833,0.00202243990264739,-0.0159596305226326,0.00438293132594426,-0.0123866358191274,-0.00471125298595533,-0.0223607221222846,-0.0967789518223467,0.0130291055186041,-0.0149418558690457,-0.00851271877658205,-0.000319021101324742,-0.0454356341853456,-0.011587255749567,0.0116525156775722,0.00802522442042339,-0.00767715074914409,-0.0155810905992158,-0.00280911768467774,-0.0572742959511771,-0.0111806866260169,-0.0130009324424738,0.00564129932070732,-0.00912253379021785,0.00287927427946945,0.0052105202890015,0.00415097686092182,0.00264526444451034,0.00670400955291679,-0.0235588505349292,-0.011490451356078,-0.00224424263176039,-0.0169811814476927,0.00234660818925614,-0.000853992844073261,0.00803450516724188,0.00561606390262118,-0.0392640473767835,-0.0014480845601727,0.00311003616667394,-0.00347107639893457,0.0137775422327723,0.003879830713838,0.00429397116924349,-0.0294541202363126
"X_Briza_minor",-0.0743938897372008,-0.0474788924598694,1,-0.0296643899231762,-0.0434435027664571,-0.0974395964466259,-0.135064139363112,-0.0563382360327043,-0.0759297136408577,-0.131954788628517,-0.0520456883176301,-0.08940345849094,-0.0255867332154807,-0.0441772785885273,-0.0892943604631602,-0.0704143217645629,-0.0348182059867422,-0.0204320208298407,-0.045391344801043,-0.0512351205504896,-0.139606423211456,-0.0926473731436783,-0.0680482905188853,-0.0454441623482876,-0.0450263851357135,-0.0858855027574579,-0.0903037805499493,-0.0497870680902526,-0.0187132380595264,-0.0600823572241241,-0.1440739028009,-0.030189652864068,-0.0462338335498868,-0.0420442035090767,-0.135786891950705,-0.0160100599315401,-0.0482563873254629,-0.0409602396861706,-0.0104765142932406,-0.100235422209703,-0.02912824128431,-0.107082760145766,-0.0793382136002355,-0.045590291925391,-0.0313771678377871,-0.121884113456796,-0.0862984087720373,-0.0344029856085579,-0.0642802122093939,-0.0200911878155966,-0.0207204347502728,-0.0290318381803759,-0.046100838822809,-0.106312632327098,-0.0906707590183564,-0.110111350377063,-0.0427633771002237,-0.0708610054112145,-0.0393183693685739,-0.0329118644134021,-0.130539741770961,-0.118263300222204,-0.0422799963037929,-0.0940657350245569
"X_Carpobrotus_edulis",-0.033089878503582,0.00138587245269218,-0.0296643899231762,1,-0.021887751444874,0.00203409590130819,0.00964716706558071,0.00428718740611835,-0.00108741109443221,-0.000664236110231522,-0.0297191183394177,-0.0923119896846252,-0.0946001496477985,0.00169143422317379,-0.00996836835565367,-0.0340049656370974,0.000125684468934908,-0.0140269351522463,-0.000690883230141516,-0.0184958248384013,-0.0148035172891089,-0.0760165529891003,-0.00198704298841592,-0.0333500283717934,-0.00892964047259594,0.00312372770142614,-0.056267045725674,-0.00400734948818507,-0.0764909405296117,0.00414213702032527,0.000998457134855449,-0.0904824410361834,-0.0243357739394733,0.00596858061965376,0.0101458358282286,-0.0161108217887489,-0.0634433254744533,-0.00604467255649447,-0.0671652321497648,-0.0951186179845657,-0.0542207643263468,0.00859839572627955,0.00387382680596731,0.00365286365611924,0.00524112938537505,0.00830341512335162,0.008399462705589,0.00077618620308427,-0.00499141277312939,-0.0175480744274852,-0.00656657257929725,-0.0584317336181509,0.0048239675798524,0.000966008836782933,0.00359527062742599,0.0117951353982955,-0.100998743811262,0.00557535361938142,0.00275234373865812,-0.0108138231833943,0.0259232563659155,0.0149528845843912,0.007948079225031,-0.0971797701506327
"X_Disa_bracteata",0.00277331782013303,-0.00880160052461335,-0.0434435027664571,-0.021887751444874,1,0.00148056788090024,0.033226270134071,0.0138642195026334,0.00818700438096372,-0.0106913230526657,-0.02433593132042,-0.0247188805464961,-0.0140888899075046,0.00903949638300428,-0.0353562310125838,-0.13888589787574,-0.000673677710659337,-0.0096895066958375,0.01177134878209,-0.0320058724676765,0.0215925587365255,-0.00452177490554969,-0.00614249807719706,-0.047684943896585,-0.00692013117367012,-0.0355506369435711,-0.140561121057915,0.0222028727891829,-0.0559675882856156,-0.040252264553143,0.00785568224849759,-0.0313099796694551,-0.00839544764389264,0.0122448940423183,0.0254804708895501,-0.0187143357149608,-0.0373357643291621,-0.0115053459121957,-0.0479258034661853,-0.0104287109806679,-0.0228947109971182,-0.00664165642656703,-0.0253684455621025,0.00274756783103755,-0.0301161033224624,0.0250934011268932,0.0133099591625902,-0.00580251517694093,-0.0214934570902016,0.00924832171841109,-0.00479531265054529,-0.0144302338655503,-0.00656935282575903,-0.0536712648981035,0.00965166455301174,-0.021728002285648,-0.0472622141761402,0.0131504875940401,0.00488281481826224,-0.00360746903886168,0.0673279564163108,0.015851440841292,-0.0102201646633824,-0.0200352998449793
"X_Gladiolus_caryophyllaceus",-0.0215431337124497,-0.00349812387279895,-0.0974395964466259,0.00203409590130819,0.00148056788090024,1,0.00657237996051441,0.00114185891224941,0.00126540242961217,0.000258916637584543,-0.0156786584871547,-0.0996128548045914,-0.098992368438289,0.00553091559554687,-0.0123772044309554,-0.0520156218118118,0.000282389545359449,-0.0059705047149257,0.00640756470528424,-0.0175204739618242,-0.00515230513261085,-0.0726098866871872,-0.00162605039381336,-0.039169298025488,-0.0220322212858794,0.00554165123039117,-0.0529972377524024,0.00723172496273616,-0.146636178242983,0.00801633245389266,0.00111182075034412,-0.127021151222996,-0.00430657393135356,0.00378272498032329,0.0109746795724649,-0.0337268679431359,-0.157399395097655,-0.0149630697809571,-0.138263174920742,-0.0618840653089168,-0.0589062524239077,0.00728083605897718,0.00330435490409802,0.00131207300732754,0.00382997103799769,0.00665406961479613,0.00787733120969263,0.00565494309324344,0.00981815206738017,-0.00500703256883207,-0.00423385242381619,-0.108645466427425,0.00148375372270708,0.00119633008134618,0.00414617639376274,0.00706368961198161,-0.0478048281422245,0.00414559186060203,0.00319520811232113,-0.000729480896468766,0.0172906794106309,-0.0160942250430893,0.00716548822967368,-0.117573036810686
"X_Hypochaeris_glabra",0.0504174797047648,0.0179845777797161,-0.135064139363112,0.00964716706558071,0.033226270134071,0.00657237996051441,1,0.0271577729394844,0.0222448650522269,0.044712131581267,-0.0382356092368612,-0.0778876709202509,-0.092095457830476,0.0457451366369076,-0.108118458976656,-0.240385028304786,-0.00155699677634257,-0.0450685421008047,0.0582121862553823,-0.0727282957144476,0.0588211504275537,-0.0272402204268748,0.0366861776585689,-0.116177776872405,0.0403183188360214,-0.00181378237869721,-0.333999009659015,0.0794018674854237,-0.0782872632219463,-0.0379347850722512,0.0271944096186695,0.0304454614029938,-0.0290146932960715,0.0640610024178769,0.079326790648066,-0.0727072220415343,0.0612283068673083,-0.0214182289656337,-0.168852021873302,0.0623287708491797,-0.074301120198704,0.0366196213008016,-0.00333533402869903,0.0248179712633427,0.00804560963457428,0.0372011299289235,0.0193628945100467,0.0419285814135625,-0.00257213652345247,0.0252977362619559,-0.00188761250678388,0.0548993846993167,0.0138954504776954,-0.00548814373249683,0.0515487791181178,-0.00323199499284023,-0.160383627320351,0.0345731870678792,0.0244323885785773,0.043216917020865,0.104611414893494,0.0485497810554417,0.0153473803551042,0.102395202552694
"X_Sonchus_oleraceus",0.00729541199090229,0.00404579290135076,-0.0563382360327043,0.00428718740611835,0.0138642195026334,0.00114185891224941,0.0271577729394844,1,0.00662215655214172,-0.0091486413257848,-0.0251968802239507,-0.0311423038099668,-0.0614739276275597,0.019449281139692,-0.0411979352986365,-0.0966130210719331,-0.000246696155550683,-0.00780848453033828,0.0163113024699146,-0.038057137398381,0.0280947120646475,-0.017289601698607,-0.00616234971719387,-0.0421266195287546,-0.00599218897351144,-0.0124213952140268,-0.135735493136748,0.0292048614864496,-0.0878096207801724,-0.00215500101292018,0.00525304822087389,-0.0565700508283585,-0.00870905376909225,0.0150376044506363,0.0212257860770401,-0.0233232702086962,-0.0741869114785231,-0.010260944926989,-0.0811671904073137,-0.0203933072622856,-0.0408966000228703,0.00682220577969457,0.0053178443221013,0.000371444301727441,0.0130315188737403,0.0191260148789742,0.00813241916390759,0.0163774757587057,-0.00800130725302738,0.00224376743686724,-0.00414449478431766,-0.0609574443351846,0.0133197830271513,-2.66756589692491e-05,-0.000581851664033346,0.0186485519327684,-0.0469089870189715,0.0112035353251994,0.0104450513198977,-0.00457860956984211,0.0690962589230441,0.0477862795721176,0.0116343581682712,-0.0252225610444092
"X_Unknown_Bromus_grass",-0.0211387964232528,0.0035695533916202,-0.0759297136408577,-0.00108741109443221,0.00818700438096372,0.00126540242961217,0.0222448650522269,0.00662215655214172,1,-0.000407603893053468,-0.0221897034483708,-0.108107482833841,-0.0699258666432929,0.00991050016607431,-0.0109328332479454,-0.187849852826896,-0.00129979216922098,-0.00693854148721926,0.0126227809848923,-0.0475815555326543,0.00580161903560585,-0.0746122751347944,0.00352580910022532,-0.0467354579438823,0.00667788118028078,-0.0350963683594548,-0.268695494640565,0.0135447023616789,-0.135102642360522,-0.0438889798446488,-0.000712212032815175,-0.132711946101631,-0.00379451156625308,0.0130194978300097,0.00707537730847869,-0.00936805528823688,-0.16438315919046,-0.00372541985527271,-0.0842562640796802,-0.0357893274470743,-0.0715236589869402,0.0078366114499552,-0.0154106264443718,-0.00463036677048163,-0.0137557605759796,0.00619609925938691,0.00447111928516115,0.00909101028770534,-0.00116518208287376,0.00508349102717895,-0.00124911360083592,0.0128594045852665,0.00403842774633176,-0.00036516126883491,0.0103184827941513,-0.0170572677257499,-0.0416494325745022,0.00637223956462142,0.00718791245616287,0.00728848761177417,0.0172273167823088,-0.00731251253575095,-0.00237507094416708,-0.124753393034335
"X_Ursinia_anthemoides",0.00979837030581198,0.00220667827013475,-0.131954788628517,-0.000664236110231521,-0.0106913230526657,0.000258916637584543,0.044712131581267,-0.0091486413257848,-0.000407603893053467,1,-0.0313809276706781,-0.0490078379575972,-0.105123942665255,-0.0113368091236305,-0.0640843282598732,-0.197010525116313,0.00652210092976241,-0.0429789574615679,0.00691598994640237,-0.0905922141092063,0.0285652445236459,-0.00483878548438013,0.0343581605014128,-0.0990814116048142,0.022689751512631,-0.0270632294509865,-0.278996644076273,-0.0152472464341731,-0.0245929421232403,-0.0240759094629305,0.0424635347418971,-0.0340964884456962,-0.0201642836925374,0.0252064066356278,0.0481578406123264,-0.0559368780145476,0.0104548664260889,-0.00830687284732835,-0.145338280216152,-0.00478010801274964,-0.0586469274438171,-0.000736833675832563,-0.0294545151717178,-0.0241820388236305,-0.0096444820634912,-0.00388123575805288,0.00793482017018659,-0.0179872885841531,-0.0027610904148027,-0.00976955705045224,0.0118772111907378,0.0181866357510884,-0.00583148133979799,-0.0118997876417776,0.00869604929499096,-0.0216936554962702,-0.128526338496096,-0.00253831455380907,-0.0151759572177984,0.0167118712879489,-0.0141689664134471,-0.0126227402428474,-0.016464019018884,0.0621354123530284
