"","X_Aira_sp_","X_Briza_maxima","X_Briza_minor","X_Carpobrotus_edulis","X_Disa_bracteata","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Sonchus_oleraceus","X_Unknown_Bromus_grass","X_Ursinia_anthemoides","Acacia_pulchella","Adenanthos_obovatus","Allocasuarina_fraseriana","Astartea_scoparia","Banksia_attenuata","Banksia_ilicifolia","Boronia_sp_","Caladenia_flava","Caladenia_sp_","Calytrix_angulata","Chamaescilla_corymbosa","Dasypogon_bromeliifolius","Eriochilus_dilatatus","Euchilopsis_linearis","Gompholobium_tomentoseum","Hibbertia_stellaris","Hibbertia_subvaginata","Hypocalymma_angustifolium","Hypolaena_exsulca","Kunzea_ericifolia","Lagenophora_huegelii","Lepidosperma_longitudinale","Lepidosperma_squarrosa","Leucopogon_racemulosus","Levenhookia_pusilla","Lomandra_sp_","Macrozamia_riedlei","Melaleuca_preissiana","Orthrosanthus_laxus","Patersonia_occidentalis","Pericalymma_ellipticum","Phyllangium_paradoxum","Platytheca_galioides","Podolepis_gracilis","Podotheca_gnaphalioides","Poranthera_microphylla","Pterostylis_nana","Pterostylis_vittata","Pulteneaea_reticulata","Restionaceae","Restionaceae_sp_","Schoenus_sp1","Scholtzia_involucrata","Siloxerus_filifolius","Stylidium_brunonianum","Stylidium_piliferum","Stylidium_repens","Thelymitra_sp1","Thelymitra_sp2","Thysanotus_thyrsoideus","Trachymene_pilosa","Unknown_native_herb","Unknown_native_shrub","Xanthorrhoea_preissii"
"X_Aira_sp_",1,0.0569101128663561,-0.0110960742054512,0.0186988325398181,0.0427148871227325,0.0296974275053385,0.209702318735447,0.0536476496831069,0.0815114099583942,0.208069352009098,0.083676697355671,0.247305541452749,0.0765989977951062,0.0587933991862708,0.0507343397127125,-0.146812167285039,0.00581148935242306,0.0259124248055544,0.0694181574590085,-0.0242946851697951,0.258363417588879,0.230591816317698,0.0781130018966602,0.0999523733634807,0.100434111586996,-0.0515635098848688,-0.183008070200963,0.083265519922207,0.133261410508831,-0.0572845913784288,0.243376395746478,0.170860978369697,0.058760165750771,0.0621320214289306,0.0847438054746914,0.0123746214111017,0.194560844382124,0.0730032829647594,0.037116049741812,0.231780648833275,0.0823884804407184,0.00865157168421712,-0.0206626718916603,0.0194059923741379,0.0277313728349877,0.0882376290344882,0.0519215227319543,0.0413034362010202,-0.048703432197427,0.022647030035337,0.0300866452808945,0.0964577106308515,0.0257220067945427,-0.0417054256283165,0.0755305249222008,0.0541781797834565,0.0737395980287125,0.0199289330477077,0.0360166930952833,0.0500070641219996,0.157493742562685,0.11525941338557,0.00950764735505911,0.302244831134236
"X_Briza_maxima",0.0569101128663561,1,-0.0157753119297828,0.0277524666774328,0.0311023593452044,0.0723119669078139,0.144492553409081,0.066001489930095,0.0764440054816657,0.150379951113467,0.0334564060052202,0.0881099227901285,0.0099567884595425,0.043606519587838,0.0711121367887393,-0.00497924323249938,0.019756232213858,0.0169424363988874,0.0558510268243492,0.00286469303707771,0.146317265665886,0.0904547704327863,0.0565161704488962,0.038461350169981,0.0381091223163502,0.0282427869662359,-0.0188699888429283,0.0573128851942087,0.0357909914997758,0.0307877877942429,0.1479978320309,0.0415350326689306,0.0274785564119492,0.0591053773276235,0.146297159960642,0.00971064132320987,0.0607773004135549,0.042747170395342,-0.0161133685082424,0.0757486726663515,0.025662212801085,0.0796176756207741,0.0415678483888519,0.0261906520272966,0.0352929188897593,0.0946779304844006,0.0561581327349107,0.0374625491520125,0.0323428384347798,0.0209179085552119,0.0181840728113297,0.0344541079323193,0.0286071630850893,0.0803115119180397,0.0906818332722205,0.071656121550843,0.021717076273779,0.056274972766448,0.0264096366455144,0.031593965230555,0.13894681518667,0.0982696759543703,0.0240057381156338,0.0951652400338507
"X_Briza_minor",-0.0110960742054512,-0.0157753119297828,1,-0.0146171692258109,-0.0188520783530759,-0.0359233008737937,-0.0544968125103299,-0.0320599627441938,-0.03110544802712,-0.047730937253287,-0.00481619596363559,-0.0204899920929317,0.0181994720821129,-0.016868732187433,-0.0311805608606937,-0.0229827921202547,-0.0121605472945634,-0.0064679807055008,-0.0223524389499137,-0.0108496351735017,-0.0559489363056874,-0.0302737693723008,-0.0196653828348501,-0.011896557142823,-0.00206072154425358,-0.040037785080899,-0.0268201911569884,-0.0297785426045184,0.002036088319134,-0.0375593200526803,-0.0505714535519155,0.0102693866010073,-0.0133894739737009,-0.0166685525136502,-0.0754161547843915,-0.00367090893360908,-0.00722969892804041,-0.0116243722607032,0.0196546915141461,-0.0221522905685763,-0.0006898558911614,-0.0607945434258122,-0.0389207088602228,-0.0137938503121235,-0.0142399023153098,-0.0502193825212061,-0.0372992012633604,-0.0220501333865933,-0.039484799538977,-0.00600880398177514,-0.00474403711071045,0.00202190296489551,-0.0129967271430785,-0.0513705654760131,-0.0453356119794643,-0.0378044511997397,-0.00514748647568673,-0.0335917874427316,-0.0135973512098534,-0.00762287107923269,-0.0751866585592521,-0.0429944201717587,-0.0195293657583008,-0.000352856453085493
"X_Carpobrotus_edulis",0.0186988325398181,0.0277524666774328,-0.0146171692258109,1,0.0161963339034775,0.0356302449104435,0.0818828397139772,0.0376933119596754,0.0397077229264537,0.0845916245598728,0.0141812333664104,0.00435333030904649,-0.0144652258608487,0.0250190873149003,0.0356367755427391,0.0474974205542826,0.021995147256745,0.0034866260039624,0.0424996236052234,0.0175925912764572,0.0664543731092534,0.0166581689778196,0.0379570752308835,0.00852010849873312,0.0139920177620838,0.0456127106217851,0.0497275685131349,0.0332204640852048,-0.0102970268192056,0.0491721974242979,0.0772614102823739,-0.00970409086497174,0.00992066334019432,0.0447735947389347,0.120741075998347,0.00218804447204478,0.0128637009191298,0.013336191116964,-0.0271043992470845,0.012186365857292,-0.00756709411711799,0.0742908329689064,0.0442490349204724,0.0258996685481077,0.0354920722395991,0.0602666061878772,0.0447846471929488,0.0257003145866035,0.048815439504698,0.00514226200851961,0.00581389722725157,0.00125432653395161,0.0183680494710116,0.0848945607317724,0.0709829271040909,0.0582258152405686,-0.00535898114361069,0.0522624619992027,0.0171282882226623,0.0134984374018125,0.0906222923528891,0.0561412672403342,0.0279557299199489,0.00447595643901798
"X_Disa_bracteata",0.0427148871227325,0.0311023593452044,-0.0188520783530759,0.0161963339034775,1,0.0568535318630263,0.135847048541753,0.0546515470996639,0.0729974364202158,0.118249368832412,0.0167118860706192,0.0704892174462906,0.0188376963440665,0.0422162733549229,0.052027218672531,-0.0103146632409209,0.0209324461972269,0.00900659240665035,0.0549407597301054,0.00653775092689259,0.133062791513989,0.065949556128635,0.0527581774774708,0.0184687692761696,0.0427779898259956,0.0375234309862551,-0.016123312352116,0.049159474316582,0.0265171439415511,0.0287662765260225,0.124529133214191,0.0360513676103689,0.0264782457912639,0.0515098168449428,0.128266364838762,0.00403966870256232,0.047045083293546,0.0387077267737646,-0.00774479693167283,0.0686597115676518,0.02101500134535,0.0855415122224301,0.042616580275991,0.0226647613278836,0.0206580436551059,0.0828749705075001,0.0652333762147266,0.0284911758819227,0.0289115465101086,0.0270359082025247,0.0207526748361349,0.0292693367335738,0.0264244431918814,0.057089731719451,0.0644180745151373,0.0705798982805266,0.0158589486203589,0.0491490174386983,0.0226009315524893,0.0321893922987616,0.125313100757492,0.111929884718537,0.0285099421374194,0.0830092085120823
"X_Gladiolus_caryophyllaceus",0.0296974275053385,0.0723119669078139,-0.0359233008737937,0.0356302449104435,0.0568535318630263,1,0.220187986646883,0.134669603505396,0.144247509361918,0.220897365814314,0.0236606486829789,0.042499706295217,-0.0370389976912186,0.0644201449171851,0.144537920568514,0.0731493199645395,0.0456428694176138,0.0194167652027314,0.0761202767213329,0.0147462929279462,0.18304662837154,0.0588584625076153,0.082566873738679,0.0231618368062349,0.0335368497985769,0.135833397732214,0.0709166718006234,0.0854280699454336,-0.0152400573781452,0.120910590652799,0.207097197514965,-0.00698483217588164,0.0391767811223092,0.0980343244331433,0.301978394736042,0.00827546022977502,0.0017409508306854,0.0549938224079478,-0.0440174513168371,0.0420804288759058,0.00984320942291823,0.230094205405222,0.124762304224902,0.0470348263761962,0.0517712787893792,0.198016982156058,0.12570294363647,0.0518521591715475,0.118097419030191,0.0448171430962218,0.0337451142695354,0.032628309543188,0.0562778626165192,0.21853038907804,0.147337196213101,0.141184831251812,-0.00110351512670502,0.132521894686884,0.0316130010616392,0.0574487646236684,0.233062619700356,0.183127010076403,0.0538523369886783,0.0368621376546294
"X_Hypochaeris_glabra",0.209702318735447,0.144492553409081,-0.0544968125103299,0.0818828397139772,0.135847048541753,0.220187986646883,1,0.239264076883577,0.310379486152698,0.551152359733214,0.104248913120326,0.322481772179253,0.048524731495675,0.163862251449045,0.204888361298205,-0.0489428112375972,0.0821355793904771,0.0523288321802657,0.229688317164519,0.0141248073196614,0.574900401360789,0.314409259469084,0.218576719897662,0.119281433560911,0.181769665678894,0.114855404795368,-0.0936596242936636,0.220833751450308,0.146128100930572,0.0938893857209755,0.56819382997511,0.181211620507143,0.0998818398343145,0.243539677919048,0.536035888766069,0.0268288283470284,0.22194033933042,0.160369334245913,-0.0191644235809835,0.316244048075292,0.0872550046976824,0.32120939428886,0.121477392740835,0.0894645164851228,0.119610963913069,0.326258540433135,0.241519831338934,0.128755134274409,0.115840389106372,0.0885679540162672,0.0902103454549938,0.156631980781035,0.0963120743261172,0.233508359950895,0.297218716625897,0.25369667217228,0.0530521592997343,0.210394705403496,0.0915528847195065,0.134452544411757,0.51311520700747,0.412744730347826,0.096648317670393,0.39955259330956
"X_Sonchus_oleraceus",0.0536476496831069,0.066001489930095,-0.0320599627441938,0.0376933119596754,0.0546515470996639,0.134669603505396,0.239264076883577,1,0.146267583290362,0.231419666480782,0.0255950387014995,0.085437521993521,-0.0205266681286874,0.0695920907800738,0.102800885494526,0.0415589710217155,0.0400775197373154,0.0243104207244818,0.0934599774151921,0.01713340094727,0.216337334334828,0.0917613431059251,0.0847932656266057,0.0288566202009431,0.0538138233104952,0.0997457379420983,0.0271498329196229,0.0962633057258279,0.0249625498356537,0.092862834953482,0.228841784822846,0.0348863094082562,0.0352439361343221,0.111305934639911,0.27420209680382,0.0146141289122678,0.0379766013496964,0.0591624394609768,-0.0279871094767783,0.0827230781704363,0.0175810366214521,0.186183455314979,0.0836172969033019,0.0442414889870076,0.0591518694124999,0.169037439405987,0.115195465579839,0.0612589451889803,0.0980067829029664,0.0387943039727905,0.0364878029380479,0.0451431163533368,0.0481233152381452,0.168093343379368,0.141437794565154,0.12534299450232,-0.000531757398298307,0.120268355879109,0.0405888796240935,0.0546136726653293,0.242269504017052,0.181876123232204,0.0527777898735011,0.0904443660292203
"X_Unknown_Bromus_grass",0.0815114099583942,0.0764440054816657,-0.03110544802712,0.0397077229264537,0.0729974364202158,0.144247509361918,0.310379486152698,0.146267583290362,1,0.296398704757075,0.0491885475015931,0.174541492365295,0.00670010115094916,0.0865040579312226,0.136641916131255,-0.0125567879897396,0.0468388585009418,0.0351581711135278,0.119833251328124,0.000408420510534754,0.296027821210766,0.158731442153631,0.116095527651206,0.0636251130045162,0.0794449456541411,0.0898806950543746,-0.0439688527519233,0.11183330434677,0.0727397268072102,0.0705646869987241,0.309907156623919,0.0724779525482827,0.060694004339233,0.121396954262972,0.294888959849301,0.0258791572607132,0.0899794515404455,0.0944385009932981,-0.0120705649076868,0.156411293009054,0.0458085393788785,0.196856119258337,0.0705473533688145,0.0456899340483426,0.0537569971671333,0.187068673170325,0.131870769762416,0.0622994578440565,0.0700671371535809,0.0543177245391484,0.0469799214359046,0.0769077459777593,0.0548951339698934,0.155029698204503,0.152900318545057,0.135366565555519,0.0332805692263016,0.127781452601641,0.0355109739375971,0.0709940696644265,0.267506366444497,0.232150875365724,0.0472197388197705,0.182915759170604
"X_Ursinia_anthemoides",0.208069352009098,0.150379951113467,-0.047730937253287,0.0845916245598728,0.118249368832412,0.220897365814314,0.551152359733214,0.231419666480782,0.296398704757075,1,0.111417290974712,0.330718030488611,0.040130042674621,0.152087275751681,0.215212247105156,-0.0416359271025284,0.0788554839735504,0.0538233004532285,0.210385510156764,0.00420353530317612,0.555726764716983,0.321111460511379,0.212996000017047,0.131885457380481,0.169501166795014,0.107251828825732,-0.0968326144046035,0.206337100410913,0.140853487088635,0.0919428333253898,0.56356633741782,0.173039752255737,0.0985101096299736,0.230904885983602,0.519884715766329,0.0299442451925056,0.216365788520615,0.15904485598848,-0.0207570769810972,0.305567674844111,0.0865943710622871,0.301220388611186,0.113305335725366,0.0824463212234317,0.116200134432239,0.321378947777893,0.225250305127063,0.118695562916598,0.107108696540359,0.0767923476044936,0.0869376903158379,0.142633324830441,0.0930105766754198,0.238294962580937,0.293487302090828,0.236091611556131,0.0652114179723183,0.204072465573559,0.0841576700673368,0.127021811828901,0.487525797971235,0.377596505390231,0.08724545836775,0.388519175144713
