"","X_Aira_sp_","X_Briza_maxima","X_Briza_minor","X_Carpobrotus_edulis","X_Disa_bracteata","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Sonchus_oleraceus","X_Unknown_Bromus_grass","X_Ursinia_anthemoides","Acacia_pulchella","Adenanthos_obovatus","Allocasuarina_fraseriana","Astartea_scoparia","Banksia_attenuata","Banksia_ilicifolia","Boronia_sp_","Caladenia_flava","Caladenia_sp_","Calytrix_angulata","Chamaescilla_corymbosa","Dasypogon_bromeliifolius","Eriochilus_dilatatus","Euchilopsis_linearis","Gompholobium_tomentoseum","Hibbertia_stellaris","Hibbertia_subvaginata","Hypocalymma_angustifolium","Hypolaena_exsulca","Kunzea_ericifolia","Lagenophora_huegelii","Lepidosperma_longitudinale","Lepidosperma_squarrosa","Leucopogon_racemulosus","Levenhookia_pusilla","Lomandra_sp_","Macrozamia_riedlei","Melaleuca_preissiana","Orthrosanthus_laxus","Patersonia_occidentalis","Pericalymma_ellipticum","Phyllangium_paradoxum","Platytheca_galioides","Podolepis_gracilis","Podotheca_gnaphalioides","Poranthera_microphylla","Pterostylis_nana","Pterostylis_vittata","Pulteneaea_reticulata","Restionaceae","Restionaceae_sp_","Schoenus_sp1","Scholtzia_involucrata","Siloxerus_filifolius","Stylidium_brunonianum","Stylidium_piliferum","Stylidium_repens","Thelymitra_sp1","Thelymitra_sp2","Thysanotus_thyrsoideus","Trachymene_pilosa","Unknown_native_herb","Unknown_native_shrub","Xanthorrhoea_preissii"
"X_Aira_sp_",0,0.162326376745618,0.0770025226122228,0.19074757882721,0.28349131610994,0.183717041168143,0.253181371370076,0.239601451306281,0.263265780269323,0.255895923262252,0.187717718193889,0.211997015292801,0.200696429097325,0.0880165137403988,0.173951959633604,0.154412564203835,0.169476238677461,0.187243278224743,0.221270496452879,0.156349192195016,0.244415725707854,0.223602607744565,0.270455387425583,0.2125503802578,0.161531082529147,0.225652200196346,0.169559159067847,0.123962489936521,0.193873107878411,0.229146197008188,0.245070732164226,0.158847233670252,0.127297675493924,0.22621957423615,0.244003504549896,0.0748737048639967,0.223388592672909,0.102251130255349,0.179538610007798,0.208685918098476,0.104192012756742,0.232942309487518,0.161263101215264,0.195394120729219,0.254467169777888,0.247562215110877,0.156078410436891,0.199568180272636,0.172104218356241,0.2089843165424,0.18313371213722,0.113741391098324,0.233825678184185,0.196052892788446,0.163834075192034,0.239968539219115,0.166534566678763,0.250874885222957,0.226841608756307,0.21646720326446,0.223744047590488,0.262444706853435,0.200390567605929,0.211344004542946
"X_Briza_maxima",0.162326376745617,0,0.0355684135935345,0.110279058615577,0.174515126679982,0.118766812848461,0.18367492911558,0.150352353871758,0.186261297742615,0.182495774153849,0.0979381179043945,0.132620025537951,0.101910971902673,0.0435859329418938,0.110108997315058,0.0946251597193474,0.102576899834383,0.087812274951406,0.117204574795165,0.093421716754445,0.169076218097643,0.14428491333868,0.177784766686637,0.130323238871105,0.0767434552202783,0.141405714200406,0.104494677085733,0.0699722679081964,0.116287177042917,0.142377800123759,0.173929555120956,0.0913375897137176,0.0619100702866757,0.152892684350745,0.175154712509085,0.038028456516603,0.140110323733556,0.066150560726113,0.106125160949641,0.12748081899286,0.0570537380377581,0.162209408769855,0.0979749967194047,0.107642736422233,0.183033729960963,0.169512686646432,0.0964268205890898,0.106031491033359,0.11184648991919,0.113639505728746,0.0951461873890464,0.0570389572983154,0.167789180065476,0.135365359801934,0.100519983892932,0.164614933365056,0.0872619618700963,0.177406817021805,0.12333436318535,0.137971186050559,0.162796959859506,0.175502895434465,0.132538580700387,0.130949510696851
"X_Briza_minor",0.0770025226122228,0.0355684135935345,0,0.0465404910055102,0.0826220557610613,0.0576471153183837,0.0892227281478021,0.0720163683677067,0.0886239611908118,0.0929281026415558,0.0572643284022368,0.115024879625711,0.0675517384982532,0.022058465321345,0.0467844042548279,0.0820056077013821,0.0531064722801498,0.0571482557387706,0.0482685821522225,0.0589068199692703,0.0988935054629682,0.11485834512151,0.0829142167233847,0.114307143260966,0.0470052531954859,0.102723359527626,0.0906639797657051,0.0335176130446117,0.0937338746189992,0.0985072771911309,0.0931867962997174,0.0706499078325119,0.0390843941064863,0.0697129013705481,0.0999024206610971,0.0204339388693402,0.101537458149263,0.0370405814961758,0.0710514363186268,0.0974277194836028,0.035896130004992,0.0919811016441382,0.0547604490091705,0.0417635740438117,0.0901825358891847,0.083661369160599,0.0384201156699451,0.0460596660232691,0.0604596597675228,0.0498192113898438,0.044127582465405,0.0347316721149977,0.0909186341437903,0.0957969003379124,0.0512502720227337,0.0893236480685104,0.0666843913982507,0.0952979052595142,0.049647433837589,0.0614454632448425,0.0787964779543595,0.0870666114010016,0.0737946701268369,0.113224342856712
"X_Carpobrotus_edulis",0.19074757882721,0.110279058615577,0.0465404910055102,0,0.199880657019255,0.146939349068958,0.216104739202265,0.182137382749874,0.22077932692128,0.217091011801923,0.122139493907783,0.18349241126066,0.124963060908777,0.053014171646127,0.12493776956614,0.130531345477806,0.135822876069466,0.117070298160895,0.136486900320741,0.116432403985615,0.207358452113887,0.190010782531298,0.21407470149359,0.17913129600404,0.0982142240863177,0.18434149729991,0.148873083940099,0.0867338304205361,0.159506121336453,0.183013389925671,0.208696882768451,0.120797618904418,0.0817153025177077,0.178456339546312,0.219906982863001,0.0457382449462021,0.183047225107913,0.0799086671963496,0.138102590550266,0.164620831626214,0.0730202741365731,0.205691217229981,0.111551117997083,0.131163460005743,0.21715683116874,0.209776974060566,0.112411338394902,0.130584870632702,0.142858136889301,0.132151775288725,0.118202757132283,0.074269612029958,0.203940301913906,0.180967330848797,0.122905665305096,0.204772443749672,0.121949734028811,0.215404468773822,0.147061474700562,0.162605206627435,0.196787922065175,0.207288353720305,0.169646809591863,0.180104468689895
"X_Disa_bracteata",0.28349131610994,0.174515126679982,0.0826220557610613,0.199880657019255,0,0.19796364383302,0.225884630641152,0.241989418908573,0.246067103564041,0.230505030474476,0.192825272484451,0.237845074982128,0.210294347912709,0.0901712374004686,0.174014440512525,0.182309633500677,0.185310379143218,0.194403693260216,0.230448587444888,0.169630499002148,0.230439674201201,0.241075854505002,0.256268975409786,0.233120961680862,0.164345474704583,0.239279544347512,0.198230834838271,0.12512208436288,0.216763599365104,0.238629242534889,0.226639712770837,0.171215328119036,0.129490912941903,0.231355766658695,0.2335834934075,0.0810967342813604,0.238254155817821,0.106112855987969,0.196275918668692,0.224105041378129,0.113528116997604,0.234502766384761,0.166892303115732,0.194498982478589,0.236966258662274,0.239013266673377,0.162823076367907,0.196481001008909,0.169382553912332,0.219326524492127,0.194449688102596,0.121951842962292,0.232823247953357,0.210886719128632,0.163102081781804,0.232414365542688,0.183480205531879,0.236156386229427,0.239649870850243,0.230821819852447,0.201118556995942,0.250103928670048,0.215194562442585,0.235408069636714
"X_Gladiolus_caryophyllaceus",0.183717041168143,0.118766812848461,0.0576471153183837,0.146939349068958,0.19796364383302,0,0.199723931658422,0.223814610674206,0.231173237528957,0.194804929834349,0.118947918110597,0.184520161157597,0.133455166497983,0.0637691187762864,0.148007550013821,0.152953115125229,0.179058969852724,0.127610592128407,0.13552634281462,0.164163570311193,0.17007589680884,0.174521260239746,0.21988271813838,0.188794658042267,0.0861574244843623,0.234234176217875,0.184264444252536,0.0809403224273887,0.162246244802753,0.238129330328495,0.181301224804691,0.122420895112376,0.077729898947995,0.212472480221839,0.261184947798113,0.0586424908850394,0.167852892021086,0.0674137754158225,0.189107537940194,0.160702909520289,0.09013387579857,0.251903512336035,0.167764662738465,0.147106229278001,0.240103452503818,0.234736636543421,0.147695693711427,0.167166644273345,0.165618958751538,0.1470877574899,0.113843117615528,0.076962303920863,0.246005373200018,0.222658329803348,0.13219060962902,0.23903130285061,0.130184859937429,0.251877328559211,0.154374130465293,0.188857542769633,0.199709610407416,0.228867593475696,0.217066072677116,0.179303790945737
"X_Hypochaeris_glabra",0.253181371370076,0.18367492911558,0.0892227281478021,0.216104739202265,0.225884630641152,0.199723931658422,0,0.233799861893255,0.154822243235878,0.0656379745143862,0.192362089021397,0.149003521452471,0.207750789075643,0.0980614955688866,0.162380755081321,0.14335066134517,0.18867329237478,0.205457720907768,0.240627492931522,0.176286746767124,0.0792655779501779,0.123435606455163,0.210946835797006,0.157495692656216,0.160657065853967,0.200904139485318,0.152083612797226,0.115816397587874,0.156345384878287,0.213833740246232,0.068542296817055,0.141744909021241,0.125762361672104,0.201038394642919,0.130461956079814,0.0846667265548116,0.153035162260569,0.0781143196641206,0.181714374588642,0.15032323773488,0.115896535203962,0.173517887423941,0.177262364609131,0.217154390652695,0.133892332687304,0.170142508200471,0.180784658345015,0.216753577802322,0.149860348274319,0.237808751787036,0.2059415774442,0.126884134790051,0.176653742041974,0.160133967061814,0.146193240807617,0.180704345615104,0.168501063078122,0.146477495936179,0.250755532198071,0.24491779475702,0.0797946258350729,0.182702762312191,0.209610791729476,0.142281946522043
"X_Sonchus_oleraceus",0.239601451306281,0.150352353871758,0.0720163683677067,0.182137382749874,0.241989418908573,0.223814610674206,0.233799861893255,0,0.265290752152457,0.232460494252083,0.153568961640504,0.198966191235781,0.173039617511759,0.0817704713210007,0.175343494226597,0.163977570181339,0.213539760507972,0.14847293907225,0.192638410586586,0.191809953306597,0.209206973899226,0.1981418258145,0.263424701106466,0.203614016812903,0.108972593479175,0.236620608077253,0.183870636454487,0.108753852660707,0.178885176958199,0.246318941757336,0.221412639030913,0.144427104175959,0.0944175506985812,0.243830690574239,0.26243924963755,0.0713964410981053,0.200657811718744,0.0880184201537819,0.194264554123147,0.186771320466268,0.0996272866623794,0.261744744641705,0.186946248337124,0.195432517474814,0.258375628708801,0.258657673226517,0.188328710083995,0.214102228469955,0.178103380131136,0.194639287316137,0.152511290420662,0.0986525772916885,0.272545867999614,0.221344122053897,0.153818562141351,0.258003334915017,0.143759231713771,0.262736634358884,0.211644205524495,0.252594519297193,0.222413450940915,0.258712553901244,0.247749344198675,0.193915277090557
"X_Unknown_Bromus_grass",0.263265780269323,0.186261297742615,0.0886239611908118,0.22077932692128,0.246067103564041,0.231173237528957,0.154822243235878,0.265290752152457,0,0.162044195808708,0.177730213626523,0.197887939580384,0.197518487451161,0.0948970525273328,0.175880757655651,0.167309493679907,0.214925198641543,0.178704188771211,0.230037981289408,0.207467138672335,0.167190488012299,0.190472749341298,0.241591398561125,0.202972712031019,0.142562625803228,0.218063759041926,0.17696916579351,0.112475165984162,0.184419943331789,0.245326887006692,0.164248132047442,0.152270117647436,0.113248489330041,0.228024815097201,0.172551830165216,0.0852884529403789,0.196996718016591,0.0881433528177595,0.199708472052557,0.184299112944322,0.10877139225689,0.208679970457661,0.206317298828069,0.223510692816586,0.182970703250441,0.208530015732246,0.208001317567623,0.230415605962356,0.155750462009638,0.235752403788882,0.189583460947972,0.124398784620194,0.220121567296647,0.181163735673305,0.146654655933012,0.215788884206285,0.164239158641703,0.182866358447886,0.24699460466164,0.263178771666299,0.142029490999695,0.211314081804707,0.243868786097926,0.192587495714062
"X_Ursinia_anthemoides",0.255895923262252,0.182495774153849,0.0929281026415558,0.217091011801923,0.230505030474476,0.194804929834349,0.0656379745143862,0.232460494252083,0.162044195808708,0,0.206108359968952,0.152784486194991,0.219174574398697,0.100857690821004,0.164034819268793,0.152738568977512,0.187524799736036,0.218843692330136,0.245729417333088,0.175168038307835,0.0774493886449273,0.132707129021301,0.217271331324743,0.168906702842709,0.173120892583157,0.219253494791424,0.165314412046441,0.11989362523821,0.166335238465049,0.223051215971841,0.0699058100603387,0.146179682190219,0.135712550613891,0.203240912042146,0.158615974421325,0.0886368812454537,0.154812642422957,0.0798958783076552,0.190585868911906,0.154342362004804,0.122371534604739,0.190535313271734,0.178400338235952,0.216740451221262,0.152472041072903,0.184894855710814,0.172791131358545,0.212894520510908,0.157645542047097,0.238720462568374,0.2148107376629,0.130855155659035,0.186780685597458,0.175186972661228,0.151613076129697,0.191645552659218,0.18224005335946,0.172992346769119,0.254768353401565,0.239807689310865,0.0932146185681406,0.190833844524169,0.213085263666862,0.150105598947473
