"","X_Aira_sp_","X_Briza_maxima","X_Briza_minor","X_Carpobrotus_edulis","X_Disa_bracteata","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Sonchus_oleraceus","X_Unknown_Bromus_grass","X_Ursinia_anthemoides","Acacia_pulchella","Adenanthos_obovatus","Allocasuarina_fraseriana","Astartea_scoparia","Banksia_attenuata","Banksia_ilicifolia","Boronia_sp_","Caladenia_flava","Caladenia_sp_","Calytrix_angulata","Chamaescilla_corymbosa","Dasypogon_bromeliifolius","Eriochilus_dilatatus","Euchilopsis_linearis","Gompholobium_tomentoseum","Hibbertia_stellaris","Hibbertia_subvaginata","Hypocalymma_angustifolium","Hypolaena_exsulca","Kunzea_ericifolia","Lagenophora_huegelii","Lepidosperma_longitudinale","Lepidosperma_squarrosa","Leucopogon_racemulosus","Levenhookia_pusilla","Lomandra_sp_","Macrozamia_riedlei","Melaleuca_preissiana","Orthrosanthus_laxus","Patersonia_occidentalis","Pericalymma_ellipticum","Phyllangium_paradoxum","Platytheca_galioides","Podolepis_gracilis","Podotheca_gnaphalioides","Poranthera_microphylla","Pterostylis_nana","Pterostylis_vittata","Pulteneaea_reticulata","Restionaceae","Restionaceae_sp_","Schoenus_sp1","Scholtzia_involucrata","Siloxerus_filifolius","Stylidium_brunonianum","Stylidium_piliferum","Stylidium_repens","Thelymitra_sp1","Thelymitra_sp2","Thysanotus_thyrsoideus","Trachymene_pilosa","Unknown_native_herb","Unknown_native_shrub","Xanthorrhoea_preissii"
"X_Aira_sp_",1,0.173234729294543,0.0535534742490597,0.114999798889107,0.105690167624249,0.141256113540264,0.396917550690878,0.163211242369955,0.239045027290341,0.451377665574299,0.355941148799745,0.655525468952632,0.237018019275985,0.137828628732925,0.149588120259146,-0.0476845779619537,0.0292400388743558,0.0735204455102211,0.197390036360013,0.0133114224984829,0.576575194428562,0.665955404296273,0.213971997769585,0.365131478415062,0.222775700000109,0.00749965569317752,-0.023355111418546,0.223830364671596,0.325288111123861,-0.0111080701549564,0.493361111246201,0.336100603706098,0.252008061815327,0.140409221092508,0.138328007083573,0.0804938097375578,0.566928434624002,0.164530173952946,0.102679091115953,0.613784302764906,0.218699537270303,0.0949250268491316,0.0666834239838434,0.057898892293622,0.0739999394024932,0.202141573176962,0.128582822248972,0.136054045160105,-0.00920388955651008,0.0676288805473999,0.0873886650274104,0.211934265517982,0.0966118896573321,-0.00652225431337065,0.306651993750988,0.197738735590633,0.365318729174407,0.0709562329775567,0.0905315642599988,0.0857420040973804,0.368723609026687,0.233177491561382,0.0410791483381492,0.650671747525302
"X_Briza_maxima",0.173234729294543,1,0.00429638666390792,0.0611042372967286,0.0898113354326242,0.194253229358042,0.269789440126125,0.148722651203111,0.214869660241878,0.278539788705612,0.158743427024903,0.222581658687649,0.0813667551051965,0.094841424771269,0.19231352088136,0.0683556253337848,0.0496622175133657,0.0633561705547047,0.124642264627614,0.0188123791219959,0.268960091225997,0.228858275892496,0.135160502100887,0.128435990471507,0.0913733699178222,0.117714672077977,0.0602464679811488,0.119254542108216,0.0814269781715123,0.106617338597495,0.282174004975254,0.112215225522459,0.118102370019185,0.116332855844372,0.310213272305271,0.0393649287995219,0.18313895845137,0.102581388147637,0.0175827980830935,0.212400569708245,0.0729159674089583,0.217980733190659,0.17019163085015,0.0646520623167415,0.0751758118175193,0.236049543439255,0.143523666281265,0.0926278429295669,0.108371503700215,0.0496501175823089,0.0462296532813316,0.104971147977431,0.103055522437929,0.241042128261245,0.201396018410432,0.202054597068192,0.131852700283077,0.127552740984019,0.0670238985304424,0.0687825931683603,0.258299422811706,0.214898559643433,0.054400553815367,0.219284644394381
"X_Briza_minor",0.0535534742490597,0.00429638666390792,1,0.00269392959610507,0.00863953583879417,0.000557050373644799,0.0515395936166373,0.0016722922928348,0.00237654048532102,0.0694162284500558,0.0338093646166934,0.043114794579214,0.0744384553725961,0.0181236191616735,0.0176032240429308,0.0249065570248155,0.00750595011887555,0.0036161611691444,0.0205265507862162,0.0156245939720593,0.0174170501996076,0.0144708259405118,0.0287639399473843,0.0434840315169382,0.0529527046743359,-0.0127268157192953,0.0265052381374014,-0.00479667833368491,0.0316237422571481,-0.0125909447231428,0.0679854796242992,0.0838319715336359,0.00300389815712625,0.0539474267298039,0.0252887078738752,0.0148597751945373,0.0564731345345849,0.0195598888157932,0.0527389093828959,0.0406494163293127,0.0379038101216952,-0.00859739858352845,-0.00835259760361353,0.028592609970238,0.00760698778775279,0.018107405795969,0.00431013431984706,-0.00709989841767237,-0.0140534086391496,0.0227269364780353,0.0173169562523802,0.0508426607342955,0.0111117457932472,-0.0109482550047937,-0.00120340037947734,0.0157022681323613,0.0294902556349193,-0.000396725976131302,0.00451372063291031,0.0393055299328108,-0.0162624061313027,0.0502099893455025,0.00623490375751964,0.111183533982582
"X_Carpobrotus_edulis",0.114999798889107,0.0611042372967286,0.00269392959610507,1,0.0530368011765471,0.0807644794694302,0.1674480764906,0.0810155882526755,0.0974229498015268,0.167336187173992,0.109127988384475,0.154576551883455,0.0420977446647307,0.0585019613494426,0.0976134028363499,0.17192795591495,0.0554274435260839,0.022011115508537,0.103080202848988,0.0498919836718793,0.175470158159428,0.155430779123106,0.0859338129798915,0.0929249830153334,0.0508548823640607,0.136020301384754,0.162513131018089,0.0742451808395625,0.0594780116397721,0.145842944082558,0.177827080298086,0.0745634092638033,0.0790218887700915,0.1126280376803,0.234380303717168,0.0251798443976569,0.134125667124245,0.05894104431603,0.00143248878421645,0.13999334612421,0.0498560510584799,0.163099046621735,0.11946665888302,0.0575250425590658,0.110383408428968,0.125489750590838,0.0868541963661126,0.0594336169115095,0.112697165792578,0.0244712908588089,0.0220594778612328,0.0399198210414607,0.0565967504875689,0.212924244684,0.148818505010496,0.125872887381972,0.096410601122571,0.141837047396252,0.0324038165404105,0.0397630997371418,0.159249692066575,0.0902757876187408,0.0558123787888166,0.152776141604579
"X_Disa_bracteata",0.105690167624249,0.0898113354326242,0.00863953583879417,0.0530368011765471,1,0.177183988296342,0.240661599383801,0.106741167022121,0.154951312777325,0.246891842093643,0.127395758952816,0.193973134155528,0.0819204840712919,0.0899823881978587,0.182488441520253,0.0813142229412154,0.0758202617419418,0.0438209789310502,0.0962412585094657,0.048054995074322,0.21976617489966,0.147881850748158,0.127076918638416,0.0894894872005045,0.100157587065562,0.166434237792835,0.0589787381310231,0.0796868503527572,0.0866993694402925,0.138902872029581,0.248205490399021,0.0933445185608339,0.105747437674192,0.103247602453171,0.284004378836139,0.0236841736861619,0.129582214597185,0.0913621068097804,0.0438525471037172,0.152819558323213,0.0665134274348775,0.229585964185741,0.115372067486522,0.0474444241965125,0.061500053798311,0.248205831479214,0.186286379260318,0.0696098961530111,0.112863986374505,0.0546000789823868,0.042963370082695,0.0744527180632977,0.101625494410199,0.220314675110797,0.140230776828786,0.226358474244261,0.107183005557405,0.131067970916748,0.0382000905280884,0.0689803094441353,0.241839853830501,0.214021792282515,0.0602563544967156,0.205752420155235
"X_Gladiolus_caryophyllaceus",0.141256113540264,0.194253229358042,0.000557050373644799,0.0807644794694302,0.177183988296343,1,0.441999306662582,0.303138333748402,0.335255984956897,0.481568564677184,0.110111821729568,0.232708105882991,0.0177521136115239,0.152747025726089,0.446862815651343,0.287235765130795,0.116854519924785,0.0772532578098962,0.145423644481357,0.0460826589593966,0.417022573172396,0.269813665327711,0.21054390497795,0.0956942035638992,0.100243226752831,0.548538030620289,0.277800271123831,0.235011251898257,0.104009565127754,0.342789382458825,0.45476595536878,0.114020518109654,0.0957502382653495,0.200280906701349,0.702656378853906,0.0576366111451204,0.117935695691687,0.154302422473226,0.0223978894934004,0.220511574062126,0.106605873493472,0.63487936869705,0.319525550243552,0.123784285055715,0.136492558527234,0.587115895157918,0.329158693898545,0.149948219203035,0.251267293963068,0.0966422336262293,0.0802498995454198,0.191528559935999,0.236656351380115,0.610826983664069,0.36451414905708,0.47883111759628,0.0861295794413149,0.376981706213243,0.114966257293006,0.143977133519563,0.539174775176296,0.445047837773852,0.15317463999401,0.256565442238635
"X_Hypochaeris_glabra",0.396917550690878,0.269789440126125,0.0515395936166372,0.1674480764906,0.240661599383801,0.441999306662582,1,0.392219545009457,0.603402201650477,0.754571822126806,0.413678692073345,0.613206635224589,0.161641815944418,0.246287772896091,0.459329089495183,0.098110481321439,0.211368398065998,0.191387038151496,0.352011806050845,0.1032784886147,0.801203510991549,0.653597260208584,0.362424668847206,0.333183158959768,0.373022810906399,0.307429896870891,0.105944895467118,0.381101417853583,0.334236481879167,0.309720628644414,0.757088538892195,0.320028150931293,0.316570025371035,0.451838999824002,0.733029411716519,0.112553566454739,0.461411322449673,0.261650995155854,0.0752180085278114,0.50049586401079,0.244280513537298,0.569834134916373,0.324789238316433,0.175937464875281,0.255408689188199,0.605282213195473,0.492366676841226,0.279212777727061,0.265402823042002,0.171242399488387,0.207462650816711,0.329635321973976,0.254267627402495,0.484736883787629,0.457067558071451,0.571644489621859,0.35348719571733,0.418976768384402,0.150404702008694,0.179942357248492,0.685759019389865,0.655074556406796,0.192821982792467,0.604790039778452
"X_Sonchus_oleraceus",0.163211242369955,0.148722651203111,0.0016722922928348,0.0810155882526755,0.106741167022121,0.303138333748402,0.392219545009457,1,0.306710003474021,0.417199955361985,0.0789919421329045,0.291953683507706,0.0296364371551041,0.11482320419664,0.253076309772671,0.156883478644086,0.103047115852757,0.0909139339067958,0.160788683635689,0.0549804115410837,0.396289793121081,0.329037693071325,0.158069182989603,0.12355797091486,0.118758557105134,0.306563624921254,0.146804038356894,0.207468127563334,0.17518835767744,0.202479850020463,0.411015967087323,0.178052621547135,0.0945345416188195,0.222938636364285,0.476175174351737,0.0697022267148841,0.151083549532069,0.12396914683866,0.0188023814815527,0.277785115377096,0.126458416578369,0.355420478051898,0.174414966787557,0.0863347978810792,0.105353630541888,0.334238767386436,0.233375151807368,0.136419456251846,0.233330031153193,0.0796943861122332,0.0818794944764535,0.176779810147455,0.134522758870435,0.346633827107811,0.259576795704132,0.283955686568319,0.0973926752765681,0.246985417304651,0.0810836062434055,0.0953501535846832,0.355508498707694,0.324412715081031,0.091213413224433,0.305203262731493
"X_Unknown_Bromus_grass",0.239045027290341,0.214869660241878,0.00237654048532102,0.0974229498015268,0.154951312777325,0.335255984956897,0.603402201650477,0.306710003474021,1,0.616295735575078,0.218499225856626,0.53977298770442,0.157024985413236,0.170195719967179,0.325257729949756,0.220292778975982,0.141681194534917,0.146580034426681,0.282138364518065,0.0254119292786013,0.629611858285473,0.482495208633133,0.256593973796854,0.170785505786235,0.184674235487948,0.320130047357953,0.176796211577591,0.288063333305047,0.266860129935964,0.293498853013754,0.617334722845438,0.253622767104374,0.166324156359737,0.247405599811844,0.498564495823782,0.0932086996599449,0.274168869120672,0.207456280807299,0.0490572719031181,0.428544693004393,0.180227713262899,0.45814168503584,0.246260105159811,0.122023328695742,0.137808166477545,0.41872528290155,0.324602470354807,0.130336113092074,0.227102082417081,0.126547542748769,0.0868682837933397,0.25377867262991,0.177486668370473,0.43445932038895,0.28376474279296,0.375180024449585,0.172183243277239,0.29471869114654,0.0779045260965853,0.132345425824376,0.476837759815363,0.463475771044169,0.107576556373051,0.484990625302786
"X_Ursinia_anthemoides",0.451377665574299,0.278539788705612,0.0694162284500558,0.167336187173991,0.246891842093643,0.481568564677184,0.754571822126806,0.417199955361985,0.616295735575078,1,0.418921735597403,0.58218716877367,0.177030499467831,0.252041748562184,0.497932222286579,0.0748812203248522,0.177275922744354,0.190455683956041,0.344417847724427,0.0666200198074395,0.801504288479884,0.648951424309425,0.366682064471864,0.32848339029869,0.356492241365912,0.34985991793048,0.0590559861899437,0.407967012653387,0.340889717298022,0.251963558423902,0.807838591815241,0.348808210076823,0.31073352101503,0.4306710153454,0.678569972996754,0.118490024140657,0.458773932356769,0.2775360455085,0.0772756608656303,0.571908277664805,0.249278926074275,0.556521894049151,0.282072946316108,0.172521316101727,0.244687498581882,0.631601515920172,0.432270960914582,0.283938654256815,0.215885997345662,0.169772888272035,0.200726912150115,0.352618807620545,0.275176860320947,0.416010775302847,0.483205632387709,0.578506705058459,0.358389131012215,0.409416249133437,0.150909647570216,0.188625249687783,0.700162639550163,0.678326020320601,0.181395379020647,0.607756728180027
