"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-2.04725069465686","-3.34371092856945","-0.738967294473799","1.00013122111937","-0.488524059964722","-0.418625312155431","-0.637998757627796","-0.261016184612704","boral","X_Arctotheca_calendula"
"2","meanGW","-1.49065464316523","-2.40905748840502","-0.564943535855783","NaN","NaN","NaN","NaN","NaN","boral","X_Arctotheca_calendula"
"3","intercept","-2.09886963624511","-3.5347622527724","-0.69706613927367","0.934845922511618","-0.445404472182494","-0.310688608449324","-0.670560299380836","-0.237304391699216","boral","X_Acacia_longifolia"
"4","meanGW","1.6533157244594","0.75715895617001","2.51259068470873","NaN","NaN","NaN","NaN","NaN","boral","X_Acacia_longifolia"
"5","intercept","0.0132773850652268","-0.472679395311642","0.623436530475495","0.365347572256197","27.516530586511","-12.599719608619","7.27073995267825","14.581099493337","boral","X_Avena_barbata"
"6","meanGW","-0.122968796159731","-0.255922522678383","0.0860985201711067","NaN","NaN","NaN","NaN","NaN","boral","X_Avena_barbata"
"7","intercept","-0.28081508915252","-0.944815403863444","0.427705191238826","0.465527196953998","-1.65777130551968","-1.27735935453497","-2.65421289619475","-0.886565214744966","boral","X_Briza_maxima"
"8","meanGW","-0.0470843832541813","-0.529792712540288","0.527559037178283","NaN","NaN","NaN","NaN","NaN","boral","X_Briza_maxima"
"9","intercept","-1.18965078741116","-2.06611497173997","-0.0221436882619737","0.66755319251262","-0.56113373737625","-0.298630460777852","-0.978792197838219","-0.293352395828332","boral","X_Briza_minor"
"10","meanGW","0.889164037623347","0.30010105115084","1.71445342556945","NaN","NaN","NaN","NaN","NaN","boral","X_Briza_minor"
"11","intercept","-0.0853706970361661","-0.417826090553247","0.231788405359506","0.224100827936274","-2.62503219156494","-2.05181745572852","-3.49184357586603","-1.39778021642529","boral","X_Bromus_diandrus"
"12","meanGW","-0.344310049181856","-0.800553564678997","0.0594337941673672","NaN","NaN","NaN","NaN","NaN","boral","X_Bromus_diandrus"
"13","intercept","-0.191252759095038","-0.771235190343112","0.291830300203753","0.357628246409278","-1.86992463848097","-1.25858388641654","-2.21746901713464","-1.00284856820904","boral","X_Carpobrotus_edulis"
"14","meanGW","0.265510291979421","-0.0287639251069796","0.538558586345141","NaN","NaN","NaN","NaN","NaN","boral","X_Carpobrotus_edulis"
"15","intercept","-1.8773443284662","-4.34918502362881","1.04575663551544","1.61655368598901","-0.861085343523392","-0.213352682828784","-1.63313413378559","-0.426092950322017","boral","X_Catapodium_rigidum"
"16","meanGW","0.410505321937127","-2.30261850247736","1.74779862572312","NaN","NaN","NaN","NaN","NaN","boral","X_Catapodium_rigidum"
"17","intercept","-0.516108069831725","-1.13559963516673","0.146005134849633","0.466278668404036","-0.903451613449997","-0.648790199990202","-1.29508073216423","-0.490229515959283","boral","X_Cirsium_vulgare"
"18","meanGW","0.441225218935605","-0.200623185974941","1.14548530626665","NaN","NaN","NaN","NaN","NaN","boral","X_Cirsium_vulgare"
"19","intercept","-1.90820452217409","-2.84019733247779","-0.758214508060769","0.71778031098487","-0.376154810788875","-0.225603753825733","-0.578583807712633","-0.201132250105666","boral","X_Commelina_sp_"
