"","X_Arctotheca_calendula","X_Acacia_longifolia","X_Avena_barbata","X_Briza_maxima","X_Briza_minor","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Catapodium_rigidum","X_Cirsium_vulgare","X_Commelina_sp_","X_Conyza_bonariensis","X_Conyza_parva","X_Crassula_alata","X_Cynodon_dactylon","X_Dischisma_arenarium","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Galium_murale","X_Geranium_molle","X_Heliophila_pusilla","X_Hordeum_leporinum","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lysimachia_arvensis","X_Moraea_flaccida","X_Paspalum_distichum","X_Pelargonium_capitatum","X_Pennisetum_clandestinum","X_Pentaschistis_airoides","X_Petrorhagia_dubia","X_Poa_annua","X_Poaceae_sp","X_Polypogon_monspeliensis","X_Romulea_rosea","X_Rumex_sp","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Stachys_arvensis","X_Trifolium_campestre","X_Urospermum_picroides","X_Ursinia_anthemoides","X_Verbascum_virgatum","X_Vulpia_sp","Acacia_saligna","Anthocercis_ilicifolia","Austrostipa_compressa","Baumea_articulata","Baumea_juncea","Caladenia_latifolia","Carex_fascicularis","Cassytha_racemosa","Centella_asiatica","Cyperaceae_sp_","Daucus_glochidiatus","Dischisma_arenarium","Eucalyptus_rudis","Gahnia_sp_","Geranium_solanderi","Hardenbergia_comptoniana","Hibbertia_cuneiformis","Hydrocotyle_sp_","Isolepis_cernua","Juncus_subsecundus","Lepidosperma_gladiatum","Lepidosperma_longitudinale","Lobelia_alata","Lobelia_tenuior","Melaleuca_rhaphiophylla","Microtis_media","Myoporum_caprarioides","Persicaria_decipiens","Podotheca_gnaphalioides","Pteridium_esculentum","Rhadinothamnus_anceps","Scaevola_crassifolia","Schoenoplectus_validus","Sonchus_hydrophillus","Sowerbaea_laxiflora","Spyridium_globulosum","Tetraria_octandra","Thysanotus_multiflorus","Trachymene_pilosa","Tricoryne_elatior","Triglochin_centrocarpa","Unknown_climber","Viminaria_juncea"
"X_Arctotheca_calendula",1,-0.0140764102370414,-0.124024022236395,0.000429474281861599,-0.0585644935349582,-0.00575520572022502,-0.18335193381542,-0.0150580155609181,0.000339911122610818,-0.139680771244851,-0.0973397328036346,-0.0617471065184474,-0.16707330352981,-0.00954047771307032,-0.211177820422135,-0.0258741373415816,-0.0702763439208301,-0.0385778876431325,-0.159939116411662,-0.13645875405955,-0.0949369283081291,-0.0870749197518803,-0.0639035562368808,-0.054103064260367,-0.045925217138897,-0.136336547967537,-0.0451412788457002,-0.232143242107919,-0.240447041684048,-0.0585419786610356,-0.222377989017757,-0.0493010703171008,-0.0344602569892111,-0.0231135410903482,-0.0542098707090478,-0.0891189040845352,-0.0315668988717111,-0.124200392318085,-0.0312174023271812,-0.136318312252429,-0.0555907952732033,-0.0281901861485128,-0.00738921795180624,-0.0588299099298898,-0.0930429396318848,-0.0104492692833258,-0.255820764805465,-0.0873977177492527,-0.00737499337781321,-0.0820687874554647,-0.186577489444821,-0.0934163597732979,-0.387649558895489,-0.362283069459243,-0.336868913974322,-0.11169443988576,-0.00968827890696568,-0.206022465481645,-0.0646687395675229,-0.072258011361145,-0.0148534015600705,-0.276705219753159,0.000577493735935309,-0.0805709402136233,-0.167341966117531,-0.0917345522721117,-0.174677651302286,-0.315936038680669,-0.120603362257266,-0.0152324358492445,-0.088308760823689,0.00047783755855996,-0.292426738809794,-0.218532372470972,-0.0638051282055727,-0.344639805675228,-0.391366102002111,-0.167295039654938,-0.213131407129906,-0.0815950558545432,-0.085297792857931,-0.139068265412598,-0.12859424715575,-0.0294472318421631,-0.145064692179072,-0.102538288754505,-0.305914954602418,-0.122063147159961,-0.29991268595974
"X_Acacia_longifolia",-0.0140764102370414,1,-0.227513801533886,-0.079489145826802,-0.115924241149782,-0.0722804964402868,-0.435483488607117,-0.0368159731311899,-0.0703873812043828,-0.332344560995979,-0.236032801898119,-0.130703869293475,-0.363807169014355,-0.051121524769833,-0.474667555369911,-0.057469349869849,-0.159331255429634,-0.0573931061912443,-0.376654476401396,-0.244249537894084,-0.136955597532489,-0.177476835580978,-0.126380110428117,-0.0998665386044291,-0.103309653826434,-0.274833625558512,-0.116406739988646,-0.581542604340994,-0.530853919744541,-0.117985452512548,-0.438431437988771,-0.118046264827652,-0.0732892754675016,-0.047718379636027,-0.0939229955665117,-0.167726313447896,-0.0913290847409518,-0.314395247205117,-0.102257856739638,-0.375896499889388,-0.133119146353577,-0.0738218113144012,-0.0517949128668995,-0.107675257784201,-0.155179875636177,-0.0219891261675524,-0.571769113395293,-0.200133810644517,-0.0884765545519797,-0.21558363119131,-0.416471454182966,-0.177294326190616,-0.86064914080809,-0.795617777407215,-0.814982042520442,-0.248924656544642,-0.100396186428404,-0.44291885485043,-0.150295410089932,-0.142033309654328,-0.0379811753492558,-0.592382468881309,-0.082551123293711,-0.164371660216007,-0.427217820258357,-0.199517374999826,-0.397258193351682,-0.687750654859192,-0.22314476915963,-0.0558058205939083,-0.185496088290897,-0.0811405266709687,-0.672796993504156,-0.444623516687578,-0.132450857285132,-0.733995544136411,-0.839389659747512,-0.314837855519082,-0.501640947784577,-0.184570097416435,-0.168782990990434,-0.296427750263435,-0.316524763661309,-0.067560773010191,-0.337167901274028,-0.237069464691634,-0.731530259699937,-0.25571704134207,-0.702996676162983
"X_Avena_barbata",-0.124024022236395,-0.227513801533886,1,-0.202567042153267,-0.537969872937722,-0.271548291494136,-0.156537501647781,-0.276025185563228,-0.124641357958788,-0.598070744788165,-0.0929297241725122,-0.0076310423321398,-0.82934528063975,-0.0648090874571759,-0.836032588910154,-0.290678960675115,-0.471229823129929,-0.522992123055323,-0.834859165832003,-0.773902459492644,-0.714332184382962,-0.559081326352665,-0.709026105331953,-0.35638951475733,-0.571404396214704,-0.799177221850123,-0.692368866156102,-0.145904683194341,-0.766319146477239,-0.0211831883061561,-0.601676311075048,-0.598406277154819,-0.230196134758598,-0.421209557455952,-0.500369819396836,-0.641216853105863,-0.180360314166205,-0.0312251582752929,-0.274672120632128,-0.178131304559385,-0.325028205662618,-0.478227408817654,-0.161190124943611,-0.587143290293523,-0.640923686932557,-0.178459550757717,-0.683755001987512,-0.593566087537023,-0.405585866526156,-0.0114049841996547,-0.561686901017267,-0.804517961821025,-0.784568228609887,-0.605631797572782,-0.832307735313027,-0.391108574500738,-0.446566336364911,-0.832358564675756,0.158092436427044,0.00305364617594738,-0.277464399923481,-0.197857436917433,-0.266891924811061,-0.582943757663934,-0.820958482709844,-0.0723046631712876,-0.324265511000682,-0.669822137669764,-0.485710893191523,-0.421334675460312,0.0781502981178455,-0.1279283641156,-0.476613129800974,-0.126958799076996,-0.737274604429783,-0.503927758956174,-0.800410974786279,-0.644634421108208,-0.650115107450234,-0.0223500462571515,-0.802326243275046,-0.0499028408303162,-0.338348541399029,-0.575696765638742,-0.755134096260266,-0.646175606226241,-0.37489327104872,0.0157840420565632,-0.332391249001289
"X_Briza_maxima",0.000429474281861599,-0.0794891458268021,-0.202567042153267,1,-0.284141407405772,0.0573599544815431,-0.53166827324922,-0.0514309213537901,0.141868011303037,-0.543914655892473,-0.326978181646129,-0.221403981922399,-0.514651484677685,-0.0489815260806449,-0.609796267750397,-0.105127744116297,-0.305368975787474,-0.069067872061322,-0.552416546704199,-0.465729015055638,-0.268468950929031,-0.327185060160263,-0.223904799423194,-0.211940081829663,-0.255905322716894,-0.475107267064811,0.0316628590678479,-0.679925395501333,-0.69145235907201,-0.169461672259719,-0.774585092897653,-0.191135326120426,-0.151628937032138,-0.0691266974401553,-0.238210473993051,-0.330190714004269,-0.207464230952509,-0.386320742031978,-0.152604621602666,-0.476966083371581,-0.308342769214602,-0.0389898387474354,-0.0276517809753139,-0.252953172999393,-0.352596221289674,-0.0231544761748366,-0.71476491376981,-0.371910445186578,0.213898578121927,-0.308584521022165,-0.579346083110954,-0.263001508998649,-0.925213866749492,-0.862624945839042,-0.878967271318267,-0.449884271532498,0.299484593234787,-0.625934627033169,-0.108130160965959,-0.243857046821923,-0.0527586044824878,-0.681882369496251,0.220496738497452,-0.309875744999046,-0.536938468019086,-0.327524104759276,-0.511653132915033,-0.791276082902084,-0.439243710397861,-0.00642547991878254,-0.247349811506691,0.229634059765223,-0.773106113726411,-0.594726005194996,-0.200828701881417,-0.813722792891196,-0.907980087214499,-0.549139203780508,-0.770185065083125,-0.306875562330071,-0.195531185151807,-0.429654784956562,-0.617037054222012,-0.0499083779087735,-0.522246216481418,-0.403085671333312,-0.816102794642811,-0.367040553028622,-0.809731903374565
"X_Briza_minor",-0.0585644935349582,-0.115924241149782,-0.537969872937722,-0.284141407405772,1,-0.161431799165076,-0.394503180223817,-0.0629143523060104,-0.347834991589671,-0.0868869500450556,-0.27072381269416,-0.217054532598709,-0.0281790196809654,-0.178849089285186,-0.0510801841573287,-0.0243267320940494,-0.0847847184251379,-0.0391472686341246,-0.0385806926105796,-0.0354095691954611,-0.0278735762757939,-0.020187088497169,-0.0270052943866715,-0.0169287038615822,-0.0458252383655022,-0.0351618170644293,-0.0499952287532783,-0.616449368481125,-0.0805085851166472,-0.304715699196343,-0.14398748980941,-0.0542834121563914,-0.029860023266463,-0.0539834743570774,-0.0246163050943792,-0.0180590862065607,-0.238451088318087,-0.42348500665307,-0.113133955418812,-0.316101274759365,-0.0520738876867323,-0.0454245229347215,-0.204587995131773,-0.0314269901629672,-0.022507054940331,-0.0452394967735441,-0.111272696364837,-0.0237841674090938,-0.19813439427814,-0.415295907107644,-0.0910651050272916,-0.0213682478419278,-0.282142867129687,-0.344401616472334,-0.191035871314764,-0.0940729222756351,-0.165145356881135,-0.0548433530586505,-0.430057202600732,-0.336097752206925,-0.073968147185956,-0.529749376121413,-0.276027059078915,-0.0216180873291876,-0.0353398028762546,-0.178263170644295,-0.181124829482421,-0.209507796955469,-0.0382319592383736,-0.156811457012431,-0.383128244089543,-0.415295921069543,-0.335150239529922,-0.429352047720485,-0.0147228469020087,-0.399171713426792,-0.236063520499662,-0.0498656861231682,-0.153815559327443,-0.388098524284619,-0.0206661953705159,-0.397317275447778,-0.151456602043475,-0.0641710963165082,-0.0430012603613665,-0.0571965685958324,-0.537660666119163,-0.485526014555498,-0.483643987069771
"X_Bromus_diandrus",-0.00575520572022502,-0.0722804964402868,-0.271548291494136,0.0573599544815431,-0.161431799165076,1,-0.481543983839184,-0.0371689512725385,-0.00525510300773625,-0.392029520387278,-0.285998306929333,-0.210532831344542,-0.336959049940201,-0.0435352063979293,-0.425433157525547,-0.0721160853743576,-0.197468207232812,-0.061567177893576,-0.341062429178042,-0.298002598157704,-0.169534144362614,-0.185262426192714,-0.154067234441806,-0.142085721161288,-0.12994527641358,-0.302170867279101,-0.0526575678270268,-0.61122123036505,-0.503485654713764,-0.163853866701176,-0.562033490867991,-0.137042273885725,-0.105766145561712,-0.0313413202828501,-0.147016669467109,-0.188055676638245,-0.14668826678487,-0.371698349847792,-0.103605044484445,-0.413553553517619,-0.178326184621915,-0.0247527003946553,-0.0210437806013586,-0.151982183873554,-0.200470680834314,-0.0222450405746976,-0.56201055645658,-0.222453623543968,0.0326342004052671,-0.297166902014453,-0.426398383070003,-0.185590649110658,-0.77571337011248,-0.741035151521972,-0.708190039508758,-0.319691098386069,0.0595848905829791,-0.420406138635302,-0.176878971878387,-0.264143138034712,-0.0405662552232391,-0.605313980648267,0.0526014787495192,-0.191138284998495,-0.365360863208309,-0.292335244892993,-0.415969104870406,-0.633970519961353,-0.287829716001476,-0.00995558558693468,-0.246574047409521,0.0201235266885942,-0.640844326431191,-0.54037424051127,-0.13274101512237,-0.71106874470874,-0.745955812957565,-0.37040930631443,-0.555055530117212,-0.304664330487574,-0.17825236769524,-0.375673606491483,-0.450741484262926,-0.0512942450244488,-0.369164977585683,-0.272381695263316,-0.721072608442175,-0.355487233160425,-0.68174843931309
"X_Carpobrotus_edulis",-0.18335193381542,-0.435483488607117,-0.156537501647781,-0.53166827324922,-0.394503180223817,-0.481543983839184,1,-0.440519505599835,-0.44644013310639,-0.329892389088361,-0.0097300291822324,-0.046713214938106,-0.668823341182604,-0.208349761333871,-0.651260423805301,-0.209862733080515,-0.494233011713315,-0.6110884768308,-0.660710042531811,-0.647702401326905,-0.667520553129141,-0.379159298548838,-0.610343256616204,-0.274365457332557,-0.481945911902542,-0.680993346309905,-0.750474157827695,0.0169134571799409,-0.523921446841348,-0.090378320386249,-0.243131921277605,-0.61690129327866,-0.193344880115193,-0.513568980856936,-0.400090176212298,-0.478279176347399,-0.271330901467471,-0.00746506728838292,-0.306769873782534,-0.0579045642833457,-0.184450112871237,-0.548972053444229,-0.377861116974885,-0.554821395820498,-0.507562896460874,-0.300676796582495,-0.398671855522968,-0.374505676393248,-0.679405122997866,-0.127738419399769,-0.352766567798185,-0.730965448109638,-0.315908675364557,-0.223149981334073,-0.441531642735242,-0.191696836147305,-0.691369891198617,-0.650381828926995,-0.0338529474228389,-0.0281650493358877,-0.393992609433005,0.0272827940910926,-0.619790488377474,-0.397632468492725,-0.64137964832639,-0.0233080891481026,-0.0950969436945991,-0.332444178846904,-0.233521756415196,-0.623934939707692,0.00508273173606339,-0.503179217741973,-0.135644482189843,0.00497691337142727,-0.716083431482667,-0.131174042379083,-0.39169521169283,-0.453033497272831,-0.234342461892367,-0.0400428981287378,-0.73682296669703,-0.0166514722840122,-0.116274708235289,-0.65191735658994,-0.619018476466171,-0.636967225948138,-0.0344216398437032,-0.0203587742104021,-0.0390116440746383
"X_Catapodium_rigidum",-0.0150580155609181,-0.0368159731311899,-0.276025185563228,-0.0514309213537901,-0.0629143523060104,-0.0371689512725385,-0.440519505599835,1,-0.0857248981446818,-0.201196779203556,-0.246441154806429,-0.171694428192975,-0.188356795785425,-0.062202692425341,-0.243601220920198,-0.0309693832842684,-0.110805586450569,-0.0263156846945052,-0.218806800091088,-0.165052392120347,-0.0856857378855507,-0.110897399693252,-0.0686357272771921,-0.0642145657259684,-0.0597535504062522,-0.17515934299456,-0.0480478416045428,-0.647520633833579,-0.340571432700672,-0.131049693497665,-0.360801394991363,-0.0544738127341064,-0.0475651307204151,-0.0211910942069041,-0.0734318958025533,-0.0853837685335771,-0.0928074880415859,-0.37234475650573,-0.063648902306325,-0.342476750133882,-0.0988683451165073,-0.0253645795978638,-0.0381144393882527,-0.0545063819750787,-0.0954896631171537,-0.0111990536532099,-0.449337507898301,-0.10342490102098,-0.0341020682140883,-0.295807646186418,-0.295407658574519,-0.0954115393710608,-0.705296982443002,-0.701445588553461,-0.613472064882535,-0.176717432163444,-0.0372960289987847,-0.252836129839036,-0.226123355727161,-0.221459455648447,-0.0267601972804554,-0.616392592988024,-0.0566257005460378,-0.0903899866326918,-0.206175199361828,-0.186553084880652,-0.34710143677634,-0.55210667418132,-0.139799587210734,-0.0292755551168903,-0.272917293213802,-0.112320173000829,-0.598035011113345,-0.498425363518652,-0.0708575894559848,-0.668763162162623,-0.685409690866327,-0.186337911942812,-0.357007305069725,-0.224730492046146,-0.0851644221166633,-0.332740613029543,-0.242781647189875,-0.03901177120449,-0.206512477603736,-0.104657944277518,-0.710547154780231,-0.322113630788059,-0.685892300123391
"X_Cirsium_vulgare",0.000339911122610818,-0.0703873812043828,-0.124641357958788,0.141868011303037,-0.347834991589671,-0.00525510300773625,-0.44644013310639,-0.0857248981446818,1,-0.503343334540008,-0.256818035008626,-0.131382796115596,-0.646359645044289,-0.0399142866304975,-0.711842174557506,-0.12853816932771,-0.328608093176851,-0.223210037125595,-0.668772439119984,-0.589670143029188,-0.434633167653597,-0.389153445183454,-0.414147694930055,-0.221160147530991,-0.331153758021378,-0.603655753532455,-0.276578698769646,-0.543887800944272,-0.68161705389951,-0.102239881332013,-0.685330282050735,-0.330624559758967,-0.160590412511213,-0.141576115306121,-0.260084527974795,-0.401439892889009,-0.181524395739562,-0.307923650363097,-0.169129113255477,-0.395888235056107,-0.273067602417638,-0.145688838329046,-0.0373659457154281,-0.329576348999996,-0.422792071005946,-0.0555930183740863,-0.676934406935615,-0.390993950261343,0.0128078323428496,-0.177967015292751,-0.535650019847805,-0.511325566040351,-0.841010702133281,-0.768630477955674,-0.829585541497876,-0.424648619969214,0.00367876470495117,-0.694072756309594,-0.0361214504846821,-0.131087385177867,-0.10284404783125,-0.558358882134947,0.106717108827227,-0.35657677698835,-0.664075279831612,-0.245749979023193,-0.443322539724526,-0.712374267351903,-0.406401593936752,-0.0937785680108912,-0.148187120167644,0.163981418629736,-0.700704378927607,-0.457893300733392,-0.428926003366589,-0.713533720405457,-0.840648045862188,-0.545056939142708,-0.680968045371534,-0.203572893107515,-0.495013812554253,-0.279941704582426,-0.531203243772395,-0.191449446024996,-0.608804048002759,-0.440762564426246,-0.7074081645464,-0.263777386584566,-0.681701534759444
"X_Commelina_sp_",-0.139680771244851,-0.332344560995979,-0.598070744788166,-0.543914655892473,-0.0868869500450556,-0.392029520387278,-0.329892389088361,-0.201196779203556,-0.503343334540008,1,-0.189744212842217,-0.223728787762567,-0.108299339976462,-0.313659783651066,-0.069777744125909,-0.0869615102538517,-0.232126330700159,-0.260362047354802,-0.104858376415573,-0.145487793174333,-0.210085363739001,-0.033780924590685,-0.194017471711904,-0.0461151898829883,-0.189640679554729,-0.131830317301528,-0.364297640752998,-0.442227026484156,-0.0399584585744482,-0.310248983086745,-0.0389040856248849,-0.255646332509948,-0.0558938499895584,-0.255563191811494,-0.0941937306903178,-0.0605416519675193,-0.318299066812355,-0.366730466879946,-0.213932259636115,-0.282976383289136,-0.0393805466750434,-0.269850297790479,-0.379802522174255,-0.172914941982768,-0.0886871003199706,-0.161662776942899,-0.0235932828194998,-0.0559340439911906,-0.512975940097169,-0.408779639659431,-0.0301516013147039,-0.212542167054361,-0.044731583507374,-0.100083134426559,-0.0220236556659146,-0.0152128632230405,-0.499895660028953,-0.0733099883413632,-0.423225625264927,-0.304956734731505,-0.230955085818732,-0.315544913922411,-0.580116252358837,-0.0346345748394,-0.0707957889786054,-0.129379929315859,-0.0646112617181552,-0.0328355173553715,-0.0136324742315696,-0.377143397676965,-0.336320419862253,-0.63568276433003,-0.0960002188905513,-0.262190111647102,-0.210378366812091,-0.123723406229456,-0.0400001987838501,-0.0577089822345978,-0.0315877420066946,-0.337455157521445,-0.204685375308301,-0.300370642907882,-0.0795889402394867,-0.342187985879619,-0.135592238366323,-0.256257978481494,-0.223354389822656,-0.441731018519385,-0.20271455973582
