"","X_Arctotheca_calendula","X_Acacia_longifolia","X_Avena_barbata","X_Briza_maxima","X_Briza_minor","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Catapodium_rigidum","X_Cirsium_vulgare","X_Commelina_sp_","X_Conyza_bonariensis","X_Conyza_parva","X_Crassula_alata","X_Cynodon_dactylon","X_Dischisma_arenarium","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Galium_murale","X_Geranium_molle","X_Heliophila_pusilla","X_Hordeum_leporinum","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lysimachia_arvensis","X_Moraea_flaccida","X_Paspalum_distichum","X_Pelargonium_capitatum","X_Pennisetum_clandestinum","X_Pentaschistis_airoides","X_Petrorhagia_dubia","X_Poa_annua","X_Poaceae_sp","X_Polypogon_monspeliensis","X_Romulea_rosea","X_Rumex_sp","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Stachys_arvensis","X_Trifolium_campestre","X_Urospermum_picroides","X_Ursinia_anthemoides","X_Verbascum_virgatum","X_Vulpia_sp","Acacia_saligna","Anthocercis_ilicifolia","Austrostipa_compressa","Baumea_articulata","Baumea_juncea","Caladenia_latifolia","Carex_fascicularis","Cassytha_racemosa","Centella_asiatica","Cyperaceae_sp_","Daucus_glochidiatus","Dischisma_arenarium","Eucalyptus_rudis","Gahnia_sp_","Geranium_solanderi","Hardenbergia_comptoniana","Hibbertia_cuneiformis","Hydrocotyle_sp_","Isolepis_cernua","Juncus_subsecundus","Lepidosperma_gladiatum","Lepidosperma_longitudinale","Lobelia_alata","Lobelia_tenuior","Melaleuca_rhaphiophylla","Microtis_media","Myoporum_caprarioides","Persicaria_decipiens","Podotheca_gnaphalioides","Pteridium_esculentum","Rhadinothamnus_anceps","Scaevola_crassifolia","Schoenoplectus_validus","Sonchus_hydrophillus","Sowerbaea_laxiflora","Spyridium_globulosum","Tetraria_octandra","Thysanotus_multiflorus","Trachymene_pilosa","Tricoryne_elatior","Triglochin_centrocarpa","Unknown_climber","Viminaria_juncea"
"X_Arctotheca_calendula",0,0.0572035904949766,0.0703452740287526,0.104916649595162,0.0364814280841935,0.0841502014480175,0.0606951669369276,0.0494863183552646,0.0790976004918633,0.0414029019777976,0.0342038159147608,0.0290964108673346,0.0745983318885317,0.0447882909545553,0.0769764011431405,0.0295449084986064,0.0698355905938616,0.0685837499533406,0.0765912943249965,0.0768437281651026,0.0781765067525265,0.036509609340527,0.0649761593448746,0.0257786936913726,0.0498205908232504,0.0749166552976437,0.104268837382274,0.0742620701169152,0.0730619546771536,0.0400130058432125,0.0586807058068411,0.0751262926076382,0.0223223810505991,0.0625452982540619,0.0366376175846188,0.0456887647396987,0.0438980019894811,0.0494416866772736,0.0475508520623767,0.0558336898689277,0.0254923283734779,0.0758820984410796,0.0601035401908111,0.0546040042095233,0.0475956958835192,0.0382729823481481,0.0731717929208583,0.0340673144564855,0.108117665491619,0.0556565017917387,0.0581541794378709,0.0866910056186103,0.107142987555222,0.103603921641704,0.0975464472294037,0.0347188523857556,0.110416054368713,0.0773378700973984,0.0440540161927346,0.0372953588116912,0.0523141848493466,0.0829454876700018,0.103022137581162,0.0348014383047866,0.0729961895199043,0.0326691417282452,0.0506878328812664,0.0855897750780411,0.0324663258475373,0.0795941184986068,0.0390677368832718,0.098563702488611,0.0835010632791478,0.0621900704680963,0.0801178997538521,0.0979267556868992,0.105092816415863,0.0581730588409584,0.0599105354479354,0.0465422711661129,0.0864851983361631,0.0519301036415233,0.0443395430190281,0.085931846047795,0.0738200478822422,0.0806088332552022,0.0943213002231702,0.0552748258962475,0.0896253098882109
"X_Acacia_longifolia",0.0572035904949766,0,0.157917066185933,0.219114464110368,0.0804948195952921,0.165750894687685,0.127864194164526,0.107883430550509,0.188061952394182,0.107791348060103,0.0714686293750355,0.0589744235911144,0.156695466854792,0.0933592276258804,0.167078024645413,0.0555892471461023,0.140501719320667,0.146136735083414,0.162180158079529,0.15763573284357,0.151333109401582,0.0805795347824164,0.135325640177192,0.0556143547514808,0.106117449706665,0.152229867715546,0.194806667294909,0.165198580412467,0.167862957978058,0.0786455085078906,0.123841070316132,0.149223915608262,0.0468003157255408,0.124498175188942,0.0729658221796892,0.087732794561126,0.114383982327126,0.103591068654327,0.0942338449904493,0.118227817531211,0.0513748921939004,0.146211054250685,0.136991253723804,0.0962431819969461,0.0891265670377521,0.0774382700852269,0.16785241824114,0.0763277981089432,0.22790795379903,0.107800091436537,0.122902196692664,0.161576102578581,0.247873255255079,0.227805687646235,0.231929420491405,0.0770008856243727,0.229720788839628,0.163993576009796,0.0950219839744921,0.0718412930007348,0.096133777722992,0.164411435033202,0.233000589337915,0.0762329172546682,0.148446629427575,0.0611302368555043,0.105114333330266,0.194372057282158,0.0674542189719024,0.172212247100534,0.0778162930221739,0.223731946924164,0.193635255590324,0.128613109030799,0.154104867071932,0.209401570764344,0.239652379443237,0.118632926178207,0.139592665534647,0.0947572575584278,0.164066464019167,0.096078255133539,0.0936513807500905,0.172091391442478,0.158806030211897,0.160962011795457,0.205220861572606,0.108648705491223,0.196449178101295
"X_Avena_barbata",0.0703452740287526,0.157917066185933,0,0.227401965370556,0.151256968846879,0.190138854225509,0.174945074714415,0.136616505494076,0.201228003581421,0.165859331331067,0.116668884063837,0.105051999111626,0.1686656373096,0.133493561197831,0.147553536472704,0.0904679338707284,0.19781250163195,0.193679256545231,0.162580535119726,0.178523906453038,0.193742876947342,0.146803836127427,0.213701075952356,0.0993520382963184,0.17751377125254,0.16321930299177,0.242157396642264,0.225001867406046,0.136492261785572,0.143595930650936,0.177443700289077,0.217254711685473,0.0793632458947649,0.16909021917481,0.139094160085823,0.17065451106037,0.17048818073273,0.162117402762065,0.137375409644517,0.16587277399961,0.0982964601635114,0.178875979050926,0.175339676318635,0.184829723902231,0.186550048874754,0.0914245350165024,0.149755971101278,0.149893348188431,0.268373803384465,0.190437176232178,0.129467875512036,0.192484791310216,0.2438395818299,0.225533317302223,0.198695209261836,0.118327239058098,0.265997417534813,0.145720039371372,0.0955467652655918,0.151974543807601,0.134053203363977,0.20022495244115,0.24288751697184,0.151869023076267,0.205954197920055,0.0849706428788833,0.119127848751944,0.1863280891971,0.120426999330851,0.221021574317109,0.0986711339069818,0.225001480596378,0.196010148795092,0.170447905269228,0.218735121612129,0.223062192747685,0.22358158083306,0.168733915611405,0.181439148091059,0.171151162126338,0.199462075662682,0.139516661928731,0.129562124333317,0.230755765355028,0.177706371812438,0.229311456943356,0.234943628714623,0.168695646076954,0.210044952134527
"X_Briza_maxima",0.104916649595162,0.219114464110368,0.227401965370556,0,0.146153539062563,0.18515659275632,0.202881948163962,0.181146432798275,0.175704447238335,0.164043064442346,0.12273522626588,0.115377875558158,0.218678926779707,0.171381965544912,0.228919414974758,0.0977261624122718,0.24663456491126,0.223038086347157,0.222759260439312,0.244261624491505,0.228781844679133,0.123328785008467,0.214459135581338,0.0972774933761748,0.192310587195783,0.242698696859607,0.202392040393456,0.231916050710808,0.182035848080787,0.14981250128791,0.203431472813441,0.230929166676123,0.0884293709217491,0.205563418249445,0.140581435039836,0.143569534035816,0.20766818110859,0.172542519086405,0.170437486443586,0.229197709381471,0.111016417262374,0.191535998490878,0.22857593414234,0.205817523746043,0.174974312585938,0.131382786803425,0.159377937719463,0.132200947333543,0.189128458991258,0.210452594850823,0.173494563551165,0.220182707329112,0.131363167433919,0.120374927907617,0.140025360572287,0.123408707561701,0.163641043673026,0.2192047019304,0.125577049926205,0.139001285045604,0.18984116718238,0.164317815945534,0.182361485419368,0.125537339883361,0.208371673550923,0.0973292230473221,0.101618561403086,0.134297488302964,0.118057512484642,0.253949166601566,0.128349922861466,0.166084830712675,0.141861042737031,0.176473628128771,0.223304786946163,0.13470876753856,0.13293886436791,0.197752017330248,0.198209765222183,0.179621678377329,0.204869118446127,0.163775373927593,0.181668284733208,0.236524770709918,0.269492208899026,0.292367883740217,0.176253772060315,0.19356475670149,0.153376104066761
"X_Briza_minor",0.0364814280841935,0.0804948195952921,0.151256968846879,0.146153539062563,0,0.118751830067471,0.113024631203256,0.0757040483747992,0.134593614772045,0.0847297815071517,0.0729152678865692,0.0640295646183689,0.196592982980674,0.0722486384854222,0.197767872686813,0.0508189060150774,0.117732728773309,0.128716485878613,0.198452003303981,0.187410722877941,0.169949197412053,0.0949760720094005,0.153316944059561,0.0566587791394845,0.109095605761079,0.198451486124192,0.180383261236362,0.17036547592377,0.169917684338175,0.0843454163379515,0.0820927318343599,0.142497423506965,0.0464136325527914,0.12176840317339,0.0906709847213476,0.119342001462766,0.0878777608969382,0.114180444504647,0.0788944588796983,0.0952644149623091,0.0578947310181167,0.130538681406564,0.0921709571998663,0.113273427810488,0.122474957839471,0.0582184402555928,0.136246869517928,0.097186378628492,0.159390942108227,0.125705869635674,0.113624327419847,0.19532265874329,0.162694561812981,0.141425249348654,0.172164356941244,0.0608099560349233,0.157772904091062,0.199305190687375,0.114194995270099,0.10059738579982,0.0810855182810703,0.14685661816564,0.149224236248095,0.0954498435358319,0.179114117302627,0.0574901413589397,0.0669076229533882,0.134057151193397,0.0734231786871048,0.126206020904275,0.102374691354541,0.158220667846897,0.119829330999949,0.115494536873849,0.182498114536979,0.13397521359523,0.165015876200018,0.118893606562457,0.0896376747682215,0.102329270454205,0.201417996380775,0.107268546092754,0.0647428750063633,0.147312449237449,0.170379104986469,0.161166368298581,0.157227643638758,0.13027986699685,0.140968882734831
"X_Bromus_diandrus",0.0841502014480175,0.165750894687685,0.190138854225509,0.18515659275632,0.118751830067471,0,0.164925607522154,0.143652017650056,0.172379308571565,0.118804266867989,0.0955929733078284,0.088681171990096,0.19401729085589,0.121452590239263,0.203175576684328,0.0784717328141679,0.195126757102664,0.19074977824286,0.195729926051098,0.212154901055106,0.195186937778568,0.101643480224216,0.185787911753687,0.0780139429857456,0.144195207158553,0.206219760643545,0.2053667883141,0.195501863717479,0.172993575732439,0.109574069596129,0.151499735327121,0.191332769189479,0.06951918170815,0.164800933957357,0.117514628686128,0.114959107989048,0.151189653500472,0.14381062284437,0.133790803585358,0.172535013402469,0.0800816119390369,0.173797538957823,0.16946279721857,0.165967422675015,0.132428916234963,0.105591705972737,0.153675654376103,0.0989695983679776,0.200420294222644,0.167639026447377,0.144400974408197,0.205836484046315,0.18132950938354,0.170478737957405,0.173059086791716,0.0920246207401683,0.195925970309036,0.199676340559915,0.11297171311375,0.11099064539529,0.144489336067594,0.16316829333079,0.193706605629764,0.103190203198345,0.174721054256561,0.0843036125716678,0.0998245445044536,0.155014350641069,0.0870889009365842,0.206886513072933,0.10791977400197,0.183257918517967,0.155108134517232,0.155876988435973,0.203140054511311,0.166350241613532,0.177593670728298,0.156194890063545,0.148248528195866,0.13353059427767,0.200457239219483,0.131351811585304,0.12860842523069,0.204030264391025,0.219891079289405,0.232158499767398,0.183261044867061,0.15522712637596,0.168646977339479
"X_Carpobrotus_edulis",0.0606951669369276,0.127864194164526,0.174945074714415,0.202881948163962,0.113024631203256,0.164925607522154,0,0.12276162521606,0.191330785487062,0.119930914842826,0.106670366560471,0.0859212885751315,0.180538355624517,0.0897753299573495,0.191110699476869,0.0672944626571178,0.15573175237018,0.169445061705866,0.186029753645936,0.170626723044301,0.167008551512253,0.104296200976964,0.166777815973327,0.0779100697608762,0.139148547251865,0.173600371328764,0.195761503196274,0.189648991907162,0.183572564057885,0.0990057915236767,0.131617829283216,0.172964398523328,0.0603202519908519,0.142737943093999,0.105415771557756,0.125795444516571,0.124374981462804,0.145167741160383,0.113816662201536,0.140384858636366,0.071117414812717,0.153313003102721,0.130518950792089,0.15021517315382,0.142000093032238,0.0839175292599851,0.171072491604642,0.111665248984654,0.226872421664736,0.164729087154304,0.136300752896985,0.177038460369223,0.229926676383402,0.211592221414711,0.226743833021519,0.0886160510155458,0.224954453460705,0.188098685346934,0.110770315736159,0.114569742908717,0.114530220825691,0.157641634424712,0.225870302408736,0.118296705958654,0.189649662868387,0.0913782963523793,0.104928057833001,0.189337631198272,0.0810919090028733,0.191583451812679,0.0982291347028874,0.224321517319407,0.183638562088368,0.159916946145137,0.186165851161414,0.190322588168516,0.234838574940012,0.144077796227703,0.124359847472908,0.12607075038652,0.177740548861705,0.114335418972429,0.105981290805202,0.18460907860084,0.176482960894198,0.184822427748073,0.192902359822081,0.139095017277191,0.186634276599805
"X_Catapodium_rigidum",0.0494863183552646,0.107883430550509,0.136616505494076,0.181146432798275,0.0757040483747992,0.143652017650056,0.12276162521606,0,0.153150178780772,0.0815253045875686,0.0758979563974743,0.0577946118958945,0.159808811640059,0.0735676113086239,0.162069033489926,0.0495176293875481,0.124224257633519,0.138527942080815,0.164400231127298,0.164221821968538,0.155884389611699,0.0693319222812799,0.146539587633305,0.0514650264555475,0.104531093307883,0.167490718167121,0.196686483019977,0.172177945516275,0.144638958004576,0.0638672792350042,0.105344882897512,0.151654779708864,0.044121760329013,0.124855205835193,0.0756408922514276,0.0880709743801453,0.0840115485855007,0.113000148814653,0.084844287106224,0.104577221860692,0.0503274487575893,0.138899019012024,0.10620374619027,0.11512389439471,0.100465507427874,0.0727567471738979,0.138766974572862,0.0718399202255383,0.194133855214401,0.112280090424774,0.107190881917105,0.181118842872648,0.197901750812417,0.190200811347117,0.185258028819696,0.0593161873749989,0.209678907673932,0.159511420622777,0.087278393118039,0.0857155132287641,0.0922482826611643,0.16200195397858,0.19462219806636,0.0733445471328444,0.147976304207422,0.0623776399666481,0.0925350034212368,0.153399608711865,0.0557286132822884,0.148667043393081,0.0849222692300621,0.179513090086547,0.162213078938262,0.134220336366653,0.166532376492617,0.18128565007359,0.192727439429446,0.106609166686616,0.109956314081269,0.0805532478157372,0.179381891962378,0.0983556682348715,0.0805337851459626,0.162054307702757,0.159073732759557,0.159395884251612,0.188993487132358,0.110063384224684,0.180780506870424
"X_Cirsium_vulgare",0.0790976004918633,0.188061952394182,0.201228003581421,0.175704447238335,0.134593614772045,0.172379308571565,0.191330785487062,0.153150178780772,0,0.142124139452485,0.114165545207101,0.101116376285776,0.228747101529652,0.141655563853387,0.223227277698278,0.0811634270503649,0.216615929010327,0.196213584299332,0.234241586129831,0.249372983674216,0.23325705201049,0.120771125602422,0.219709557768035,0.0850831904410597,0.167684678740307,0.23924740008303,0.243779493896293,0.232168937549057,0.169869335301412,0.133391224061982,0.176808101475403,0.215680128448818,0.0754996704743102,0.179078017452362,0.125814640751143,0.139643793080518,0.182083645233138,0.165640164569877,0.135445474687645,0.190497679033482,0.0937884649456343,0.17913735854623,0.194096072542733,0.176998054009,0.161147492496016,0.106761572647416,0.144462883607289,0.129798387741944,0.209553952719906,0.186734512820401,0.147467076250365,0.250929280905669,0.165135963346166,0.169598026776293,0.156430009068893,0.107616068461513,0.20817390810632,0.223678239917289,0.122430652952493,0.125812788711694,0.150002262150172,0.208774481494763,0.196410168500231,0.122445577150284,0.214039530468639,0.0827432764381124,0.106259396180025,0.139809466198382,0.109986316433139,0.226786325067822,0.120312216103261,0.170324936599297,0.173692560435169,0.169354182453815,0.239121537073552,0.181360592144409,0.159379448457358,0.176747729593881,0.180259898926509,0.151437142707456,0.246695637287532,0.153178882138767,0.152868024943901,0.224113229190534,0.245896925530269,0.260625271497733,0.218321296064165,0.185983279472352,0.193507203965691
"X_Commelina_sp_",0.0414029019777976,0.107791348060103,0.165859331331067,0.164043064442346,0.0847297815071517,0.118804266867989,0.119930914842826,0.0815253045875686,0.142124139452485,0,0.0747880609947163,0.0641586467599244,0.197601791000014,0.0893040082579424,0.203656619379655,0.0488524260981199,0.11859363350302,0.12312570237603,0.200385566005504,0.181768313121817,0.163998653840968,0.0968565875711087,0.138757746178246,0.0573607265014045,0.106130980439895,0.194871912736242,0.175895404062274,0.157044183144182,0.187015512409275,0.0822374521953294,0.105534453201836,0.132607541867582,0.045908567298232,0.100981496861166,0.0805317120951959,0.111260580916509,0.10153072544495,0.112442691328529,0.0793547522730074,0.108734145878694,0.0563289406162113,0.114513706238488,0.107220247509952,0.099617230526419,0.110400885587484,0.0582720211709365,0.159794808751906,0.0947786246479798,0.165320962192807,0.120690857370344,0.120158431611135,0.188649066800104,0.192988566684963,0.164594656693971,0.199516594790034,0.0908001448802429,0.169091272732151,0.205451112428778,0.117499709496407,0.090463764137957,0.0810213081923159,0.143652731934131,0.169783719589333,0.0997307428794681,0.185120468877317,0.0477036597806195,0.0781983408052483,0.157260534738893,0.0745026198191379,0.129183493316469,0.100654645278949,0.175939224691113,0.135584969416349,0.113567796513654,0.165182878288398,0.146632016375325,0.192713617715867,0.124595920732895,0.115071630269452,0.0999423909960132,0.190745025862851,0.104275377464306,0.0825228462225027,0.140894854477109,0.17705621277277,0.155957868699244,0.150854066528014,0.134303070532551,0.143407336448817
