"","X_Arctotheca_calendula","X_Acacia_longifolia","X_Avena_barbata","X_Briza_maxima","X_Briza_minor","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Catapodium_rigidum","X_Cirsium_vulgare","X_Commelina_sp_","X_Conyza_bonariensis","X_Conyza_parva","X_Crassula_alata","X_Cynodon_dactylon","X_Dischisma_arenarium","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Galium_murale","X_Geranium_molle","X_Heliophila_pusilla","X_Hordeum_leporinum","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lysimachia_arvensis","X_Moraea_flaccida","X_Paspalum_distichum","X_Pelargonium_capitatum","X_Pennisetum_clandestinum","X_Pentaschistis_airoides","X_Petrorhagia_dubia","X_Poa_annua","X_Poaceae_sp","X_Polypogon_monspeliensis","X_Romulea_rosea","X_Rumex_sp","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Stachys_arvensis","X_Trifolium_campestre","X_Urospermum_picroides","X_Ursinia_anthemoides","X_Verbascum_virgatum","X_Vulpia_sp","Acacia_saligna","Anthocercis_ilicifolia","Austrostipa_compressa","Baumea_articulata","Baumea_juncea","Caladenia_latifolia","Carex_fascicularis","Cassytha_racemosa","Centella_asiatica","Cyperaceae_sp_","Daucus_glochidiatus","Dischisma_arenarium","Eucalyptus_rudis","Gahnia_sp_","Geranium_solanderi","Hardenbergia_comptoniana","Hibbertia_cuneiformis","Hydrocotyle_sp_","Isolepis_cernua","Juncus_subsecundus","Lepidosperma_gladiatum","Lepidosperma_longitudinale","Lobelia_alata","Lobelia_tenuior","Melaleuca_rhaphiophylla","Microtis_media","Myoporum_caprarioides","Persicaria_decipiens","Podotheca_gnaphalioides","Pteridium_esculentum","Rhadinothamnus_anceps","Scaevola_crassifolia","Schoenoplectus_validus","Sonchus_hydrophillus","Sowerbaea_laxiflora","Spyridium_globulosum","Tetraria_octandra","Thysanotus_multiflorus","Trachymene_pilosa","Tricoryne_elatior","Triglochin_centrocarpa","Unknown_climber","Viminaria_juncea"
"X_Arctotheca_calendula",1,0.205370193962903,0.187724129549405,0.382542369641197,0.0884808649691116,0.310084470728599,0.0665279796949144,0.166626178016517,0.280353557757221,0.0159553427451895,0.0374863841920896,0.0611658336445376,0.17239370734111,0.158031102130588,0.123245207771192,0.0856551515774316,0.205290658555101,0.230614319261211,0.169557904939348,0.199162192755217,0.239682353753817,0.0636028292761211,0.209298316356786,0.0470997176125725,0.150611314419173,0.183609145576799,0.331378970090343,0.0821202344800099,0.0517360314085701,0.103888364883857,0.0024819087196231,0.238852525718532,0.05941759993073,0.207402854956469,0.0885791758889643,0.107590779360147,0.145771049288338,0.0705899172356534,0.157112669021809,0.105748330724873,0.0342847802574196,0.253645783554714,0.217383910351564,0.187800564057873,0.115671063885542,0.132190254011616,0.0153624552641326,0.0536304449711959,0.369426398533368,0.157423453336128,0.0392835712497874,0.255615687444072,-0.00215157274577227,-0.000434958354825588,-0.00131137572010738,0.00825054970324431,0.385330536106531,0.135986226702846,0.122432211314008,0.0915880722250245,0.188200274037752,0.0359716111151208,0.373539548942223,0.0559086980427583,0.145916283757669,0.0149920101100565,0.000428464751698177,-0.000735591769560692,0.0143153487702492,0.266270811038582,0.078551100292618,0.354062941334083,0.00320391759786743,0.0363899371582671,0.257978492514502,0.00473864082174836,-0.00156920778812583,0.0771498524837524,0.000246418481167449,0.126511983732778,0.265222062426089,0.0598662001017867,0.0229206458121374,0.291768904742491,0.168134275157384,0.241157415439422,0.0218128272083706,0.112639292872403,0.0160676697242905
"X_Acacia_longifolia",0.205370193962903,1,0.454233986285869,0.769102551943035,0.236935427171605,0.574287753422255,0.111685282414089,0.379388501498761,0.666112783994429,0.0696597504404083,0.0749927643235332,0.131652442084014,0.334125536190772,0.319411114482054,0.285849012824506,0.165925322394298,0.448226182565941,0.561166344314485,0.340821367671663,0.460499296836278,0.493079032867175,0.1416171051633,0.456534482884253,0.128039946745035,0.285528612608491,0.355702795825715,0.702694981935314,0.140512173655227,0.128972106655344,0.232075689481733,0.0388167188328193,0.49093929159916,0.128322676304653,0.412676141938665,0.190139842493719,0.205530028554933,0.379756848061135,0.138205069243078,0.287380809847204,0.158623039816544,0.0863757975940858,0.534253046428008,0.473873126595156,0.2866994476685,0.216480199078249,0.261661843904337,0.0866953543888025,0.124660368697029,0.819724769276055,0.285635158712617,0.101004480765644,0.529044084294132,0.0887229645102528,0.0914748855899212,0.0974280653936382,0.040134105909394,0.812300480335803,0.264906301123029,0.265157237701405,0.162677830865783,0.33226715131526,0.0777750402988684,0.83754374048701,0.146960984598349,0.250049203200485,0.0377127584356758,0.0362444984779055,0.0702065454040056,0.052686526667642,0.635140781490047,0.167006639333035,0.782164976055455,0.0640521055577632,0.0662773671482647,0.550859975194394,0.0863345558353537,0.102987018059592,0.160524809696592,0.040253554160549,0.23316626211194,0.527229766528268,0.110437559142119,0.0489299942106634,0.627062099214025,0.368463668373997,0.50086138434043,0.0823750644360626,0.246170715673917,0.0743928888111207
"X_Avena_barbata",0.187724129549405,0.454233986285869,1,0.662363566141777,0.0639931379705467,0.454374038140595,0.537781811999748,0.286768509145492,0.627346391903952,0.0589528372476883,0.36238543428994,0.392196116415788,-0.190540266541847,0.459705472507883,-0.288280025457447,0.071819838869721,0.296592315532793,0.288239300225484,-0.231844971009148,-0.112589219555228,0.0340969850128452,0.00318155804770421,0.119590862681856,0.0389969264702154,0.185568699972289,-0.198301999506455,0.218018722895544,0.694756265126915,-0.246144369080279,0.543750626549467,0.11536575025839,0.238473844661035,0.0689360594670473,0.268454293091342,0.084302625146629,0.00273372960065139,0.521651904315301,0.570724944264736,0.274265957720709,0.486154095371617,0.0629834897493809,0.224454122900361,0.543330947594649,0.175977162724165,0.0575846027440193,0.202732408333619,-0.0799304066484753,0.00710445805626329,0.606774609376726,0.659050533227085,-0.0473960653467983,-0.0671814228746129,0.133484827200321,0.244817023584466,-0.0806484095972734,0.077708651002651,0.550193003184212,-0.307979441831076,0.530100673297994,0.592828816257015,0.311431897331608,0.586518944993042,0.666238923093133,0.0316938672673349,-0.0908800872248759,0.259349022930254,0.15071698877894,0.0398901094168571,0.00725218218265165,0.498666260758316,0.467481107581574,0.747634197071855,0.267954562879187,0.517043053215149,0.0496118582716182,0.344026318793301,0.0353698004336553,-0.0023467192012647,0.0755598291222981,0.610135704806441,-0.0476757011918829,0.497649532692449,0.255509495732816,0.38436641830195,-0.0570152422829696,0.22470148759974,0.530601432649795,0.654140351033967,0.472708441698773
"X_Briza_maxima",0.382542369641197,0.769102551943035,0.662363566141777,1,0.36478768160722,0.770297224327702,0.235911172457688,0.643024931225472,0.782571944102658,0.0759574794582798,0.15455748217731,0.253182014587061,0.352025894745193,0.610779920904727,0.273922765746032,0.300368932957056,0.628784939571003,0.773693585081887,0.297449153500457,0.483681417165314,0.60094066721701,0.187154487644918,0.603891341134614,0.184897058046322,0.574741802853562,0.462524611945558,0.790945652122233,0.199180258889163,0.0276536418798477,0.44425440881067,-0.0266019416071933,0.671535975874073,0.204092236488796,0.706751219151471,0.36838074332156,0.282225120469362,0.652533685773635,0.287298744305479,0.515889921719875,0.391318576691155,0.17555650618974,0.709627536295031,0.800545751261558,0.62812469744303,0.385799471376391,0.498247138258013,-0.0902438409370778,0.196581875743901,0.909141971648238,0.548705730149234,0.11371377049317,0.568236331926937,-0.428173338548572,-0.399230167802646,-0.351933623383961,0.0427497716962856,0.90897507214331,0.236836225295326,0.379954213025335,0.339975290536152,0.725130656053875,-0.0538730117100901,0.908661120635176,0.221655098010736,0.28533566061079,0.0428763524339996,-0.111467419749427,-0.269917502733965,0.0301882841051242,0.846739347731827,0.261908070891065,0.874317507258365,-0.239523000173933,0.101197925397961,0.639927763899998,-0.290746698870917,-0.410448795330201,0.235287110860659,-0.0360913276678409,0.46662446071802,0.56331728071368,0.2144686080299,0.120768661267328,0.783203714415173,0.511946183273968,0.689056491907915,-0.139418735970894,0.415428757293524,-0.216764832218928
"X_Briza_minor",0.0884808649691116,0.236935427171605,0.0639931379705467,0.36478768160722,1,0.347646905867404,0.0390278027117122,0.237828060678676,0.224418801478754,0.273994513739112,0.0181524446251656,0.0292396108394284,0.724571333530311,0.107671956055143,0.722820952190366,0.178784072350019,0.391631259824661,0.455313304835983,0.722844308499456,0.688538392508211,0.630350086651697,0.350279833826619,0.545987234871157,0.195261121920848,0.372904522628979,0.725100285978783,0.660383618980278,0.0293806419089837,0.587748042082462,0.0398704944091497,0.219983069263634,0.512301821395031,0.159006964374178,0.445397854835879,0.300118087389348,0.420943482804834,0.142611626413598,0.0222299146993172,0.221911672696848,0.0564945153050365,0.157793500629388,0.461644279900092,0.190471341939878,0.404046189812526,0.444135626533929,0.185435210075579,0.433241713107099,0.351978301183555,0.488147056268136,0.0591459564829249,0.390566524564745,0.747998386811147,0.3991446777588,0.246458911316402,0.537282785638456,0.155411750380896,0.502922205973491,0.72133867752299,0.0354452379193169,0.0170877454463326,0.233603511709854,0.0393157068630076,0.370062267156721,0.318094987712911,0.657058503881372,0.0244876468667135,0.103525738692097,0.359188662827282,0.24787605155043,0.401644082765517,0.0172532439044115,0.275022583030869,0.154351551329881,0.0330513708038258,0.678057344930939,0.156665308956194,0.449627423208083,0.420607928690383,0.218609517855697,0.032131420064077,0.76611913152057,0.0246060999392571,0.115138270633415,0.524329719932341,0.633525850918388,0.574534817458408,0.0876050976461521,0.0298914144889735,0.101811621273541
"X_Bromus_diandrus",0.310084470728599,0.574287753422255,0.454374038140595,0.770297224327702,0.347646905867404,1,0.142964705412734,0.529391979197598,0.64953039466638,0.115074808525719,0.103720799561088,0.159364750006568,0.412454655304048,0.427419037352481,0.350320550273129,0.24824167878886,0.562258175559241,0.657834641179735,0.405353201602653,0.497086060042965,0.568215003914137,0.243446272005101,0.566701072341042,0.190733445338324,0.479197532103883,0.481286138497177,0.740857890269326,0.102041714533497,0.188458611223001,0.301752240615698,0.0137509891948106,0.611177108050944,0.173826433181084,0.602436103844974,0.36291192369209,0.292247712027067,0.490231930065748,0.194447909769519,0.417935719778198,0.279053415843084,0.14426816346695,0.640457637446314,0.6039923726221,0.528714124129815,0.372428243549198,0.392053518386553,0.04823772464956,0.193219273114658,0.794632565547815,0.381918453732358,0.145957360254271,0.595803936901139,-0.072969465113415,-0.10255473443894,-0.0315573881176667,0.0463688185902982,0.797734863416319,0.334439185810002,0.26221565382422,0.202422164155404,0.55440985942238,0.0172207642685384,0.763812602030787,0.26092010982827,0.334771890185625,0.0388763822343187,-0.0240195322355345,-0.0545711000393938,0.0613321722431371,0.697944129718785,0.17187069079138,0.729077810037645,-0.0476435199565905,0.0830675579740953,0.611027696911207,-0.0711457829444272,-0.0641256615622896,0.25569914991907,0.00428259004109705,0.284853290760548,0.608738073641176,0.13385923710283,0.0779222590046648,0.706122062203998,0.488274007782273,0.61824919756675,-0.0289495049384864,0.269034068573894,-0.0226564514998971
"X_Carpobrotus_edulis",0.0665279796949144,0.111685282414089,0.537781811999748,0.235911172457688,0.0390278027117122,0.142964705412734,1,0.0672812639035166,0.314651788024794,0.166931636556689,0.381859230911012,0.303307925143854,0.0155069313192296,0.19350585058511,0.0787798228315741,0.0565724005904753,0.121036468141095,0.0477113154368373,0.0467404030426574,-0.00480312231503502,-0.0333753472255228,0.0374201183970122,-0.00708781279475375,0.0469401144222482,0.0499654985759125,-0.0325934253028785,-0.0204857947524199,0.723798056087976,0.178823824827334,0.328810493157663,0.343349227336332,0.0384900713268676,0.0345124375632953,0.0306774885080548,0.0338156801802141,0.0149446481087374,0.258104798298941,0.551558711525109,0.156090581431762,0.505191894493519,0.0851539322527505,0.0343147282500595,0.172875964191287,0.0415904606999935,0.0359167952043528,0.0443858703171284,0.278524972328355,0.0639027681297138,0.186074926044109,0.515294518304931,0.187927291818627,-0.0584972116246524,0.545260511982161,0.595631774842579,0.421852378143031,0.179040784265654,0.162658292780789,0.0804901615967713,0.390117524639081,0.429604402884323,0.0642286303878279,0.635567288253084,0.257586298540915,0.0550499670797098,0.0405684944490224,0.339256375422793,0.322380799348183,0.430335561812601,0.0963006627057478,0.142470544205605,0.381196448758503,0.363939934299692,0.603207669828199,0.595727450282563,-0.0314000627848454,0.616786238128719,0.500443244796205,0.125046030301945,0.292789710696608,0.463943711744731,-0.0723114286897382,0.445567664129018,0.34226077078244,0.0580639698237045,0.0617135240836339,0.0870972319658372,0.707526316037998,0.529260876164033,0.681947581156348
"X_Catapodium_rigidum",0.166626178016517,0.379388501498761,0.286768509145492,0.643024931225472,0.237828060678676,0.529391979197597,0.0672812639035166,1,0.554760855431617,0.132158968906705,0.0410908812020792,0.0770899455539464,0.503584969500462,0.22537223436623,0.431588029404076,0.153345292323492,0.393096892056876,0.507627670748539,0.495206983561903,0.527059847768109,0.557524381971868,0.175379576244798,0.55054144200121,0.157998586824186,0.318417559000072,0.527962007175993,0.732119207160252,0.0635215920588805,0.283215526291889,0.139920400860031,0.0595207594554185,0.55470038491216,0.132750387014732,0.482811637561656,0.21982415213097,0.259564883823785,0.259147985996222,0.0860566324383711,0.276898955076622,0.114016029513775,0.106114851233161,0.508571077869386,0.383641584190947,0.3811994301952,0.29206778332829,0.255204771879898,0.151337250799583,0.206840943921536,0.729368971069323,0.201578096030274,0.165895684674721,0.665011167371404,0.106439927554767,0.0503038827748164,0.150833379158813,0.0509009942502566,0.791725565475488,0.436401605005685,0.154673881472069,0.116146506459085,0.331620073003136,0.035251271909111,0.698931215207564,0.219344104320654,0.422241089472433,0.0193314098399754,0.0241998096181761,0.0961159946435882,0.093912770152689,0.569204893945443,0.0814703425822288,0.635757694519502,0.0276209652731277,0.0545673869809713,0.599871708145816,0.0334738775496701,0.111057573505016,0.273898870397986,0.0660181695595146,0.138332412955724,0.627574630789551,0.0782688988083259,0.051698390799945,0.616818360077744,0.496775374394104,0.55879910821329,0.0270796318460096,0.142469638846846,0.0224774892796497
"X_Cirsium_vulgare",0.280353557757221,0.666112783994429,0.627346391903952,0.782571944102658,0.224418801478754,0.64953039466638,0.314651788024794,0.554760855431617,1,0.0531930327809826,0.215920503955804,0.278504736847448,0.218556929972682,0.523931708693672,0.124179598221824,0.192409370477061,0.498951033488389,0.579832990139865,0.213403064333467,0.35018480972862,0.460539612177321,0.123070486235244,0.473802661644188,0.115734875784049,0.409920857800266,0.313722809483965,0.671294709212561,0.351798272278593,-0.0423952093621538,0.43744624813237,-0.00825371625063855,0.52343924955057,0.149534685455146,0.555072765725661,0.265813406028568,0.162563316012561,0.576406039859674,0.354471203248409,0.384810033820591,0.361773953416437,0.106793369961525,0.534782650482551,0.678683229802776,0.46581596879406,0.243416676515115,0.367719867001078,-0.121184486332415,0.126074921398182,0.791564606041095,0.572092175713582,0.0163475744254868,0.454523424787238,-0.2201145318086,-0.131102750571397,-0.22707395404776,0.028596295259022,0.801689772253706,0.166239404555989,0.420426173716484,0.393015384277749,0.548187743466922,0.249128937027819,0.823464566583909,0.163517301120794,0.168312026250872,0.0883257617340421,-0.0376415473491157,-0.169802947010583,0.0174961307064018,0.740678664205993,0.31433613815409,0.793824653365962,-0.0461870549847343,0.216032354325232,0.528336183177152,-0.0399461407969782,-0.218102643196431,0.160791768685147,-0.0197389492296608,0.44572182702312,0.475022952451388,0.305184119378435,0.118223573418956,0.655766981705992,0.341264696337626,0.527233273643406,0.0986122096214319,0.449654296943172,0.0484640961683861
"X_Commelina_sp_",0.0159553427451895,0.0696597504404083,0.0589528372476883,0.0759574794582798,0.273994513739112,0.115074808525719,0.166931636556689,0.132158968906705,0.0531930327809826,1,0.0952684460997042,0.0427081001426452,0.684161961809731,0.0306676045804224,0.725782227963264,0.101368921692544,0.252076840419357,0.274152636336872,0.672345502435899,0.610606401446997,0.509139721155512,0.352999960732965,0.383690060533318,0.185818035648414,0.250568940804383,0.708949242433507,0.417563957325078,0.213712323425369,0.702943628304435,0.033901774087062,0.369458352911925,0.327398408960822,0.130289770688154,0.167536441696088,0.243767766559012,0.386532222209581,0.0849270074208491,0.10758288290801,0.121329401197624,0.178215728178299,0.192092674366873,0.217734441326645,0.0416951984297433,0.242240046432227,0.325044164905354,0.0748947142913073,0.597965470847845,0.298564659264849,0.142030923707068,0.0846496287044426,0.442426787311426,0.599020435858193,0.687425712161186,0.551377723605227,0.736259656732151,0.317152555331809,0.182242568307036,0.75375853625284,0.0461927254212629,0.0487287557125252,0.117239414402786,0.293445822014337,0.110056393567627,0.317978893541264,0.671285799679487,0.0958611733406154,0.259817069185251,0.56111729173403,0.268025465885649,0.137221894528884,0.0753856928316494,0.0585148354985728,0.414908109509986,0.201829672257363,0.511382752061817,0.46589888153416,0.689107497321675,0.42684742335856,0.403662433892883,0.0637314572011149,0.632020098242759,0.133973465857439,0.243349473399199,0.272369526640273,0.584622425179716,0.415232005165671,0.40033488031995,0.125806151465925,0.396825886035932
