"","X_Acacia_longifolia","X_Arctotheca_sp_","X_Avena_fatua","X_Briza_maxima","X_Briza_minor","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Conyza_bonariensis","X_Ehrharta_calycina","X_Ehrhata_longiflora","X_Euphorbia_sp_","X_Fumaria_capreolata","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Lolium_rigidum","X_Lotus_suaveolens","X_Pelargonium_capitatum","X_Pentaschistis_airoides","X_Petrorhagia_dubia","X_Poa_annua","X_Romulea_rosea","X_Solanum_nigricans","X_Sonchus_asper","X_Sonchus_oleraceus","X_Trifolium_sp_","X_Ursinia_anthemoides","X_Vulpia_myuros","X_Wahlenbergia_capensis","X_Watsonia_sp_","Acacia_cyclops","Acacia_saligna","Agrostis_avenacea","Angianthus_sp_","Aster_sp_","Baumea_articulata","Centella_cordifolia","Cotula_coronopifolia","Epilobium_billardierianum","Eucalyptus_rudis","Exocarpus_sparteus","Isolepis_cernua","Jacksonia_furcellata","Juncus_sp_","Lepyrodia_muirii","Lobelia_alata","Melaleuca_teretifolia","Podolepis_lessonii","Podotheca_angustifolium","Sedge_B","Sonchus_sp_","Villarsia_capitata","Viminaria_juncea"
"X_Acacia_longifolia",1,-0.0613265350507229,-0.0236328133476854,-0.046120413756932,-0.0303798840091171,-0.0442149985947827,-0.169910728231955,-0.0131771149510211,-0.33475675292757,-0.197881939627188,-0.0560711723682633,-0.0300731953458058,-0.02739347464417,-0.0375746568763561,-0.00657890672637044,-0.0298022129750499,-0.0129115715318983,-0.00722478754340858,-0.0855305732940729,-0.0118148447585311,-0.0293624064644628,-0.0161995204932465,-0.0336928137539251,-0.016319266867732,-0.184931701746449,-0.011621579976131,-0.146593434826014,-0.0760302654525197,-0.0157090979958954,-0.0699499842867974,-0.161194571918511,-0.0292686820513701,-0.0624255613302499,-0.0498322160382854,-0.024242269581351,-0.0926559219641882,-0.00304761902322847,-0.0358527634732078,-0.144214508189485,-0.165539571550113,-0.0184513494357285,-0.271621595196427,-0.133101750321729,-0.0127883204902278,-0.0558828767540342,-0.00782690302784222,-0.0198823720418951,-0.0132542519754604,-0.00589680896277106,-0.288116560831847,-0.00958033373065744,0.000363727911444692
"X_Arctotheca_sp_",-0.0613265350507229,1,-0.01741701849117,-0.0481474524260404,-0.0609523246460123,-0.0139186805982828,-0.0494061697529417,-0.127740868271014,-0.00597233695275971,-0.00748544447114372,0.0126792083701572,-0.0147297166334238,-0.0011563106255253,-0.0212593752905558,-0.00365097612328012,0.000590755272310029,-0.0200706520776882,-0.029937049092823,-0.000404301977717508,-0.0268894656645122,-0.0275191403766686,-0.0176330814395462,-0.0302496940107497,-0.0166152536951199,-0.0115702507185788,0.000156996990168908,-0.0461135473309901,-0.126335291712056,-0.00465739221152909,-0.0648746171802999,-0.0345197801800423,-0.00437882204660613,-0.0542197599629279,-0.00926389454864091,-0.108169923526964,-0.0147068587552709,-0.0256180806781348,-0.00248911460953835,-0.0196841637236525,-0.0247928615140304,-0.033747552327448,0.00222333595022337,0.00693492458682177,-0.00232943397461862,-0.0175850805353381,-0.0381651515985972,-0.143832425662355,-0.00308623904084735,-0.0389795167173618,9.52084457289141e-05,-0.114051670640648,-0.0245030503951646
"X_Avena_fatua",-0.0236328133476854,-0.01741701849117,1,-0.0914899521946357,-0.0505711630272886,-0.0234042505524682,-0.0561316281746061,-0.059411107922278,-0.0554807719783893,-0.0721906729378474,-0.0450269674268908,-0.0160569031897661,-0.0302609540916532,-0.0653197812998279,-0.00369814616581817,-0.0701553242452783,-0.0215442938092163,-0.0149506804259609,-0.0475137524830252,-0.0177076677297667,-0.0154703561505105,-0.035210572070593,-0.0338093526520032,-0.00420586192916,-0.0519975009183239,-0.0227352789304158,-0.0431942577275726,-0.135565770298342,-0.00957742068733654,-0.0540835862564767,-0.0722670681063889,-0.024549595557755,-0.0845486600677403,-0.0180670049430442,-0.0427884578113257,-0.000980761689949494,-0.0153256201007006,-0.00426664777127614,-0.0613120775662923,-0.0933808850268474,-0.0171202370459859,-0.0595909839286198,-0.0396604545080607,-0.00890363571186513,-0.0179745300040947,-0.0260405729178381,-0.060825294956308,-0.0222889120412094,-0.0101366038010162,-0.0627339486442084,-0.0138803711612689,-0.0238269634331896
"X_Briza_maxima",-0.046120413756932,-0.0481474524260404,-0.0914899521946357,1,-0.00676526423290781,-0.0441948513761449,0.000962583117685162,-0.0666745340026322,0.0023721513110029,-0.145525432902189,-0.185984006446655,-0.10840143841246,-0.0578009769968912,-0.172489341743815,-0.135290040875685,-0.308090043785713,-0.030672339116618,-0.113493840185672,-0.0345509387015305,-0.062051207485197,-0.0142406466727847,-0.0788081983536794,-0.0637744885339225,-0.10305409596769,0.00145986715796146,-0.0162642219991025,-0.00873636441892133,-0.00350322841523123,-0.0523215507480821,-0.0507707447651493,0.0292017897882734,-0.103705016926717,-0.126380571440378,-0.0118463306793617,-0.0829797945281909,-0.0764407675080001,-0.0872913541901131,-0.0758263458913605,0.00549210164190405,0.0149197892002163,-0.145889900519163,-0.0278986626553639,-0.224191042087254,-0.16557050115829,-0.107373412967569,-0.063371519311245,-0.253634998435106,-0.0960443847598372,-0.173891515419086,-0.135030817817947,-0.254978252276452,-0.0631728860032564
"X_Briza_minor",-0.0303798840091171,-0.0609523246460123,-0.0505711630272886,-0.00676526423290781,1,-0.0756868572670745,-0.14167366476357,-0.002332407878404,-0.364962148952555,-0.311274508050977,-0.118896008812088,-0.0465664921436173,-0.0344364054885464,-0.0127945430955036,-0.0374354170790819,-0.0629757589855016,-0.00330095631152899,-0.0180585684767022,-0.0933033667330439,-0.00903180741357275,-0.0149101380552353,-0.00987042910086414,-0.0253992956741588,-0.036284601548072,-0.27768053208864,-0.0175397826464484,-0.243796554184058,-0.0485494922758155,-0.017426619920194,-0.0902374568605393,-0.170240081245895,-0.0792240560767792,-0.101540793272151,-0.0839085593990218,-0.000747633342063483,-0.0632362698986233,-0.0725939904546666,-0.023821600327025,-0.114001520413634,-0.219595995508445,-0.0607800385885986,-0.350924128919289,-0.107043164209953,-0.0357289468251095,-0.054243776424228,-0.025508382431519,0.000242353491555168,-0.0575419519094584,-0.027678567322696,-0.356639911920118,-0.0326183205083086,-0.0186417019598273
"X_Bromus_diandrus",-0.0442149985947827,-0.0139186805982828,-0.0234042505524682,-0.0441948513761449,-0.0756868572670745,1,-0.0471578757091837,-0.0831753207456195,-0.0145353888563105,-0.0429463951396848,-0.0549844607661497,-0.02858240605606,-0.0101155612842682,-0.0475893769045433,-0.0336497800499142,-0.0779797802364525,-0.0156707079402463,-0.0274579009143576,-0.0116747488913594,-0.030132157492198,-0.0278589764953498,-0.0224090716927443,-0.00974452950111439,-0.0207630387978536,-0.00525439978395562,-0.00577725876800377,-0.0306366734999175,-0.0479414522426724,-0.00906515690112449,-0.0321137097336652,-0.0324964655489458,-0.0269949190608325,-0.0316953041141706,-0.0139483641883874,-0.0608987267425374,-0.007903948945598,-0.0123460808948211,-0.0168809057270724,-0.014712584491174,-0.0223084122617422,-0.0194077417074158,-0.022729475680944,-0.0370052980639363,-0.0528410990539285,-0.0324605494035834,-0.017353704038508,-0.130369560086898,-0.016626512823007,-0.0530868320380078,-0.0534391373463611,-0.143763274876444,-0.0177428477184038
"X_Carpobrotus_edulis",-0.169910728231955,-0.0494061697529417,-0.0561316281746061,0.000962583117685162,-0.14167366476357,-0.0471578757091837,1,-0.309371223850027,-0.0172500603263752,-0.0554929256472549,-0.191066180541133,-0.133080250981185,-0.0660006346963029,-0.296265998038224,-0.172928646516103,-0.448928584856088,-0.0515678212395483,-0.148145453482626,-0.105842005472687,-0.106042522106508,0.0194505300754972,-0.0973859302024695,-0.076953937983868,-0.0805189731738047,0.000662073367245409,-0.0266776690273938,0.0121435653495359,0.0472650529682586,-0.0680414149327143,-0.0435076511013351,0.0231078435776529,-0.0936635356932942,-0.214142669730299,-0.0150150396633154,-0.0973418722636853,-0.10814112933074,-0.0449886440587536,-0.0800228046520944,-0.0154841266380391,-0.0482274373784186,-0.184513294963451,-0.0521743859608322,-0.326242617489726,-0.188609344683657,-0.129325547779144,-0.0295305847958194,-0.437332887911888,-0.103083496169331,-0.219323484795225,-0.124914776417273,-0.529741765362805,-0.0442046066953769
"X_Conyza_bonariensis",-0.0131771149510211,-0.127740868271014,-0.059411107922278,-0.0666745340026322,-0.002332407878404,-0.0831753207456195,-0.309371223850027,1,-0.609255082667053,-0.42608153524679,-0.177970661835938,-0.0668740971230455,-0.0699313659744468,-0.023152492045508,-0.0694947610274574,-0.182262680826002,-0.0201767925048348,-0.0217822258175255,-0.156172428585721,-0.0317568184305383,-0.0564765917196174,-0.0340360874638888,-0.0404279610933178,-0.0313371722017747,-0.350333971237736,-0.0214671752667966,-0.306141722351463,-0.180760803451831,-0.0314558008000503,-0.120648256888655,-0.288337302992413,-0.108714785200797,-0.180703630486964,-0.109638630337656,-0.0907301012012985,-0.173121952649782,-0.0225313916943942,-0.0662370059277024,-0.273294246301443,-0.303456816758899,-0.0787601381096863,-0.49978524011391,-0.227131778324993,-0.0347905581818632,-0.104377713257433,-0.0316242536800347,-0.0752752596409067,-0.0818088015239975,-0.0112324118615286,-0.51587576803479,-0.0729922694497605,-0.00390973444561569
"X_Ehrharta_calycina",-0.33475675292757,-0.00597233695275971,-0.0554807719783893,0.0023721513110029,-0.364962148952555,-0.0145353888563105,-0.0172500603263752,-0.609255082667053,1,-0.0066465248846685,-0.0521739442717177,-0.10218941394555,0.0014606261846233,-0.239577203749817,-0.150770035252513,-0.243992497076658,-0.0563376148740999,-0.140319943641104,-0.0196814014485064,-0.160712514733837,-0.0199017801140793,-0.109398564603513,-0.129217090884896,-0.0324926558519748,0.00103168499168165,-0.0124510922178393,-0.0160959718070602,-0.0264096598835802,-0.0208582933636347,-0.0595572459494587,-0.00205143894119916,-0.0157353087106166,-0.192480601256042,0.0072903216143151,-0.200335377945676,-0.084962473366195,-0.0613327027252825,-0.0695692121697574,0.00271587116954619,0.00027082055939613,-0.157431922343855,0.00958142878747321,-0.11360624076606,-0.132151783165946,-0.0943997182525784,-0.0813584099297164,-0.69778358530238,-0.0309689705985304,-0.178655803735514,-0.0227060026568395,-0.733272933960755,-0.0998096766193757
"X_Ehrhata_longiflora",-0.197881939627188,-0.00748544447114372,-0.0721906729378474,-0.145525432902189,-0.311274508050977,-0.0429463951396848,-0.0554929256472549,-0.42608153524679,-0.0066465248846685,1,-0.00611838378805348,-0.000990428134715301,0.00597035281341297,-0.018137629010428,-0.0310756619155124,-0.0512879948787777,-0.0325212393603378,-0.044237665367153,0.00381656748494717,-0.0585515104366604,-0.061214655230009,-0.0416846295522077,-0.0401901450732797,-0.0313247499436008,-0.0145331669594004,-0.000271082351788218,-0.0418534875146062,-0.212769973656819,-0.00751314161245423,-0.124862759012081,-0.0297068897419057,-0.0108017628645398,-0.111473582708211,-0.00722574806280225,-0.238169955350679,-0.0308927304605127,-0.0481427957082502,-0.0357526244547662,-0.0143465905521522,-0.0533213310588384,-0.0665144080225645,-0.0021074486496361,-0.00131719659026411,-0.0188973244150648,-0.0118883718223275,-0.0689162663014541,-0.428839947966242,-0.0148071585840244,-0.0285866221300346,-0.00999867231449915,-0.263806961180986,-0.118311351432698
