"","X_Acacia_longifolia","X_Arctotheca_sp_","X_Avena_fatua","X_Briza_maxima","X_Briza_minor","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Conyza_bonariensis","X_Ehrharta_calycina","X_Ehrhata_longiflora","X_Euphorbia_sp_","X_Fumaria_capreolata","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Lolium_rigidum","X_Lotus_suaveolens","X_Pelargonium_capitatum","X_Pentaschistis_airoides","X_Petrorhagia_dubia","X_Poa_annua","X_Romulea_rosea","X_Solanum_nigricans","X_Sonchus_asper","X_Sonchus_oleraceus","X_Trifolium_sp_","X_Ursinia_anthemoides","X_Vulpia_myuros","X_Wahlenbergia_capensis","X_Watsonia_sp_","Acacia_cyclops","Acacia_saligna","Agrostis_avenacea","Angianthus_sp_","Aster_sp_","Baumea_articulata","Centella_cordifolia","Cotula_coronopifolia","Epilobium_billardierianum","Eucalyptus_rudis","Exocarpus_sparteus","Isolepis_cernua","Jacksonia_furcellata","Juncus_sp_","Lepyrodia_muirii","Lobelia_alata","Melaleuca_teretifolia","Podolepis_lessonii","Podotheca_angustifolium","Sedge_B","Sonchus_sp_","Villarsia_capitata","Viminaria_juncea"
"X_Acacia_longifolia",1,0.0858028106456232,-0.178084776394146,-0.0557877074044244,0.428714186243223,-0.0376605943790178,-0.44942535403921,0.488034990111056,-0.262226752919251,0.174481428788638,0.233561288128604,0.237334437412084,0.149043152002632,0.481514905061415,0.113517160187511,0.595027204467908,-0.195479638622781,0.111752606483114,-0.0273830414511232,0.0440559548542525,-0.164533003607511,0.178927657666461,0.140610256771974,0.251964383735779,-0.44978618195715,0.279395860115372,-0.110937898788179,-0.39508052090285,0.0976703834569045,-0.0873908619842508,-0.185434108305502,0.631392168772714,0.153874505283118,-0.0132873744888235,-0.114578934375705,0.103553599385054,-0.0256362302837222,0.383528204546537,-0.138666513935937,-0.195193625966538,0.166606232609665,-0.0682988204180866,0.310616541931105,0.449189017325297,0.549265744334177,0.162958624230677,0.319439917294927,0.142644432962806,0.222732668509499,-0.0278982649665028,0.58113713768466,0.194087876330422
"X_Arctotheca_sp_",0.0858028106456232,1,0.0671377772828034,-0.023977521845419,-0.057498069752663,0.179899183127272,0.0182759809457025,-0.0546687615416678,0.216708354563893,0.264982903584083,0.182091596626943,0.137539785690747,0.142694793073126,0.125548721326693,0.076642585738058,0.221150803390735,0.0653346424966955,-0.0106117283293779,0.0798975273458441,-0.0130616394624293,-0.0067992834353195,0.0249704487581396,-0.021617336078912,0.184514572996701,0.0825409607732543,0.279565030521001,0.135862161027803,-0.00418585955631347,0.12675390316215,-0.040981233219845,0.0441491853015535,0.102470101427954,0.0604256368035817,0.0802899546020597,-0.0993885757760873,-0.00724499891461904,-0.0336548616381499,0.0491615320976593,0.0840025146914629,0.100262901460313,0.0357601653470358,0.261990625548897,0.141070496680999,0.0269910295654772,0.0359099491570311,-0.138017801505513,-0.167497562130109,0.0885418774798375,0.0951218424007878,0.207409588394451,0.0201311992264184,-0.00327441443063733
"X_Avena_fatua",-0.178084776394146,0.0671377772828034,1,0.00256994949017619,-0.286271902222168,0.199453195303176,0.247023293921018,-0.308898035294119,0.349745013846921,0.168152973990046,0.0606154079344947,0.0145861794438159,0.057277610616313,-0.135049521155928,0.0180609001568608,-0.0952496201205142,0.157592361826727,-0.0672391415144559,0.0907314363964482,-0.0377555579024471,0.0805009531530404,-0.0687142427340294,-0.0986236955556549,0.0487322726435534,0.310080113217892,0.126814808526838,0.185930872116922,0.194073959368276,0.0705020917544478,0.0062779559554552,0.138750916943791,-0.225583477505735,-0.0261574509225327,0.0836180152959612,-0.0392859624595874,-0.0625941133493741,-0.0216199253759988,-0.150323774052468,0.157802816320556,0.195300173054065,-0.0506515189559768,0.295382237349503,-0.0217654284407771,-0.209784384779861,-0.250995488685917,-0.229379880073932,-0.32555414121786,0.00985032488785816,-0.0236316620131524,0.216606469320664,-0.286169579640674,-0.103283169357484
"X_Briza_maxima",-0.0557877074044244,-0.023977521845419,0.00256994949017619,1,-0.0244392981255837,-0.0246829836896318,0.0403428548443295,-0.0301679393203977,-0.0123863552996313,-0.0570685219473052,-0.0476263651729077,-0.0429146120293671,-0.0376263276479358,-0.0598284575817861,-0.0199251020006686,-0.0860511226915593,0.00706119675633164,-0.00726134944023574,-0.0116252504313102,-0.00172401973622285,0.0158584243064695,-0.0185068383325284,-0.00626909800323526,-0.0516004381661079,0.0274871109638551,-0.0659258464034482,-0.0137264794554938,0.0375731623125239,-0.0294432417261737,0.0134496533169316,0.0107478101609049,-0.0721678211957772,-0.0213309159765328,-0.0134340055232226,0.022761659643099,-0.0073169103013776,0.00538238380854601,-0.0416892583044912,-0.00248601833656187,0.000259369270843915,-0.0201608731048999,-0.0362805687184003,-0.048936987842507,-0.0421695248491512,-0.0523860924052036,0.0070799180584516,-0.00123700243202553,-0.023997660443267,-0.0356741530675577,-0.0332791809367071,-0.0525296679517806,-0.0153604256428264
"X_Briza_minor",0.428714186243223,-0.057498069752663,-0.286271902222168,-0.0244392981255837,1,-0.276189636353562,-0.499903112201487,0.590832461985237,-0.564372601346617,-0.15975860744956,0.00790757918602161,0.0730569537256342,-0.0213485170789201,0.358963798487824,0.0219654075032067,0.344074332029464,-0.28504767283956,0.133350452081547,-0.131470560193616,0.0684370632323663,-0.169728951025004,0.157295645171625,0.186711927471697,0.03433648095709,-0.588995739627019,-0.0627736894337325,-0.293849285307363,-0.403589723879051,-0.0544411467910353,-0.0380224533959561,-0.255915231259338,0.534417173050145,0.0923781881468621,-0.119090280525536,-0.00206613207925243,0.12180883534601,0.0187147217601991,0.344889301517044,-0.257500215812419,-0.336005289941287,0.126383469308894,-0.416748004123228,0.145739795185308,0.451034754450376,0.545364183889447,0.352815481235422,0.566445251657326,0.0407225047871527,0.113632415386349,-0.301835427727949,0.600022901269859,0.205656703553167
"X_Bromus_diandrus",-0.0376605943790178,0.179899183127272,0.199453195303176,-0.0246829836896318,-0.276189636353562,1,0.21095400286695,-0.284350226455999,0.508573317128221,0.423186060504648,0.253406735247953,0.163286102071124,0.200670832834267,0.0420914878003476,0.0999282475430455,0.176756114481194,0.195414527808164,-0.0627141334022023,0.152821137423592,-0.0447147242691144,0.0556800042589244,-0.0291024774604443,-0.0911476801314449,0.246873049436252,0.334457782043148,0.401838459165783,0.299545206083443,0.148547909224515,0.190560476045945,-0.0414543634137515,0.154358010711626,-0.0517223753764116,0.032103740177622,0.153172894153313,-0.132789611722435,-0.0566545467334298,-0.0535235199157322,-0.061261770417123,0.207666953417958,0.261892458873938,0.0015849345476868,0.516438024239085,0.140330385231459,-0.123162367925805,-0.14637488969559,-0.319286298420778,-0.438743614349074,0.102625069637361,0.0888316231395644,0.389089661326808,-0.190622487845844,-0.0774155865832197
"X_Carpobrotus_edulis",-0.44942535403921,0.0182759809457025,0.247023293921018,0.0403428548443295,-0.499903112201487,0.21095400286695,1,-0.558910851101921,0.479590143822694,0.0609909695147822,-0.0768474123634792,-0.120254351118161,-0.0323885440364607,-0.389514044077516,-0.0476321175202354,-0.421168332921003,0.264094806839831,-0.123633391929769,0.104886936931241,-0.0517273337263079,0.17280422985789,-0.163989188364994,-0.154335538825896,-0.100207441601691,0.563617221966345,-0.0389031081043799,0.245539500376002,0.416351198608525,0.00894433012838707,0.0569775227387445,0.241164101716889,-0.569885142437993,-0.104848011512043,0.0890811707270401,0.0397556143330049,-0.113357259002867,-0.00606165262416854,-0.360800458034649,0.224309241067205,0.30083104234935,-0.138770181447806,0.312438021067573,-0.199352610129028,-0.453953617559684,-0.547928976479873,-0.297059354651879,-0.493655605821858,-0.0707657282355275,-0.149395118729051,0.22674467930923,-0.591720581131999,-0.201730280118061
"X_Conyza_bonariensis",0.488034990111056,-0.0546687615416678,-0.308898035294119,-0.0301679393203977,0.590832461985237,-0.284350226455999,-0.558910851101921,1,-0.598652730461429,-0.141475730939917,0.029979219882945,0.0893038840364263,-0.0031790638492747,0.407818120412437,0.0345074058853558,0.410322899368203,-0.306827802811895,0.147205905785031,-0.134400341765716,0.0680656848165333,-0.189570968090404,0.180851464964704,0.198130613296544,0.0581710284596159,-0.641430244524999,-0.0361918584814713,-0.305243282891425,-0.45315208542041,-0.0430040617186748,-0.0508609750021235,-0.280209984197255,0.611904602326546,0.105911521218105,-0.1214463777607,-0.00386818795962694,0.136330961868365,0.0159529682514826,0.39080590396261,-0.273770769959294,-0.361457073413281,0.144567444209344,-0.427140078047341,0.182436645565061,0.508461657695226,0.614641320101346,0.379595837614873,0.611810226058335,0.0570882737286894,0.138414318749059,-0.309466681750862,0.6697199876414,0.230743959539477
"X_Ehrharta_calycina",-0.262226752919251,0.216708354563893,0.349745013846921,-0.0123863552996313,-0.564372601346617,0.508573317128221,0.479590143822694,-0.598652730461429,1,0.51178093315427,0.249958955068423,0.129664330037294,0.21561114778584,-0.141951984934673,0.0892546255749198,0.000536255111191301,0.345510088961294,-0.132135786242816,0.226813890879676,-0.0774018015556272,0.146556920916508,-0.110230303823587,-0.187334506349137,0.228159269640777,0.650597831554178,0.442648566413097,0.45884830977132,0.365216113638639,0.225404143956509,-0.0199368067750058,0.293847015592966,-0.333863941286595,-0.0111992712128865,0.222066754960179,-0.135611767612098,-0.120598791185008,-0.0636620784703021,-0.246727458152949,0.347432320968326,0.44527167641792,-0.065173939187784,0.745322031016583,0.0674664890899859,-0.36040547026715,-0.434296692394598,-0.508118142462725,-0.741387285615986,0.083428404803496,0.0305598129178584,0.561458764948849,-0.507934585371949,-0.189011698997391
"X_Ehrhata_longiflora",0.174481428788638,0.264982903584083,0.168152973990046,-0.0570685219473052,-0.15975860744956,0.423186060504648,0.0609909695147822,-0.141475730939917,0.51178093315427,1,0.412313919985733,0.309215410456843,0.320615039200516,0.259570503260334,0.170494604519488,0.47968119537848,0.145725558267746,-0.0286716295243793,0.177382015039214,-0.0337751558552863,-0.000795767236718588,0.0445709984006214,-0.0553229303624954,0.416109004958649,0.214162367583322,0.621404439665026,0.319307263618396,0.00848659691198532,0.281335663062191,-0.0913767176012779,0.108547980558954,0.212346726162629,0.114110960125976,0.185630760900724,-0.219391566491827,-0.0250375799976583,-0.0789430336400321,0.0926335273928003,0.19506727773045,0.236423752135063,0.0742129849318116,0.606867295614174,0.311967622642306,0.0416581810740407,0.0595617201007367,-0.322379642418339,-0.401829135696958,0.190731028484702,0.209403417792169,0.470299563825395,0.0193414818037195,-0.0120979946274469
