"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-5.3192591276481","-7.90148624523921","-3.14459547041079","1.27200431609938","-0.239131857571638","-0.162418810594809","-0.430640556287837","-0.13444440365918","boral","X_Briza_maxima"
"2","meanGW","-0.591059279168356","-1.44066227192248","0.400826998699755","0.457026495472679","-0.77323292532643","-0.474676741040135","-1.77094326192164","-0.430045764086792","boral","X_Briza_maxima"
"3","intercept","-0.538809571848168","-1.24707264865259","0.12735489827655","0.339431526241948","-0.629965657584118","-0.407948986693129","-1.2274767873132","-0.351588130614369","boral","X_Bromus_diandrus"
"4","meanGW","-0.608356487645269","-0.946968930377695","-0.289202257615106","0.170223477177992","-0.27980876449081","-0.188272391951394","-0.532099986758808","-0.157805890511288","boral","X_Bromus_diandrus"
"5","intercept","-5.74692370311173","-9.6277911085849","-2.50986641916629","1.81099454196249","-0.315124166513975","-0.215481581151779","-0.586433146028745","-0.177249469375546","boral","X_Conyza_sp_"
"6","meanGW","0.304576250924458","-1.15531509761108","1.89044948469202","0.781320529705377","2.5652706911123","1.87621622126826","4.14313986099493","1.43691912409917","boral","X_Conyza_sp_"
"7","intercept","-4.28109717607627","-7.06251726602065","-2.00535994991802","1.30333265173515","-0.304438931921113","-0.197780327430843","-0.557700241817747","-0.169023885695208","boral","X_Cynodon_dactylon"
"8","meanGW","-0.00518771738752246","-0.890706785453658","0.898874488745633","0.448816472146705","-86.5152124952298","103.316955001851","219.104589163722","-47.9760371566078","boral","X_Cynodon_dactylon"
"9","intercept","-4.9258565537597","-8.10112471271037","-2.13721641968343","1.5009708760752","-0.304712664628768","-0.196480681430699","-0.582507284716009","-0.169782443928657","boral","X_Cyperus_sp_"
"10","meanGW","-0.902267512453265","-2.12007664519696","0.28299351487422","0.612412763089011","-0.678748547006709","-0.432840565382828","-1.30809004797132","-0.376737200177178","boral","X_Cyperus_sp_"
"11","intercept","-1.42936529081939","-2.88862852829827","-0.161676545486007","0.706218086002879","-0.494078099236644","-0.333070940238469","-0.893993196368763","-0.277567496281493","boral","X_Ehrharta_calycina"
"12","meanGW","-0.0182248661345448","-0.613951722445442","0.539002103969996","0.302478290187173","-16.5970102580799","-20.1539170301186","-15.3830513065674","-9.27140076388479","boral","X_Ehrharta_calycina"
"13","intercept","-0.47739314011887","-1.28111500335842","0.21942798905062","0.385903106979631","-0.808354948048776","-0.543624984350663","-1.41335720620767","-0.453393407618248","boral","X_Ehrharta_longiflora"
"14","meanGW","-0.825310196614346","-1.1986022449769","-0.458288932584345","0.193962519261329","-0.235017718255534","-0.153867336223005","-0.446808651297312","-0.13218801130035","boral","X_Ehrharta_longiflora"
"15","intercept","-5.45888788697671","-9.02673581327724","-2.50638107196664","1.68485962178691","-0.308645214313063","-0.203434152718413","-0.565359287189148","-0.172304969969474","boral","X_Fumaria_sp_"
"16","meanGW","-0.0409861290184144","-1.35789435079453","1.25752069059572","0.671990051075101","-16.3955481322275","-8.1412123910272","-26.0567865733896","-9.22185136461196","boral","X_Fumaria_sp_"
"17","intercept","-4.61204681983328","-7.71399969960543","-2.00448910198086","1.45943698103697","-0.316440191968764","-0.215779008722938","-0.587489548446322","-0.177222168182778","boral","X_Geranium_molle"
"18","meanGW","-0.563843821550976","-1.71956485251178","0.519184792135377","0.566312942283427","-1.00437908626126","-0.701280557196337","-1.86503401593088","-0.566531084196226","boral","X_Geranium_molle"
"19","intercept","-5.59280160305299","-9.34628932642854","-2.47879006800224","1.72442264781843","-0.308328950355955","-0.20472381259765","-0.580757137382153","-0.17300148059377","boral","X_Lactuca_serriola"
"20","meanGW","0.374806656520747","-0.963318381602046","2.03284278071166","0.738947649749155","1.97154355957457","1.33812191528105","2.80139580247821","1.09743180610288","boral","X_Lactuca_serriola"
"21","intercept","0.286968795697184","-0.131820131128295","0.655316155080734","0.201109399620769","0.700805811071473","0.443910561547614","1.50361464116974","0.39351683094245","boral","X_Pelargonium_capitatum"
"22","meanGW","-0.496618778304981","-0.712783967209786","-0.313477559296579","0.105015098495798","-0.211460184518651","-0.142941250169173","-0.389088353796658","-0.118641510776229","boral","X_Pelargonium_capitatum"
"23","intercept","-5.57469257999601","-9.02318276687278","-2.6052266390232","1.68134127898078","-0.301602510784905","-0.207546882997387","-0.551920379118701","-0.169125322510891","boral","X_Phytolacca_octandra"
"24","meanGW","0.175067638430051","-1.17072792188087","1.73825068520304","0.708497316902877","4.04699191270556","2.58829450498426","5.12574789080761","2.26713547175678","boral","X_Phytolacca_octandra"
"25","intercept","-5.19751974821602","-7.63103357432501","-3.16950685858032","1.20411738585946","-0.231671536461743","-0.158919007626492","-0.413083654791203","-0.129833025611697","boral","X_Rumex_crispus"
"26","meanGW","-1.48016713550798","-2.52270886013628","-0.586848618996662","0.500283179207453","-0.337991006019574","-0.234857454096202","-0.622551682717056","-0.190638450676302","boral","X_Rumex_crispus"
"27","intercept","-4.71165587795749","-7.52036131934958","-2.63255043696759","1.26376773645042","-0.268221569907662","-0.181684820068417","-0.481419616332308","-0.149543525186682","boral","X_Solanum_nigrum"
"28","meanGW","0.479537271901456","-0.521474787977908","1.61637953025518","0.550557701677813","1.14810200152899","0.804323226521762","1.95254823153529","0.643007584871061","boral","X_Solanum_nigrum"
"29","intercept","-5.48221787937026","-8.8400396503709","-2.49543475042288","1.71089658974541","-0.312081100640594","-0.21494113725883","-0.559712339829706","-0.175721161723273","boral","X_Sonchus_asper"
"30","meanGW","0.555099057883863","-0.885406341009154","2.24598905284554","0.784825340735542","1.41384736577907","0.925495675862107","2.30151049738699","0.782398430896385","boral","X_Sonchus_asper"
"31","intercept","-2.42854693889126","-4.05661935478344","-1.0844259773297","0.747669250057271","-0.307866913372741","-0.194695659967574","-0.578130163312929","-0.171387369485891","boral","X_Sonchus_oleraceus"
"32","meanGW","0.038588086363784","-0.896222156761449","0.902510590716155","0.458494107274923","11.8817529056127","9.06686818676969","286.038266511698","6.6103093794597","boral","X_Sonchus_oleraceus"
"33","intercept","0.464728111242758","-0.23666431151221","1.00055790919967","0.311082174442107","0.669385317815664","0.408078421970076","1.61962637788474","0.372734869099775","boral","X_Typha_orientalis"
"34","meanGW","1.49897364482302","0.991884866765908","2.10084063582096","0.284204045882881","0.189599094596781","0.115227592891989","0.358569089991168","0.104773941642677","boral","X_Typha_orientalis"
"35","intercept","-5.90952854859918","-10.2806370353974","-2.62445381048893","2.00490610288615","-0.339266675234424","-0.22824714997043","-0.59326844857888","-0.189912193584602","boral","Acacia_saligna"
"36","meanGW","0.550887762775113","-0.776890535004255","2.10365418563882","0.715921266646902","1.29957736407218","0.846947509498891","2.17110614936229","0.725105911665472","boral","Acacia_saligna"
"37","intercept","-5.92955421997694","-9.53669053759534","-3.40983298744048","1.56353444110528","-0.263684989309594","-0.176269048484672","-0.47324345707995","-0.147154917094476","boral","Acanthocarpus_preissii"
"38","meanGW","-0.40884872861728","-1.4892651434716","0.739909471745737","0.575089589076991","-1.40660725795072","-0.889823400328804","-2.97478847405434","-0.788783263666752","boral","Acanthocarpus_preissii"
