"","X_Bromus_diandrus","X_Conyza_sp_","X_Cynodon_dactylon","X_Cyperus_sp_","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Fumaria_sp_","X_Geranium_molle","X_Lactuca_serriola","X_Pelargonium_capitatum","X_Phytolacca_octandra","X_Rumex_crispus","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Typha_orientalis","Baumea_articulata","Baumea_juncea","Centella_asiatica","Dipogon_lignosus","Eucalyptus_rudis","Hardenbergia_comptoniana","Jacksonia_sternbergiana","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Persicaria_decipiens","Rhagodia_baccata","Solanum_symonii","Spyridium_globulosum"
"X_Bromus_diandrus",1,0.0466153116804396,0.0134961082937993,-0.4066818785422,-0.210757016850343,0.518642127833004,0.0196462679219271,-0.253332353551106,0.0677689794107523,0.251510220702995,0.0355435461750562,-0.596447702480837,0.286703827250257,0.126534438779563,0.40000417159787,-0.243558287561934,-0.166002466930616,0.229802277445191,-0.349974459066711,-0.239017790646888,0.0899862863468415,-0.336618168821136,-0.675271359451848,0.274176733694819,-0.424854009664289,-0.116334643137006,0.206483344765856,0.0326229140424728,0.334528526431701
"X_Conyza_sp_",0.0466153116804396,1,0.01889723677252,-0.272070755685387,-0.0849209946690735,0.0439773628515062,0.00240862462182104,-0.184296251809662,-0.00316586094675033,0.0397262899200964,0.000622902075085777,-0.51948764767031,0.056739031000046,0.0175484207796642,0.0585386329185617,-0.13350961517326,-0.0438483361751323,0.0516263918109313,-0.0987588679133853,-0.152329713389868,0.0209777599634258,-0.187880756265186,-0.600382558637035,0.0539671836282876,-0.223649197132956,-0.0311517676010753,0.0453658440478308,-0.00671139723426582,0.0536416716903253
"X_Cynodon_dactylon",0.0134961082937993,0.01889723677252,1,-0.59195801861231,-0.00986388695877735,0.0224384142041091,-0.0824145857105307,-0.507714313723511,-0.324732714975459,0.171106986284533,-0.168283823610275,-0.761029111857885,0.29088505776092,-0.284144180979432,0.124304375935415,0.0269807381485942,0.151353986827081,0.309593048867161,0.0334377428545047,-0.451802729453793,0.0702684633392252,-0.374811696424269,-0.701553301983843,0.307555639881094,0.0802692294956504,-0.0102443687469196,0.192236707453609,-0.322094078889267,0.102346254134966
"X_Cyperus_sp_",-0.4066818785422,-0.272070755685387,-0.59195801861231,1,-0.234947006717771,-0.403469261966883,-0.215412439821874,-0.0370659501065775,-0.284765718822823,-0.454471992069617,-0.205209128072497,-0.124283502896997,-0.681951831840625,-0.386177888348495,-0.571556348648897,-0.345319947656993,-0.510707158280347,-0.687563492003577,-0.551280444075594,-0.0690790404483326,-0.308771959410929,-0.135336680500518,-0.114969707314717,-0.681424018753216,-0.49025913195005,-0.423763454517688,-0.567785124006953,-0.221977901558939,-0.542879242039579
"X_Ehrharta_calycina",-0.210757016850343,-0.0849209946690735,-0.00986388695877735,-0.234947006717771,1,-0.190921141719589,-0.100053109025513,-0.193770647291893,-0.29922352155056,-0.051327059055814,-0.160340158426448,-0.393673511441144,-0.0360239048875914,-0.284299915734024,-0.112614323388832,0.000199240373198864,-0.00152474176533269,-0.0248450535842939,-0.00379197341816277,-0.159957667652535,-0.0550419979324698,-0.152504988579128,-0.322028726201677,-0.0314560132929225,-0.000743139808149792,-0.0192231136032371,-0.0673239045561347,-0.260487422955039,-0.126037348894451
"X_Ehrharta_longiflora",0.518642127833004,0.0439773628515062,0.0224384142041091,-0.403469261966883,-0.190921141719589,1,0.020966989642068,-0.253090457559223,0.0578237518641778,0.247371599584812,0.0351630761738298,-0.578093618960843,0.290437959359532,0.118767888018683,0.410262780771278,-0.220189568132448,-0.137753626450027,0.245191551125626,-0.293807518211489,-0.227235511107202,0.100605236689135,-0.309348558800281,-0.637437548255873,0.315993052133122,-0.371041288289805,-0.100924942618825,0.219311802080493,0.0229322804366631,0.319931766633463
"X_Fumaria_sp_",0.0196462679219271,0.00240862462182104,-0.0824145857105306,-0.215412439821874,-0.100053109025513,0.020966989642068,1,-0.12981454339381,-0.0137527112953833,-0.0109254268267393,-0.00938727603880572,-0.414145139728562,-0.0424210364538874,0.0011788793991792,0.00239824550572212,-0.145202957150468,-0.158583725948062,-0.0619026642781191,-0.173058523986259,-0.125773914080422,-0.00968771572627064,-0.140918154383469,-0.473354179605047,-0.0482517856889653,-0.249010644810233,-0.058004999890197,-0.0195540044406471,-0.0208196884606475,0.0103584219047184
"X_Geranium_molle",-0.253332353551106,-0.184296251809662,-0.507714313723511,-0.0370659501065775,-0.193770647291893,-0.253090457559223,-0.12981454339381,1,-0.165480742872544,-0.319439116659266,-0.131039146728918,-0.0960700912251122,-0.472506568261879,-0.235189999395194,-0.376094508117803,-0.330528361276213,-0.453117078621809,-0.539909495703806,-0.520424576721012,-0.0379333489842468,-0.194505072496391,-0.108240349708509,-0.143342821522787,-0.490478039762549,-0.479386207217203,-0.282609718710269,-0.358260358230246,-0.128711433851722,-0.349427071397534
"X_Lactuca_serriola",0.0677689794107523,-0.00316586094675033,-0.324732714975459,-0.284765718822823,-0.29922352155056,0.0578237518641778,-0.0137527112953833,-0.165480742872544,1,-0.051118372113545,-0.00210752460958982,-0.546586767882052,-0.167072095488705,0.0308128148113627,-0.0161774389238742,-0.38406939276704,-0.407530694793641,-0.258722224264568,-0.567451587093959,-0.187214840392665,-0.0391226709294182,-0.265406810825631,-0.619090083535915,-0.19651458946378,-0.575174594773617,-0.234865907294371,-0.0905412155588985,0.00480252038709568,-0.00489801053956383
"X_Pelargonium_capitatum",0.251510220702995,0.0397262899200964,0.171106986284533,-0.454471992069617,-0.051327059055814,0.247371599584812,-0.0109254268267393,-0.319439116659266,-0.051118372113545,1,-0.0445948544911704,-0.590224813539101,0.411133030322896,-0.00818386131994953,0.317011748793299,-0.0533408717141503,0.0736546678451982,0.423991191688972,-0.0383162792582166,-0.29124137082008,0.117277569725131,-0.302409685788302,-0.605904741346054,0.446109552522711,-0.0908230588107977,-0.028660064341869,0.292866070700789,-0.0874619643758035,0.247959675635379
"X_Phytolacca_octandra",0.0355435461750562,0.000622902075085777,-0.168283823610275,-0.205209128072497,-0.160340158426448,0.0351630761738298,-0.00938727603880572,-0.131039146728918,-0.00210752460958982,-0.0445948544911704,1,-0.449353561234247,-0.0926677084970609,0.00814856017094336,-0.0190075198752899,-0.235429087718108,-0.257005585318136,-0.139709912502627,-0.328870686385058,-0.122446609942973,-0.029967835114859,-0.181308823932405,-0.538917513703108,-0.120218742804934,-0.398513598263025,-0.108953572224088,-0.0663710700069307,-8.40516500567787e-05,-0.00214506043522949
"X_Rumex_crispus",-0.596447702480837,-0.51948764767031,-0.761029111857885,-0.124283502896997,-0.393673511441144,-0.578093618960843,-0.414145139728562,-0.0960700912251121,-0.546586767882052,-0.590224813539101,-0.449353561234247,1,-0.839056882899157,-0.654050569389477,-0.790571295135908,-0.460974173896757,-0.682651198541119,-0.832815646368131,-0.751344503651661,-0.0937017880861991,-0.438806554994029,-0.279978922504434,-0.276035001835089,-0.840401572386881,-0.616006789437242,-0.574700015032976,-0.69167460565244,-0.402019974094151,-0.753218750710615
"X_Solanum_nigrum",0.286703827250257,0.056739031000046,0.29088505776092,-0.681951831840625,-0.0360239048875914,0.290437959359532,-0.0424210364538874,-0.472506568261879,-0.167072095488705,0.411133030322896,-0.0926677084970609,-0.839056882899157,1,-0.0803761238050192,0.385007233196568,-0.0165582091078536,0.178145876268997,0.702957357743502,0.0026926820191474,-0.459591125143394,0.172714842266998,-0.407886548824242,-0.806483235923496,0.71244536388979,0.00210260811945799,-0.0211618524599925,0.381877959572262,-0.19680985927553,0.30189355377749
