"","X_Bromus_diandrus","X_Conyza_sp_","X_Cynodon_dactylon","X_Cyperus_sp_","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Fumaria_sp_","X_Geranium_molle","X_Lactuca_serriola","X_Pelargonium_capitatum","X_Phytolacca_octandra","X_Rumex_crispus","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Typha_orientalis","Baumea_articulata","Baumea_juncea","Centella_asiatica","Dipogon_lignosus","Eucalyptus_rudis","Hardenbergia_comptoniana","Jacksonia_sternbergiana","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Persicaria_decipiens","Rhagodia_baccata","Solanum_symonii","Spyridium_globulosum"
"X_Bromus_diandrus",1,0.321426289257005,0.283420927338898,-0.0525545553091678,-0.0326203371342786,0.666991532887146,0.221650826591232,0.0115351504402501,0.469547129730228,0.449913536076152,0.277182213183411,-0.111012033416181,0.527979991799255,0.621625514077476,0.664890746384003,-0.0591917435537192,0.0722786134037005,0.472720122702005,0.0483874058987862,0.0215536520772248,0.300006584761573,0.0394580494108531,-0.277037877020222,0.515427434904739,-0.141201829919733,0.13505538920315,0.515781112376998,0.297338998494179,0.668044490368812
"X_Conyza_sp_",0.321426289257005,1,0.204873377345308,-0.0431395262028582,0.0103943018160689,0.306788348506471,0.105523308327867,-0.0136375537532301,0.193175364218329,0.247652333546467,0.121049620159159,-0.0950955574569959,0.315824971208018,0.275610140873611,0.343584281171852,0.0172524957691315,0.102824953485181,0.299015697788351,0.0860240231790329,-0.00427629951369419,0.160424988833535,0.0144003904743845,-0.159350994202008,0.314868103154388,0.000665938589425922,0.0985414615710953,0.286373731824041,0.122697124317245,0.334441331780648
"X_Cynodon_dactylon",0.283420927338898,0.204873377345308,1,-0.146391323233369,0.135711659176443,0.300784351538302,0.122928039516285,-0.110134309597492,0.0924953697231474,0.445443935665003,0.0969906320908973,-0.315900128790482,0.678878084434578,0.197257121270304,0.545659165990144,0.245642183792505,0.454191393360647,0.706072582456339,0.416438415304928,-0.0852915174937149,0.275237057787273,-0.00513968899514465,-0.315403154749269,0.701345276043281,0.337024981332366,0.267424702620055,0.519389293888389,0.0312475453361872,0.476278501640508
"X_Cyperus_sp_",-0.0525545553091678,-0.0431395262028582,-0.146391323233369,1,-0.0386534721184112,-0.0584385689465859,-0.0237514529210061,0.0333651928273338,-0.00560195997495456,-0.105733013890091,-0.0148043928184539,0.082463225767829,-0.167354227092481,-0.0315317562418898,-0.124549896615473,-0.0690463974180465,-0.12224439244774,-0.175583965706007,-0.10867987143835,0.0227884618535208,-0.0641814032256119,0.00401904909285386,0.0814748786174546,-0.173379504290391,-0.0957746562137988,-0.0689576520894395,-0.12632797710349,0.00289296009845913,-0.105909665445201
"X_Ehrharta_calycina",-0.0326203371342786,0.0103943018160689,0.135711659176443,-0.0386534721184112,1,-0.0188446127897854,-0.000220258450083495,-0.0358893966193981,-0.0498151875507525,0.0679013891853372,-0.0186183166925639,-0.082777701638897,0.128715070805527,-0.0435631073596816,0.060047337200201,0.0878989236050071,0.133983345368639,0.146841396354707,0.131581805815911,-0.0310334833449436,0.0379313197359984,-0.00689917034597165,-0.0563194866266981,0.137540944496763,0.137102856185522,0.0648574203941631,0.0789236304036585,-0.0432686315555529,0.0390472561422383
"X_Ehrharta_longiflora",0.666991532887146,0.306788348506471,0.300784351538302,-0.0584385689465859,-0.0188446127897854,1,0.208627602267451,0.00225083987084002,0.434178612470955,0.44318335728187,0.258794896185688,-0.122469650759816,0.531955354425756,0.580836078093644,0.646310294986833,-0.0349869080853576,0.100969717492953,0.483540339530478,0.0735261112410011,0.0128054954652369,0.293105741083203,0.0380661411166451,-0.274602772972887,0.521957058600753,-0.100716711731245,0.141595178052123,0.510273778613456,0.271297253343153,0.642504751107761
"X_Fumaria_sp_",0.221650826591232,0.105523308327867,0.122928039516285,-0.0237514529210061,-0.000220258450083495,0.208627602267451,1,-0.00215762224772681,0.139385528997018,0.157177961722951,0.0851625954788673,-0.0505322994001381,0.195786486919285,0.193563028925307,0.225543926079029,-0.00208690609280614,0.0480888086294074,0.181528426808,0.0447123400613116,0.000108868025382607,0.103976027169055,0.0115085364014001,-0.0989211503900577,0.195063661376299,-0.0192782362131234,0.0585757993218907,0.181686223501741,0.0891080890619826,0.221192586235456
"X_Geranium_molle",0.0115351504402501,-0.0136375537532301,-0.110134309597492,0.0333651928273338,-0.0358893966193981,0.00225083987084002,-0.00215762224772681,1,0.0325073906190954,-0.0588525926705807,0.00843407150489509,0.0766372203066842,-0.107028636596615,0.025903770492879,-0.0587872517789463,-0.0680249904630853,-0.103997206606056,-0.120454002332052,-0.101403549205453,0.023477208708458,-0.0344114969054379,0.00522345527348957,0.052843419546805,-0.114348411965658,-0.0991968435750351,-0.0509021922736264,-0.0693495972735168,0.0240822194860607,-0.0428694608734213
"X_Lactuca_serriola",0.469547129730228,0.193175364218329,0.0924953697231474,-0.00560195997495456,-0.0498151875507525,0.434178612470955,0.139385528997018,0.0325073906190954,1,0.243415599689857,0.18566561943538,-0.0216333149710665,0.253916212521698,0.433830824491193,0.384155970145401,-0.0958724976642741,-0.0394295758371164,0.208141845401386,-0.0564547172873349,0.0348337448034995,0.167470003974178,0.0266701433452177,-0.139132405640367,0.240873618660371,-0.17291730215775,0.0466201989977385,0.276944109966207,0.213743508384035,0.398596470489542
"X_Pelargonium_capitatum",0.449913536076152,0.247652333546467,0.445443935665003,-0.105733013890091,0.0679013891853372,0.44318335728187,0.157177961722951,-0.0588525926705807,0.243415599689857,1,0.166311915750998,-0.23371481065855,0.608379314918718,0.367990967518331,0.58259360739769,0.119585366851423,0.297144357602127,0.601197979109634,0.262775723305012,-0.0414144060895863,0.282589253128107,0.0129248366228597,-0.299345299395252,0.615484273660845,0.145186140187207,0.209404022781144,0.510853413117955,0.135584014725389,0.545145050639558
"X_Phytolacca_octandra",0.277182213183411,0.121049620159159,0.0969906320908973,-0.0148043928184539,-0.0186183166925639,0.258794896185688,0.0851625954788673,0.00843407150489509,0.18566561943538,0.166311915750998,1,-0.0291872993167204,0.193917521573157,0.244841331717913,0.247663824760697,-0.034155109056198,0.0140841722935452,0.168474385786223,0.00339922133560938,0.00961353307419741,0.109948768799631,0.0184234371936546,-0.100114296702992,0.186096490614528,-0.0696136164525352,0.0427283125684469,0.190267364735757,0.123362022790123,0.255348558168798
"X_Rumex_crispus",-0.111012033416181,-0.0950955574569959,-0.315900128790482,0.082463225767829,-0.082777701638897,-0.122469650759816,-0.0505322994001381,0.0766372203066842,-0.0216333149710666,-0.23371481065855,-0.0291872993167204,1,-0.364297839047062,-0.0817738359084215,-0.266914367469359,-0.155494371379936,-0.268177556191271,-0.382162424379227,-0.242506830420162,0.0595681132662553,-0.144696036572159,0.018838411586478,0.180721503385796,-0.376451465449978,-0.212646081467348,-0.151013293323343,-0.256841475561118,0.00869442216001237,-0.228730875273349
"X_Solanum_nigrum",0.527979991799255,0.315824971208018,0.678878084434578,-0.167354227092481,0.128715070805527,0.531955354425756,0.195786486919285,-0.107028636596615,0.253916212521698,0.608379314918718,0.193917521573157,-0.364297839047062,1,0.416952417639505,0.783299477506355,0.23243977465309,0.489622143892225,0.88271355118015,0.443527390612481,-0.0812174050741129,0.382081878412346,0.0106199484125994,-0.417643814008322,0.89196134587902,0.298916699735276,0.318752814063973,0.707559763486153,0.129524917431769,0.715059263830182
"X_Sonchus_asper",0.621625514077476,0.275610140873611,0.197257121270304,-0.0315317562418898,-0.0435631073596816,0.580836078093644,0.193563028925307,0.025903770492879,0.433830824491193,0.367990967518331,0.244841331717913,-0.0817738359084215,0.416952417639505,1,0.560422344650029,-0.0802980178719845,0.0189784527077131,0.361485834537343,-0.00211406343292521,0.0343476524625099,0.246652892349383,0.0391844167843614,-0.217946382401812,0.401583603243183,-0.16665481236715,0.0952006032324439,0.420717139093393,0.274563768318906,0.565955639204242
"X_Sonchus_oleraceus",0.664890746384003,0.343584281171852,0.545659165990144,-0.124549896615473,0.060047337200201,0.646310294986833,0.225543926079029,-0.0587872517789463,0.384155970145401,0.58259360739769,0.247663824760697,-0.266914367469359,0.783299477506355,0.560422344650029,1,0.109470261342893,0.327126912162149,0.758844899268087,0.289352752586689,-0.0358454773264749,0.376286372217622,0.0265195236871442,-0.386350223943767,0.785952990264939,0.108303409357225,0.257623015695738,0.676381638221155,0.223642994463523,0.754064361188633
"X_Typha_orientalis",-0.0591917435537192,0.0172524957691315,0.245642183792505,-0.0690463974180465,0.0878989236050071,-0.0349869080853576,-0.00208690609280614,-0.0680249904630853,-0.0958724976642741,0.119585366851423,-0.034155109056198,-0.155494371379936,0.23243977465309,-0.0802980178719845,0.109470261342893,1,0.252388306144165,0.263524936746969,0.231403828961067,-0.0580151751175462,0.0667382109452014,-0.0163264691625246,-0.100703602245549,0.247145797252916,0.245882223655468,0.109942045360325,0.142035483921112,-0.0784221765020249,0.0684987245262589
"Baumea_articulata",0.0722786134037005,0.102824953485181,0.454191393360647,-0.12224439244774,0.133983345368639,0.100969717492953,0.0480888086294074,-0.103997206606056,-0.0394295758371164,0.297144357602127,0.0140841722935452,-0.268177556191271,0.489622143892225,0.0189784527077131,0.327126912162149,0.252388306144165,1,0.52871342388641,0.375246099058364,-0.0864865178626664,0.173331317477155,-0.0158367005439648,-0.224679558288047,0.512171449579242,0.359456657495196,0.206004389395961,0.349207979886321,-0.0533570787457226,0.262543462150488
