"","X_Bromus_diandrus","X_Conyza_sp_","X_Cynodon_dactylon","X_Cyperus_sp_","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Fumaria_sp_","X_Geranium_molle","X_Lactuca_serriola","X_Pelargonium_capitatum","X_Phytolacca_octandra","X_Rumex_crispus","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Typha_orientalis","Baumea_articulata","Baumea_juncea","Centella_asiatica","Dipogon_lignosus","Eucalyptus_rudis","Hardenbergia_comptoniana","Jacksonia_sternbergiana","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Persicaria_decipiens","Rhagodia_baccata","Solanum_symonii","Spyridium_globulosum"
"X_Bromus_diandrus",0,0.222176869303195,0.14793157161535,0.15001966224978,0.0807152584256465,0.0716908062717281,0.160774831425887,0.136585201529338,0.235232509432961,0.102025982377744,0.200983888477011,0.287480974933603,0.111620581074704,0.188723722532974,0.109750323094171,0.0982203491186412,0.127336800721103,0.114282557396098,0.195908077803653,0.133410946477883,0.10432374341462,0.195183648354933,0.264215762182547,0.107982697180274,0.147216315458536,0.145401468758666,0.134781178453427,0.208296039057307,0.132399058555713
"X_Conyza_sp_",0.222176869303195,0,0.159042951044845,0.091327130926793,0.0495104264903801,0.211707373287643,0.117573834572428,0.0742687432220281,0.189141390607736,0.169427274290697,0.138831858898491,0.173691556792278,0.210903681628481,0.226070212012075,0.228989643818898,0.0693708142900817,0.104510603428664,0.200334622664911,0.139519732558772,0.0757093176623805,0.11716899415904,0.102891470310306,0.178829371519237,0.209526036345099,0.0990195644571852,0.115799763827585,0.200623041802715,0.147155581003269,0.231603438883746
"X_Cynodon_dactylon",0.14793157161535,0.159042951044845,0,0.16984575959424,0.116936468040128,0.145413874479125,0.160038826834147,0.138106262325424,0.218917370877102,0.131228354559905,0.16601857947124,0.258192692709634,0.166187128374458,0.253696310436372,0.195846027338555,0.120769433360784,0.155775336453562,0.161937035195502,0.243912375075009,0.127214555835447,0.113435227310095,0.163243259014882,0.237041574352175,0.164723181692995,0.134032028792551,0.199100161095416,0.163645793333264,0.170419452705483,0.193211043050319
"X_Cyperus_sp_",0.15001966224978,0.091327130926793,0.16984575959424,0,0.0740559204842748,0.141017111614199,0.0777230453994818,0.068399402985044,0.130498011682599,0.133530744866252,0.0903208065378053,0.147165772130204,0.188838417060781,0.166286263247994,0.171462723290837,0.0993286253957947,0.149439126012381,0.194872258854465,0.161811882517766,0.069279851283256,0.0935918298189226,0.0697548870260552,0.138361075041004,0.192930305678025,0.142866820501272,0.113335383450342,0.156360129754419,0.110619408079231,0.164081349131253
"X_Ehrharta_calycina",0.0807152584256465,0.0495104264903801,0.116936468040128,0.0740559204842748,0,0.0763372175160165,0.0576131855733494,0.061275171202571,0.0965664005993006,0.0829975905680628,0.0604476493134416,0.114635322222672,0.120867093789242,0.103336289224328,0.107573615491609,0.0723686792911791,0.108430472546457,0.127508186918522,0.132386056612606,0.0567920661068071,0.0590155752496548,0.0611647776738073,0.0998707599555555,0.123793880020754,0.108522472117361,0.0836294023942248,0.0952487224829016,0.078746067743358,0.0965242459321762
"X_Ehrharta_longiflora",0.0716908062717281,0.211707373287643,0.145413874479125,0.141017111614199,0.0763372175160165,0,0.151768168705812,0.126181075990404,0.223178794890935,0.0951295691016403,0.190806310309832,0.270323954678939,0.106793243283559,0.182933744990896,0.106242221900381,0.0949386203749442,0.12322610690445,0.108501671999014,0.186195407701864,0.124891580957424,0.0988736359786055,0.182500677062986,0.247668111331862,0.102018043928088,0.140578800373397,0.142054564355965,0.12839949966199,0.192606840975191,0.126430021818824
"X_Fumaria_sp_",0.160774831425887,0.117573834572428,0.160038826834147,0.0777230453994818,0.0576131855733494,0.151768168705812,0,0.0692695288719745,0.140721034725169,0.137521095441908,0.0979563889263077,0.142558600719009,0.186723374130908,0.164989954490013,0.184965935143649,0.0769071460687454,0.118264819629731,0.185011969694131,0.139922674761093,0.0579711943590757,0.0952648539982521,0.0847866828843148,0.141218817539348,0.189568259898482,0.111244241656648,0.102284936467042,0.161616249665251,0.112725419760428,0.178428928076991
"X_Geranium_molle",0.136585201529338,0.0742687432220281,0.138106262325424,0.068399402985044,0.061275171202571,0.126181075990404,0.0692695288719745,0,0.134740606416668,0.104163894196402,0.077573707521763,0.133011976212601,0.147983199088104,0.144494433552709,0.140126058712274,0.0876756155206679,0.123293656284796,0.153877206834823,0.145619870593095,0.0518533731278266,0.0717941623545211,0.0613599963263557,0.11657139897909,0.15116310671813,0.127344909957137,0.084787683233659,0.120103200368418,0.0951443135230578,0.137355004992486
"X_Lactuca_serriola",0.235232509432961,0.189141390607736,0.218917370877102,0.130498011682599,0.0965664005993006,0.223178794890935,0.140721034725169,0.134740606416668,0,0.187522312601284,0.174653952044294,0.260801688579781,0.250644654295258,0.26092302862506,0.250713287722007,0.129178891550489,0.186752072493571,0.258019188222175,0.222949740047111,0.12351120540025,0.132964562170034,0.158042025471498,0.227531435495002,0.255983309922591,0.192251276822973,0.14379625338341,0.226524577257774,0.198413228945392,0.253538782192228
"X_Pelargonium_capitatum",0.102025982377744,0.169427274290697,0.131228354559905,0.133530744866252,0.0829975905680628,0.0951295691016403,0.137521095441908,0.104163894196402,0.187522312601284,0,0.154595486673262,0.219173972765109,0.0889042983604188,0.186175515090188,0.112145788793355,0.0915262768172382,0.12078687950396,0.0876661249576396,0.192400705765458,0.103046421446886,0.0869266626441683,0.140637525833671,0.216358656753963,0.0840203906346837,0.125507057625883,0.155731877986623,0.104666334041734,0.148465112129087,0.126248148071464
