"","X_Bromus_diandrus","X_Conyza_sp_","X_Cynodon_dactylon","X_Cyperus_sp_","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Fumaria_sp_","X_Geranium_molle","X_Lactuca_serriola","X_Pelargonium_capitatum","X_Phytolacca_octandra","X_Rumex_crispus","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Typha_orientalis","Baumea_articulata","Baumea_juncea","Centella_asiatica","Dipogon_lignosus","Eucalyptus_rudis","Hardenbergia_comptoniana","Jacksonia_sternbergiana","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Persicaria_decipiens","Rhagodia_baccata","Solanum_symonii","Spyridium_globulosum"
"X_Bromus_diandrus",1,0.189560801093455,0.631321655840397,0.0837338212513084,0.202324331018648,0.509058384940661,0.324253744337455,0.210416495271642,0.242326369420085,0.51443723124231,0.252591841703902,0.18517950728207,0.576835321056207,0.304119290802177,0.523656544103228,0.198362708914232,0.478140375925684,0.728028642469078,0.563877213691748,0.215997153374919,0.350131761855966,0.313770183134432,0.0969232720089264,0.727476767805863,0.413372824431566,0.27726750387074,0.64896690731086,0.185294940349706,0.620212695927849
"X_Conyza_sp_",0.189560801093455,1,0.336370645089615,0.0330896803193505,0.0721026169554809,0.198845605207785,0.216204595918038,0.0569831511007094,0.602308282129858,0.18969370057229,0.241356712501537,0.057119094648351,0.658461034081421,0.759159214336221,0.682083731740515,0.642864144808176,0.261419456448133,0.348089777942151,0.302363143919248,0.0555723288726925,0.144496369233227,0.0914789474254609,0.0396988346059695,0.382180309917117,0.141839204047024,0.470741071036118,0.260708320104538,0.284520304233732,0.412493955556768
"X_Cynodon_dactylon",0.631321655840398,0.336370645089615,1,0.135813036816075,0.340601783768148,0.626208872103835,0.612739069074993,0.273542787036374,0.361117231582632,0.619116414495536,0.438878164186819,0.259557893957121,0.805075500676534,0.472566703026986,0.717399764511489,0.319329703795514,0.673059483418556,0.925636837232131,0.831985367033766,0.267859169244572,0.482705860756775,0.440794983181956,0.0540609314496617,0.932374137892168,0.537831121577902,0.461765265605155,0.798540613050441,0.300443503398371,0.818545373125492
"X_Cyperus_sp_",0.0837338212513084,0.0330896803193505,0.135813036816075,1,0.122105108058264,0.22203848080198,0.032553568046641,0.517550310670222,0.0233099000440735,0.323347612709748,0.00742430981951971,0.775271041113235,0.000837597833082759,0.0113947959110557,-0.00789295629053964,0.0236722140779859,0.061396069613916,0.234235418027341,0.0476156428423551,0.368566930772135,0.101693452361304,0.511785440899414,0.784132375733171,0.16435700500221,0.358282650803678,0.0102803045699972,0.349035973315342,0.0111325595438826,0.0311759752332247
"X_Ehrharta_calycina",0.202324331018648,0.0721026169554809,0.340601783768148,0.122105108058264,1,0.276904532237795,0.11332568567063,0.15994489240418,0.0581328881875044,0.329218405336375,0.053903462641985,0.261722701385211,0.204540339051268,0.077657011824039,0.156520485408129,0.0492643345314853,0.222099056278328,0.420502115048365,0.214769699863764,0.170708108812118,0.190895683821677,0.290944125164636,0.184443940314329,0.424977340386999,0.295503137281579,0.0746835031205119,0.407354182346787,0.0432874414786431,0.250035332249589
"X_Ehrharta_longiflora",0.509058384940661,0.198845605207785,0.626208872103835,0.22203848080198,0.276904532237795,1,0.336713845607059,0.373852186831629,0.121344776145065,0.561093496159924,0.202801379719523,0.398202597590425,0.44917853721976,0.170173716826828,0.371969283782389,0.0468766801156326,0.448214333314792,0.708802841226479,0.518853908613389,0.350834640939475,0.36727117092108,0.49742030819404,0.234636326540477,0.702143282396037,0.490721523832259,0.165971538244387,0.694040128842954,0.126484445358492,0.545253375506752
"X_Fumaria_sp_",0.324253744337455,0.216204595918038,0.612739069074993,0.032553568046641,0.11332568567063,0.336713845607059,1,0.0700674987895874,0.327681733761817,0.338435988167511,0.263113271885635,0.0620601980334389,0.647821196521113,0.451394220241084,0.587530616595667,0.389733963820629,0.387483007053347,0.684435129897222,0.457031218287673,0.074093280161602,0.258561380740636,0.128257278738895,0.0403756118007622,0.701824966420066,0.246847354075607,0.311849637670202,0.480084593188751,0.217001441057019,0.560373267844053
"X_Geranium_molle",0.210416495271642,0.0569831511007094,0.273542787036374,0.517550310670222,0.15994489240418,0.373852186831629,0.0700674987895874,1,0.00097280568858367,0.49026951967045,0.0150047647987336,0.771443070603534,0.0412713292328832,-0.00481302661243472,0.0088289229092623,-0.00734053309871095,0.143129406269267,0.420595199786549,0.141105953407771,0.509829776632611,0.194002593316555,0.642091596817562,0.763995455511308,0.339325260878946,0.450409173780696,-0.00656298348470971,0.602033017095307,0.00325874118386954,0.111726249275367
"X_Lactuca_serriola",0.242326369420085,0.602308282129858,0.361117231582632,0.0233099000440735,0.0581328881875044,0.121344776145065,0.327681733761817,0.00097280568858367,1,0.0837671458325672,0.417959560061596,-0.0412073868614279,0.786792115469954,0.885693201036695,0.808932508446099,0.755950750574835,0.34000771782212,0.355096724828556,0.443486160392674,0.00641246468182058,0.159806223187601,0.00334399252554006,-0.0398142966572615,0.412059406201857,0.0405829632246513,0.661204618541008,0.144228527113308,0.540593506743188,0.563866290659298
"X_Pelargonium_capitatum",0.51443723124231,0.18969370057229,0.619116414495536,0.323347612709748,0.329218405336375,0.561093496159924,0.338435988167511,0.49026951967045,0.0837671458325672,1,0.169937133594902,0.515078232207345,0.390434869553741,0.108570516652968,0.295122379745435,-0.100098800108541,0.454888120079753,0.719478105443458,0.53821947176594,0.46656686255163,0.403140137075915,0.578150053888969,0.406442447117905,0.688388179821128,0.583092504743057,0.0934544778103069,0.728277713241467,0.105934582133015,0.504745531532961
"X_Phytolacca_octandra",0.252591841703902,0.241356712501537,0.438878164186819,0.00742430981951971,0.053903462641985,0.202801379719523,0.263113271885635,0.0150047647987336,0.417959560061596,0.169937133594902,1,-0.00663455701869889,0.652388080505816,0.541684607683143,0.631134244925916,0.518554709317932,0.32232892892003,0.466431991601845,0.353081009704178,0.0273808431825138,0.178305410475431,0.0502222767281708,-0.0119095227273552,0.4873065516465,0.132764035487601,0.447755987655247,0.284079467922339,0.259221543831203,0.459128970019523
"X_Rumex_crispus",0.18517950728207,0.0571190946483511,0.259557893957121,0.775271041113235,0.261722701385211,0.398202597590425,0.0620601980334389,0.771443070603534,-0.0412073868614279,0.515078232207345,-0.00663455701869889,1,-0.143961926001822,-0.0673868648619415,-0.161141371748105,-0.157425559790691,0.116185581303631,0.39936183420909,0.117148408678404,0.702005033651825,0.213803866491746,0.81626146949318,0.862757458996632,0.294303118695529,0.5640827710609,-0.053853610294638,0.594555849435352,-0.0133498614088737,0.0553824082188648
"X_Solanum_nigrum",0.576835321056207,0.658461034081421,0.805075500676534,0.000837597833082759,0.204540339051268,0.44917853721976,0.647821196521113,0.0412713292328832,0.786792115469954,0.390434869553741,0.652388080505816,-0.143961926001822,1,0.873131671548738,0.933099269449117,0.739925039247521,0.67167503278133,0.794170375673199,0.854968538423419,0.067457911118477,0.389932355864746,0.0897977192256754,-0.365329125608289,0.835956299013045,0.261033372397949,0.803392647962638,0.579646648610362,0.587779984468744,0.882069595733892
"X_Sonchus_asper",0.304119290802177,0.759159214336221,0.472566703026986,0.0113947959110557,0.077657011824039,0.170173716826828,0.451394220241083,-0.00481302661243472,0.885693201036695,0.108570516652968,0.541684607683143,-0.0673868648619415,0.873131671548738,1,0.905449606106122,0.81706529073175,0.430685190553743,0.43025354825389,0.578973417793729,0.00926399875143723,0.188320590403228,0.00112686535061455,-0.0823076927432747,0.523470747567691,0.0408874582296186,0.751582818812357,0.191067694509589,0.652732372261711,0.699103820144029
"X_Sonchus_oleraceus",0.523656544103228,0.682083731740515,0.717399764511489,-0.00789295629053964,0.156520485408129,0.371969283782389,0.587530616595667,0.0088289229092623,0.808932508446099,0.295122379745435,0.631134244925916,-0.161141371748105,0.933099269449117,0.905449606106122,1,0.788768899356168,0.602186212668501,0.715134988066616,0.774505869840669,0.0337834456035985,0.344628309448319,0.0303545960454786,-0.38308258512029,0.779267558421128,0.190460081062746,0.8005124537631,0.448619146268701,0.609954237203638,0.837621807791081
"X_Typha_orientalis",0.198362708914232,0.642864144808175,0.319329703795514,0.0236722140779859,0.0492643345314853,0.0468766801156326,0.389733963820629,-0.00734053309871095,0.755950750574835,-0.100098800108541,0.518554709317932,-0.157425559790691,0.739925039247521,0.817065290731751,0.788768899356168,1,0.329477173596967,0.210666902767879,0.416294161234601,-0.00172433115395341,0.125274892967645,-0.0279389435409257,-0.176001263709691,0.29441056104387,-0.100751727290083,0.679301170970414,-0.0186766071587576,0.554291024319373,0.545070260646452
"Baumea_articulata",0.478140375925684,0.261419456448133,0.673059483418556,0.061396069613916,0.222099056278328,0.448214333314792,0.387483007053347,0.143129406269267,0.34000771782212,0.454888120079753,0.32232892892003,0.116185581303631,0.67167503278133,0.430685190553743,0.6021862126685,0.329477173596967,1,0.753735828628589,0.630183625803591,0.144640490786653,0.352140102461414,0.249556354992463,0.0210238995517416,0.773137679823093,0.377305242372444,0.326915169228708,0.614810966947704,0.241389385561026,0.672356588610136
"Baumea_juncea",0.728028642469078,0.348089777942151,0.925636837232131,0.234235418027341,0.420502115048365,0.708802841226479,0.684435129897222,0.420595199786549,0.355096724828556,0.719478105443458,0.466431991601845,0.39936183420909,0.794170375673199,0.43025354825389,0.715134988066616,0.210666902767879,0.753735828628589,1,0.874930513706479,0.423415004186053,0.551844623459491,0.60635074922654,0.147813364395188,0.956690486577903,0.639314148585674,0.446894319990775,0.892480910477581,0.288915243602856,0.87335182140269
"Centella_asiatica",0.563877213691748,0.302363143919248,0.831985367033766,0.047615642842355,0.214769699863764,0.518853908613389,0.457031218287673,0.141105953407771,0.443486160392674,0.53821947176594,0.353081009704178,0.117148408678404,0.854968538423419,0.578973417793729,0.774505869840669,0.416294161234601,0.630183625803591,0.874930513706479,1,0.14175985462145,0.405095687762373,0.24711487972178,0.00675677519350856,0.901268426812686,0.432035610969802,0.506166437689449,0.704245026176734,0.279907736921556,0.820953197831697
"Dipogon_lignosus",0.215997153374919,0.0555723288726925,0.267859169244572,0.368566930772135,0.170708108812118,0.350834640939475,0.074093280161602,0.509829776632611,0.00641246468182058,0.46656686255163,0.0273808431825138,0.702005033651825,0.067457911118477,0.00926399875143723,0.0337834456035985,-0.00172433115395341,0.144640490786653,0.423415004186053,0.14175985462145,1,0.188701405915495,0.493138062727689,0.694464398938579,0.36481295939508,0.411629806088577,0.00296843958927924,0.56648547414372,0.00970660251742357,0.161566699808577
"Eucalyptus_rudis",0.350131761855967,0.144496369233227,0.482705860756775,0.101693452361304,0.190895683821677,0.36727117092108,0.258561380740636,0.194002593316555,0.159806223187601,0.403140137075915,0.178305410475431,0.213803866491746,0.389932355864746,0.188320590403228,0.344628309448319,0.125274892967645,0.352140102461414,0.551844623459491,0.405095687762373,0.188701405915495,1,0.270464115041039,0.115886049653497,0.539873420582195,0.343929289771965,0.189656313128738,0.486272005992789,0.117090694579862,0.408447177038616
"Hardenbergia_comptoniana",0.313770183134432,0.0914789474254609,0.440794983181956,0.511785440899414,0.290944125164636,0.49742030819404,0.128257278738895,0.642091596817562,0.00334399252554006,0.57815005388897,0.0502222767281708,0.81626146949318,0.0897977192256754,0.00112686535061455,0.0303545960454786,-0.0279389435409257,0.249556354992463,0.60635074922654,0.24711487972178,0.493138062727689,0.270464115041039,1,0.761398325119236,0.543476679652082,0.574521782920795,0.00799566963383564,0.743723453899973,0.0100375102879756,0.249664829748849
"Jacksonia_sternbergiana",0.0969232720089264,0.0396988346059695,0.0540609314496617,0.784132375733171,0.184443940314329,0.234636326540477,0.0403756118007622,0.763995455511308,-0.0398142966572615,0.406442447117905,-0.0119095227273552,0.862757458996632,-0.365329125608289,-0.0823076927432747,-0.38308258512029,-0.176001263709691,0.0210238995517416,0.147813364395188,0.00675677519350856,0.694464398938579,0.115886049653497,0.761398325119236,1,0.0384250923688588,0.496413548971232,-0.0708032436963448,0.422977201337742,-0.0154132645642499,-0.0698104198327089
"Lepidosperma_longitudinale",0.727476767805863,0.382180309917117,0.932374137892168,0.16435700500221,0.424977340386999,0.702143282396037,0.701824966420066,0.339325260878946,0.412059406201857,0.688388179821128,0.4873065516465,0.294303118695529,0.835956299013045,0.523470747567691,0.779267558421128,0.29441056104387,0.773137679823093,0.956690486577903,0.901268426812686,0.36481295939508,0.539873420582195,0.543476679652082,0.0384250923688588,1,0.608756820186093,0.491032914103479,0.865837233724513,0.330318943337386,0.890330087755651
"Melaleuca_rhaphiophylla",0.413372824431566,0.141839204047024,0.537831121577902,0.358282650803678,0.295503137281579,0.490721523832259,0.246847354075607,0.450409173780696,0.0405829632246513,0.583092504743057,0.132764035487601,0.5640827710609,0.261033372397949,0.0408874582296186,0.190460081062746,-0.100751727290083,0.377305242372444,0.639314148585674,0.432035610969802,0.411629806088577,0.343929289771965,0.574521782920795,0.496413548971232,0.608756820186093,1,0.0390189672813149,0.687526396519148,0.0621975651635831,0.405544454221297
"Persicaria_decipiens",0.27726750387074,0.470741071036118,0.461765265605155,0.0102803045699972,0.0746835031205119,0.165971538244387,0.311849637670202,-0.00656298348470971,0.661204618541008,0.0934544778103069,0.447755987655247,-0.053853610294638,0.803392647962638,0.751582818812357,0.8005124537631,0.679301170970414,0.326915169228708,0.446894319990775,0.506166437689449,0.00296843958927924,0.189656313128738,0.00799566963383564,-0.0708032436963448,0.491032914103479,0.0390189672813149,1,0.19784590728706,0.424464752025437,0.595235647903682
"Rhagodia_baccata",0.64896690731086,0.260708320104538,0.79854061305044,0.349035973315342,0.407354182346787,0.694040128842954,0.480084593188751,0.602033017095307,0.144228527113308,0.728277713241467,0.284079467922339,0.594555849435352,0.579646648610362,0.191067694509589,0.448619146268701,-0.0186766071587576,0.614810966947704,0.892480910477581,0.704245026176734,0.56648547414372,0.486272005992789,0.743723453899973,0.422977201337742,0.865837233724513,0.687526396519148,0.19784590728706,1,0.144750252162627,0.69525837368738
"Solanum_symonii",0.185294940349706,0.284520304233732,0.300443503398371,0.0111325595438826,0.0432874414786431,0.126484445358492,0.217001441057019,0.00325874118386954,0.540593506743187,0.105934582133015,0.259221543831203,-0.0133498614088737,0.587779984468744,0.652732372261711,0.609954237203638,0.554291024319373,0.241389385561026,0.288915243602856,0.279907736921556,0.00970660251742357,0.117090694579862,0.0100375102879756,-0.0154132645642499,0.330318943337386,0.0621975651635831,0.424464752025437,0.144750252162627,1,0.392947072708341
"Spyridium_globulosum",0.620212695927849,0.412493955556768,0.818545373125492,0.0311759752332247,0.250035332249589,0.545253375506752,0.560373267844053,0.111726249275367,0.563866290659298,0.504745531532961,0.459128970019523,0.0553824082188648,0.882069595733892,0.699103820144029,0.837621807791081,0.545070260646452,0.672356588610136,0.87335182140269,0.820953197831697,0.161566699808577,0.408447177038616,0.249664829748849,-0.0698104198327089,0.890330087755651,0.405544454221297,0.595235647903682,0.69525837368738,0.392947072708341,1
