"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-6.10936363655214","-9.63075155254506","-3.23931587586733","1.62454306273577","-0.265910356524888","-0.184171007996803","-0.496612446844512","-0.148102853304094","boral","X_Avena_barbata"
"2","meanGW","-1.53953421471208","-2.87037526727133","-0.456938521026593","NaN","NaN","NaN","NaN","NaN","boral","X_Avena_barbata"
"3","intercept","-5.62909857526074","-9.41385944135919","-2.37572526685902","1.83916631707932","-0.326724837465496","-0.21414170143977","-0.596978973279192","-0.181356035868381","boral","X_Avena_fatua"
"4","meanGW","-0.679044300380383","-2.05039369375759","0.788068575762863","NaN","NaN","NaN","NaN","NaN","boral","X_Avena_fatua"
"5","intercept","-3.3807294369584","-6.46114439518031","-0.897575503896412","1.45834959538185","-0.43137128320269","-0.290974625989002","-0.756051183845433","-0.242354425771539","boral","X_Azolla_filiculoides"
"6","meanGW","-0.0267070383406885","-1.51233119242924","1.53049652343311","NaN","NaN","NaN","NaN","NaN","boral","X_Azolla_filiculoides"
"7","intercept","-3.31707095808569","-5.64134093871968","-1.59448829484342","1.05063349382271","-0.316735308679992","-0.201280030355995","-0.559279733289601","-0.175870338318391","boral","X_Bromus_diandrus"
"8","meanGW","-1.91645395492803","-3.17072569103772","-1.15234406431427","NaN","NaN","NaN","NaN","NaN","boral","X_Bromus_diandrus"
"9","intercept","-2.58594435515383","-4.38408499148449","-1.23188021130056","0.815776702450748","-0.315465683097508","-0.210718542991735","-0.561293502783937","-0.176422743261956","boral","X_Carpobrotus_edulis"
"10","meanGW","-1.27356069948619","-2.05514572922695","-0.587317821635322","NaN","NaN","NaN","NaN","NaN","boral","X_Carpobrotus_edulis"
"11","intercept","-6.47161024607386","-9.91366850002013","-3.50783068151835","1.65399296956869","-0.255576727688773","-0.174718801836653","-0.477281839521558","-0.143739687873649","boral","X_Conyza_sp_"
"12","meanGW","-0.595501701820643","-1.88785250274737","0.688607273393773","NaN","NaN","NaN","NaN","NaN","boral","X_Conyza_sp_"
"13","intercept","-3.9790909359543","-6.73775573369678","-1.72533163761657","1.25406755588871","-0.315164336797935","-0.20335025396453","-0.592268976575903","-0.176006476883368","boral","X_Cynodon_dactylon"
"14","meanGW","-1.20786421010095","-2.39486240812383","-0.233575765380894","NaN","NaN","NaN","NaN","NaN","boral","X_Cynodon_dactylon"
"15","intercept","-5.25082680520998","-7.90217985311411","-3.22491597551631","1.21121489860474","-0.230671272075275","-0.149258713357037","-0.420349024546282","-0.128293168323639","boral","X_Ehrharta_calycina"
"16","meanGW","-1.43335765950806","-2.41568111189603","-0.664729010341869","NaN","NaN","NaN","NaN","NaN","boral","X_Ehrharta_calycina"
"17","intercept","-1.92783121586921","-3.28882285347414","-0.830968120321292","0.64831572761534","-0.336292784492044","-0.2288235692644","-0.596596950861443","-0.188258945954856","boral","X_Ehrhata_longiflora"
"18","meanGW","-1.50354514103343","-2.22182696867543","-0.937911454949315","NaN","NaN","NaN","NaN","NaN","boral","X_Ehrhata_longiflora"
"19","intercept","-5.35365208417927","-8.47259059058393","-2.88908192229412","1.43873182805496","-0.268738387447065","-0.177760657791063","-0.491433691823197","-0.150070927828389","boral","X_Euphorbia_terracina"
"20","meanGW","-1.25577342285588","-2.40349154337803","-0.282132780947351","NaN","NaN","NaN","NaN","NaN","boral","X_Euphorbia_terracina"
