"","X_Avena_barbata","X_Avena_fatua","X_Azolla_filiculoides","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Conyza_sp_","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrhata_longiflora","X_Euphorbia_terracina","X_Ficus_carica","X_Lactuca_sp_","X_Pelargonium_capitatum","X_Phytolacca_octandra","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Typha_orientalis","Baumea_articulata","Baumea_juncea","Eucalyptus_rudis","Jacksonia_furcellata","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Persicaria_decipiens","Pseudognaphalium_luteoalbum","Rhagodia_baccata","Solanum_symonii","Spyridium_globulosum"
"X_Avena_barbata",1,-0.0492717766443652,-0.162837051542809,-0.0029566326705056,-0.0686442312633274,-0.0236894441128627,-0.0640552088837164,-0.0925746206125092,-0.00220018296388856,-0.133290120263109,0.000102668804828192,0.000613270099243229,-0.0341975325690251,-0.00128295938713366,-0.154171518580753,0.000686266489519764,-0.0114101024532571,-0.11549821496963,-0.153386061003437,-0.174671173733536,-0.118192019363914,-0.186068988945862,-0.101983052822329,-0.155202489763806,-0.245719665604075,-0.0353360801025791,-0.0329431801514024,-0.0136377798510561,-0.054032204546657
"X_Avena_fatua",-0.0492717766443652,1,-0.0166567112965305,-0.135667835366725,-0.0379092054465193,-0.101584252473456,-0.00922884920855738,-0.0232488845471905,-0.122665259502895,-0.044837983831847,-0.144855297243957,-0.156605015746895,-0.0665036813306107,-0.134353770201078,0.00561958378256586,-0.169488046229864,-0.0289569108016837,-0.0556452973885688,-0.0491214644620425,0.00616135395401385,-0.0066382902699176,-0.13660256561567,-0.0143826584760928,-0.00135001651275244,9.82309435202571e-05,-0.034373370228129,-0.0703863542760758,-0.0447271238435805,-0.0460340432120429
"X_Azolla_filiculoides",-0.162837051542809,-0.0166567112965305,1,-0.47118255786814,-0.187528021457658,-0.390047959557343,-0.0604890054514047,-0.0593564278640057,-0.478496923688166,-0.151152019336064,-0.542645770040664,-0.588768683965103,-0.278172673704474,-0.481639269014904,-0.0408545783752269,-0.594713266048523,-0.118375619922364,-0.0199026260950974,-0.0108151062450979,-0.0409088815661977,-0.0721251420687131,-0.23573949602341,-0.125800353484971,-0.0730339053227116,0.0129533899332181,-0.167118861494904,-0.286799646213748,-0.219781434429558,-0.196419304872535
"X_Bromus_diandrus",-0.0029566326705056,-0.135667835366725,-0.47118255786814,1,0.592295401491639,0.217635270598967,0.00567494854239729,-0.313063325361925,0.736498773542309,-0.460142685396486,0.351973316927994,0.415298859434756,0.64519119837379,0.549309862945109,0.148903017011142,0.534842665221529,-0.0419598096543136,-0.416023358645262,-0.480940566852406,-0.0453235330032616,0.190997445338506,-0.818227860134842,0.177231105404964,0.278875626125376,-0.273883852929214,0.00774542756254674,0.627416985290299,0.0420324045973042,0.0612268035572848
"X_Carpobrotus_edulis",-0.0686442312633274,-0.0379092054465193,-0.187528021457658,0.592295401491639,1,0.197005307267524,0.053833891622914,-0.185177792014699,0.482355404643182,-0.326565446476561,0.228268335912624,0.199351132296203,0.659083125182626,0.413435305936867,0.476302492239438,0.247184565501256,-0.0394301910203856,-0.333104495084176,-0.344090799142878,0.310205216340414,0.434535235447916,-0.761472889435095,0.339074087948998,0.641294246096513,0.0714820521899643,0.0284703538149881,0.666196359426233,0.0372896774264731,0.0669096457852066
"X_Conyza_sp_",-0.0236894441128627,-0.101584252473456,-0.390047959557343,0.217635270598967,0.197005307267524,1,0.0124882831799064,-0.22040179146446,0.209143792659303,-0.380546561936006,0.14620547869767,0.157020223217707,0.21470160347231,0.193236354334685,0.0706897770177116,0.15470068918442,-0.0362293708638856,-0.37911869523263,-0.432595303268277,0.00264782936107665,0.0904220479856547,-0.783922259257296,0.101665721571955,0.134510157511418,-0.246736591488921,0.00812874837380058,0.216866766713154,0.0231050617359213,0.0441941735274002
"X_Cynodon_dactylon",-0.0640552088837164,-0.00922884920855738,-0.0604890054514047,0.00567494854239729,0.053833891622914,0.0124882831799064,1,-0.0517332184708605,-0.000798565158182102,-0.132832255542524,-0.0370470134556429,-0.0536301478355954,0.0382742885133861,0.00358590190760556,0.041941748228248,-0.0509276135109579,-0.0269423701079495,-0.185315281523119,-0.165672237086173,0.0378774606895888,0.0408159981430893,-0.453431801167906,0.0352879482687144,0.0505365153973875,-0.00569294152228159,-0.00140799954932659,0.0366788866281127,-0.00711029180032603,0.00235839100356661
"X_Ehrharta_calycina",-0.0925746206125092,-0.0232488845471905,-0.0593564278640057,-0.313063325361925,-0.185177792014699,-0.22040179146446,-0.0517332184708605,1,-0.295545235997305,-0.149740998795176,-0.310478152286836,-0.346965012814094,-0.206862517388871,-0.300985658267139,-0.0867189345419287,-0.34658096608839,-0.0667146832347704,-0.159537618962587,-0.128709751577868,-0.0655256164077131,-0.0805560520003191,-0.369008019858451,-0.1035931786758,-0.0944022220120718,-0.0555650074998199,-0.0766446527688519,-0.213867994738807,-0.123465246537303,-0.165655141732746
"X_Ehrhata_longiflora",-0.00220018296388856,-0.122665259502895,-0.478496923688166,0.736498773542309,0.482355404643182,0.209143792659303,-0.000798565158182102,-0.295545235997305,1,-0.452255353241727,0.317402440925875,0.390803219321458,0.547884103961083,0.514525288472844,0.0638467233230003,0.497557190802514,-0.0400658455305179,-0.395820263021227,-0.459630015285349,-0.0807304475174315,0.122075962822505,-0.777807216154006,0.110420163408338,0.173393077037966,-0.302217306242268,-0.00120622470437919,0.530375791294239,0.038461556904645,0.0531025129720944
"X_Euphorbia_terracina",-0.133290120263109,-0.044837983831847,-0.151152019336064,-0.460142685396486,-0.326565446476561,-0.380546561936006,-0.132832255542524,-0.149740998795176,-0.452255353241727,1,-0.452512482891699,-0.482989186778609,-0.342345461905299,-0.469527637868753,-0.233569717313195,-0.495308536873391,-0.104010275037556,-0.219865044006993,-0.220438879601976,-0.246642420067009,-0.242631866061856,-0.464867428982509,-0.2370151056779,-0.307328782570518,-0.200732363591523,-0.149871505965594,-0.364077075944566,-0.202025937407009,-0.274995253623464
