"","X_Avena_barbata","X_Avena_fatua","X_Azolla_filiculoides","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Conyza_sp_","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrhata_longiflora","X_Euphorbia_terracina","X_Ficus_carica","X_Lactuca_sp_","X_Pelargonium_capitatum","X_Phytolacca_octandra","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Typha_orientalis","Baumea_articulata","Baumea_juncea","Eucalyptus_rudis","Jacksonia_furcellata","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Persicaria_decipiens","Pseudognaphalium_luteoalbum","Rhagodia_baccata","Solanum_symonii","Spyridium_globulosum"
"X_Avena_barbata",1,-0.00641056941780476,-0.0292893224987867,0.0671335599423985,0.0296213415488226,0.0484447548674816,0.00212238112004087,-0.00847590056638235,0.0655864209968889,-0.00874924951376808,0.0657553440272329,0.0715442098706793,0.041758175772781,0.0657905009266879,-0.0109951960251555,0.0740957700424444,0.00767664869134431,-0.0267013207311085,-0.0318307125053529,-0.0195494835084132,0.00302912136894318,-0.0262609947276928,0.007775920607724,-0.00426143645659057,-0.0493486116304172,0.0112084117603411,0.0421590188818818,0.0200999422753626,0.0213607177792022
"X_Avena_fatua",-0.00641056941780476,1,0.0395463071179246,0.034063373786974,0.0872734655776329,0.0448271441389726,0.0461780420854138,0.0422644485119033,0.0261241126971708,0.0466918120065085,0.00944305582895256,-0.00146172769733263,0.0640814313023029,0.023904854095821,0.106823739953582,-0.000151291515142934,0.00568353689341034,0.00408792875089356,0.0132598297336322,0.109483508394854,0.0899188961003211,0.00771762752228003,0.082507767060745,0.115895595057855,0.104084330686389,0.0314717930634998,0.0694603815558434,0.0198739444435828,0.0529078699912533
"X_Azolla_filiculoides",-0.0292893224987867,0.0395463071179246,1,-0.110370067182868,0.0539181247697441,-0.0507092395452219,0.0563715932966273,0.0829826732697189,-0.116485629895844,0.0846561477158627,-0.140380559942735,-0.171425840440431,-0.00856003834606918,-0.119878109294587,0.177731297600181,-0.174809570373349,-0.00960695155731043,0.0657140388818629,0.0940879037673701,0.198684936248446,0.124414405326377,0.0631570911213901,0.0927354898510574,0.173777590495909,0.273130983587836,0.0186666670166757,-0.00177311014033419,-0.0242704849826549,0.025627532323599
"X_Bromus_diandrus",0.0671335599423985,0.034063373786974,-0.110370067182868,1,0.775716138807515,0.753922798338354,0.255088507438224,0.126616018043216,0.844930876828015,0.139937358595092,0.757670618881038,0.762315224550895,0.787878269401251,0.831477038088561,0.434754654763975,0.804395967369869,0.108051741762512,-0.262762201605035,-0.264057473141252,0.362193899004601,0.494931008734464,-0.263676381995424,0.540007476486257,0.560091359721903,0.00936719825333354,0.287152963248898,0.817654239740336,0.326214097485757,0.50810350473394
"X_Carpobrotus_edulis",0.0296213415488226,0.0872734655776329,0.0539181247697441,0.775716138807515,1,0.704735458975966,0.338533275117178,0.244830068078222,0.702717961446759,0.25561708438194,0.58281984812496,0.550499714621751,0.800134069294399,0.687461540342398,0.693284348385906,0.583847627428023,0.0996764847329178,-0.176430556310163,-0.139784086768757,0.650894439763969,0.677787891176024,-0.178673792847294,0.691850230396252,0.818094431820597,0.371668816150524,0.318279884218488,0.840721427916223,0.303993156946357,0.552008886851546
"X_Conyza_sp_",0.0484447548674816,0.0448271441389726,-0.0507092395452219,0.753922798338354,0.704735458975966,1,0.243464188085497,0.142977271735876,0.696461371589939,0.154009520246733,0.614261421088132,0.603446671787678,0.689482984621748,0.684790290956169,0.45375042685393,0.640021700143108,0.0915082565184678,-0.204300178904217,-0.19599541551949,0.396181574110684,0.485525396114059,-0.213581952590829,0.515626062857611,0.563091452074848,0.112478896370124,0.260921262270727,0.719190204876567,0.275139945608447,0.455344942773605
"X_Cynodon_dactylon",0.00212238112004087,0.0461780420854138,0.0563715932966273,0.255088507438224,0.338533275117178,0.243464188085497,1,0.118364028368278,0.226367826364056,0.118741770828408,0.175666912083784,0.155175073034089,0.293634142409363,0.220151866617299,0.30806965649488,0.167286422455979,0.0335584675919484,-0.0456515416940315,-0.0268936605661951,0.299783452890932,0.284354186699547,-0.0477033268130811,0.281823026605953,0.35321232181905,0.211346942433387,0.123511780878872,0.309978449881871,0.107237659013524,0.206396545459631
"X_Ehrharta_calycina",-0.00847590056638235,0.0422644485119033,0.0829826732697189,0.126616018043216,0.244830068078222,0.142977271735876,0.118364028368278,1,0.105291403330771,0.105347607999293,0.0635323959352875,0.0365311877522498,0.192068948252823,0.101314749131696,0.268729377714857,0.0435329989157663,0.0179912921578595,-0.00651894325578708,0.0224195492929325,0.275096296887263,0.232746937814038,-0.00793488031635003,0.228244072754826,0.296749984872706,0.239678025573513,0.0872400866364432,0.203721541956406,0.0602943210236995,0.142934913275487
"X_Ehrhata_longiflora",0.0655864209968889,0.0261241126971708,-0.116485629895844,0.844930876828015,0.702717961446759,0.696461371589939,0.226367826364056,0.105291403330771,1,0.116753668442679,0.712573148152711,0.719301046297128,0.722657810853526,0.77723507820796,0.374884840494772,0.75884763514004,0.0998580781107527,-0.249347011965707,-0.254257414225809,0.306431472593113,0.43598037085188,-0.25010104692988,0.483087667890539,0.490044268848268,-0.0248773495553535,0.260952398724232,0.74749704038044,0.301572836072501,0.462409664275237
"X_Euphorbia_terracina",-0.00874924951376808,0.0466918120065085,0.0846561477158627,0.139937358595092,0.25561708438194,0.154009520246733,0.118741770828408,0.105347607999293,0.116753668442679,1,0.0752848581478694,0.0520455216932186,0.200590284505082,0.110087908182992,0.279492040221065,0.05770306182625,0.0203797584768636,-0.00735654953292814,0.0181682762323086,0.279075710458114,0.24203687511241,-0.00379063278709297,0.234466004134043,0.308110098801626,0.241965958615059,0.0878252903490334,0.216180794479552,0.0707772528277088,0.151845776876932
