"","X_Avena_barbata","X_Avena_fatua","X_Azolla_filiculoides","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Conyza_sp_","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrhata_longiflora","X_Euphorbia_terracina","X_Ficus_carica","X_Lactuca_sp_","X_Pelargonium_capitatum","X_Phytolacca_octandra","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Typha_orientalis","Baumea_articulata","Baumea_juncea","Eucalyptus_rudis","Jacksonia_furcellata","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Persicaria_decipiens","Pseudognaphalium_luteoalbum","Rhagodia_baccata","Solanum_symonii","Spyridium_globulosum"
"X_Avena_barbata",0,0.0390217509918656,0.0347954384858702,0.11148514172109,0.129553889865778,0.0800622426890616,0.0447734733610587,0.115087338510014,0.109726824603661,0.103281783690132,0.101024487168271,0.0805609695965653,0.116780094283254,0.0863452138460802,0.0384910306715608,0.0862917197903575,0.0820971847153006,0.100654833852115,0.0479397293191692,0.132617649254091,0.0656642281862513,0.0833951640131229,0.130683431385454,0.126221441028281,0.0176261424450338,0.0617914188174556,0.116337556276536,0.0687462013650099,0.0824456133660661
"X_Avena_fatua",0.0390217509918656,0,0.0440596987939278,0.104541962531039,0.113853332454691,0.098735534443898,0.0454375521056304,0.107353321745446,0.0994300398724667,0.108246695247837,0.112318620840563,0.0981700861072591,0.102655418238106,0.0987459297322276,0.0426204965810202,0.101538137899867,0.0787661092932567,0.0930116129615692,0.0556315865493055,0.110693904400386,0.063555938000489,0.0933631143461921,0.113750566000553,0.110428461877836,0.0216865440621397,0.0750494927772094,0.101887334470844,0.0700009529605349,0.0938429250334171
"X_Azolla_filiculoides",0.0347954384858702,0.0440596987939278,0,0.11573587608348,0.122442098154385,0.102624807297573,0.0481081200247481,0.110282320316753,0.111258711444696,0.108193040895678,0.110263869356053,0.0989662285862453,0.113771718495862,0.0974329053215639,0.0407711464463605,0.105748716428533,0.0808608392267606,0.0892965448622299,0.0509868837358732,0.118865477240855,0.0601849333300282,0.0875692035558659,0.116598379787483,0.119010370579391,0.021288141137657,0.0720962391055853,0.11346312853108,0.0741698570264539,0.084469353159321
"X_Bromus_diandrus",0.11148514172109,0.104541962531039,0.11573587608348,0,0.0630496233538511,0.189963198034197,0.145375812702111,0.26030469279991,0.0735182126542386,0.240849664353988,0.16534826960415,0.19536107213238,0.0686663715904709,0.163002025786855,0.135671774920098,0.172302894711936,0.208476864706927,0.106400228198123,0.108095325347449,0.159746793772902,0.150059974055011,0.239351135898416,0.138274550747596,0.105554279465679,0.0674551501172639,0.252345805552672,0.0849442074524763,0.26718977249026,0.261431792289648
"X_Carpobrotus_edulis",0.129553889865778,0.113853332454691,0.122442098154385,0.0630496233538511,0,0.203940363754112,0.151191504808587,0.246520698640427,0.0647428694689738,0.249823101771982,0.179929488054436,0.205074364121282,0.0600881354435603,0.18534012075371,0.117227679345827,0.190736866349525,0.22201857218803,0.0908441565875769,0.103482929699059,0.137581207732204,0.150537600822214,0.2327207541496,0.107929870858316,0.104896075519843,0.0593521103217737,0.239578539541241,0.0894761242533443,0.251144799168883,0.248826456841993
"X_Conyza_sp_",0.0800622426890616,0.098735534443898,0.102624807297573,0.189963198034197,0.203940363754112,0,0.105210827058391,0.260904337855569,0.18640108367767,0.218811020448275,0.195462590842,0.212710271885697,0.18951970310217,0.195761817575352,0.152465491137684,0.198678121865522,0.186204434707245,0.161428240699492,0.14361889394016,0.233741058325079,0.157780250070522,0.238034730485519,0.225768950747511,0.200806914611696,0.0776761067443847,0.244086111267788,0.194874023984627,0.249625717345156,0.263402508198725
"X_Cynodon_dactylon",0.0447734733610587,0.0454375521056304,0.0481081200247481,0.145375812702111,0.151191504808587,0.105210827058391,0,0.10496142131687,0.137818276552511,0.109071188112998,0.0803178220014968,0.0926927681399189,0.14256047324253,0.0982846246832297,0.0493114616845344,0.0912471404833246,0.0827114069593895,0.0808402623022953,0.0399788704178306,0.128297766716386,0.0882206094592042,0.0875377572036785,0.135463730079437,0.143582813993491,0.0211132564695428,0.0981111416121069,0.141837091645088,0.0980386042983553,0.107638126360583
"X_Ehrharta_calycina",0.115087338510014,0.107353321745446,0.110282320316753,0.26030469279991,0.246520698640427,0.260904337855569,0.10496142131687,0,0.242551043531743,0.214594451834321,0.222024760358672,0.23428231963947,0.238772256591042,0.244297860471563,0.112643357974443,0.233353364047177,0.192338162722514,0.135514659000196,0.133434429082986,0.208436872419428,0.173216279979335,0.191922173013731,0.208708302447039,0.22750271757184,0.0553097457311202,0.182753906948646,0.250773819852469,0.192469174894142,0.248873106587287
"X_Ehrhata_longiflora",0.109726824603661,0.0994300398724667,0.111258711444696,0.0735182126542386,0.0647428694689738,0.18640108367767,0.137818276552511,0.242551043531743,0,0.228744657099444,0.165806232575051,0.188362611101366,0.0698550907011338,0.166218921200693,0.1244142305192,0.174207598939794,0.199854667280833,0.100680114415763,0.100687953368469,0.145821392530778,0.14324257088451,0.225692861129805,0.125459486625811,0.101435893755707,0.0604814368216685,0.234279132468771,0.0849441046428027,0.247923659206396,0.242413246348079
"X_Euphorbia_terracina",0.103281783690132,0.108246695247837,0.108193040895678,0.240849664353988,0.249823101771982,0.218811020448275,0.109071188112998,0.214594451834321,0.228744657099444,0,0.211819325656333,0.207983269024096,0.23163277044264,0.207671210330128,0.0957408533461461,0.210617733899919,0.189350981374749,0.168008110096198,0.108384535413744,0.227229534023123,0.154720337180497,0.189742306883233,0.230761236418943,0.237024932837336,0.0460075109089908,0.161657855282912,0.235814075006681,0.173835849691447,0.205796038774458
