"","X_Avena_barbata","X_Avena_fatua","X_Azolla_filiculoides","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Conyza_sp_","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrhata_longiflora","X_Euphorbia_terracina","X_Ficus_carica","X_Lactuca_sp_","X_Pelargonium_capitatum","X_Phytolacca_octandra","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Typha_orientalis","Baumea_articulata","Baumea_juncea","Eucalyptus_rudis","Jacksonia_furcellata","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Persicaria_decipiens","Pseudognaphalium_luteoalbum","Rhagodia_baccata","Solanum_symonii","Spyridium_globulosum"
"X_Avena_barbata",1,0.0137492805696405,0.000528460085524633,0.308010722251689,0.198466474747176,0.24339642101175,0.0666418602557587,0.051836475442872,0.292408921783253,0.0805518071161195,0.272420089290286,0.291861972652538,0.223029281859517,0.307291984717867,0.0873936764837196,0.312959691435293,0.0572444951489665,0.000454582193465663,-0.000149462608912291,0.0763833001312932,0.134836453503948,0.0724867014381558,0.135154182917015,0.12187227083983,0.0112764709918318,0.105388523601048,0.228927357840926,0.110922199227775,0.138308307805678
"X_Avena_fatua",0.0137492805696405,1,0.182063679537776,0.196191329509389,0.284171319702881,0.21293846669244,0.187225085951766,0.164388904033827,0.188132783300313,0.219183440759462,0.159483277232022,0.139763450312706,0.235822008928277,0.180677485515792,0.297632715908878,0.147906436419299,0.0460821206178311,0.069036199559693,0.104529335123348,0.301010062314019,0.265386290406255,0.172394551077885,0.248450439151271,0.321913930288483,0.286631005732908,0.157786538550025,0.241631047088905,0.135684157981344,0.226647829832672
"X_Azolla_filiculoides",0.000528460085524633,0.182063679537776,1,0.0971612695718045,0.326416102670429,0.191677610881413,0.300204775614052,0.396935477014261,0.083396495484101,0.472094848951819,0.0553433998259159,0.0428832255594481,0.221408600897465,0.080502181720307,0.575737330608727,0.0351006565072467,0.0708771573983404,0.246444631228114,0.361558162086588,0.609059108596683,0.463122056958996,0.486082997674258,0.411666294248874,0.570639810907243,0.8016573320835,0.227598309613196,0.252918308646531,0.108650451589162,0.30199373372151
"X_Bromus_diandrus",0.308010722251689,0.196191329509389,0.0971612695718045,1,0.892532358406141,0.943139301904126,0.660626359934866,0.584734373078295,0.921567144965033,0.746571604488529,0.913887544021858,0.932124137038318,0.888886845171965,0.937276345675945,0.685772051173218,0.926830631738892,0.373728606208718,-0.103861860073176,-0.0621331987542018,0.690645974681202,0.735419580377916,0.647395873723835,0.810903100210999,0.780185374395682,0.307392590661045,0.839708312184903,0.925025750107784,0.852437582958449,0.909702066635199
"X_Carpobrotus_edulis",0.198466474747176,0.284171319702881,0.326416102670429,0.892532358406141,1,0.925027430761816,0.79801771209294,0.702217010000103,0.845365077122801,0.839098498827305,0.813411082178757,0.799743239233821,0.898313598670194,0.857342200653202,0.840053227069565,0.801321756935415,0.351324717037454,-0.0106334438850421,0.050445009598255,0.858148417975334,0.846816629384556,0.694233624692368,0.880347855548436,0.915299841349212,0.652325327619916,0.866592097066346,0.934483022356655,0.827408479451906,0.92159828490211
"X_Conyza_sp_",0.24339642101175,0.21293846669244,0.191677610881413,0.943139301904125,0.925027430761816,1,0.654397971768938,0.581288824394976,0.900597622478588,0.73582216165314,0.894275250106079,0.907961799899573,0.888865296349267,0.91965700954229,0.763617348261768,0.902440118619689,0.34520928202463,-0.033830059695659,-0.0144251590006433,0.77019794959997,0.799573905766357,0.583349232309522,0.834441215678599,0.861984453858947,0.498979541904401,0.806094794466807,0.92675314918173,0.80132783961231,0.907404257819306
"X_Cynodon_dactylon",0.0666418602557587,0.187225085951766,0.300204775614052,0.660626359934866,0.79801771209294,0.654397971768938,1,0.461694236738522,0.593124804335683,0.551499397636443,0.53270474594488,0.493921008339195,0.717932886662779,0.593122304753971,0.723201558250784,0.496169750847,0.153241861722542,0.0512806768848296,0.0827225379969997,0.738469088680361,0.691392270188715,0.34727019881245,0.688804162121762,0.824481946120232,0.568984992396476,0.550253158495366,0.755650901680599,0.439474939611276,0.646668465056577
"X_Ehrharta_calycina",0.051836475442872,0.164388904033827,0.396935477014261,0.584734373078295,0.702217010000103,0.581288824394976,0.461694236738522,1,0.52620650996436,0.500641629254192,0.463500076964102,0.426031692725039,0.625741763545607,0.536636681567689,0.67165406062035,0.445030703528609,0.136793647497829,0.158004634377015,0.232110295026248,0.70111889154408,0.618096382128316,0.394230018598778,0.653998614397821,0.746572502946112,0.632107532934072,0.428746837825727,0.671884624943663,0.366304980819231,0.571715395819629
"X_Ehrhata_longiflora",0.292408921783253,0.188132783300313,0.083396495484101,0.921567144965033,0.845365077122801,0.900597622478588,0.593124804335683,0.52620650996436,1,0.684647886679872,0.878096808466152,0.891254214992554,0.840240601883992,0.898158091933841,0.644951311224274,0.888619430434905,0.348786246429568,-0.103980892367173,-0.0633669413633477,0.643825623953728,0.690197352097619,0.589535676194151,0.760748728966204,0.721635894688867,0.277054454991004,0.775532597833239,0.882217954216208,0.798272037303619,0.857800573112877
"X_Euphorbia_terracina",0.0805518071161195,0.219183440759462,0.472094848951819,0.746571604488529,0.839098498827305,0.73582216165314,0.551499397636443,0.500641629254192,0.684647886679872,1,0.61578458408753,0.592709121346833,0.76676349490847,0.674934932064597,0.763637949064257,0.6084434676727,0.167936123802297,0.228358404754978,0.300462934459343,0.773587848432259,0.716389741745878,0.484177197386734,0.740245622084444,0.842746662958125,0.730280701594487,0.55764083151211,0.81446504092635,0.51931474410433,0.733109795225753
