Wetland,Plot,AHD
Dampland_78,A,67.988
Dampland_78,B,68.362
Dampland_78,C,69.038
Dampland_78,D,69.989
EPP173,A,51.006
EPP173,B,51.38
EPP173,C,51.54
EPP173,D,51.564
Goollelal,A,26.66
Goollelal,B,26.79
Goollelal,C,26.855
Goollelal,D,26.973
Gwelup,A,5.85
Gwelup,B,6.263
Gwelup,C,6.357
Jandabup,A,44.97
Jandabup,B,39.554
Jandabup,C,48.565
Jandabup,D,48.255
Joondalup_Nth,A,17.33
Joondalup_Nth,B,18.849
Joondalup_Nth,C,20.275
Joondalup_Sth,A,16.9
Joondalup_Sth,B,17.2
Joondalup_Sth,C,17.767
Joondalup_Sth,D,18.794
Lexia86,A,48.633
Lexia86,B,49.168
Lexia86,C,49.371
Lexia86,D,49.345
Lexia94,A,46.52
Lexia94,B,46.581
Lexia94,C,46.69
Lexia94,D,46.873
Lexia186,A,49.97
Lexia186,B,50.128
Lexia186,C,50.326
Lexia186,D,50.516
Loch_McNess,A1,6.6
Loch_McNess,A,7.028
Loch_McNess,B,7.383
Loch_McNess,C,7.709
Loch_McNess,D,7.828
Mariginiup,A,41.63
Mariginiup,B,41.812
Mariginiup,C,41.864
Nowergup_Nth,A,15.9
Nowergup_Nth,B,16.851
Nowergup_Nth,C,17.849
Nowergup_Nth,D,18.867
Nowergup_Sth,A,14.96
Nowergup_Sth,B,15.729
Nowergup_Sth,C,16.133
Nowergup_Sth,D,17.134
Wilgarup,A1,6.06
Wilgarup,A2,6.277
Wilgarup,A,6.674
Wilgarup,B,6.949
Wilgarup,C,7.16
Wilgarup,D,7.087
Yonderup,A,7.59
Yonderup,B,7.511
Yonderup,C,7.413
Yonderup,D,7.465
Bindiar,A,51.121
Bindiar,B,51.432
Bindiar,C,51.908
Bindiar,D,52.817
Quin_Brook,A,57.62
Quin_Brook,B,57.898
Quin_Brook,C,58.198
Quin_Brook,D,58.596
Quin_Swamp,A,56.58
Quin_Swamp,B,56.893
Quin_Swamp,C,56.751
Quin_Swamp,D,56.873
PM4,A,66.71
PM4,B,66.754
PM4,C,66.763
PM4,D,66.724
Banganup,A,14.402
Banganup,B,15.955
Banganup,C,16.147
Beenyup,A,26.879
Beenyup,B,27.185
Beenyup,C,28.004
North_Lake_1,A,13.509
North_Lake_1,B,14.007
North_Lake_1,C,13.804
North_Lake_2,A,15.103
North_Lake_2,B,15.146
North_Lake_2,C,15.432
North_Lake_2,D,15.611
Forrestdale,A,22.691
Forrestdale,B,25.858
Forrestdale,C,25.596
Forrestdale,D,26.052
Kogolup_Sth,A,14.106
Kogolup_Sth,B,14.858
Kogolup_Sth,C,15.091
Kogolup_Sth,D,15.334
Shirley_Balla_1,A,27.313
Shirley_Balla_1,B,27.569
Shirley_Balla_1,C,27.519
Shirley_Balla_1,D,27.482
Shirley_Balla_2,A,26.482
Shirley_Balla_2,B,26.601
Shirley_Balla_2,C,26.681
Shirley_Balla_2,D,26.526
Spectacles,A,10.326
Spectacles,B,10.497
Spectacles,C,10.575
Spectacles,D,10.651
Thomsons_Lake_1,A,14.08
Thomsons_Lake_1,B,14.555
Thomsons_Lake_1,C,14.6
Thomsons_Lake_1,D,14.056
Thomsons_Lake_4,A,12.966
Thomsons_Lake_4,B,15.051
Thomsons_Lake_4,C,16.895
Thomsons_Lake_4,D,18.05
