"","X_Aira_sp_","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Cerastium_glomeratum","X_Conyza_parva","X_Conyza_sp2","X_Cortaderia_selloana","X_Crassula_sp_","X_Ehrharta_longiflora","X_Exotic_sp1","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lotus_angustissimus","X_Lysimachia_arvensis","X_Medicago_sp_","X_Phytolacca_octandra","X_Polypogon_monspeliensis","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","X_Trifolium__glomeratum_","X_Unknown_grass1","X_Unknown_grass2","Astartea_scoparia","Austrostipa_sp_","Banksia_menziesii","Baumea_articulata","Beaufortia_elegans","Caladenia_sp1","Callistachys_lanceolata","Cassytha_racemosa","Cotula_australis","Eucalyptus_rudis","Euchilopsis_linearis","Eutaxia_virgata","Hypocalymma_angustifolium","Hypolaena_exsulca","Isolepis_cernua","Juncus_pallidus","Kunzea_glabrescens","Lepidosperma_longitudinale","Lobelia_sp_","Loxocarya_sp_","Melaleuca_preissiana","Melaleuca_rhaphiophylla","Microtis_media","Nutsyia_floribunda","Podotheca_gnaphalioides","Pteridium_esculentum","Pterostylis_sp1","Pterostylis_sp2","Pultenaea_reticulata","Scaevola_alata","Senecio_sp_","Stylidium_repens","Trachymene_pilosa","Waitzia_suaveolens"
"X_Aira_sp_",1,-0.217545945438718,-0.116310614678565,-0.0774852677874452,-0.0994044749095073,-0.305520179703206,-0.0701806610471306,-0.281246153363107,-0.26775897970774,-0.0667513116957406,-0.421968932196051,-0.0782782212070475,-0.122999532916248,-0.00380529208821146,-0.263986019366158,-0.21719867806265,-0.196119958326599,-0.0281310935323229,-0.259672447903241,-0.402137681926237,-0.481207993844489,-0.132802283798551,-0.0415770527245205,-0.114484133579982,-0.473477561510955,-0.0787873549880782,-0.40573597604999,-0.079032360704937,-0.474649044139961,-0.0574862407582304,-0.267390847184016,-0.473040980604846,-0.0743245963404484,-0.0970180079452706,-0.567832265055611,-0.569747629607984,-0.569982498657158,-0.597227886424973,-0.496906418600103,-0.0935604707157152,-0.578175700114845,-0.0306342402426252,-0.0317652687418642,-0.516402632010165,-0.393984475462644,-0.363488632446645,-0.0435624941707135,-0.594748104004484,-0.500574751099192,-0.458448788458578,-0.141211181947623,-0.265724253023328,-0.603191758236014,-0.070236022307572,-0.10511203837236,-0.346568116060821,-0.366414032065957,-0.368072606631143
"X_Bromus_diandrus",-0.217545945438718,1,-0.262396049098756,-0.168117653849296,-0.524036525839137,-0.397202071810277,-0.657479094167588,-0.0170531280108831,-0.118644695403263,-0.425672207694677,-0.0823104341503512,-0.442932742774847,-0.470669179543415,-0.496224673023452,-0.091367065116121,-0.0382791245762712,-0.231146353080137,-0.48886021216009,-0.278686872581079,-0.397306261081744,-0.0835442763873395,-0.230050017622118,-0.244510990632364,-0.387631206285421,-0.127689833435597,-0.0531425823167179,-0.0352558529963713,-0.312188664601918,0.00420468142714504,-0.294551761265211,-0.577565156549572,-0.00258759491730042,-0.143326210972474,-0.401305336127465,-0.0256070072331086,-0.232589012349718,-0.0194320647443808,-0.0566439509264661,-0.0167388366367783,-0.651353951876425,-0.0833495699255648,-0.649372404397124,-0.297678197701435,-0.000728926202437729,-0.299784490931115,-0.395186007520812,-0.484942432568262,-0.00839051718601937,2.49377279668545e-05,-0.302855563800909,-0.13883395391464,-0.205451727034589,-0.0148009600476614,-0.26313362204404,-0.542607170224574,-0.0168906891901578,-0.0922619644495391,-0.026905580731147
"X_Carpobrotus_edulis",-0.116310614678565,-0.262396049098756,1,-0.3701604275595,-0.348286354934707,-0.596944559768308,-0.2557544203894,-0.441582001347745,-0.535978050973189,-0.237718307963092,-0.563802831449938,-0.392968095311723,-0.466455264870359,-0.262223895257007,-0.516962605908657,-0.451382538857062,-0.37438275899566,-0.217946608186412,-0.556702137364692,-0.70498924573916,-0.643527314596805,-0.468584031334038,-0.272923119370643,-0.414877691286735,-0.636511972050238,-0.178438733509946,-0.52742402536237,-0.22850013115151,-0.539317860609562,-0.256210751930011,-0.517174153278227,-0.510601920288515,-0.317390055880739,-0.257910133992454,-0.661808483534575,-0.836030729505638,-0.617173299667716,-0.722503418464662,-0.595604793837174,-0.237463370301002,-0.725159456398929,-0.164058677125231,-0.219867725275101,-0.575718849180488,-0.641819962036853,-0.664984912512503,-0.280429855301912,-0.613520137419504,-0.565954264637755,-0.77211001446898,-0.270902775136373,-0.556861685765991,-0.649169637813615,-0.220576199465768,-0.468369490740485,-0.418134533466863,-0.50230364520049,-0.535349523167305
"X_Cerastium_glomeratum",-0.0774852677874452,-0.168117653849296,-0.3701604275595,1,-0.179259272306803,-0.20596553268568,-0.188417860529673,-0.194201649550971,-0.134945179603428,-0.149325845489097,-0.247794811805915,-0.130931784772819,-0.179595491713913,-0.286096058142112,-0.134918630243602,-0.149956658361341,-0.117484923534494,-0.281269237821996,-0.161387816191606,-0.267497116036683,-0.300959703218712,-0.0998713896585784,-0.345595220258467,-0.132350959180072,-0.308663074804956,-0.0678761768516552,-0.522779944478371,-0.103400344118242,-0.429762013463518,-0.12035484087297,-0.207454357148605,-0.319839629640053,-0.0725823217012367,-0.119706825128069,-0.390636502359536,-0.387211065044003,-0.38016820206695,-0.394974874583563,-0.306957858924605,-0.197131415510046,-0.39387753436232,-0.212921299343411,-0.116791187283466,-0.472360027680841,-0.229495503466096,-0.247881995757063,-0.249762324850043,-0.400091896409523,-0.37001696929076,-0.320251965460378,-0.284640553636963,-0.151287367903394,-0.403481339479713,-0.109302757022342,-0.14538779544583,-0.395973215367361,-0.214586109613671,-0.21486865886405
"X_Conyza_parva",-0.0994044749095073,-0.524036525839137,-0.348286354934707,-0.179259272306803,1,-0.17522617322239,0.200051548725295,-0.667562522412118,-0.353661096614529,0.00693546159352328,-0.570102056679324,-0.018201987207631,-0.136928837778802,-0.211976243069951,-0.367752810926173,-0.524659217894697,-0.115915654810846,-0.126552958270676,-0.345267048506987,-0.370981373020107,-0.730772126201235,-0.253021921251043,-0.3981729028211,-0.214239012528829,-0.60441306341859,-0.162683814329627,-0.877475233170398,-0.095367478693415,-0.858380872647875,-0.180033406673834,-0.0206489655466079,-0.76954258001119,-0.190489814749086,0.0410248690723432,-0.865581916102073,-0.665352879983098,-0.831759058083614,-0.838060027309303,-0.805619908319802,0.167088231397898,-0.790550740389834,0.133249810474761,-0.0757667253790886,-0.883457781971583,-0.344043382336358,-0.304752314517446,-0.173192879304068,-0.874441088768658,-0.822437636895787,-0.468599921769627,-0.57995608663654,-0.368523319995975,-0.873158531263405,-0.037422255286646,0.0234792415259673,-0.815302457684548,-0.466333866757813,-0.74390759460622
"X_Conyza_sp2",-0.305520179703206,-0.397202071810277,-0.596944559768308,-0.20596553268568,-0.17522617322239,1,-0.077919685249199,-0.474063910209934,-0.109543281496159,-0.169130364141299,-0.310675929216019,-0.214911278059631,-0.368300651298799,-0.550712361609871,-0.127559426269389,-0.395678400419103,-0.0828895576735506,-0.491726168232433,-0.223519151708864,0.38407855731303,-0.427214167838059,-0.21632446621858,-0.699328007706749,-0.406715844268868,-0.084370936047336,-0.168482728311225,-0.877304824613096,-0.301723471201962,-0.813548756252833,-0.407587415426504,0.494887275564794,-0.648980610386243,-0.233000599675912,0.0911244375822394,-0.605243509070234,0.119772610242183,-0.585055931021655,-0.4157817868414,-0.599064665843474,-0.114278593306146,-0.33514027059338,-0.255188697594429,-0.272092228871535,-0.821647522921878,0.281716983897265,0.387973543218788,-0.477697480602388,-0.660910444184315,-0.737081764904872,0.305818795973664,-0.752462815353102,-0.225987634679667,-0.643943192043489,-0.191590601170753,-0.157502779324233,-0.807413060564137,-0.226903089615672,-0.471383519394351
"X_Cortaderia_selloana",-0.0701806610471306,-0.657479094167588,-0.2557544203894,-0.188417860529673,0.200051548725295,-0.077919685249199,1,-0.828012057353986,-0.449630024954675,0.0449665001472304,-0.632061455487145,0.0255273338371425,-0.0953208981206927,-0.0907627973176397,-0.438500345235171,-0.63714917682144,-0.0920748601651684,-0.0299007364438283,-0.316764667227684,-0.233011192751868,-0.828527470327372,-0.28145993169331,-0.331843961638388,-0.221300458699508,-0.612781504082374,-0.165363544870073,-0.942361169308924,-0.0616374627739948,-0.937650935971388,-0.141646096919278,0.176560035146046,-0.846969357060134,-0.197410868162747,0.216909898519406,-0.950151291639051,-0.656638794272032,-0.914213024857068,-0.906629716297077,-0.910927166793522,0.470852517311669,-0.851471448962528,0.441895843828453,-0.0502755284225072,-0.960048734175024,-0.29425744300783,-0.176547706502454,-0.0181573866943146,-0.950736316019861,-0.899594290251833,-0.395877278947337,-0.682471417733538,-0.412083223055166,-0.955038368845305,-0.0249345470876796,0.131543151331324,-0.898055579795872,-0.514644811946055,-0.863127905073224
"X_Crassula_sp_",-0.281246153363107,-0.0170531280108831,-0.441582001347745,-0.194201649550971,-0.667562522412118,-0.474063910209934,-0.828012057353986,1,-0.137113273202603,-0.595367571399955,-0.052655888604408,-0.608799801858056,-0.635831853434435,-0.735486147168323,-0.103161342988759,-0.0581201165614005,-0.290018474767227,-0.618421709184189,-0.357552271681348,-0.472685836101448,-0.0575630588161314,-0.298897567494216,-0.406933794509771,-0.564695017303722,-0.123669483998346,-0.0793397678519656,-0.163693480482354,-0.384420887972369,-0.0475753741400503,-0.416089488102778,-0.704476427063834,-0.0179213581405302,-0.187998914392887,-0.472848765931907,-0.00926626894513283,-0.260683003308342,-0.00870167895670396,-0.0273904246064674,-0.0166955997662166,-0.821814757130962,-0.0458880027878544,-0.839375635940391,-0.428177826639418,-0.0408706318008822,-0.36163984207221,-0.475449208846195,-0.689836463927127,-0.00747356965260356,-0.0432735059420128,-0.399314883194537,-0.253088784793409,-0.257450253789917,-0.00793055058248071,-0.364084574208202,-0.723326604304881,-0.109986393519106,-0.0630220776998486,-0.0227242402963477
"X_Ehrharta_longiflora",-0.26775897970774,-0.118644695403263,-0.535978050973189,-0.134945179603428,-0.353661096614529,-0.109543281496159,-0.449630024954675,-0.137113273202603,1,-0.258988020768793,-0.079856941359451,-0.282118201175145,-0.374967395661267,-0.614443128060102,-0.0345771532734195,-0.121501965234343,-0.0766989140925552,-0.558535981908611,-0.145263895410747,-0.098880594244384,-0.0902875225043662,-0.150443400942015,-0.595473170091222,-0.401623076659515,-0.0539700318769427,-0.0878293631832597,-0.690080791966432,-0.259765999686561,-0.488555933819141,-0.338217052599389,-0.167391401015652,-0.266146457091569,-0.158249121234069,-0.165011456851152,-0.174421237408192,-0.0845053170700119,-0.169819249320991,-0.103106641705423,-0.186465461547022,-0.376428426292637,-0.0946546546675495,-0.505641776358892,-0.258404627935489,-0.485484938834858,-0.0814487769156281,-0.102575024082022,-0.546540263396607,-0.221389985158535,-0.343864321444397,-0.085325702297438,-0.52374359833047,-0.115035623971095,-0.207749432330229,-0.21298159317774,-0.287732794240865,-0.50050515296513,-0.0713638333128669,-0.121698256227576
"X_Exotic_sp1",-0.0667513116957406,-0.425672207694677,-0.237718307963092,-0.149325845489098,0.00693546159352328,-0.169130364141299,0.0449665001472304,-0.595367571399955,-0.258988020768793,1,-0.516610777269905,-0.0760209671574339,-0.132592072351499,-0.150119716100887,-0.304338717896618,-0.382253124463077,-0.0901994179238807,-0.117530836247256,-0.285494025685173,-0.302831744570877,-0.680494155396302,-0.240064414930404,-0.350490833272539,-0.195982630562156,-0.544813025314799,-0.137994154815084,-0.88902965689728,-0.0651433880951035,-0.871498455566621,-0.133297595639678,-0.0625429408851052,-0.721654835244553,-0.179978398698232,0.00462270359964708,-0.854897988170464,-0.656072663744743,-0.82034625501096,-0.822762313673041,-0.767558472929079,0.0438992805997793,-0.758665625703536,0.0543077346808368,-0.0769691360385599,-0.905280762652299,-0.316987226520689,-0.226353317805999,-0.0981908243408764,-0.875605209478409,-0.799799431352049,-0.406377988472095,-0.495587701492531,-0.280439148251279,-0.875894220666982,-0.0267873617519435,-0.0590749775080116,-0.740373748862919,-0.394428111867852,-0.623261093632916
