"","X_Aira_sp_","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Cerastium_glomeratum","X_Conyza_parva","X_Conyza_sp2","X_Cortaderia_selloana","X_Crassula_sp_","X_Ehrharta_longiflora","X_Exotic_sp1","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lotus_angustissimus","X_Lysimachia_arvensis","X_Medicago_sp_","X_Phytolacca_octandra","X_Polypogon_monspeliensis","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","X_Trifolium__glomeratum_","X_Unknown_grass1","X_Unknown_grass2","Astartea_scoparia","Austrostipa_sp_","Banksia_menziesii","Baumea_articulata","Beaufortia_elegans","Caladenia_sp1","Callistachys_lanceolata","Cassytha_racemosa","Cotula_australis","Eucalyptus_rudis","Euchilopsis_linearis","Eutaxia_virgata","Hypocalymma_angustifolium","Hypolaena_exsulca","Isolepis_cernua","Juncus_pallidus","Kunzea_glabrescens","Lepidosperma_longitudinale","Lobelia_sp_","Loxocarya_sp_","Melaleuca_preissiana","Melaleuca_rhaphiophylla","Microtis_media","Nutsyia_floribunda","Podotheca_gnaphalioides","Pteridium_esculentum","Pterostylis_sp1","Pterostylis_sp2","Pultenaea_reticulata","Scaevola_alata","Senecio_sp_","Stylidium_repens","Trachymene_pilosa","Waitzia_suaveolens"
"X_Aira_sp_",1,0.00893561467874257,0.0222464830887446,-0.00478665185328022,-0.0829426020957269,-0.11095781452898,-0.0544402274125773,0.0321500845271015,-0.00243374347642176,0.00776246701683587,0.0390060360039447,-0.0146711125919653,-0.0425530241753987,-0.0295032576071174,-0.0284505443155995,0.00983820277950224,-0.00844927521293559,-0.0587140701324146,0.0329985952155033,-0.059767031909079,0.0402484361650872,-0.0374176496918005,0.00742108555629964,0.0357168709352947,0.0105049135898582,0.00877444663760349,0.117674062238377,-0.00716941399151357,0.0507010291843625,0.00464454136015225,-0.00417415629314408,0.0929373649986392,-0.0104932353316569,-0.0813632747481291,0.0612753031235637,0.00593896958379723,0.0845576072786983,0.0986386633675117,0.0639468676557565,-0.04032901388249,0.0385659288327266,-0.0233117250359308,-0.00330357459042312,0.028605533402483,-0.0725544613272092,-0.0644440455059389,0.00474326449890557,0.100668844271714,0.116061363667117,-0.0872484343875085,0.0123302699624844,-0.000143642505302121,0.13192684912883,-0.00251554216619915,-0.0659874270554355,0.0239801254051197,0.0286045378382354,0.014513962785883
"X_Bromus_diandrus",0.00893561467874257,1,-0.0178243078357896,0.00922919599555355,-0.0299022521629827,-0.0334407717452605,-0.0337803478393342,0.0159323915748382,0.00129982405655059,-0.0116342801565092,0.0711363529475448,-0.0040308547662214,0.0177983202057322,0.00937807089987213,0.0142544805156772,0.0124992170851076,-0.00629975022977412,-0.0557167406670814,0.0298021305435323,-0.0173287815483311,0.0394556534122553,-0.00374081669348089,0.00460179139307352,0.0583756499597583,0.0343191972215695,0.0143065829055746,0.0625789846030088,-0.00383612739269092,0.0458885133644561,0.00417652292065298,-0.0285056689570746,0.061336907649977,0.0105324110291259,-0.0448024343809308,0.0443055409728701,0.0259088396620283,0.0711347446069182,0.0827179030237331,0.0487220712770284,-0.0540436827329089,0.0715814371120723,-0.0363344340150025,0.0154776770409742,0.0360189115765078,-0.0299315291344307,-0.0342007554829065,-0.000267750235769962,0.0799294031696205,0.0770735008819157,0.00868112154837679,0.0117103958936562,0.0203948599932526,0.0762816918638713,-0.000283350440555964,-0.00679653735237629,0.00939778848735704,0.0361769390129286,0.0129362167080541
"X_Carpobrotus_edulis",0.0222464830887446,-0.0178243078357896,1,-0.0438637110245121,-0.12339442154324,-0.198569012572256,-0.130046339002098,0.0206246237353934,-0.0105847432732055,0.110935905828818,-0.102148513815679,-0.0406034586139224,-0.20492400585434,-0.0250159294709419,-0.148539813301035,0.0284928966872268,0.0271289456934433,-0.0301148094852927,-0.137065961193239,-0.211538031466894,-0.0469597255515072,-0.0867097081764315,-0.0170336566750766,-0.130749107176853,-0.162217912555399,-0.0663687520063399,0.129162645727574,0.0580957534483701,0.108668590356619,-0.0100171350784814,0.0733407851650086,0.0868322317998468,-0.0226741666188595,-0.0813482475000821,0.0720975131449443,-0.257757799965181,0.0110514823309539,-0.0558954801886443,0.064745229352097,0.0132957977249954,-0.135753762599423,0.0240458086437646,-0.0939870096727561,0.108823161116546,-0.192824543900163,-0.172161924598251,-0.00938091434171217,0.0292820765751165,0.0271942386987517,-0.329436022260138,0.00227344044943314,-0.124739660829802,0.0821930747512527,0.0648989655934001,-0.266410968582935,0.0810899934233516,-0.0326211113378677,0.00377058162469668
"X_Cerastium_glomeratum",-0.00478665185328022,0.00922919599555355,-0.0438637110245121,1,0.00306845480936178,0.0230004653845789,-0.00383538871367842,-0.00342762496409448,0.000927088996654615,-0.0187991922353346,0.0379649964941516,0.0026084262087051,0.033134093492442,0.0112728282644076,0.0338061536630148,0.00240109201772084,-0.00142518007232489,-0.0182586563905396,0.0265948032046943,0.0237545185556541,0.0236378007631025,0.0144790221369306,0.0011927973163447,0.0388034167964168,0.0420119794319448,0.00933734161544015,-0.00191064734352517,-0.0115156676397265,0.0242268778749486,0.00569685102662273,-0.0317397840371594,0.012381642120069,0.00797522430024165,-0.00339846002645591,0.00471502220396537,0.045499758674282,0.0275372399106875,0.039625068761719,0.0179238286301114,-0.0318209307382898,0.0503584178447742,-0.0276992008648963,0.0190471283472159,0.0218841762729011,0.0227264518083977,0.00391489599794767,-0.000694201060500278,0.0254466282591228,0.0105642697322783,0.061319991262852,0.00703116964973625,0.0238167556175273,0.00384768394966078,-0.000604286085748862,0.0359305268084693,-0.00746420972909122,0.0123559238560143,-0.00186286974799931
"X_Conyza_parva",-0.0829426020957269,-0.0299022521629827,-0.12339442154324,0.00306845480936178,1,0.412668461833465,0.295867916073318,-0.0517594293877082,0.0221533758785755,-0.0618952123535024,-0.181273565138642,0.0776511084792546,0.246142837175684,0.0666323416505956,0.182705149401385,-0.0655297872213158,0.0113493103760056,0.289563177701565,-0.0525294061362027,0.345386126210462,-0.111469097663967,0.170417193516082,-0.00953306965832791,-0.0959844023665508,-0.0590781165373192,-0.0127197400798011,-0.468179661346089,0.0227218044529891,-0.257702462965437,-0.0238360867237059,0.0237048667375584,-0.46217798740213,0.0430444680295669,0.350602900965466,-0.282325605234741,0.0576691767542756,-0.336989595218095,-0.32603515677088,-0.29232678684335,0.190819909344504,-0.178574301375819,0.137196894992126,0.0433422259192541,-0.20112148634674,0.340057525441232,0.322883843378384,0.00591051055721881,-0.460441523444989,-0.401520884355604,0.376787951471951,-0.0514222205701648,0.108610030794334,-0.488976264331892,-0.0168607333064573,0.31681868817995,-0.148323155896573,-0.036724271333516,-0.0367248404340499
"X_Conyza_sp2",-0.11095781452898,-0.0334407717452605,-0.198569012572256,0.0230004653845789,0.412668461833465,1,0.315825999596954,-0.109130329694403,0.0177356231811158,-0.0923746316763097,-0.166184717120463,0.088326862490661,0.239761363182392,0.0773587375122978,0.17166127875925,-0.0713592160064769,-0.00349688428035021,0.306878718594551,-0.0461524668570339,0.378862982244332,-0.136627091619126,0.175939314272028,-0.0125413428354471,-0.105635449341681,-0.00792904182133651,-0.00176835721744489,-0.546914832188178,0.00561944468688778,-0.286162192143386,-0.0169380064676318,0.0143936669682789,-0.468538371706764,0.0299577368730017,0.382611955654791,-0.326118673028183,0.103474593410684,-0.372792430049435,-0.377113993354507,-0.308019924495802,0.195934623282528,-0.1732009339585,0.1135277772075,0.0435104824792046,-0.224824366711363,0.392852205712036,0.371980035223194,0.00797188139390425,-0.479531718417,-0.48718109625253,0.430285901233406,-0.0513249402348686,0.0839796681661391,-0.546739762437593,-0.0506788972685216,0.386707670145148,-0.150773963507962,-0.0792826909429344,-0.0578609524099794
"X_Cortaderia_selloana",-0.0544402274125773,-0.0337803478393342,-0.130046339002098,-0.00383538871367842,0.295867916073318,0.315825999596954,1,-0.054555451398186,0.0145791021269792,-0.0566458643760935,-0.170996740360785,0.077444909309669,0.140565730585015,0.0134964404427463,0.11282723217134,-0.0794407242151263,-0.018029086050064,0.256352790981652,-0.0475815521000592,0.308351329057017,-0.124627785955753,0.125571619893572,0.00484025735902108,-0.105823948730111,-0.0564579019996769,-0.00938185056265576,-0.401242338098025,-0.00880289682973132,-0.300290755372493,-0.0322138046261697,0.0815061115665036,-0.370214553140642,0.000850120019448793,0.277815701020752,-0.24923634174515,0.0696126135651039,-0.339393418630942,-0.294009750857034,-0.260153127524509,0.207270210588942,-0.209410485154175,0.13222589120166,0.0196497909325535,-0.256744519551735,0.299917024193697,0.312085476420088,0.0352876524492122,-0.383397175320599,-0.338431939277152,0.265455345904941,-0.0569795412392559,0.0822235490212763,-0.3930489980048,-0.0353011426787365,0.275151253321319,-0.119056141844728,-0.109102764330111,-0.038147527519074
"X_Crassula_sp_",0.0321500845271015,0.0159323915748382,0.0206246237353934,-0.00342762496409448,-0.0517594293877082,-0.109130329694403,-0.054555451398186,1,0.000764209459564292,0.0117928187706531,0.0534721923602621,-0.0133962530782051,-0.0229265425732446,-0.000897258960642806,-0.0183779866601864,0.0266459921923445,-0.00195295035675458,-0.077305415909955,0.0177939210102317,-0.0530241966320839,0.0315152519517676,-0.0184011355399165,0.00519009353143306,0.045496039473807,-0.008853195657514,0.00880997146958024,0.131749789458799,0.000121975281711897,0.0508974803739332,-0.00189976347725551,-0.0178507356839982,0.0937917697616134,0.00508941383554976,-0.0781203870921612,0.0753087221348285,0.0022367355367639,0.0856815692685885,0.1188450439554,0.0711404184520921,-0.0423827739402969,0.0667903253566552,-0.0196125627744548,0.01019469652769,0.0393679779870612,-0.0758651002914504,-0.0671560524214916,0.00332111201793898,0.107051884440705,0.136598406029939,-0.0442272247458637,0.0121316651085913,0.0056603860624212,0.128324851713692,0.0187869249321037,-0.0576659797237371,0.0221120628957436,0.0379234405033148,0.0266129906992061
"X_Ehrharta_longiflora",-0.00243374347642176,0.00129982405655059,-0.0105847432732055,0.000927088996654615,0.0221533758785755,0.0177356231811158,0.0145791021269792,0.000764209459564292,1,-0.00734103280926623,-0.00836846009079615,0.00499227030414413,0.0169030380852526,0.00136221276670725,0.0145128445544253,-0.00638042643148424,-0.00148426530205241,0.00635708217755179,0.00379427784874118,0.0196340405241783,-0.00159766195777519,0.0083035882452537,-0.00214932745522734,0.00214819023969077,0.000316510056410844,0.00276010502011351,-0.0210159073803569,-0.00225343726158639,-0.0134795084467019,-0.00111250161505939,0.00206761459299886,-0.023547394890382,0.00270520950001055,0.0140090869151792,-0.0103961245189178,0.0103005035761908,-0.0102653593487813,-0.00349383170287861,-0.0167539285997097,0.00577504252091719,-0.00741047807739938,0.00395927004609423,0.00521794709366166,-0.0130833204639494,0.0170508665626594,0.0167430397393144,0.000507699179856903,-0.0215560158203638,-0.00762900962255314,0.0189832908779501,-0.00443494204639797,0.0169505101406116,-0.0184175469275904,-0.00398891497101889,0.0144786921448685,-0.00966292644587201,0.000508150734116332,0.00165597618020391
"X_Exotic_sp1",0.00776246701683587,-0.0116342801565092,0.110935905828818,-0.0187991922353346,-0.0618952123535024,-0.0923746316763097,-0.0566458643760935,0.0117928187706531,-0.00734103280926623,1,-0.0427861840374265,-0.0256232085275841,-0.101134368450987,-0.00602268133466954,-0.0815564366160108,0.013359473237971,0.0209161243411627,-0.0259307313646766,-0.0725088329481822,-0.107880184201312,-0.0371373411122276,-0.0294509832387016,-0.00916296796538957,-0.0679571832309139,-0.0754018458688816,-0.0394003414906145,0.0674963393957176,0.0231365906643422,0.0214171001459334,0.000641622097391469,0.0328722514975471,0.0578628578671766,-0.0110117707430622,-0.0444276389316294,0.0418438538580075,-0.117735704811556,-0.00422595061060944,-0.0241202396507465,0.025319575894331,0.0194432973477631,-0.0436772890125794,0.0211583811422658,-0.0442328885637016,0.0390382704192372,-0.0846151124949585,-0.0803313152082887,-0.00348358168978701,0.0287874371253097,0.00796422296764826,-0.121797716166082,0.00258467637825243,-0.0788976927050077,0.0201714300743305,0.0420343308656743,-0.114286025124263,0.0330121426508068,-0.0444330541429525,-6.14595190690316e-05
