"","X_Aira_sp_","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Cerastium_glomeratum","X_Conyza_parva","X_Conyza_sp2","X_Cortaderia_selloana","X_Crassula_sp_","X_Ehrharta_longiflora","X_Exotic_sp1","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lotus_angustissimus","X_Lysimachia_arvensis","X_Medicago_sp_","X_Phytolacca_octandra","X_Polypogon_monspeliensis","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","X_Trifolium__glomeratum_","X_Unknown_grass1","X_Unknown_grass2","Astartea_scoparia","Austrostipa_sp_","Banksia_menziesii","Baumea_articulata","Beaufortia_elegans","Caladenia_sp1","Callistachys_lanceolata","Cassytha_racemosa","Cotula_australis","Eucalyptus_rudis","Euchilopsis_linearis","Eutaxia_virgata","Hypocalymma_angustifolium","Hypolaena_exsulca","Isolepis_cernua","Juncus_pallidus","Kunzea_glabrescens","Lepidosperma_longitudinale","Lobelia_sp_","Loxocarya_sp_","Melaleuca_preissiana","Melaleuca_rhaphiophylla","Microtis_media","Nutsyia_floribunda","Podotheca_gnaphalioides","Pteridium_esculentum","Pterostylis_sp1","Pterostylis_sp2","Pultenaea_reticulata","Scaevola_alata","Senecio_sp_","Stylidium_repens","Trachymene_pilosa","Waitzia_suaveolens"
"X_Aira_sp_",0,0.0695263439208622,0.111976696538239,0.0605246477508157,0.140828948279226,0.133823162032403,0.161122315369897,0.0847960331471533,0.084433353183508,0.106277244650046,0.111602397362327,0.131641082067438,0.137879723433399,0.161029874374049,0.0771736178756449,0.0696579059211387,0.0828578435843062,0.141722625451818,0.113157569861198,0.152329810854456,0.136731739386466,0.084894124910694,0.133662923899545,0.136002167728616,0.130271301649855,0.0360754876299546,0.150754725536053,0.0795772166018487,0.143992324090817,0.10278547710932,0.157912304354078,0.132821470042419,0.0694571818014255,0.0974027109535809,0.158038642790938,0.1653070018978,0.154194298120332,0.164275083023761,0.135046779064646,0.161220885428666,0.157447990486293,0.165293757079539,0.0918706484684525,0.153500495237891,0.133632070850949,0.142905773166588,0.153640364594198,0.161844163661759,0.14434459313724,0.158476826151637,0.102013509941236,0.100299512278247,0.16296602713815,0.0766440875503915,0.153408901147818,0.123440857615888,0.0991150382863228,0.104989593367562
"X_Bromus_diandrus",0.0695263439208622,0,0.101874755546578,0.0545667228516611,0.13598737370778,0.111911098978865,0.16168081088744,0.095567560379179,0.0610282761254548,0.114743347621493,0.0928014232179803,0.120140581117879,0.123551170701496,0.145275893988823,0.057990089100025,0.0601036466060235,0.0704664811570288,0.136489818618976,0.08888929402696,0.116363086196794,0.122122107727484,0.0770194747903576,0.098962013297181,0.108402396186256,0.104160286307285,0.0261632915045655,0.135322136942415,0.0881918673264349,0.147339618538116,0.084205505325507,0.144196455414244,0.129802561306099,0.0513566925479801,0.0929749472438816,0.162608049106788,0.128238546212101,0.157492193619929,0.158894430838028,0.136484064118488,0.161148971372929,0.144509316959227,0.163587485406215,0.0823020096850914,0.156020741032101,0.101687664412382,0.113007712346045,0.137680703991528,0.165866143088346,0.140760798727294,0.119998719249997,0.0920194425707972,0.0774981728844492,0.16877738749591,0.0797328380537212,0.134521535975129,0.121775409932016,0.0767797298558399,0.0982918219842209
"X_Carpobrotus_edulis",0.111976696538239,0.101874755546578,0,0.135357487257627,0.232130255807796,0.268421087370754,0.239595371199234,0.1422897107024,0.157258888345819,0.194122088400506,0.185906886004034,0.224858122802846,0.252403737244652,0.262471460787209,0.155384984986992,0.143005643117323,0.152297696655775,0.230614792580108,0.229540225125061,0.315716718054576,0.220834854462174,0.176355545169452,0.251841550990112,0.23172255276549,0.236092447548838,0.0754532964019446,0.307401274441751,0.171061168669103,0.249161147909437,0.176676682670892,0.281576771022723,0.194193169173067,0.123638404430014,0.158253157795304,0.207529773985633,0.341719258551786,0.192174955519705,0.224569347675683,0.187082306646107,0.239077498689528,0.233074392919776,0.226629748658927,0.15320925910067,0.255210789118092,0.282813739769717,0.299917457220096,0.245408878464556,0.199626042197816,0.228840229934478,0.333157025485106,0.219158872560481,0.207628241125514,0.199348314762269,0.146760564849772,0.262305716443648,0.23575839843789,0.171226674682459,0.165314377707962
"X_Cerastium_glomeratum",0.0605246477508157,0.0545667228516611,0.135357487257627,0,0.13130661790292,0.159736707914785,0.148791449578396,0.0732298353620728,0.0825392205846672,0.100447632816529,0.10567705024842,0.124580059679406,0.131564189932604,0.156367905347235,0.0693394574685836,0.0681006669810411,0.0868802573712006,0.14773203739986,0.115107928502414,0.194510140680648,0.126878098994175,0.0926214047424112,0.13857704693545,0.116832548323268,0.149098744083573,0.0330220823511549,0.183412453042733,0.0914553007810021,0.148721863671503,0.0910485756392916,0.174344632159495,0.115330023589132,0.0671539449877448,0.0951649305804478,0.144654854804535,0.214162339250994,0.138649133465427,0.158486707794425,0.108853002255433,0.149672601636559,0.158441046198501,0.146802834130442,0.0842205139556561,0.159142053188925,0.169537449832832,0.183240062231864,0.147122260653266,0.14293664989358,0.130820840616177,0.207731095279833,0.1125191497395,0.106427457735728,0.143507065462946,0.0739961809832321,0.152932097839984,0.13123365855151,0.0934451318041137,0.0838741260683268
"X_Conyza_parva",0.140828948279226,0.13598737370778,0.232130255807796,0.13130661790292,0,0.250438995694999,0.185828715962011,0.185059569115878,0.15613868649957,0.226397888217602,0.192680266932719,0.248300148836369,0.243037515626923,0.270916333278014,0.148949137078225,0.155830661696815,0.181590983906504,0.230139929092573,0.223944679848518,0.307399363577827,0.239483595810838,0.184469537043956,0.241433949641847,0.228820504192647,0.244903358685733,0.0753679859496596,0.293924473691928,0.188379454980906,0.213593690530234,0.203538741805533,0.253170608810018,0.167227997858995,0.134129093276598,0.138791996421684,0.195404307387248,0.346070941059903,0.174733737606438,0.228497065114116,0.20237000249565,0.197807272579431,0.244081676220832,0.20321466094221,0.189142008381744,0.214728472393465,0.270595172398398,0.285229891469732,0.253248437125969,0.169855416847276,0.182133708101113,0.330454865708839,0.229339620556618,0.219390591335412,0.180232676834323,0.17419586763173,0.226003739651714,0.261344784941314,0.174361689211317,0.209687493248358
"X_Conyza_sp2",0.133823162032403,0.111911098978865,0.268421087370754,0.159736707914785,0.250438995694999,0,0.227414670994125,0.155598514456298,0.174328149302646,0.234087466684668,0.195993895880783,0.272044963711048,0.299994607280662,0.281235081792827,0.156200400040565,0.152213550968626,0.213542259522023,0.279332559263648,0.223426557483387,0.129071581377803,0.228965310072221,0.2255118347087,0.211810637824578,0.267595244194842,0.165418780588073,0.0874908725826756,0.11439668332301,0.20809538897197,0.144130984276383,0.222465534688751,0.105199780280274,0.17113011664213,0.155802991349213,0.132372381105565,0.196394314206051,0.181366787488952,0.176270925032434,0.196322538977989,0.184309392626595,0.231127448490974,0.194039636902734,0.254316783862544,0.189988131190477,0.129153925070558,0.13435338264452,0.125042952581395,0.293360945630251,0.165364681675869,0.175574434898949,0.145334381441045,0.229795126148484,0.244879020677384,0.182782974809746,0.185526249361489,0.255397579638797,0.218151990268781,0.178685448876512,0.16942506136991
"X_Cortaderia_selloana",0.161122315369897,0.16168081088744,0.239595371199234,0.148791449578396,0.185828715962011,0.227414670994125,0,0.217159004592523,0.176157394848671,0.252046090451171,0.185436477490455,0.265702834651976,0.258456720353489,0.260846754988839,0.16497583869514,0.17990088245395,0.194045596902744,0.221495851774267,0.247748484117617,0.277862453537994,0.260079616103189,0.220207247017197,0.244617012369737,0.259140048288141,0.22068325944125,0.0825247955012863,0.272529341841378,0.228387933546682,0.17917662799971,0.237275946248054,0.210769379851751,0.14499516000766,0.147842330106653,0.113015665264098,0.144267046431687,0.317664197064488,0.105519856789339,0.179334732964417,0.206522113581936,0.132939466404337,0.208628383895995,0.143676420289404,0.218691866388534,0.168924375905943,0.247212640097158,0.256506574884302,0.250151170105933,0.0944366933585395,0.148042451633531,0.300559759425101,0.259091322894382,0.236779880057849,0.102592356357437,0.199918498463111,0.211835085789712,0.279748829814701,0.178074651832702,0.247617570289525
"X_Crassula_sp_",0.0847960331471533,0.095567560379179,0.1422897107024,0.0732298353620728,0.185059569115878,0.155598514456298,0.217159004592523,0,0.0936075295531947,0.15734908551899,0.128641723574699,0.163640129722112,0.174152192368734,0.196505068271419,0.0872273252740642,0.0912249776027499,0.096253802157318,0.173494527689882,0.130156713522079,0.174820579004561,0.164748027126007,0.104741632772574,0.13650717664573,0.159145929485631,0.150898768597099,0.0413382985498581,0.203218036391081,0.113544731520188,0.203788626831264,0.122770709183278,0.199408011694463,0.17904707661793,0.0682403611217047,0.129234199459488,0.222380050513392,0.190664861432805,0.21377209709926,0.21652996671219,0.18964873872869,0.220913321638973,0.197920192606584,0.224268336110372,0.11684713165321,0.210705870723409,0.149275782577048,0.166500703519792,0.190825743684218,0.223913026619313,0.195620554936142,0.178172748987292,0.12570571376771,0.11724312593719,0.22679911467692,0.107107496043749,0.195942007944395,0.164397927381749,0.110310661211328,0.141554806170632
"X_Ehrharta_longiflora",0.084433353183508,0.0610282761254548,0.157258888345819,0.0825392205846672,0.15613868649957,0.174328149302646,0.176157394848671,0.0936075295531947,0,0.119971255135966,0.128124108832132,0.150977905287706,0.164790568921144,0.18637809180965,0.0942584286673452,0.0784548129831315,0.108126345112585,0.165580682376177,0.140985362101137,0.207540403919112,0.143449298773916,0.117329176964042,0.163498308736638,0.15499094597243,0.162461089620241,0.0464152924877134,0.202900813767863,0.117061080537836,0.170029746686067,0.122836756861322,0.193104763259292,0.130335150813921,0.0783966742276477,0.109060693297312,0.152402029549695,0.229530735655473,0.141799900352438,0.166700135666006,0.127383393740066,0.17723996085426,0.169670258425737,0.174195331006809,0.0946176783910265,0.170159764063379,0.185193101686625,0.198311706366004,0.171461458817337,0.145589766131009,0.149580303063107,0.222745991075965,0.141045633772088,0.134221992156646,0.152145094827338,0.0972445096521451,0.163506349176472,0.158818475222916,0.113396747371801,0.100253360406017
"X_Exotic_sp1",0.106277244650046,0.114743347621493,0.194122088400506,0.100447632816529,0.226397888217602,0.234087466684668,0.252046090451171,0.15734908551899,0.119971255135966,0,0.163653382605848,0.215230097969583,0.220792219417393,0.234239571588947,0.123873428079639,0.12172188731216,0.154686527103015,0.214093592503231,0.189324665184475,0.265062019970371,0.207466176772569,0.156322866141368,0.188430210672491,0.200234761877931,0.200378572973992,0.0578426332612154,0.286246784939033,0.158623183679003,0.245906495790508,0.158826159985703,0.271627834088396,0.196840605297923,0.106494290052455,0.155941407543457,0.229016391168381,0.279855039446929,0.223114168448475,0.236040702076667,0.20929404393259,0.25471381245149,0.227380153084248,0.244191472814146,0.155446036412506,0.263382357122103,0.231638339088354,0.255502799459881,0.228785207057469,0.235859888833213,0.227147939375603,0.275496826621306,0.188440090494022,0.172955578207488,0.23632382381706,0.152586238352959,0.244118643477816,0.223504692772617,0.138234903675084,0.169691579169958
