"","X_Aira_sp_","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Cerastium_glomeratum","X_Conyza_parva","X_Conyza_sp2","X_Cortaderia_selloana","X_Crassula_sp_","X_Ehrharta_longiflora","X_Exotic_sp1","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lotus_angustissimus","X_Lysimachia_arvensis","X_Medicago_sp_","X_Phytolacca_octandra","X_Polypogon_monspeliensis","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","X_Trifolium__glomeratum_","X_Unknown_grass1","X_Unknown_grass2","Astartea_scoparia","Austrostipa_sp_","Banksia_menziesii","Baumea_articulata","Beaufortia_elegans","Caladenia_sp1","Callistachys_lanceolata","Cassytha_racemosa","Cotula_australis","Eucalyptus_rudis","Euchilopsis_linearis","Eutaxia_virgata","Hypocalymma_angustifolium","Hypolaena_exsulca","Isolepis_cernua","Juncus_pallidus","Kunzea_glabrescens","Lepidosperma_longitudinale","Lobelia_sp_","Loxocarya_sp_","Melaleuca_preissiana","Melaleuca_rhaphiophylla","Microtis_media","Nutsyia_floribunda","Podotheca_gnaphalioides","Pteridium_esculentum","Pterostylis_sp1","Pterostylis_sp2","Pultenaea_reticulata","Scaevola_alata","Senecio_sp_","Stylidium_repens","Trachymene_pilosa","Waitzia_suaveolens"
"X_Aira_sp_",1,0.0285271049999738,0.339042859284063,0.180600691871215,0.451946148241388,0.291047158243612,0.573589078598669,0.0286011885079804,0.0517789789703989,0.354312238418614,0.00283115719083822,0.444059776424305,0.464446599879902,0.585159445397648,0.0353868716120767,0.0743976755908888,0.158536119809596,0.493427413150642,0.220495712653498,0.263210402414753,-1.27500202946781e-05,0.217271552292463,0.477348271262222,0.426507080060351,0.000369575427175486,0.0711714501177177,0.289005211160658,0.252499587920518,0.132856029670172,0.378702482530863,0.425388972690426,0.0515000849107246,0.169091460425678,0.322709430711895,-0.00132031189819732,0.0635506916119961,-0.000558228224084211,-0.00557004791135413,0.0179950041615695,0.56709922541843,-0.00519693131059866,0.587991086335539,0.333804986511183,0.142358636516339,0.201380844352528,0.290676784093395,0.527374073604201,0.0107425256784397,0.0778866401323662,0.203277217143902,0.315322259564621,0.152985632817134,0.00434786426064667,0.237910792713468,0.506075041658877,0.199242684167007,0.00740902595080809,0.0274698669497891
"X_Bromus_diandrus",0.0285271049999738,1,0.162512673827938,0.0551354519393548,0.0274748651373725,0.0568281880542253,0.00446152909118527,0.336555085555935,0.13296384938048,0.0202498682496077,0.310537083158628,0.0252324522222103,0.0409332561602026,0.0986976346576589,0.150653998240627,0.183567340007829,0.0462336744507488,0.106500774318855,0.100136813703566,0.115550800965682,0.440255409203782,0.0863801212221552,0.168047163549276,0.0709356823470216,0.30423936449697,0.0547064224721545,0.519478674164053,0.0290102331531018,0.602424059964535,0.0572872578295768,0.0184948007199558,0.527025069500375,0.0644415488758838,0.000286220515798998,0.653107369562023,0.289148721003267,0.631597306517618,0.592228932810199,0.559278061238569,0.0103507784391167,0.515302289994686,0.0244297832986826,0.0331368274859544,0.633875763797982,0.115740022952152,0.0841873498750368,0.0794250152311564,0.674107157376936,0.572356785235083,0.166723568827362,0.23880699162578,0.119192550027954,0.659978493292687,0.0283215076592361,0.00568560369479891,0.492476217471755,0.236672352031337,0.360398904970765
"X_Carpobrotus_edulis",0.339042859284062,0.162512673827938,1,0.223364640802006,0.603371320644527,0.467702746951657,0.655971119621313,0.148495786803412,0.136520697523082,0.563361615627894,0.191942626025239,0.543679925590014,0.55724267822774,0.753260152063813,0.133193125563868,0.179872185379311,0.272659242479218,0.716268348300621,0.312017865001693,0.500036459328424,0.220180955560807,0.306853680440147,0.730197827874008,0.536884115995011,0.247624195107743,0.146660423809129,0.635157060452523,0.497801171137571,0.413808993615645,0.470697947221717,0.530288691259237,0.239715811993987,0.21006939948368,0.373956728128914,0.17777907505609,0.410650701037687,0.122691751222323,0.170126334828596,0.153187968956448,0.648758109403941,0.196746504236921,0.70030300635256,0.439684624039817,0.441040526339979,0.441731398027834,0.489377452126893,0.694677567616442,0.147950134655719,0.3278311127074,0.473504024635732,0.620480303750884,0.290372171426135,0.149101848052969,0.426299043879473,0.574442355141355,0.528196183505295,0.188596576756047,0.168029044928981
"X_Cerastium_glomeratum",0.180600691871215,0.0551354519393548,0.223364640802006,1,0.362185987507018,0.448084429315394,0.439536200798137,0.100133430363205,0.198755025939844,0.2618559843634,0.20735976470996,0.349112139119502,0.365801243090227,0.359221644349116,0.155194287679492,0.126063787986645,0.242174478600181,0.316300362331716,0.321215222167709,0.544295106069201,0.248102914935332,0.232680453133381,0.265083839251057,0.364647054603031,0.35475209175826,0.0741454763980373,0.21432195241214,0.239347496007744,0.165024814473202,0.245105570489235,0.506759373441145,0.130656867707371,0.207994810966049,0.286235960165406,0.20100377657825,0.559582070813384,0.182141281247414,0.262561149297347,0.140144734550854,0.407427029460562,0.301916417467599,0.390731683936106,0.216091524284068,0.17638936536093,0.460352302041591,0.509557584439902,0.357999028372273,0.190646416765739,0.158440969276735,0.582263115150764,0.193766644089737,0.340361605263544,0.185217979693948,0.182092645549125,0.485567986867637,0.152430311521649,0.198877890582795,0.135713293709296
"X_Conyza_parva",0.451946148241387,0.0274748651373725,0.603371320644527,0.362185987507018,1,0.745798034855182,0.887065841283739,0.0509200395871622,0.327110910762493,0.778357270008628,0.18841004981524,0.81708968349752,0.765261377368873,0.811896328590909,0.270387278459409,0.113451046938882,0.60921304628547,0.727152181685535,0.538284143180277,0.782096446165233,0.193712478216555,0.54498502446569,0.595140418569335,0.668929501189955,0.312334064770517,0.146845656034572,0.241559264408238,0.656193712320309,-0.0453621936045214,0.630371811819184,0.896700071120919,-0.115132033595104,0.382730511141229,0.584344383256437,-0.119677653901761,0.606968341808997,-0.179613456783942,0.00148718662355855,-0.0834173564789669,0.880900770269996,0.0953509262483806,0.883364798887696,0.656684688748086,-0.0707042480063971,0.670959592668657,0.776231297136285,0.783486168997436,-0.234273520437861,-0.116298954592557,0.757879961789106,0.407952068318792,0.547242426749431,-0.193086289282955,0.635447423081565,0.832293490342141,0.127644324294366,0.225520093524218,0.0555078141730503
"X_Conyza_sp2",0.291047158243612,0.0568281880542253,0.467702746951657,0.448084429315394,0.745798034855182,1,0.769007600626756,0.163359726676169,0.576763004215404,0.716648850724488,0.441225445557569,0.776804262775985,0.737424517420382,0.550929094430501,0.520165957942755,0.26071182555753,0.730202032877243,0.57838232541205,0.671465057645451,0.870765865895645,0.487482325358525,0.67695231909175,0.0702958892755535,0.599703935072865,0.559535600481616,0.192355969537319,-0.424462373661382,0.628843881276005,-0.260352732263474,0.588456848085429,0.876671061618543,0.0281169258555953,0.412799255001743,0.614346185059372,0.153662179841674,0.803956789106216,0.0868135900932819,0.352069469322323,0.0998694477589372,0.787954642452976,0.431515603196846,0.714097142695779,0.52754927689809,-0.331748608182208,0.78954139873128,0.856927184294031,0.609889947559078,-0.047735597659884,-0.0699829362638344,0.863260865849757,0.0382614262115539,0.688994302611501,0.0685561386167943,0.61803153837337,0.796178531657696,-0.0465982885167345,0.445721244557469,0.260961975169399
"X_Cortaderia_selloana",0.573589078598669,0.00446152909118527,0.655971119621313,0.439536200798137,0.887065841283739,0.769007600626756,1,0.022972184465991,0.348597306810234,0.898886319444216,0.0837811650185742,0.906923126195071,0.841590387615362,0.881991993132537,0.22107398370339,0.11611587105373,0.65235245945035,0.811263349288604,0.609076559355989,0.783180317617798,0.086752459375531,0.617495831209684,0.645108249147527,0.74719395147929,0.196670281394532,0.177522149071066,0.0533651195351846,0.799525345068545,-0.230620855723545,0.785094264078976,0.948027596566778,-0.302461871522458,0.396110923997462,0.653458611176015,-0.421315308115338,0.516816481366564,-0.516291075207125,-0.278795303970204,-0.172507607020315,0.963902803074492,-0.0875671814014323,0.958594743291988,0.786503248878131,-0.305350907762594,0.656535671776138,0.788257449978501,0.871864431029212,-0.595992756520849,-0.330599097069536,0.704085946994091,0.455025596344123,0.598629359417318,-0.566999744055955,0.74473726000723,0.91031310193242,0.0762816585680501,0.197710989559463,0.0307650526354099
"X_Crassula_sp_",0.0286011885079804,0.336555085555935,0.148495786803412,0.100133430363205,0.0509200395871622,0.163359726676169,0.022972184465991,1,0.269272293287526,0.0323681546386955,0.476980717419569,0.0524750067243463,0.0815525996913475,0.0662375168711272,0.282986876236207,0.294553322453935,0.124189785716316,0.0721080239093519,0.21833628057698,0.26784557902761,0.641093202518343,0.149393652428572,0.143415461238663,0.0927242662485823,0.503931763896208,0.0803405281289499,0.65509384787508,0.051814525828872,0.735035255526603,0.0651698020549435,0.0931275092416774,0.661158034693769,0.0851772126188602,0.031728691662137,0.824019023201536,0.550984204655954,0.794184541783236,0.78794177256054,0.73642288927657,0.0257514137602005,0.729791421270911,0.0218042189148206,0.0376997331651695,0.80393498865253,0.263304166046121,0.202826012373572,0.0727941444000656,0.855323216803691,0.724076108927813,0.351784924022813,0.290591343177186,0.240727002280879,0.860210234253565,0.0355184559511187,0.05344099555358,0.564936576967037,0.373435142140698,0.543542852149536
"X_Ehrharta_longiflora",0.0517789789703989,0.13296384938048,0.136520697523082,0.198755025939844,0.327110910762493,0.576763004215404,0.348597306810234,0.269272293287526,1,0.25346285661194,0.421142105673914,0.373452212861486,0.354715808844095,0.145748094227605,0.31955442972048,0.212266899113099,0.37293479255229,0.157460822085523,0.464316793706375,0.719972449410462,0.493993725531601,0.327346060653709,0.0482507220283328,0.303952228447329,0.582449407066043,0.100510769999834,0.163838955875105,0.209104830685733,0.249448312994932,0.173064786660969,0.607115458617558,0.30442340319321,0.164012363765969,0.294315693463777,0.441903784422172,0.830740707961388,0.40713923710798,0.576919296067755,0.350587767015549,0.383571442459767,0.591893605978835,0.258195308545573,0.133753881501432,0.228270036292322,0.65401578941126,0.668758581114366,0.16266319287309,0.374650060037314,0.279296711840531,0.79971062335484,0.0598406780936646,0.452861809663314,0.421693150028103,0.191441022069969,0.392607762136719,0.169711296539064,0.386385962762599,0.293172937134335
"X_Exotic_sp1",0.354312238418614,0.0202498682496077,0.563361615627894,0.2618559843634,0.778357270008628,0.716648850724488,0.898886319444216,0.0323681546386955,0.25346285661194,1,0.147854619390054,0.717835767223603,0.718020812036432,0.736731517097351,0.204149218469606,0.108575913410798,0.55599109926075,0.710482336992689,0.499417430222621,0.745807625634591,0.145862433740437,0.489218477845455,0.434780258638715,0.592970833117682,0.269381596933756,0.10091453774516,0.17730750113431,0.580016174472385,-0.0110099907985704,0.53134468676804,0.903553640174934,-0.0264066171666211,0.288104921441987,0.561139316569911,-0.0463555604307249,0.534901055490549,-0.0576393810902672,0.00645581123277743,-0.0196180206160893,0.904013807112011,0.0872120102714681,0.88577420755668,0.564784423371122,0.0181005392221216,0.641853439684804,0.728200205683753,0.735163156610407,-0.0685350173177004,-0.0215952482905095,0.711565379808573,0.315172832783593,0.448318885888165,-0.0577693697962723,0.571874250578214,0.813087341264337,0.105790736768343,0.173089381771788,0.0532147411947952
