"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-1.12051820862077","-1.88794478249626","0.420537574371187","0.792554909662171","-0.707311049088362","-0.307182309136613","-1.57317092630138","-0.35522875751645","boral","X_Avena_barbata"
"2","meanGW","-0.00192753753723816","-0.395456286395405","0.25311567323889","NaN","NaN","NaN","NaN","NaN","boral","X_Avena_barbata"
"3","intercept","-2.04261512266997","-4.12718049573422","0.176610584742706","1.75857746929085","-0.860944115106793","-0.838677116869798","-1.08941018066853","-0.458979196865165","boral","X_Avena_fatua"
"4","meanGW","0.345496258880591","0.0987376096882571","0.768168166229427","NaN","NaN","NaN","NaN","NaN","boral","X_Avena_fatua"
"5","intercept","0.520526406969905","-0.146810379548558","1.02029068860407","0.368981552232998","0.708862311867938","0.293902522299347","1.33615040436871","0.368828444162304","boral","X_Briza_maxima"
"6","meanGW","0.373507287721121","0.185421632345779","0.475364927333499","NaN","NaN","NaN","NaN","NaN","boral","X_Briza_maxima"
"7","intercept","0.47737580242507","0.0253679059237437","1.09325838741281","0.404596294512892","0.847542528250368","0.822857548310914","0.95464453843995","0.453197253622476","boral","X_Bromus_diandrus"
"8","meanGW","0.147854944410326","-0.0347961543008925","0.329282190031789","NaN","NaN","NaN","NaN","NaN","boral","X_Bromus_diandrus"
"9","intercept","-1.6595884104773","-2.41557762055319","-0.804218493641978","0.500094060736368","-0.301336197324095","-0.151702294584018","-0.500453777121846","-0.156429533372755","boral","X_Carpobrotus_edulis"
"10","meanGW","0.204305669277268","-0.0165656257523765","0.431614259452794","NaN","NaN","NaN","NaN","NaN","boral","X_Carpobrotus_edulis"
"11","intercept","-2.03921001572896","-3.90092578431652","0.225977089648937","1.30351195569826","-0.63922398656535","-0.280127622091341","-1.12298244597364","-0.334734141586267","boral","X_Centaurium_sp_"
"12","meanGW","0.460154127004066","0.219893992094157","0.91646675533431","NaN","NaN","NaN","NaN","NaN","boral","X_Centaurium_sp_"
"13","intercept","-1.75844194854465","-2.56893675941617","-0.839628697474343","0.637275556033917","-0.362409209221463","-0.289347068009618","-0.5073418961182","-0.192122525997001","boral","X_Cirsium_vulgare"
"14","meanGW","0.208454398381462","0.0103572606510354","0.442924636901769","NaN","NaN","NaN","NaN","NaN","boral","X_Cirsium_vulgare"
"15","intercept","-1.05657155234572","-1.49181556445949","-0.252129586545758","0.431191678967343","-0.408104569927181","-0.215730437318283","-0.710851472134402","-0.210285930365948","boral","X_Conyza_albida"
"16","meanGW","0.319596215866962","0.181235967841874","0.491241295778432","NaN","NaN","NaN","NaN","NaN","boral","X_Conyza_albida"
"17","intercept","-2.64348249095551","-4.8815679032436","-1.07628095469785","1.33686614150607","-0.505721579802425","-0.314661263944588","-0.638701490970778","-0.262742963177517","boral","X_Conyza_bonariensis"
"18","meanGW","0.298862875824716","-0.0871676729695143","0.688060065467606","NaN","NaN","NaN","NaN","NaN","boral","X_Conyza_bonariensis"
"19","intercept","-3.58223998440739","-6.08656599148637","-0.887745652276841","1.70777708331924","-0.47673441498972","-0.316908371514859","-0.745424151480036","-0.255101317395946","boral","X_Conyza_sumatrensis"
"20","meanGW","0.270196844601742","-0.102794009386604","0.677859268800706","NaN","NaN","NaN","NaN","NaN","boral","X_Conyza_sumatrensis"
"21","intercept","-1.46341915571361","-2.23237099812708","-0.418035140857064","0.667474528118598","-0.456106184965931","-0.321883766274218","-0.684550126330986","-0.238194958141388","boral","X_Ehrharta_calycina"
"22","meanGW","0.148186981605237","-0.240184002635647","0.463920936175635","NaN","NaN","NaN","NaN","NaN","boral","X_Ehrharta_calycina"
"23","intercept","0.730746783804956","0.343459281274299","1.19080920963457","0.301430218881751","0.412496128018821","0.335341392931449","0.552282689360529","0.218600073424456","boral","X_Ehrharta_longiflora"
"24","meanGW","0.119253429286286","0.00587315455996905","0.225835541403455","NaN","NaN","NaN","NaN","NaN","boral","X_Ehrharta_longiflora"
"25","intercept","-2.26592009719793","-3.58476172029921","-0.802650732692221","1.03815420948912","-0.458160113753756","-0.352594441150551","-0.634112023297488","-0.246296430682395","boral","X_Erodium_sp_"
"26","meanGW","0.331843691487629","0.0955646627119467","0.52260134045044","NaN","NaN","NaN","NaN","NaN","boral","X_Erodium_sp_"
"27","intercept","-2.22521636148322","-3.34421629630687","-1.13361870354159","0.769397062779106","-0.345762810348143","-0.201884814374597","-0.493675535798012","-0.186591595455537","boral","X_Euphorbia_peplus"
"28","meanGW","0.304971555407365","-0.015754199533471","0.630486994643192","NaN","NaN","NaN","NaN","NaN","boral","X_Euphorbia_peplus"
