"","X_Anagallis_arvensis","X_Arctotheca_calendula","X_Avena_barbata","X_Avena_fatua","X_Briza_maxima","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Centaurium_sp_","X_Cirsium_vulgare","X_Conyza_albida","X_Conyza_bonariensis","X_Conyza_sumatrensis","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Erodium_sp_","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Galium_murale","X_Geranium_molle","X_Hypochaeris_glabra","X_Moraea_flaccida","X_Pelagonium_capitatum","X_Poa_annua","X_Rumex_crispus","X_Senecio_vulgare","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Trifolium_sp_","X_Ursinia_anthemoides","X_Vulpia_bromoides","Acacia_cyclops","Acacia_saligna","Banksia_littoralis","Baumea_articulata","Baumea_juncea","Baumea_vaginalis","Cassytha_sp","Centella_cordifolia","Daucus_glochidiatus","Eucalyptus_gomphocephala","Juncus_pallidus","Koala_feed_eucalyptus","Lepidosperma_gladiatum","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Myoporum_capraroides","Opercularia_hispida","Patersonia_occidentalis","Podotheca_sp_","Rhagodia_baccata","Scaevola_sp","Spyridium_globulosum","Trachymene_pilosa","Xanthorrhoea_preissii"
"X_Anagallis_arvensis",1,-0.0296862864397748,-0.0750375794107683,-0.0136279414600577,-0.018285755192837,-0.011476039232291,-0.103884506945852,-0.0485599019370353,-0.332888743006082,-0.0319850808143239,-0.108858598247696,-0.109739187775144,-0.00506545181892766,-0.0394959296106282,-0.0293599709120447,-0.007508121584459,-0.275379466662683,-0.0594586561921979,-0.0684981395308927,-0.0183363373932206,-0.0114946057168982,-0.0331320883528546,-0.0397695648756521,-0.0143552876542121,-0.0999391141979029,-0.172758449776124,-0.252455792944546,-0.0434957936366914,-0.0173366081168307,-0.017722184684328,-0.0279279973991508,-0.016485811151098,-0.0359666801364524,-0.0673610086701539,-0.0808311630596412,-0.0713090157562138,-0.0721264912711936,-0.0143859925438647,-0.0661207345639369,-0.0144991404457298,-0.249144101629957,-0.319454549126133,-0.312790160880805,-0.0223079560013925,-0.0515965995485354,-0.0943086897432978,-0.0112107204984478,-0.0333251664267412,-0.0431657789067829,-0.0295809123319236,-0.0266887481261718,-0.0484990426212561,-0.0492375252760858,-0.0217876330609237,-0.0338920396682882
"X_Arctotheca_calendula",-0.0296862864397748,1,-0.0306789711631628,-0.0522765398126809,-0.0765475126984688,-0.0296845226931381,-0.044466252941541,-0.198552648349924,-0.351308175852004,-0.281323685085377,-0.231809088386371,-0.198892282120251,-0.0123948528807084,-0.0539185768002534,-0.179523353579723,-0.0273544645338838,-0.118048840882869,-0.292455653468494,-0.0222331464392294,-0.0943276186276801,-0.0135803475842559,-0.0969083420655952,-0.0157048928547932,-0.0412969129491632,-0.111588864171028,-0.34553556486799,-0.349477039617313,-0.2748779924299,-0.10021496226138,-0.0893556956250108,-0.174458435292912,-0.0801329806249975,-0.0231819798507055,-0.366910144576065,-0.538393366715622,-0.382066715071923,-0.410529644227761,-0.0284563518935606,-0.401365868669689,-0.0710481267692195,-0.10825129152341,-0.347540729616748,-0.149792595205594,-0.0481673485594303,-0.210418468812738,-0.53422398447203,-0.024727069746478,-0.102912611693595,-0.275153840356919,-0.0606090810242093,-0.01582636729211,-0.0252095158348057,-0.33853837732639,-0.0323102612481741,-0.112571605979291
"X_Avena_barbata",-0.0750375794107683,-0.0306789711631628,1,-0.0913240438517638,-0.12896072417568,-0.0401754187984749,-0.070764939846323,-0.486397707342194,-0.678192468506775,-0.524349300797947,-0.656823535089246,-0.427508194134619,-0.0323306019873744,-0.133317115596579,-0.521375235119591,-0.0632454039142234,-0.042671210653311,-0.624023395416375,0.0162302550276353,-0.177555605496086,-0.0194777666653423,-0.0487510026440437,0.0022562374016217,-0.0605180721797373,-0.242012843239463,-0.659775653751627,-0.641040445319028,-0.474196263085807,-0.21360284410959,-0.260097214568262,-0.458954262384812,-0.178498302461912,0.0104805497365829,-0.632314312569736,-0.806027509415345,-0.597312492618852,-0.744426248395706,-0.00297131953518269,-0.601176561202198,-0.142181806067842,-0.0323076070647849,-0.647474481017602,-0.110645454695454,0.0676925969505759,-0.280769938465163,-0.790340556890776,-0.0639966849848724,-0.0220578515619124,-0.630806396946622,-0.174913749808513,0.00315164476623259,-0.0454056605234404,-0.502539982807344,-0.0607462597035513,-0.0256100627332899
"X_Avena_fatua",-0.0136279414600577,-0.0522765398126809,-0.0913240438517638,1,0.00515769058051021,-0.00193383997203072,-0.135724956168599,-0.0975941008596801,-0.461279855676235,-0.0340041840734449,-0.184994792596028,-0.195305486822601,-0.00634009956550427,-0.0700191913853365,-0.0448339744579377,-0.00209587086485266,-0.297416491503435,-0.0951558976876266,-0.067939543693019,-8.42104647011942e-05,-0.0220598778528901,0.0278219308912548,-0.0520806930473373,-0.000497848186654479,-0.16338324247194,-0.264041713796785,-0.39113029818225,-0.0771474180534907,-0.00837279081368174,-0.0469936760949953,-0.0361824616213573,-0.00253346951252335,-0.0401030945606131,0.012719563155466,-0.0274509311609493,0.0222042233354984,-0.0226771486680514,-0.00121908069041334,0.026340548161844,-0.00530770541753391,-0.260197270015284,-0.422365149745672,-0.34747527399724,0.00961063025122892,0.0500855358207113,-0.145576688573256,-0.0170136134107083,0.0409037703217349,-0.0326240148575427,-0.0630471366679983,-0.0334156592671306,-0.0591798449021652,-0.00390021215983683,-0.0417124699136301,0.0473021415250896
"X_Briza_maxima",-0.018285755192837,-0.0765475126984688,-0.12896072417568,0.0051576905805102,1,-0.00461935905708608,-0.166267425120762,-0.0980500950289139,-0.452389572921272,-0.0244404961523425,-0.194106935768916,-0.226517729062349,-0.011292578478785,-0.0931068024350873,-0.0426697503349822,-0.00265673898633855,-0.385883925895467,-0.0943442135974901,-0.104540030798312,0.000272214238250153,-0.0507789907979914,0.0286723627819125,-0.0781719668554274,-0.00402971785443476,-0.212025043291155,-0.255288754294189,-0.370505573323457,-0.0633614948567466,-0.00601323917743143,-0.0489625117675959,-0.0325917062813389,-0.00197779615112253,-0.0665912040696184,0.0180774465766695,-0.0108545617872682,0.0284096807428043,-0.0130535602895862,-0.0134383982851598,0.0213376115443407,-0.00794342451750039,-0.318746063046997,-0.403321336531667,-0.4006691051646,-0.00637031152439433,0.0469114503623647,-0.126059191717447,-0.0231911036614574,0.0376455511923167,-0.0241599965412779,-0.0699093413488727,-0.054022826815778,-0.0810375524896055,0.00409971483581726,-0.0524552750414326,0.0426023973361863
"X_Bromus_diandrus",-0.011476039232291,-0.0296845226931381,-0.0401754187984749,-0.00193383997203072,-0.00461935905708608,1,-0.102257334403959,-0.129896205051516,-0.415766930629172,-0.100564301219627,-0.223879104601269,-0.218884414461133,-0.00542698007843757,-0.0602765171155058,-0.0946002162081248,-0.00760422530836473,-0.211025849561711,-0.171001671508552,-0.0360008819019778,-0.0142284121248084,-0.0167275770739713,-0.00055009657799396,-0.0353273529718465,-0.0032249649025783,-0.172215129184558,-0.297489021322922,-0.346745568566281,-0.126880595534812,-0.025692220315226,-0.0592848059658409,-0.0797201328905647,-0.0163748277813105,-0.0190633922628844,-0.0779088140814197,-0.150687303041299,-0.0640049791473771,-0.148992491588449,-0.00410816635972589,-0.065918243756905,-0.0148447038959097,-0.181033206712397,-0.393043951902179,-0.241442270631467,-0.00234605504678813,-0.0100469309073622,-0.276514518797087,-0.0201093035277052,-0.000692099686709849,-0.109705296804606,-0.070452758310029,-0.015739739122088,-0.0431228136143256,-0.0720559013330149,-0.0299500424308539,0.00124154684242017
"X_Carpobrotus_edulis",-0.103884506945852,-0.044466252941541,-0.070764939846323,-0.135724956168599,-0.166267425120762,-0.102257334403959,1,-0.102886026747592,-0.045949406667347,-0.204334297600662,-0.0766246078839718,-0.0497018975172734,-0.035770654130256,-0.0383038199980114,-0.184007255245928,-0.0633317638932486,-0.027800678475457,-0.140467508261112,-0.0608142175085216,-0.139012463937804,-0.050733711037188,-0.301667078445874,-0.015761612324106,-0.123486332437531,-0.020290009242195,-0.115164442254058,-0.0528868697039564,-0.191208602335691,-0.148136213117068,-0.0807494071848172,-0.180104329294361,-0.1304718173979,-0.0606877545805715,-0.483954779505382,-0.525764739965093,-0.513227700096325,-0.484449104955388,-0.111742541481724,-0.511010378757668,-0.16680116802006,-0.0256081550626181,-0.0536240531958705,-0.027726780169994,-0.160173668339809,-0.428924412045306,-0.333059737182261,-0.0486178234639015,-0.306709142837236,-0.300216717728451,-0.0578063184687782,-0.0454105044477967,-0.00989043715586879,-0.353622599187979,-0.0739362563116865,-0.308562580202008
"X_Centaurium_sp_",-0.0485599019370353,-0.198552648349924,-0.486397707342194,-0.0975941008596801,-0.0980500950289139,-0.129896205051516,-0.102886026747592,1,-0.0684458597074528,-0.0119824895067286,-0.0133662599092473,-0.040938867642995,-0.0796651285821189,-0.0855274579902147,-0.0198391547131829,-0.0561610020279028,-0.317299704244647,0.0025022130657305,-0.346336064149274,-0.086009918381307,-0.196962211100206,-0.414687763320897,-0.11941984065911,-0.153664434864933,-0.0756645538383029,-0.000331106051720585,-0.0415482343737252,-0.0127227895207337,-0.0595507559721866,-0.041263796929934,-0.0198703737148807,-0.0591225808600955,-0.297153974647372,-0.143367313864937,-0.0267658142594481,-0.143891039619924,-0.066335866665465,-0.207043440581181,-0.13848658660425,-0.151596144963302,-0.260179333193891,-0.064643467828066,-0.271593678167309,-0.488903216688882,-0.247903609177162,0.0166634603650075,-0.0679524017715422,-0.429543072261685,-0.0802975754641747,-0.0885096820614601,-0.19283295493353,-0.0918508899048529,-0.0583658596495189,-0.146693137419064,-0.440944987085348
"X_Cirsium_vulgare",-0.332888743006082,-0.351308175852004,-0.678192468506775,-0.461279855676235,-0.452389572921272,-0.415766930629172,-0.045949406667347,-0.0684458597074528,1,-0.33504190418144,-0.0183620030710017,-0.0264063014604303,-0.202091245949342,-0.142698863775148,-0.261362447442786,-0.239031685495296,-0.139299282169486,-0.0995084853055117,-0.633640153193714,-0.402452208409404,-0.388134208346996,-0.880551419225036,-0.160921619169068,-0.564985802880385,-0.0536181957581827,0.0225071613627953,0.0758200799435714,-0.219715223423489,-0.365964579450323,-0.180546792169561,-0.346650615072623,-0.373187686803235,-0.530081273470644,-0.863899909262795,-0.733327319903562,-0.886697493268164,-0.752124472776238,-0.655226776921604,-0.894983479488357,-0.618125496676221,-0.128944830929181,0.0573542207543367,-0.0966863544212715,-0.846478285570744,-0.873539295968912,-0.359445821411148,-0.209630923235872,-0.893070879900737,-0.708383195764129,-0.254393718774116,-0.388733168225261,-0.0828879999292609,-0.601255613349849,-0.470205100093665,-0.890225915727272
"X_Conyza_albida",-0.0319850808143239,-0.281323685085377,-0.524349300797947,-0.0340041840734449,-0.0244404961523425,-0.100564301219627,-0.204334297600662,-0.0119824895067286,-0.33504190418144,1,-0.0941682123688878,-0.128829356565391,-0.0826775203477442,-0.144292216076552,-0.00225279132166768,-0.0346477683143215,-0.5965011109352,-0.00197477676142401,-0.377970802384053,-0.0343430737336947,-0.191234192713414,-0.185773739783409,-0.167272850146707,-0.0880235035069733,-0.195190291428127,-0.103340796775407,-0.217079307743489,-0.018565375609445,-0.0134581648422806,-0.0507599173762691,-0.00275923502102576,-0.0200700599441487,-0.334901233582978,0.0128683967605137,0.0527201546625529,0.0155984800489246,0.0333727287996364,-0.170904351395568,0.0225956371738589,-0.0607981049660009,-0.485228942178084,-0.28318798299934,-0.544599254552126,-0.348164161700276,-0.0330529621731534,0.0181842233454954,-0.0615861622146015,-0.195096639403813,-0.015428056772972,-0.102758037768851,-0.215421331727744,-0.146008398616728,0.0165901588088227,-0.199720490442682,-0.180934728184571
