"","X_Anagallis_arvensis","X_Arctotheca_calendula","X_Avena_barbata","X_Avena_fatua","X_Briza_maxima","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Centaurium_sp_","X_Cirsium_vulgare","X_Conyza_albida","X_Conyza_bonariensis","X_Conyza_sumatrensis","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Erodium_sp_","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Galium_murale","X_Geranium_molle","X_Hypochaeris_glabra","X_Moraea_flaccida","X_Pelagonium_capitatum","X_Poa_annua","X_Rumex_crispus","X_Senecio_vulgare","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Trifolium_sp_","X_Ursinia_anthemoides","X_Vulpia_bromoides","Acacia_cyclops","Acacia_saligna","Banksia_littoralis","Baumea_articulata","Baumea_juncea","Baumea_vaginalis","Cassytha_sp","Centella_cordifolia","Daucus_glochidiatus","Eucalyptus_gomphocephala","Juncus_pallidus","Koala_feed_eucalyptus","Lepidosperma_gladiatum","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Myoporum_capraroides","Opercularia_hispida","Patersonia_occidentalis","Podotheca_sp_","Rhagodia_baccata","Scaevola_sp","Spyridium_globulosum","Trachymene_pilosa","Xanthorrhoea_preissii"
"X_Anagallis_arvensis",1,0.00629828398877935,0.0192730852901491,0.0156025788418419,0.0200413371435787,0.0178649817392177,-0.00767484772928244,-0.00424919389184378,-0.0428499768342382,0.00666292463452886,-0.0124422118451477,-0.0110104175481006,0.00523182623227019,0.00144938870912382,0.00384262093691077,0.00770290643820878,-0.021136840724966,-0.00523089616022417,0.0108042964144521,0.0132242280219901,0.00759146125890282,0.0533852253976547,0.000971977628251371,0.0162166990571421,-0.00876007907551449,-0.0247093410764838,-0.032919184282623,0.00201139171667975,0.0104942671490585,0.00273536206778482,0.00594425352027995,0.00951840377359851,0.0115124931324,0.0419106956417943,0.023655346290333,0.0467108293877247,0.0245470645120554,0.0185645216374553,0.0441161812849568,0.0148284898046599,-0.0215775730398075,-0.0391789726727274,-0.0294425926539614,0.0422089055261436,0.0551892957455738,-0.00891843423211792,0.00350310175240725,0.0541260758757863,0.0101420578955557,0.00282727334025743,0.00727710921494878,-0.00229288287455023,0.0244023290813451,0.00966277507283332,0.0583108219797099
"X_Arctotheca_calendula",0.00629828398877935,1,0.116534919706991,0.01884622924323,0.0157726832845469,0.0327668166373507,0.0104478059190392,-0.0359417659065059,-0.0710393799403031,-0.039493708037554,-0.0403730452424854,-0.0300333322063139,0.0164151168703258,0.00941385112160718,-0.0252491803317876,0.011339905680726,0.0622037666940186,-0.0524436411755599,0.0687077588303441,0.0083901757077396,0.0352978406030873,0.0998684411395429,0.0229264773146451,0.0299732423640503,-0.00465469294692679,-0.0908858546888103,-0.0699976249979606,-0.0453566391535499,-0.00227582570424861,-0.00726625682171561,-0.0200892053079483,0.00205445324250213,0.0546629576747735,-0.0165334520731548,-0.0864683990096382,-0.00949485889306857,-0.0559270845844729,0.0478563148291776,-0.0121875356702435,0.0189901757245048,0.0490023033723461,-0.0679212907687758,0.0384334845587936,0.124043883177535,0.0470203341412189,-0.125156013538472,0.00938572102226745,0.10638445343165,-0.0185723263121186,0.00348243392878718,0.0352607598347244,0.0134435467430935,-0.0324191564878555,0.0235963868802005,0.110783020244189
"X_Avena_barbata",0.0192730852901491,0.116534919706991,1,0.0457658066302321,0.0246166182576539,0.106878687814626,0.0624462801698361,-0.139763190609186,-0.209340978201656,-0.173884484911811,-0.147298683996252,-0.0851988898044852,0.0568433955555844,0.0432733224286007,-0.114917337467996,0.0270346115542805,0.296120964288199,-0.209329118402198,0.272148369255555,0.0016712606168662,0.117202186439598,0.306785184859103,0.0941813468933271,0.0945339208928484,0.002257998407135,-0.33015424253962,-0.218343222537046,-0.192176838061308,-0.0228377209631303,-0.0300541688536347,-0.0975695455305423,-0.00847002192604812,0.226132830997868,-0.160297590237713,-0.423270257129808,-0.137424875908291,-0.285948648353451,0.168032788942925,-0.146845652594849,0.0405476041227375,0.266532950886359,-0.198200153331895,0.246011483101661,0.428483874558416,0.0867071747396292,-0.505471497920922,0.0295945560338223,0.320970059662296,-0.104437185259272,0.00974267084559322,0.142500033217211,0.0619523489055438,-0.179496019283208,0.0909906091266796,0.343075156192015
"X_Avena_fatua",0.0156025788418419,0.01884622924323,0.0457658066302321,1,0.0662471695650844,0.0534451417648809,-0.0301750708229456,-0.0168264168943419,-0.161033509643156,0.0283882228159609,-0.0434034756596762,-0.0442277067315976,0.0173885239692368,-0.00614667674965322,0.0164721777216649,0.0267656116097816,-0.101579334207205,-0.01366008893134,0.0364834648575346,0.0532057755389406,0.025299906212418,0.191011944455076,0.000372173348806707,0.0532339875507884,-0.0356882478131311,-0.0868623054029951,-0.127499640423473,0.00835638060407373,0.0390975543722816,0.00531364225649303,0.024816421899865,0.0389692687774511,0.0366596584304976,0.1663154551625,0.112875917132484,0.184394397797884,0.113629890107247,0.0656220017388696,0.180213564540399,0.0539286373823864,-0.0915546353096739,-0.133961047378175,-0.121195787618607,0.139293707262984,0.211809650025251,-0.00961493909696544,0.0137337080860666,0.201716760177055,0.052118863201029,0.0055623313472,0.023103941623532,-0.0108578224012717,0.100410257619753,0.026753474980769,0.214197236868318
"X_Briza_maxima",0.0200413371435787,0.0157726832845469,0.0246166182576539,0.0662471695650844,1,0.061163476944005,-0.0414674653010838,-0.00991057862456205,-0.184287364228752,0.050672876443061,-0.0422493930163144,-0.0479385135803065,0.018193820209579,-0.0104274754468465,0.0303902502998081,0.0324998975602284,-0.149244654141095,-0.00144813140699363,0.0264722372787922,0.0667714913365824,0.021092793263667,0.212088046413229,-0.00663324978720092,0.060083026049435,-0.0444973666110756,-0.0818425509542155,-0.14180940189751,0.02836444106149,0.0528609021159531,0.00912748750190341,0.0378757476317575,0.0468417939877724,0.031335855901433,0.219928834667079,0.173007134825154,0.23993562924564,0.159625767016412,0.0683857290190952,0.237169822209539,0.0649634132778967,-0.134719815122878,-0.149848546350764,-0.169242380724079,0.143856797581733,0.257503475784108,0.0272284718626663,0.0153846391453438,0.228111878833499,0.0723954427762456,0.0065727628788822,0.0200197371785845,-0.0181421119304125,0.139977865674793,0.0286992704971239,0.242307190215175
"X_Bromus_diandrus",0.0178649817392177,0.0327668166373507,0.106878687814626,0.0534451417648809,0.061163476944005,1,-0.0165669569701069,-0.0325452419443483,-0.163834827046631,0.00226731100804398,-0.0564090956471009,-0.0493617565253351,0.0225225895048659,0.00368707912280331,-0.000530745564421125,0.0263454757817845,-0.0444508911460889,-0.0385141436060374,0.0678240677751145,0.0439054687000405,0.0359500422050802,0.20049115155477,0.0135918318017559,0.0569777395702303,-0.0319716359736596,-0.118833155695635,-0.134310135711924,-0.0173714245539841,0.0306694881798905,0.00101658483342303,0.00845789721943556,0.0299794709930283,0.0602175498180294,0.116327059078076,0.035720478580597,0.1347786756338,0.0515924496043765,0.0761627739924937,0.130717919302252,0.0498155427149954,-0.0406187161588465,-0.143234125535664,-0.0695486881974631,0.175072825503594,0.189210688145364,-0.0793742129496346,0.0147962560193607,0.213344866026365,0.0276656659255678,0.00779532855041858,0.039243459209476,-0.000869236646155559,0.0591157061926619,0.03569006010992,0.226939553042389
"X_Carpobrotus_edulis",-0.00767484772928244,0.0104478059190392,0.0624462801698361,-0.0301750708229456,-0.0414674653010838,-0.0165669569701069,1,-0.0152479635774992,0.0790998157197911,-0.0513559535678325,0.00559422787045547,0.0157856439513898,-0.00147735349593439,0.0148316517111009,-0.0338735187019997,-0.0127942252892722,0.133630547899614,-0.0295680825692327,0.0289107187310899,-0.0353874222702668,0.00695943904008638,-0.0738847904372061,0.0193027268799602,-0.0177747668696053,0.0258534544144555,0.00117147293437143,0.0508073338457178,-0.042671631575225,-0.0317824487288252,-0.0106741648759423,-0.036345535411764,-0.028660490933688,0.0160526904377714,-0.151553543775571,-0.164697632405417,-0.160089584409216,-0.141891682804903,-0.012377440594197,-0.161045497708235,-0.0291387871971071,0.123020337838785,0.0585851430228607,0.140738180478161,-0.0156649743962139,-0.133922801362043,-0.0914109507234623,-0.0045075305615215,-0.0812199594620242,-0.060568637921646,-0.00117070864627075,0.0114365065418287,0.0209712378391222,-0.105549928229065,-0.00133808007669079,-0.086308964517244
"X_Centaurium_sp_",-0.00424919389184378,-0.0359417659065059,-0.139763190609186,-0.0168264168943419,-0.00991057862456205,-0.0325452419443483,-0.0152479635774992,1,0.0739798091769833,0.0526646439887275,0.0490127656067725,0.0283456165501872,-0.0178197132397968,-0.0102118187925928,0.0330077249171133,-0.00890472042620676,-0.0823778837509068,0.0668367531066594,-0.081373306561186,-0.00258253816633428,-0.0375865063861072,-0.103536726954677,-0.0284910227331272,-0.030788839633603,0.00136885279824508,0.106940759784854,0.0728584324843509,0.0597440559089425,0.00636187395223348,0.00826969621777046,0.0296070164402826,-1.78253293224191e-05,-0.0680938684634958,0.0363276067810526,0.12106529908397,0.0309006054288698,0.0772557149089423,-0.0521790752681127,0.0333579045046766,-0.0164459486621235,-0.0735350816627261,0.066390249894807,-0.0643486750537669,-0.13876809940701,-0.0377912909919986,0.152878346793322,-0.00974245465858557,-0.108989024300387,0.0289320271205862,-0.00384722101799973,-0.041442302140391,-0.0183786996487113,0.0494118323451493,-0.0262255660298819,-0.114661486733283
"X_Cirsium_vulgare",-0.0428499768342382,-0.0710393799403031,-0.209340978201656,-0.161033509643156,-0.184287364228752,-0.163834827046631,0.0790998157197911,0.0739798091769833,1,-0.050002843548281,0.157763291019748,0.139977265309818,-0.0590630129650296,0.0204093091118508,-0.0201015012571295,-0.0799468579251171,0.254556146913636,0.0863041077955502,-0.141096363165006,-0.139949105341897,-0.0845741977684376,-0.584164958702591,-0.0182190246318444,-0.165289743866667,0.103360982351665,0.31659972283189,0.419253201210696,0.0249310207560831,-0.102227918340637,-0.0103442179065518,-0.0455979718235746,-0.106852216612658,-0.141860716876027,-0.451227600588218,-0.248076542998423,-0.501792678642003,-0.28056536780466,-0.212561657291694,-0.497932972398754,-0.156957639637233,0.223491238934498,0.410011495204607,0.307850961524809,-0.472926191244686,-0.614695093091599,0.112545877796505,-0.0439399882123713,-0.629544593798503,-0.136898141060281,-0.0169127124674947,-0.090004694867608,0.0242190647016442,-0.254350234032586,-0.0882115820905115,-0.667355776712161
"X_Conyza_albida",0.00666292463452886,-0.039493708037554,-0.173884484911811,0.0283882228159609,0.050672876443061,0.00226731100804398,-0.0513559535678325,0.0526646439887275,-0.050002843548281,1,0.030926549787353,0.00430880354635418,-0.0103570883396782,-0.0247844273463202,0.0665904324616906,0.0121571774569944,-0.233778106038834,0.0895783126892294,-0.0880603070628737,0.0476333114078508,-0.0335357512844631,0.0290970772323596,-0.0437620305800287,0.00710184459299522,-0.0327779437292738,0.0805687944596609,-0.0153459535636221,0.103163856198016,0.0500932798816997,0.0178759040736562,0.0701857643871071,0.0388805010471859,-0.0665288527760495,0.225529615700557,0.302036337476948,0.232916957048624,0.233016292950111,-0.0185967744146355,0.232431619023229,0.0306490521985952,-0.203175367207851,-0.0253635333956166,-0.218642040182771,-0.0757300725184041,0.155026081677226,0.230983353941841,4.14864717588424e-05,0.0340820743848216,0.0939817773010697,-0.000155595342311867,-0.0422317099464149,-0.0380802276393505,0.178872909826871,-0.0146442086137824,0.0364532316551669
