"","X_Anagallis_arvensis","X_Arctotheca_calendula","X_Avena_barbata","X_Avena_fatua","X_Briza_maxima","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Centaurium_sp_","X_Cirsium_vulgare","X_Conyza_albida","X_Conyza_bonariensis","X_Conyza_sumatrensis","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Erodium_sp_","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Galium_murale","X_Geranium_molle","X_Hypochaeris_glabra","X_Moraea_flaccida","X_Pelagonium_capitatum","X_Poa_annua","X_Rumex_crispus","X_Senecio_vulgare","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Trifolium_sp_","X_Ursinia_anthemoides","X_Vulpia_bromoides","Acacia_cyclops","Acacia_saligna","Banksia_littoralis","Baumea_articulata","Baumea_juncea","Baumea_vaginalis","Cassytha_sp","Centella_cordifolia","Daucus_glochidiatus","Eucalyptus_gomphocephala","Juncus_pallidus","Koala_feed_eucalyptus","Lepidosperma_gladiatum","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Myoporum_capraroides","Opercularia_hispida","Patersonia_occidentalis","Podotheca_sp_","Rhagodia_baccata","Scaevola_sp","Spyridium_globulosum","Trachymene_pilosa","Xanthorrhoea_preissii"
"X_Anagallis_arvensis",0,0.0239150024446398,0.0518631848766951,0.0409192699334327,0.0517151099229045,0.0384782734332746,0.0331724559146487,0.0229334527849486,0.0966860966873404,0.039366807647834,0.0345481940409054,0.0329181689340222,0.0131156835126524,0.0184226855477716,0.0286610506439501,0.0211824071969504,0.0836355968590709,0.0264691383644455,0.0401096975667117,0.0364505272052829,0.0199641744813658,0.111206839925009,0.0157002845894162,0.0430753354877737,0.0352306894744443,0.0522452769345728,0.0733567544682573,0.036100170941219,0.0338674326050807,0.0243320552321627,0.0325294439767754,0.0331057840959279,0.0353233915730879,0.116514378188318,0.0987110777913504,0.125286328268153,0.0947846471588221,0.0442123343412296,0.120416685055945,0.0409407108025434,0.0788409777886534,0.0893177899575047,0.0948795329465345,0.0826675311222011,0.125936937655683,0.0511957969225438,0.0129347069717317,0.111468940235888,0.0524419528127694,0.0284022896353431,0.02712273436326,0.0167472390618204,0.0757695383900988,0.0353760394951733,0.117866335627198
"X_Arctotheca_calendula",0.0239150024446398,0,0.139263403423214,0.0409432530859038,0.0493616159679018,0.0493788971813944,0.0416859033564496,0.0573432053054652,0.117055850850804,0.0786204976625051,0.0638226724319344,0.0624896133215448,0.0284564225037643,0.0370906217131524,0.0621985614592873,0.0242125998182214,0.135765595268901,0.0850786598681859,0.0979307249061811,0.0461233737767217,0.0635518672514768,0.12996463715337,0.0391403771853463,0.0602703437920823,0.0497438891346416,0.102092486019735,0.103539983576651,0.0769216470807568,0.0448006104997161,0.0372291514163746,0.0591920596355082,0.0413566660512771,0.0863048426629866,0.137237256990541,0.164204512379905,0.139975921193587,0.137255800017247,0.0673414955533474,0.14327305207253,0.0585905079665987,0.112045422847517,0.106016510669455,0.125730655915,0.1393443073111,0.127398155801701,0.150617441836121,0.0295599905909592,0.135991505927825,0.091347883785338,0.039833303111957,0.0556757370373276,0.0324253343492297,0.106029696882779,0.050507789972317,0.138429615659546
"X_Avena_barbata",0.0518631848766951,0.139263403423214,0,0.0781611624858085,0.0858471475496659,0.100689645117553,0.0945540289651722,0.116478225004517,0.239419806417079,0.144494009607433,0.163843950105917,0.134255475511607,0.0579422354249002,0.0950344926026486,0.138721151423431,0.0501794070754106,0.195135758136602,0.161897982428964,0.215058099900963,0.0866755380948967,0.115583536213668,0.192308076463293,0.0701606902571678,0.108535102392604,0.111705883217306,0.170055799340362,0.194832024956154,0.134657123330453,0.0803670123559201,0.0925013374298702,0.126930632228026,0.0768788840927154,0.190588208688388,0.239216145875076,0.22595897319837,0.23287087674255,0.228067863146433,0.144868754124981,0.232332918254979,0.118098456325688,0.170184454895902,0.216840342467319,0.208214781938222,0.202880178170391,0.198230250747515,0.181713524760438,0.0573029386723056,0.193450058550844,0.196222778478562,0.107526704495579,0.125444602475906,0.065688213003092,0.169877034652188,0.137888262285041,0.199342139493159
"X_Avena_fatua",0.0409192699334327,0.0409432530859038,0.0781611624858085,0,0.0574478940461808,0.0504026423991152,0.0386456479036935,0.0345478766043022,0.109546984191516,0.0400585970088675,0.0527244406505165,0.0543996103037698,0.0213993957715896,0.0299813211251583,0.0396163931423282,0.0284606116696747,0.082660076420342,0.0350993727472061,0.0670735006601678,0.0537295160061691,0.0416770706453903,0.130494992535332,0.0239616105300701,0.0596970218838028,0.048849160704649,0.0709398676691432,0.0978448318768717,0.0442473279249898,0.0434286045724713,0.029320039898515,0.0488589858198376,0.0432350778233282,0.0566001407585174,0.116611907138575,0.0913343488522951,0.121639876431807,0.0962029514794331,0.0705493275699928,0.114880690954191,0.0622346666201113,0.0684183138821435,0.106801710972777,0.0866228164723084,0.10788547307411,0.12948218869304,0.0636179687778403,0.0222941843267509,0.12654919761549,0.0770399331671223,0.0429385419960915,0.0397698510714112,0.0214993269772347,0.0751694272377079,0.049312866485091,0.132208767284287
"X_Briza_maxima",0.0517151099229045,0.0493616159679018,0.0858471475496659,0.0574478940461808,0,0.0569413749118384,0.0479111337276835,0.0356087688063261,0.118500803365955,0.0561695421926253,0.0588266746980425,0.0639167378099218,0.0256459139339818,0.0363288306467038,0.0527917277079173,0.0334847383054307,0.100064048103179,0.0428336874991981,0.0734753665800814,0.0605523908085078,0.0427282529695265,0.130107194537236,0.0302924186892321,0.0676163182546592,0.0553598547788274,0.0781892485344996,0.100749202319425,0.0566930652311468,0.0535793414933619,0.0371346211123671,0.0571379977935947,0.0489754792107012,0.0581039057517912,0.128989601597006,0.113133679987056,0.133424773019902,0.109294038652121,0.0771608019110004,0.133379540009673,0.0747940230821357,0.0850555952607852,0.109415328921957,0.102396555121471,0.110535600825383,0.133683720012082,0.0776475950316889,0.0273940355622926,0.130861961608931,0.0888439079974796,0.0467923160306118,0.0459894640588472,0.0250968629414012,0.0902956668819731,0.0561165270562233,0.133943477287081
"X_Bromus_diandrus",0.0384782734332746,0.0493788971813944,0.100689645117553,0.0504026423991152,0.0569413749118384,0,0.0333533550969022,0.039882140599295,0.106963466259889,0.0462917808515229,0.0646614380244915,0.0574882493513557,0.0263081168220698,0.0328150504793678,0.0458308989977676,0.0267584135061762,0.0792041030841439,0.0481150023900805,0.0818536856694498,0.0439477881621879,0.0448500838868936,0.121325431861533,0.027584651343565,0.0613947057923284,0.0502770150541672,0.080281240290914,0.093108046230996,0.0499258686091336,0.0406447135766762,0.0364746594683026,0.044529494116968,0.0393298120383737,0.0671147567082572,0.107358134831579,0.097610263492809,0.110949830754146,0.0982119203488983,0.0730378722134117,0.10891402927738,0.0644354655886111,0.0682068915472422,0.104959863695512,0.0802984910315219,0.115039186520037,0.110671872803213,0.0864920405350276,0.0241103929486264,0.120604326631004,0.0720461630008195,0.0447474487228338,0.048469049593798,0.021271642543485,0.07052748685112,0.0585101752550875,0.123777210033721
"X_Carpobrotus_edulis",0.0331724559146487,0.0416859033564496,0.0945540289651722,0.0386456479036935,0.0479111337276835,0.0333533550969022,0,0.0304142523416028,0.0956708417877929,0.0566316701605753,0.0429560788447671,0.046551721084446,0.0154949851666844,0.0341559234217192,0.052157919897867,0.0219519084100071,0.122635730736837,0.0443692638712452,0.0688513740436797,0.042052132982228,0.0345764883329208,0.0860815696614386,0.0318454371179211,0.0383257453168485,0.0473999710111525,0.0582516039824507,0.0694249159361331,0.057248293463984,0.0408195699676372,0.0325908160404199,0.0503822659742014,0.0383526378343407,0.0513409658727505,0.129573550008167,0.14293461633755,0.13829522443601,0.127698224486506,0.0421347406900851,0.137008524394025,0.0524436352492994,0.113393363275104,0.0815597945525534,0.130070506349128,0.066210617552574,0.112388928155658,0.0942742414424303,0.018348484095423,0.0836340083219753,0.0839754745766677,0.0332733735678703,0.0399948963951956,0.0271612232102608,0.0933117445765088,0.0404431802411249,0.086930087619134
"X_Centaurium_sp_",0.0229334527849486,0.0573432053054652,0.116478225004517,0.0345478766043022,0.0356087688063261,0.039882140599295,0.0304142523416028,0,0.102652978195414,0.0632590817157754,0.0719541141012075,0.0561290659671133,0.0251372259634415,0.0346151667604425,0.0532807845743396,0.0199969509681539,0.0909452569817495,0.0780992416893282,0.0912867038476041,0.0373299771857195,0.0527685301679657,0.108797528658555,0.0323500942971552,0.0506982555405021,0.0399521851057143,0.0973006934883455,0.0908196087589841,0.0653042166094372,0.0329702668551817,0.0347508948484676,0.0505151268310599,0.0293712674122559,0.0842468917256554,0.093193533635731,0.109791696921557,0.0933720002713944,0.0937937429711989,0.0583514581592364,0.0926622109729601,0.0504308706428377,0.0748346799219485,0.0962472209065839,0.0827137192168574,0.123311212644189,0.085093937709708,0.120805782171308,0.0245707036898617,0.109769591779512,0.0756913142770046,0.0367051165726254,0.0522253189343524,0.0260036300323679,0.0683610052288676,0.0509721038721306,0.112646663868585
"X_Cirsium_vulgare",0.0966860966873404,0.117055850850804,0.239419806417079,0.109546984191516,0.118500803365955,0.106963466259889,0.0956708417877929,0.102652978195414,0,0.128928389466061,0.1567356769689,0.138026908637237,0.0579474757905234,0.0849265879291139,0.120690967121683,0.0658868490047815,0.228011455320996,0.120574665016097,0.197097041501826,0.10512992760138,0.115714667084587,0.196969197153517,0.0734515867126595,0.143439897755687,0.134098398992031,0.157982743930212,0.203358913751737,0.134103776934243,0.106626507202511,0.0907374420520056,0.122660010308914,0.105959740407923,0.161152401453596,0.254746653161718,0.273940920272418,0.249544985860556,0.251224373160764,0.171421630415098,0.250406358349353,0.157329649860437,0.191238770219972,0.20500913928114,0.211351972697231,0.216698287399977,0.188068072948249,0.224045756835153,0.0669127651137561,0.187858278412162,0.206322637748885,0.114712483338848,0.112428842705342,0.0601602893001827,0.183202338447635,0.133263601836884,0.171719104263254
"X_Conyza_albida",0.039366807647834,0.0786204976625051,0.144494009607433,0.0400585970088675,0.0561695421926253,0.0462917808515229,0.0566316701605753,0.0632590817157754,0.128928389466061,0,0.0789591832151593,0.0749747106754858,0.0293045973465846,0.0493089559377915,0.0753291583831026,0.0269832956648102,0.150058950971259,0.100731284288933,0.107342201299495,0.0592046906268903,0.0572177086286705,0.105705682945037,0.047629930372188,0.0535953304782053,0.0620435874229554,0.117629385603405,0.101783459720193,0.094470869049631,0.0579421351142099,0.0440591752083743,0.0812554396769241,0.0514002507584231,0.094995838082905,0.146925803272462,0.1732043690747,0.149050031781147,0.141320840339145,0.0674367077413923,0.144688634395801,0.0596473089067641,0.117935994624998,0.121228113208956,0.134510590853931,0.122668229060667,0.120809140037785,0.153885127607864,0.0307191270869673,0.113499486080378,0.110184692022876,0.0526245858123395,0.0612645204514275,0.0405807371825618,0.119343566670818,0.0738119010405308,0.11586206266991
