"","X_Anagallis_arvensis","X_Arctotheca_calendula","X_Avena_barbata","X_Avena_fatua","X_Briza_maxima","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Centaurium_sp_","X_Cirsium_vulgare","X_Conyza_albida","X_Conyza_bonariensis","X_Conyza_sumatrensis","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Erodium_sp_","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Galium_murale","X_Geranium_molle","X_Hypochaeris_glabra","X_Moraea_flaccida","X_Pelagonium_capitatum","X_Poa_annua","X_Rumex_crispus","X_Senecio_vulgare","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Trifolium_sp_","X_Ursinia_anthemoides","X_Vulpia_bromoides","Acacia_cyclops","Acacia_saligna","Banksia_littoralis","Baumea_articulata","Baumea_juncea","Baumea_vaginalis","Cassytha_sp","Centella_cordifolia","Daucus_glochidiatus","Eucalyptus_gomphocephala","Juncus_pallidus","Koala_feed_eucalyptus","Lepidosperma_gladiatum","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Myoporum_capraroides","Opercularia_hispida","Patersonia_occidentalis","Podotheca_sp_","Rhagodia_baccata","Scaevola_sp","Spyridium_globulosum","Trachymene_pilosa","Xanthorrhoea_preissii"
"X_Anagallis_arvensis",1,0.060892014187667,0.138283620274023,0.138307266180941,0.170873393109241,0.129430869587735,0.0224228080401402,0.0284122628640464,0.0401490976676612,0.117790924858154,0.0130899780318571,0.0191825140624943,0.0444605241882777,0.0408735830624133,0.0697786631623802,0.0670119511303127,0.0705197828095861,0.0483456377214647,0.105755606536898,0.124310424517565,0.0656080658046669,0.383402043358908,0.0289417899557225,0.133281722730636,0.0181713891683987,0.023359099920546,0.0288199425431322,0.100322785970284,0.106681878217079,0.0505246443964792,0.0881341357942439,0.098275416770755,0.0949848004137475,0.380253958690183,0.315503621811894,0.409690497301092,0.300227223766523,0.141301115976191,0.391549662430544,0.143185680880623,0.0640634444631926,0.0352333247057639,0.0696974748706611,0.293790271667436,0.415401607304587,0.135994193117703,0.0394063650987672,0.388816503379316,0.163577938984197,0.0456079465667054,0.0749686936281651,0.0180633325503225,0.262399839127663,0.106307093087946,0.394569522852172
"X_Arctotheca_calendula",0.060892014187667,1,0.5232922049083,0.123159653301875,0.122232192900311,0.166212223010637,0.124370358395614,0.0103290783830349,0.123966249835277,0.04637913264539,0.026717329696971,0.0342471987105556,0.0899193236409185,0.113513112032544,0.0389451954527503,0.0829407884685839,0.440589158915491,0.0147610934140874,0.374398365569093,0.107827817139079,0.192100898379021,0.421708079668034,0.133979809695657,0.192612767857136,0.10051089359685,0.0319875436478778,0.0693620576940325,0.0455746381095436,0.0803543808863152,0.049007949895004,0.05764279091735,0.0861414456368544,0.303579577403167,0.211939787898855,0.124313391985974,0.231031253101752,0.130488989710631,0.231204227086314,0.221719078022816,0.182071344602803,0.353350655748249,0.0849683301862718,0.385042144413112,0.497381517482785,0.320186203028458,0.0356261754252655,0.0808431537239769,0.449339188466249,0.115884350547039,0.0906734526920274,0.169044752911106,0.0961294810739554,0.128088193094839,0.163936219792926,0.453650644632206
"X_Avena_barbata",0.138283620274023,0.5232922049083,1,0.215486366571048,0.223662895622069,0.356753325141677,0.321446780659352,-0.00800153677121745,0.276442285856837,0.017695174063238,0.0426214971223644,0.133727557029223,0.196337019550462,0.237643630218773,0.0427255436096554,0.150722345010398,0.672067256082203,-0.0202473188421413,0.784651097648723,0.190552016943513,0.437042912236172,0.687339109751115,0.260707387457365,0.370417161782377,0.231482369059994,-0.0198209621241247,0.101613878805117,0.0428199345188525,0.124286800319929,0.119071354543102,0.0708861530317953,0.139672329028418,0.719591258429632,0.299176427587958,0.00679768297160172,0.326825600884355,0.137042856275295,0.544731199136815,0.319813993160885,0.341193242746026,0.596479886727751,0.211253851341909,0.676762012851864,0.793406688985963,0.508535303305452,-0.115070439873082,0.17735788597553,0.700349960211978,0.20747690513999,0.258710336296968,0.471032296367285,0.21230133961287,0.123816658649342,0.514577496209949,0.720820798088334
"X_Avena_fatua",0.138307266180941,0.123159653301875,0.215486366571048,1,0.227002485543078,0.189085633618572,0.0086009933991858,0.0288853711193783,-0.0190355969139652,0.121108942007866,0.0132874474488134,0.00515537690212733,0.0754311691232077,0.0577464591540231,0.118106251324316,0.106444903910334,0.0138377613619474,0.0492061459012154,0.214867174150284,0.20207725387158,0.14070650662886,0.542804756353612,0.0445247236935906,0.210891648945362,0.0112756478022416,0.0152336032071975,-0.0148281456030092,0.114426014207174,0.156179773221557,0.0678057673690233,0.162993912999299,0.149190102767517,0.185330997026827,0.472179646141336,0.348776994196087,0.511238923210978,0.359683758445617,0.261304763995846,0.475950744469067,0.239705229359277,0.00551072450860671,-0.010209879462205,-0.00424124569875272,0.421254439589877,0.565629804146078,0.110763070432922,0.0754013174425247,0.531643555869224,0.256917940170265,0.0891473386256631,0.126712366330826,0.0224957686949668,0.292737353120579,0.147729472025641,0.569131719057416
"X_Briza_maxima",0.170873393109241,0.122232192900311,0.223662895622069,0.227002485543078,1,0.20373001402389,0.00952253075958191,0.0506458730197574,-0.0206671493145765,0.19259921208575,0.0243526984031208,0.0162262158900309,0.0812841968857019,0.0643321155461046,0.162993818037918,0.114910518282752,0.00158771537851746,0.0834537634324164,0.202937395796162,0.211138058331322,0.124902276847414,0.515064431326956,0.054759006832356,0.243523368385874,0.0105883675944158,0.0470580254112087,-0.0123972957088442,0.180160289614243,0.199233329191102,0.0839363574502129,0.188161982349617,0.172906037018884,0.167123463004857,0.507860465605072,0.425872509369075,0.537149296810531,0.397535238863669,0.284683220749094,0.5350586561175,0.28219815838458,3.42951095863126e-05,-0.00763116548017587,-0.00945410441270759,0.405446941130374,0.559736520453539,0.195875576831314,0.0958608590370004,0.513341926490396,0.325697122558761,0.116666489268146,0.133788403844639,0.0230067872490452,0.354190039273755,0.182782902557318,0.549170555330481
"X_Bromus_diandrus",0.129430869587735,0.166212223010637,0.356753325141677,0.189085633618572,0.20373001402389,1,0.0402099883407571,0.0165802332815777,6.23091510471665e-05,0.0996422363875171,0.00855763252486305,0.00881444998839126,0.0892667673388463,0.0781373001416877,0.091937094285173,0.0989856647970457,0.108712312326684,0.0270625874178539,0.275681460899499,0.156228890071534,0.155648391926142,0.467382751483278,0.076445868365022,0.229616942118653,0.0260417398586012,0.0117320836541764,0.00202639880415441,0.0749202690924613,0.136946665319982,0.0701008825493111,0.112798361183679,0.120236053292374,0.244472207651026,0.341166774540122,0.235676407134568,0.367195658310843,0.249445818084771,0.28158467152041,0.349400807933497,0.232312890666332,0.0941193710944748,0.0066135556127025,0.0774923123963818,0.427291630714573,0.428946004877745,0.07297873947998,0.0812446392378098,0.474293118855682,0.20238468028499,0.118574396206419,0.17817256786935,0.0436987912006811,0.222161902928114,0.21544163305905,0.475406788613791
"X_Carpobrotus_edulis",0.0224228080401402,0.124370358395614,0.321446780659352,0.0086009933991858,0.00952253075958191,0.0402099883407571,1,0.026575278056403,0.320479036958504,0.0170890905022067,0.112733520978546,0.127873051656141,0.0326459762040727,0.102418132188674,0.0138619501846891,0.0134850337184887,0.443173426112206,0.0278614649632589,0.208204949536151,0.0135786843818724,0.0945978681489781,0.0531938080878172,0.101576049581654,0.03522381620788,0.14337509702038,0.112289443167052,0.232490349040861,0.0317339526838425,0.0130616265185319,0.0261604569330102,0.00995641431086506,0.00796977426047837,0.156499179406322,0.0310534148192265,0.0422544400902932,0.0347955301256954,0.0319244047186698,0.059825937125275,0.0311667553678869,0.0236859111938047,0.411833029919897,0.277443324393529,0.494751039578608,0.124869997863055,0.0311501793901351,0.0507322535148405,0.0272661717449823,0.0389682459770302,0.0139672245171152,0.0618288221342121,0.0973536201878751,0.0948477417353807,0.0250062052882519,0.0911679899357828,0.0437804511457874
"X_Centaurium_sp_",0.0284122628640464,0.0103290783830349,-0.00800153677121745,0.0288853711193783,0.0506458730197575,0.0165802332815777,0.026575278056403,1,0.345734943724347,0.225636768903371,0.243303078138038,0.155657241604089,0.00938042864030398,0.0567655708898554,0.163316975799863,0.0210885980064413,0.04243178364467,0.287409995418288,-0.000980996129687118,0.0692441112272204,0.00758915257681765,0.0357605032897976,0.00183578021462534,0.0256297513964115,0.0888757154975472,0.381898314813646,0.322594415172077,0.253602615234222,0.0749012039250062,0.08521012041429,0.180368554005856,0.0540665414463641,0.00125765594640795,0.240982374143011,0.415891502693146,0.222296904536388,0.325854208700253,0.00747955767521408,0.230322411097825,0.0502434569641445,0.0327593112371861,0.326584155940212,0.0597625849575327,-0.00289664138001066,0.0967631808463833,0.500750677874612,0.0215845212704331,0.0306658632327733,0.196672474881181,0.0655221609278159,0.00226713334743857,0.0133160635946703,0.219768257199001,0.0224935924232726,0.0297129720361712
"X_Cirsium_vulgare",0.0401490976676612,0.123966249835277,0.276442285856837,-0.0190355969139652,-0.0206671493145765,6.23091510471665e-05,0.320479036958504,0.345734943724347,1,0.201392621908866,0.596911519093479,0.522168890648933,0.0177001610287026,0.195151673889132,0.244531575975317,0.0108755405210632,0.712124330047217,0.39714215871512,0.209356422725856,0.0103044521133512,0.0768885157846652,-0.160879458377874,0.134561055270057,0.00325562026798593,0.495451448868536,0.618646365794163,0.796868058671174,0.313510498867014,0.0556998740332312,0.172943852526999,0.193639606084365,0.0372408371088487,0.104858649439737,0.0533772654109564,0.273706677274845,0.0234999478985396,0.205051352145588,-0.00322536769107992,0.0147927528475801,0.0238348547005442,0.581893942486885,0.783278561998141,0.705287022652735,-0.0596083359866847,-0.166291535167123,0.529863681120633,0.0601813832680168,-0.203073475886195,0.17554757856439,0.186185005585333,0.081889584477847,0.146514755648916,0.0871014017410965,0.117898737328997,-0.253879483148539
"X_Conyza_albida",0.117790924858154,0.04637913264539,0.017695174063238,0.121108942007866,0.19259921208575,0.0996422363875171,0.0170890905022067,0.225636768903371,0.201392621908866,1,0.223861754623844,0.166583246197008,0.0469034480407859,0.0638567802895042,0.268220298661541,0.0802688098162287,-0.0286330086973598,0.388357525850403,0.0326822536986902,0.203756783640851,0.0392056397114111,0.258849243828246,0.0107026640053486,0.136311819076902,0.0493951230259573,0.382303490044586,0.200710479420374,0.340639356192528,0.203912867900002,0.117642824745612,0.301824844613392,0.167750466148221,0.0507744608369531,0.587017931434907,0.713650762351202,0.586389276753988,0.577341271717386,0.101705076318966,0.557992507133439,0.178922532628453,-0.0327327665354551,0.21567094588841,-0.0312161515159702,0.134311923119989,0.431240019644146,0.595734078871474,0.0650866757459064,0.282025291764604,0.39815955204173,0.0962557259236013,0.0373092863817923,0.0153502742409773,0.462615045809088,0.0874627267007272,0.284387147543809
