"","X_Alternanthera_pungens","X_Arctotheca_calendula","X_Asparagus_asparagoides","X_Avena_barbata","X_Briza_maxima","X_Briza_minor","X_Bromus_diandrus","X_Carex_divisa","X_Carpobrotus_edulis","X_Cerastium_glomeratum","X_Cirsium_vulgare","X_Conyza_bonariensis","X_Crassula_sp_","X_Cynodon_dactylon","X_Cyperus_sp_","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Epilobium_ciliatum","X_Euphorbia_peplus","X_Ficus_carica","X_Galium_murale","X_Geranium_molle","X_Grape_Vine","X_Holcus_lanatus","X_Hypochaeris_glabra","X_Lolium_perenne","X_Lotus_suaveolens","X_Lysimachia_arvensis","X_Malva_arborea","X_Medicago_polymorpha","X_Medicago_sp_","X_Moraea_flaccida","X_Myrsiphyllum_asparagoides","X_Paspalum_dilatatum","X_Pelargonium_capitatum","X_Petrorhagia_dubia","X_Phalaris_sp_","X_Plantago_major","X_Poa_annua","X_Poaceae_sp_","X_Raphanus_sp_","X_Romulea_rosea","X_Rumex_crispus","X_Senecio_vulgare","X_Silybum_marianum","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Stellaria_media","X_Symphyotrichum_squamatum","X_Trifolium_sp_","X_Typha_orientalis","X_Vicia_sativa","X_Vulpia_myuros","Acacia_saligna","Banksia_attenuata","Banksia_littoralis","Baumea_juncea","Cassytha_racemosa","Centella_asiatica","Epilobium_billardierianum","Eucalyptus_gomphocephala","Gahnia_trifida","Hardenbergia_comptoniana","Juncus_pallidus","Lachnagrostis_filiformis","Lepidosperma_gladiatum","Lobelia_alata","Macrozamia_sp_","Melaleuca_preissiana","Melaleuca_rhaphiophylla","Myoporum_caprarioides","Opercularia_hispida","Rhagodia_baccata","Spyridium_globulosum","Xanthorrhoea_preissii"
"X_Alternanthera_pungens",1,0.0214715603644606,-0.023624383383847,0.00734538168638401,-0.00337258485573766,-0.223111778910647,0.0253427073984066,-0.469017944270979,-0.178203844813805,-0.0036658567299781,-0.224806088829895,-0.0263742333643446,-0.00661896628669883,-0.307296497336987,-0.376709323023344,-0.0105738212363375,0.0379827072890204,-0.575943533188253,0.031475066135485,-0.183561300692209,0.00694944183218988,0.0371668845579871,-0.0910245352791082,-0.402916131744276,-0.0437610498963001,-0.0285825084283248,-0.404200670991181,-0.181879948938682,0.00470713411941217,-0.0210400818728133,-0.00607653858161916,0.0249809477034085,-0.0678724195587344,-0.539411131137279,-0.0727281428833199,-0.0028073576878632,0.00714189253299982,-0.470328157995106,-0.0221003075761075,-0.0181239387310163,-0.00042777630379368,-0.174345655522701,-0.185389943849813,-0.0721825982318878,-0.226527117575144,-0.00285778248560431,0.0348032039594604,-0.042918712992487,0.00136304847464335,-0.244945816084103,0.0170586503146305,-0.591815890824947,-0.0648287436623163,-0.0314892483739382,-0.11616051275462,-0.15756249414636,-0.116117658527522,-0.133061778918316,-0.173225799648227,-0.439702872869911,-0.379643674040536,0.0265283033380522,0.0133630603074848,-0.104262644225224,0.00284460089927334,-0.495284491636427,-0.330090070376205,-0.589798492251749,-0.0631891397819582,-0.176692915839944,-0.0947388141957285,-0.0446411482128816,-0.407354933896534,0.0138229880339283,0.0158343742843463,-0.1586844438448
"X_Arctotheca_calendula",0.0214715603644606,1,-0.0687971275388234,0.0509546955561988,-0.0139271191394134,-0.435608551030326,0.0959484150024771,-0.801260239869047,-0.428185865402772,0.0104654898699996,-0.452631304937777,-0.156673684377725,-0.00782465980453356,-0.601739584470044,-0.783820336318175,-0.0703634041108269,0.150354605476102,-0.862374835967409,0.148671299290236,-0.41738839959319,0.0337748606421749,0.133062466382386,-0.246489558789525,-0.734802914464799,-0.10667272062149,-0.0810749304079603,-0.810957258952331,-0.349427660618982,0.0119618315021414,-0.0571406439656025,-0.0192764056828023,0.0792327297393088,-0.145199125389363,-0.803502503863296,-0.180845791264956,0.00890875378482261,0.0306678581869895,-0.81800106151384,-0.057935280991368,-0.0455131631685081,0.0202036766659118,-0.379236729505158,-0.391955799308614,-0.239611520189482,-0.573283729384857,-0.0666562657812346,0.13862373197731,-0.103251587488006,0.0162030115021434,-0.523754516147608,0.000912994142507056,-0.889552847254448,-0.190589385667852,-0.145129293623743,-0.297724340202168,-0.361667165942759,-0.255509195674494,-0.31235814504126,-0.332822956477824,-0.727533223448444,-0.74232652744552,0.0658760656279354,0.0846446294458875,-0.271295049635538,-0.0542192173299454,-0.76948613279265,-0.568424190158371,-0.841318824319326,-0.235078497029081,-0.350418895073672,-0.218398340722963,-0.117188773596053,-0.667913224544698,0.0572870525172887,0.0598473701419926,-0.310419656654308
"X_Asparagus_asparagoides",-0.023624383383847,-0.0687971275388234,1,-0.0657363156929567,-0.0179142596661922,-0.170317728334864,-0.062661368031577,-0.301629520386357,-0.174871238754787,-0.0606996713448934,-0.180273609425273,-0.157851491539037,-0.0591918452959776,-0.240176335336045,-0.248843785183725,-0.0708934748687243,-0.0801747901821687,-0.354812800061262,-0.0817268114758373,-0.224986174970778,-0.0402329754609165,-0.0800264116867788,-0.083623863646175,-0.238314568087282,-0.0570611869757031,-0.0487719726005127,-0.257920451910781,-0.110760696218464,-0.0563766343871378,-0.0547649942060965,-0.0296259877968949,-0.0885998811326503,-0.0489111130524434,-0.315279594027652,-0.0632035035808202,-0.102678193675025,-0.0461796194928845,-0.297688971684468,-0.0375869054355885,-0.0346041341529956,-0.102221190485588,-0.150895605032789,-0.148785135102755,-0.10522725087706,-0.180013975859266,-0.0769666337740017,-0.0824531152896098,-0.0469929300027939,-0.051632808782132,-0.174272323822407,-0.0867999109334948,-0.334587540964203,-0.0859076995460859,-0.122132407712048,-0.177498703360508,-0.12216499408833,-0.106108162684094,-0.165478533219813,-0.14954449231369,-0.288768826353277,-0.243450308548437,-0.0740161510194561,-0.063875563533422,-0.142000281954341,-0.0831461197858112,-0.315632376595822,-0.235772715451233,-0.298847599189531,-0.127557582876001,-0.0949312379823963,-0.11089185839894,-0.0630571243495371,-0.221921567554604,-0.0420615216970754,-0.0653749732464983,-0.106678651080865
"X_Avena_barbata",0.00734538168638401,0.0509546955561988,-0.0657363156929567,1,-0.0192979203577124,-0.3570081328703,0.0382198536738687,-0.79601328924822,-0.410006327204903,0.00316205586536231,-0.45033653284994,-0.245854300406857,-0.00499005462499428,-0.480933911309455,-0.601509673927084,-0.0993293856393982,0.0609343351572408,-0.682055325425228,0.0654246009056442,-0.289873111753996,0.0112928515036903,0.0489747019801402,-0.222152376404544,-0.59336419938504,-0.0952783303820797,-0.0812884747733611,-0.60470686728479,-0.272128117960743,-0.0105460842792154,-0.0405758632719381,-0.011602544056651,-0.00590867096255656,-0.107527340120369,-0.628246900212853,-0.115525746250644,0.00272050873564598,0.0101538361155661,-0.662955067508855,-0.0377923461459366,-0.0429688435661413,0.00530518147120882,-0.280048640995377,-0.385608495259331,-0.201083048714899,-0.399989838205255,-0.120625633121567,0.062350052552358,-0.0911287458417335,0.00279305029097471,-0.355568113361306,-0.0698269183283106,-0.747212775815179,-0.143408193992067,-0.171834167910878,-0.275112499644889,-0.200159122013201,-0.176647915726228,-0.312914973009348,-0.265587157160285,-0.757374298191593,-0.64242100665208,0.0199517624510367,0.0353887991949538,-0.200351023030836,-0.0851641628970024,-0.635840227680036,-0.466481711321504,-0.721119220255851,-0.201758866677482,-0.237208474810798,-0.279483155129756,-0.0822906770789136,-0.514264144087611,0.0191861213279487,0.0168656770746055,-0.266940667550444
"X_Briza_maxima",-0.00337258485573766,-0.0139271191394134,-0.0179142596661922,-0.0192979203577124,1,-0.14436702336083,-0.00646549434920916,-0.170802697023403,-0.0708998205413852,-0.0288577153424336,-0.0849867369303555,-0.0419940672250462,-0.0335829443170435,-0.11701292638322,-0.174132744577051,-0.015652540722926,-0.00959737719990522,-0.285669396046017,-0.013804933726364,-0.182214471513045,-0.00457225529508043,-0.00825007968420083,-0.0361016753952274,-0.186264094711621,-0.0144840225783825,-0.0317936897085296,-0.183734085737251,-0.0982686983323235,-0.00560280722622345,-0.0306986489541211,-0.0139589566315013,-0.00990526554317758,-0.0324876775476362,-0.255705063757251,-0.047070245833872,-0.0354542068093801,-0.00417494044203009,-0.21432365278073,-0.0134159123339064,-0.0170548368237551,-0.0367524721696303,-0.0962506131106629,-0.0753024414314173,-0.0259180707269126,-0.0978115849221448,-0.0187244051984648,-0.0088554221891022,-0.0208428308697511,-0.0140574548129265,-0.16231057470308,-0.0210889174788516,-0.232300824227925,-0.0495977428563026,-0.0329380649017853,-0.0596786548637181,-0.0859358795542932,-0.0491696137927889,-0.053079132519629,-0.0638350271014778,-0.151986197323261,-0.180356659779596,-0.0119797475523389,-0.0219359339668118,-0.0495792906907106,-0.0167959893491191,-0.250537756724201,-0.127502317625578,-0.242960772962307,-0.0310026757383796,-0.0777763882299229,-0.036307186745109,-0.0271458455593319,-0.224575040032736,-0.00610019731035515,-0.0227226288150467,-0.0760705610905631
"X_Briza_minor",-0.223111778910647,-0.435608551030326,-0.170317728334864,-0.3570081328703,-0.14436702336083,1,-0.460616705750754,-0.0584094763000841,-0.442183743407502,-0.191103223024949,-0.31685399598593,-0.866612614560843,-0.188925069319635,-0.383198936783576,-0.0518934623555063,-0.591019437814867,-0.615701843608458,-0.0781035432710503,-0.507804598390791,-0.403110767792778,-0.341647959086779,-0.647996725703638,-0.128816968630827,-0.173852393607685,-0.254972668507699,-0.0822716621655295,-0.189851487519323,0.016195397907282,-0.478834087703862,-0.0677616668386906,-0.166528711265451,-0.413800280024663,-0.038176191939526,-0.122761540651229,-0.24134731015918,-0.172125257026917,-0.383785802881602,-0.109128922011776,-0.0791342202675608,-0.0767143440185965,-0.272486807939743,0.00178239820013074,-0.179347388755053,-0.548107293216599,-0.148724371064218,-0.61072924985507,-0.578929865074929,-0.26043081088839,-0.198742642359192,-0.100136035023507,-0.73162196342357,-0.0862733344461507,-0.0895432619662972,-0.816046729059611,-0.718156447418324,-0.229995828485085,-0.394603064417116,-0.620125250998367,-0.612477263226058,-0.127745963915591,-0.0153160675382322,-0.625378904968126,-0.314823533244486,-0.714901949997102,-0.773301031036499,-0.264081677912778,-0.319632623055069,0.0889105419431582,-0.693600551286636,-0.0618076347925937,-0.168058565648686,-0.443387489534102,0.0158541609595833,-0.458840737223541,-0.437270965051082,0.00655817051898186
"X_Bromus_diandrus",0.0253427073984066,0.0959484150024771,-0.062661368031577,0.0382198536738687,-0.00646549434920916,-0.460616705750754,1,-0.553836166093524,-0.243584767570775,-0.0634573026713386,-0.303045818833873,0.104934216355296,-0.0801827535100978,-0.414260389736039,-0.633315004152265,0.0149094281683616,0.409817739096045,-0.776292900582483,0.296227090865254,-0.449772864502454,0.0437762811256553,0.41606570619548,-0.156334083469433,-0.661187503342876,-0.0467379180410583,-0.117917910434464,-0.672034156044371,-0.323806933404009,0.0210229364480107,-0.113540409191929,-0.0375416330214713,0.206335094863893,-0.142776432004934,-0.716133274114009,-0.168456890466926,-0.0641243033078863,0.0542505870071292,-0.700517723206707,-0.070853219135762,-0.0658240431217763,-0.0609616451093198,-0.365797253182655,-0.261376629045593,-0.0910181963566649,-0.464175871112947,0.0599213326399997,0.344557948237294,-0.0880817176188097,-0.00418947595598189,-0.578453733841963,0.219593075349135,-0.762920751866522,-0.226508809072891,0.045022326487267,-0.0890511694143499,-0.354861151823116,-0.175946988318024,-0.125109412186864,-0.184916041601189,-0.52200779164665,-0.637502417827801,0.292257421958288,0.0907875083223641,-0.0868944835599769,0.0534484912503744,-0.702317197135745,-0.456835595319726,-0.731431369915286,-0.0894740272482582,-0.341779362589797,-0.1241685481958,-0.0654637763798836,-0.644890847872507,0.108820678025551,0.135121859277795,-0.270057366805924
"X_Carex_divisa",-0.469017944270979,-0.801260239869047,-0.301629520386357,-0.79601328924822,-0.170802697023403,-0.0584094763000841,-0.553836166093524,1,-0.0507746982259238,-0.655722430628442,-0.0196702442831602,-0.508235780524664,-0.550385475966108,0.0289847471614601,0.0327360625622201,-0.354054315388594,-0.771380354629606,-0.0728702020647692,-0.773815902749897,-0.749235512383493,-0.532526392766732,-0.759272662117657,-0.0741167053516683,-0.102293049817747,-0.136805178466799,-0.24500624818851,-0.0927127822274378,0.0127532759988022,-0.649823962875866,-0.182468003878109,-0.320445430609167,-0.571976036252519,-0.0587658982057071,0.0163707064742404,-0.339428756314505,-0.661239605684097,-0.549692259632713,-0.0465904414405657,-0.104910054336334,-0.0961390782691556,-0.786738620519175,-0.047244665103701,-0.038563724193496,-0.209826223261977,-0.0323849934215076,-0.408979492969515,-0.766642803017563,-0.286436427698822,-0.501706481905039,-0.248165472680989,-0.563865910666454,0.106343012635183,-0.246902102757186,-0.489131092919535,-0.26999327406608,-0.258232551306796,-0.328128022204295,-0.194031114799827,-0.199034228775968,0.145415189852801,0.0479019449432227,-0.673793278156862,-0.602787521998176,-0.555523819324714,-0.576685922800688,-0.320176542026668,-0.0539672977021131,0.275296566246336,-0.392261270209419,-0.0205728666881191,-0.0512223034115051,-0.339906469756245,-0.0484615515662166,-0.663590348551833,-0.701022284466453,0.0214092517725086
"X_Carpobrotus_edulis",-0.178203844813805,-0.428185865402772,-0.174871238754787,-0.410006327204903,-0.0708998205413852,-0.442183743407502,-0.243584767570775,-0.0507746982259238,1,-0.349598515146372,-0.0254115053336473,-0.0586896246104792,-0.426002704853066,-7.16524964967835e-05,-0.0942444310439648,-0.0541011348512103,-0.338866475803566,-0.349055023861669,-0.406212681022668,-0.710960121113778,-0.184002466842377,-0.295340153440427,-0.0853936439569861,-0.193392955020047,-0.0270781697130448,-0.171661799134146,-0.210154998451356,-0.140115869894998,-0.243306232943744,-0.226669873866314,-0.160411926790397,-0.317127216393166,-0.103892423499963,-0.222023018247147,-0.217869525178097,-0.503699914315297,-0.188330391436807,-0.204404029551084,-0.0933401622461636,-0.134646802804206,-0.558143520287772,-0.313832145521554,-0.135229183472567,-0.0290890056336524,-0.0801985542021311,-0.0904374854262175,-0.352689324875317,-0.147484075828417,-0.265199742958511,-0.245047098547615,-0.132307270450077,-0.174982604193123,-0.192565413288053,-0.0636627161931812,-0.0190802944908599,-0.171010264938015,-0.14739020408247,-0.00778460565975721,-0.0679014153381081,-0.0300692057551475,-0.135613560441058,-0.311409319427208,-0.370462183801529,-0.237680846230049,-0.111337646013039,-0.495484392855091,-0.0684621455355321,-0.198162086934188,-0.0606578791715011,-0.0678028421694174,-0.0239474622141829,-0.130722556661245,-0.259609534924706,-0.258357561131844,-0.454870939095052,-0.099005314701584
"X_Cerastium_glomeratum",-0.0036658567299781,0.0104654898699996,-0.0606996713448934,0.00316205586536231,-0.0288577153424336,-0.191103223024949,-0.0634573026713386,-0.655722430628442,-0.349598515146372,1,-0.382504095336275,-0.436362940641769,-0.00275735270336932,-0.429381703196257,-0.442070004080573,-0.165902118401447,-0.0593029248384479,-0.547585439376707,-0.0331035449905344,-0.211060517178807,-0.0239088578789077,-0.0970797206179712,-0.171417631183055,-0.381821050646464,-0.104172966013392,-0.0437734689636012,-0.404879294280643,-0.169045556081308,-0.0620476183184012,-0.027862052488236,-0.0178824068366441,-0.10926283975406,-0.0669830538188657,-0.479882062756161,-0.0926001020019168,0.000856997496322939,-0.0308015824849077,-0.413188479437694,-0.0348359245570988,-0.0388417350510571,0.0020514864141333,-0.137536390862087,-0.328247858981009,-0.195487701741162,-0.252267507052626,-0.180665310014922,-0.0478166608709367,-0.0826253084221936,-0.00740803628708342,-0.233846426249352,-0.22829994256698,-0.579707552806128,-0.080942586276757,-0.304678442591275,-0.443077083329091,-0.181493299785526,-0.198096052788191,-0.436074698269265,-0.313914394285959,-0.663318584463816,-0.473838288644281,-0.0828371967136158,0.001274749640365,-0.289009145601496,-0.217524773675964,-0.530224165418584,-0.411502891670819,-0.54121866919027,-0.243982567030428,-0.158705386894259,-0.281207910676777,-0.118809495869849,-0.354314160544207,-0.038554862311016,-0.0335930778923456,-0.165858810672266
