"","X_Alternanthera_pungens","X_Arctotheca_calendula","X_Asparagus_asparagoides","X_Avena_barbata","X_Briza_maxima","X_Briza_minor","X_Bromus_diandrus","X_Carex_divisa","X_Carpobrotus_edulis","X_Cerastium_glomeratum","X_Cirsium_vulgare","X_Conyza_bonariensis","X_Crassula_sp_","X_Cynodon_dactylon","X_Cyperus_sp_","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Epilobium_ciliatum","X_Euphorbia_peplus","X_Ficus_carica","X_Galium_murale","X_Geranium_molle","X_Grape_Vine","X_Holcus_lanatus","X_Hypochaeris_glabra","X_Lolium_perenne","X_Lotus_suaveolens","X_Lysimachia_arvensis","X_Malva_arborea","X_Medicago_polymorpha","X_Medicago_sp_","X_Moraea_flaccida","X_Myrsiphyllum_asparagoides","X_Paspalum_dilatatum","X_Pelargonium_capitatum","X_Petrorhagia_dubia","X_Phalaris_sp_","X_Plantago_major","X_Poa_annua","X_Poaceae_sp_","X_Raphanus_sp_","X_Romulea_rosea","X_Rumex_crispus","X_Senecio_vulgare","X_Silybum_marianum","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Stellaria_media","X_Symphyotrichum_squamatum","X_Trifolium_sp_","X_Typha_orientalis","X_Vicia_sativa","X_Vulpia_myuros","Acacia_saligna","Banksia_attenuata","Banksia_littoralis","Baumea_juncea","Cassytha_racemosa","Centella_asiatica","Epilobium_billardierianum","Eucalyptus_gomphocephala","Gahnia_trifida","Hardenbergia_comptoniana","Juncus_pallidus","Lachnagrostis_filiformis","Lepidosperma_gladiatum","Lobelia_alata","Macrozamia_sp_","Melaleuca_preissiana","Melaleuca_rhaphiophylla","Myoporum_caprarioides","Opercularia_hispida","Rhagodia_baccata","Spyridium_globulosum","Xanthorrhoea_preissii"
"X_Alternanthera_pungens",1,0.00546394775683476,-0.0199476790562218,0.00883122308356025,-0.00396428337493594,-0.0220072197932469,0.0113173792558385,-0.0122941637770142,0.00167056888927229,0.00122408474097941,0.0175896341863239,0.0375042228298433,-0.0127928261582854,-0.00861853397107105,0.00414642291230265,0.018727779542624,0.0477524840024537,-0.0280916618863274,0.0375769702278207,-0.0134176098304192,0.0073559929582675,0.0435965794381846,-0.0190527232992088,0.0081893619650893,0.0103966691313475,0.0115392625911671,0.00750785946696741,-0.0114143613443575,0.0075756083340023,-0.0114732073631718,-0.0203913051614255,0.0138673056410431,0.00151042827555145,-0.0265762327846888,-0.00821509440735594,0.00059152356591225,0.0218732339961347,0.0114814359922044,0.00692830936203386,1.44437137110013e-05,-0.00315092459652495,0.00654344070307895,-0.00259994427388802,0.0172143291584835,-0.00193103874596499,0.01182202776538,0.0129887112473257,-0.0302259993470812,-0.00795809977660256,-0.00620525911450131,0.0430464506720364,0.00600281498602356,0.0223830561822759,0.0197524532419829,0.0809971501866052,0.0141744811664082,-0.0339612961047288,0.0283664442760742,0.0609262139090645,-0.00811602303055819,0.00456808504886511,0.0687935274806081,0.020788494707832,0.0457025583016048,0.00387832032529002,0.00477103712874523,0.0137756160575123,-0.0170688988172826,0.087891005413604,0.0165367987872681,-0.0169097924194931,0.0410493416866711,-0.0086704364769175,0.0181670157571497,0.00860255384305679,-0.0140612960658227
"X_Arctotheca_calendula",0.00546394775683476,1,0.0142697142328746,0.0105974438884505,0.00105426098375839,-0.0133852124164072,0.0347016271703037,-0.0234621109993632,0.000551830735531195,0.00622530856644995,-0.0109027695541285,0.0279304870558525,0.00578376013595127,-0.00188903573285539,-0.00731193780928406,0.00332033885928266,0.0525355426980729,-0.037838679013598,0.0515034021310404,-0.00985967017805074,0.0029533867310846,0.0630224566654074,-0.00439070012337787,-0.00621136202686088,0.00446385696552327,0.00480219037688616,-0.010248772409692,-0.00570160759162136,0.0277717715927111,0.00319541515180612,0.00452156616005657,0.0409998851836789,-0.0057770210909802,-0.0333752223437507,-0.0074564960484523,0.00334941653221404,0.0153803065894339,-0.0108185446299579,-0.00186407350940638,0.00149103208426278,0.00996596124086938,-0.0039525876946814,-0.0109979793108095,0.00791097516040874,-0.00285036623102246,0.0200413040512314,0.0418227473957686,0.0143002785845977,0.0102784533119931,-0.00319706021698083,0.0427110124900754,-0.00758253151387249,-0.00641917249733073,0.0204733458141181,-0.00504421492700417,-0.00372800511881134,-0.000922515128593071,0.00837247822621046,-0.00958328073796115,-0.0242744017108195,-0.0190810342866359,0.0451999455498001,0.0154563720759429,-0.0008018250665228,0.0134242658978119,-0.0383177063046031,-0.017619906805488,-0.0518964153352313,0.0159545736931497,-0.0113365007057031,-0.000270088992993143,0.000562114725043662,-0.0230511246156735,0.0181873121170781,0.0259288264564093,-0.0230110712705997
"X_Asparagus_asparagoides",-0.0199476790562218,0.0142697142328746,1,0.00839427258729366,0.00978846048841271,-0.00414516463841618,0.054114796203878,-0.032034750625239,-0.00981615185575778,0.0160629209453128,-0.0533342399069325,0.0320680481733355,0.0524207046375338,-0.000518201020641589,-0.0206849698585673,-0.011238042971213,0.0586498203630835,-0.0650065456515098,0.0740754940361081,-0.0193451940417385,-0.00158946432038139,0.106195915373083,0.0173099202551358,-0.0283207032800799,0.00642405733043345,-0.00148862895847775,-0.0443853879270962,0.00640051269880024,0.0566376828800101,0.0368097668358872,0.0478360797420143,0.0628335049170893,-0.0113259265381125,-0.0517057697854596,-0.0156627260115214,0.00996277110597813,0.0198324255036569,-0.037967765108536,-0.0035126231469182,0.00332233350364958,0.0221935694832937,-0.0171537456280635,-0.0224549598419335,-0.000817100037305549,-0.00656044921726638,0.0389132095264658,0.0845816397354648,0.083862434931031,0.0248611653272883,-0.00125014248349348,0.0569323941403267,-0.0320692995066986,-0.0424556867085508,0.0280467601854027,-0.105467988772181,-0.0395212063405921,0.0250085599493075,-0.0155666512255118,-0.0831537725562158,-0.0361907395114746,-0.0435876067279069,0.0290357783513615,0.00433361566631441,-0.0545332083498926,0.023293105252254,-0.0895972101946279,-0.0654520610318443,-0.105437094859783,-0.0493702375116369,-0.0494727972194016,0.0228901838237317,-0.0396298121811484,-0.0457292307129739,0.0253348848828235,0.0569673446479442,-0.0649427003138951
"X_Avena_barbata",0.00883122308356025,0.0105974438884505,0.00839427258729366,1,-0.0015529077637648,-0.0189469131161419,0.0429031003906393,-0.034172727234251,-0.00394719898916135,0.0043830757161414,-0.00802400919640098,0.0460717729526929,-0.00238076618196932,-0.00382876192810321,-0.00920737519339073,0.00847859419760152,0.0691193209289585,-0.0444865550652447,0.061060402098491,-0.00701858698163335,0.00504037346527019,0.0750680591091171,-0.00677635552087382,-0.0027653455187696,0.00471932436509326,0.00239504827864514,-0.00707859160921642,-0.0134848016037156,0.0283628698823633,-0.00270429053340912,-0.00292717383227752,0.0400145231518274,-0.00584292402349358,-0.0408526088555941,0.000509226659819103,0.00288095219140522,0.0187814049254067,-0.010709242355344,-0.00248212310093939,0.00339661947619538,0.00427770868678163,-0.00286260244692244,-0.0137210905186752,0.0129921155648429,-0.00319626659378119,0.0238900358809432,0.0501935097888113,0.0127118748409843,0.00472930595190929,-0.00282391535088795,0.0534365885988253,-0.00635107405161832,0.00136684293371633,0.0295223572178945,0.0174151837553107,-0.000228078657559771,-0.0131885222636022,0.0120927819466546,0.0049840955642185,-0.0336170255160298,-0.0195196437350007,0.0585336157936756,0.0177971996148916,0.0117520754911501,0.0123090490568631,-0.0424992186187501,-0.0167591738780599,-0.0561751143787249,0.0416391587924484,-0.00627579663632551,-0.00400261296929244,0.010351496927344,-0.0271648036328884,0.0250134383712799,0.0265532948918473,-0.0229539255933467
"X_Briza_maxima",-0.00396428337493594,0.00105426098375839,0.00978846048841271,-0.0015529077637648,1,0.00371221696809105,-7.78667697181666e-05,0.000575309021941744,-0.000789675877480312,0.00270001738361848,-0.00473648488450539,-0.00514313252309757,0.0101548219673579,0.000311328699637183,-0.00178686156604801,-0.00287298898678738,-0.00583024803827073,3.73073183751226e-05,-0.00165510138419856,-0.00179152412514785,-0.00106875387553122,0.00154073049413744,0.00389448203947193,-0.00417423904307832,0.000645330713166276,0.00320686159064234,-0.0059651003203411,0.00557654913427043,0.00455882028611616,0.00665682478015256,0.00859288581903156,0.00477010632086939,-0.000277624415087109,-0.000714395053233123,-0.00527633011694825,0.00104007410099658,0.000345984775731869,-0.00396766788098185,0.00106297753515535,-0.00146764618484048,0.00375554688728397,-0.00195706896164864,-0.00192556243312625,-0.0059094937671175,-0.000329697136969564,-0.0013140319279311,0.00453213699548312,0.00602887652720893,0.00368772350943392,-0.000936322263093477,-0.00308471538257389,-0.00409067168472921,-0.00664637452192957,-0.00294206857975489,-0.0173469769605714,-0.00686081900446928,0.00685265156363273,-0.00435555174842433,-0.013362743796404,0.000578210145787888,-0.00350537834612928,-0.00588704980904421,-0.0028126577585216,-0.011164851142387,0.00241846504159254,-0.00568306686910093,-0.00729903921420674,-0.006490996406335,-0.0094321496253306,-0.00560746229422257,0.00535320390656018,-0.00737600561816057,0.00104748741301124,-0.00029284317158567,0.00580678366187343,-0.00413605196213037
"X_Briza_minor",-0.0220072197932469,-0.0133852124164072,-0.00414516463841618,-0.0189469131161419,0.00371221696809105,1,-0.0549949861417248,0.0426064950563029,0.00214859248938837,-0.00688142493248885,-0.00536104979886464,-0.0980643557290491,0.00212612843850483,0.00665576330974474,-4.28568515474383e-05,-0.0237609058432547,-0.123795742857147,0.0715919490313701,-0.0902753829802043,0.0243599138371776,-0.0165970345776026,-0.10958199315794,0.0022596564918008,-0.00599866826781253,-0.012574788202286,-0.0127087681201613,-0.00225012400893029,0.0227422086276284,-0.066162268490582,0.0199677894000297,0.0169962849499029,-0.0365855620396732,0.0167700351198631,0.0698110973933521,-0.00871034985147669,0.00356295900051992,-0.0295247858968444,-0.021435985846727,0.00200764846751397,0.00222124084625275,-0.00653412099304731,-0.000487847914598355,0.0232295937790507,-0.04365798265366,0.00627156734474879,-0.0602712904026716,-0.0607535118798372,-0.00619950118915739,-0.00209061868497399,0.000925801194073837,-0.115912762879799,-0.00118278000609647,-0.00720225445215864,-0.0779521821252245,-0.100621069018141,-0.000647749058480882,0.0466496979500091,-0.0569013459727227,-0.0560232348239655,0.0295710890105738,0.0024499750880997,-0.135559466969684,-0.0312077285539524,-0.0873443485302766,-0.0196334723428019,0.0274334971957564,0.0164717882082997,0.0826551315944017,-0.137948119784345,-0.0028318248906827,0.0147909281247028,-0.0790112143641073,0.0428545363872315,-0.0427969568983707,-0.0361349557532499,0.0444526473436245
"X_Bromus_diandrus",0.0113173792558385,0.0347016271703037,0.054114796203878,0.0429031003906393,-7.78667697181667e-05,-0.0549949861417248,1,-0.114950257865596,-0.0179978313105332,0.0162302785527866,-0.0477780580020953,0.143907549294713,0.0176268382620833,-0.0107089050528309,-0.0372394672169669,0.0183507425522949,0.217989181964794,-0.147303171944675,0.204283392562772,-0.0265786409286479,0.0144189547371046,0.249712376677244,-0.0122413784866552,-0.0213099678645038,0.0117101730910682,0.0075417289592807,-0.0357916997794175,-0.0341625281667622,0.106589576523365,0.00413438512269864,0.0112668545014354,0.132349571067139,-0.0213212214479365,-0.135669756545197,-0.00671628440009794,0.014553355545843,0.0600411765510592,-0.0445745921908596,-0.00875140850784521,0.00701294041272079,0.0226636555865754,-0.0154229176377553,-0.0332877801334037,0.0398226404277213,-0.0113621982712369,0.074656785454778,0.169268279299925,0.0732311406532214,0.0230883872037588,-0.00691274092073902,0.164568955818426,-0.0272661709916105,-0.0131767068314148,0.0902303534911784,-0.00269037898942982,-0.0166689373889219,-0.0281096590397529,0.0259153559712124,-0.0271727080294515,-0.115284589135641,-0.0752198084835295,0.168879131592487,0.049842319820083,0.00519494618102121,0.045634079061897,-0.162405935067207,-0.0747498769464235,-0.195064363118541,0.0881301934848204,-0.0386627575365983,-0.0020292494904358,0.0153347326951733,-0.0970366723872918,0.0786285258448443,0.0917525373336268,-0.0891997394004757
"X_Carex_divisa",-0.0122941637770142,-0.0234621109993632,-0.032034750625239,-0.034172727234251,0.000575309021941744,0.0426064950563029,-0.114950257865596,1,0.0185303594238383,-0.0109234572765861,0.0309311468495488,-0.119089784947798,-0.00877950452505464,0.0109436449974593,0.030238084500333,-0.0189359941390622,-0.173132289031347,0.110677753408935,-0.160576198396499,0.0185599589263918,-0.0124043338904409,-0.191261156183913,0.0145837109290046,0.0143103596270623,-0.00849872040962566,-0.00846106201034742,0.0226816557210177,0.0320425844531351,-0.0812541673410943,0.00179367616913661,0.00108274377319999,-0.0993136007851693,0.0120371740435296,0.103461783035003,0.00455312608610668,-0.0119730394465396,-0.0482915596147725,0.0351389272117712,0.00621835561876786,-0.00301904215757147,-0.0124463624034443,0.00995017182383515,0.0140663189885359,-0.0322340724333161,0.00976145258254729,-0.0502439438376119,-0.127662237500472,-0.045492032932124,-0.0127131039868284,0.00744386966103293,-0.124595694984525,0.0161556430034754,0.00103415987702428,-0.0681897551577064,-0.0179137975694209,0.00642517857040407,0.0378408315836704,-0.0210808917828239,0.00465018166577474,0.0925706319246935,0.0571130663711623,-0.131393440352125,-0.0397208588253969,-0.00707220201215717,-0.0346359349513415,0.128075278021604,0.0507658911938683,0.141825410263518,-0.0900216866028632,0.0216071580416391,0.00615568613546501,-0.0190427729396971,0.0737281467509888,-0.0636619268169755,-0.0654931423046314,0.0622229795799182
"X_Carpobrotus_edulis",0.00167056888927229,0.000551830735531195,-0.00981615185575778,-0.00394719898916136,-0.000789675877480312,0.00214859248938837,-0.0179978313105332,0.0185303594238383,1,-0.00140517516436875,0.0140939604534823,-0.0269984564050838,-0.0114777213087643,0.00573429068562051,0.0118171025065072,-0.00223397822638971,-0.0235715831817138,0.0131036420895595,-0.0207198694175822,0.00557474566738815,-0.00135150185354376,-0.0314129687563262,0.000988935123038364,0.00563651315538135,-0.00203018789774768,-0.00362610357087813,0.00822748672154225,0.00562456525704168,-0.00676095748205121,-0.00594057015362611,-0.00572995475023521,-0.0122100254503949,0.00194867871268864,0.0130326561647724,0.00426390980882028,-0.00990715226421307,-0.0147929893334684,0.0099192904066212,-0.00103944474290168,0.00145509696651788,0.00177029669294332,-0.000121801277185624,-0.00688719378926373,-0.00740917386983665,0.00356306807925673,-0.00448720017208201,-0.022577097382438,-0.0176456760197511,-0.000729019349815194,0.000719929485121545,-0.0188340823872554,0.0052639586478922,-0.00267130338653404,-0.0086128025121785,0.00752906032116187,0.00543572919806292,0.00942431469406119,0.00531666345569482,0.00284688264742769,0.0217377156815555,0.015065303324778,-0.00752338043324931,-0.00503615814182939,0.0158385195066666,-0.0028865520862008,0.0266077474160799,0.013977879164964,0.0221070556451083,-0.0143151635647072,0.00593076158619115,-0.00494109101242889,-0.00327723463388306,0.0138301761675012,-0.00740944382579431,-0.0122541075767311,0.00825555545427173
"X_Cerastium_glomeratum",0.00122408474097941,0.00622530856644995,0.0160629209453128,0.0043830757161414,0.00270001738361848,-0.00688142493248885,0.0162302785527866,-0.0109234572765861,-0.00140517516436875,1,-0.00700969289724051,0.0148602169954471,0.0117287607747513,-0.00143135004538225,-0.00430149189762145,0.000267956185704839,0.0270796658547673,-0.0248424364371686,0.0276195510465134,-0.00856802522821956,0.00108870730480092,0.0375990488977563,0.00105696019016096,-0.00713740530502327,0.00308072437772381,0.00498649538755738,-0.0116483742023245,0.00128262246501717,0.0208826879347797,0.00804158108140961,0.00761437095567707,0.0209432775113377,-0.00294334550622637,-0.0194803408032045,-0.00671688414036193,0.00200687589198942,0.00787599685303443,-0.00660022722349787,-0.000999850862711221,0.00176390180918399,0.0071160415252384,-0.00430517553419794,-0.00957586245157509,0.00434242214996714,-0.00149283472554,0.015861072450269,0.026423705715201,0.0150746948933879,0.00618833749504758,-0.00130178343320649,0.026714987432186,-0.00746054511212456,-0.00679501595817937,0.0125639588382654,-0.014315434970219,-0.00888796338161936,0.000950787181718254,0.00334799582075273,-0.0106158127262825,-0.0101027907209797,-0.0116734488128673,0.025229268135606,0.00694935656534667,-0.00316491842577107,0.0103038723952115,-0.0213431142950587,-0.0134091672288303,-0.0358724939834197,0.00746790573117685,-0.00931581666179377,0.00468682331791969,-0.00252217791577261,-0.0133425281523824,0.0110824152303566,0.0177655194643319,-0.0182977665433904
