"","X_Alternanthera_pungens","X_Arctotheca_calendula","X_Asparagus_asparagoides","X_Avena_barbata","X_Briza_maxima","X_Briza_minor","X_Bromus_diandrus","X_Carex_divisa","X_Carpobrotus_edulis","X_Cerastium_glomeratum","X_Cirsium_vulgare","X_Conyza_bonariensis","X_Crassula_sp_","X_Cynodon_dactylon","X_Cyperus_sp_","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Epilobium_ciliatum","X_Euphorbia_peplus","X_Ficus_carica","X_Galium_murale","X_Geranium_molle","X_Grape_Vine","X_Holcus_lanatus","X_Hypochaeris_glabra","X_Lolium_perenne","X_Lotus_suaveolens","X_Lysimachia_arvensis","X_Malva_arborea","X_Medicago_polymorpha","X_Medicago_sp_","X_Moraea_flaccida","X_Myrsiphyllum_asparagoides","X_Paspalum_dilatatum","X_Pelargonium_capitatum","X_Petrorhagia_dubia","X_Phalaris_sp_","X_Plantago_major","X_Poa_annua","X_Poaceae_sp_","X_Raphanus_sp_","X_Romulea_rosea","X_Rumex_crispus","X_Senecio_vulgare","X_Silybum_marianum","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Stellaria_media","X_Symphyotrichum_squamatum","X_Trifolium_sp_","X_Typha_orientalis","X_Vicia_sativa","X_Vulpia_myuros","Acacia_saligna","Banksia_attenuata","Banksia_littoralis","Baumea_juncea","Cassytha_racemosa","Centella_asiatica","Epilobium_billardierianum","Eucalyptus_gomphocephala","Gahnia_trifida","Hardenbergia_comptoniana","Juncus_pallidus","Lachnagrostis_filiformis","Lepidosperma_gladiatum","Lobelia_alata","Macrozamia_sp_","Melaleuca_preissiana","Melaleuca_rhaphiophylla","Myoporum_caprarioides","Opercularia_hispida","Rhagodia_baccata","Spyridium_globulosum","Xanthorrhoea_preissii"
"X_Alternanthera_pungens",0,0.125327619196579,0.0429734787991771,0.0945896607012693,0.0292428964842527,0.0724443340728683,0.106206678857596,0.120975372088345,0.0525905271982642,0.0707588203679615,0.0625778386816407,0.0918119678853075,0.0706298590811104,0.088577940451237,0.102974970559974,0.0588952213163839,0.145114951722974,0.13867387143899,0.142354073770866,0.0626041779993433,0.0812766237576225,0.144654918035743,0.0369055040434298,0.105988732947027,0.0240571992053607,0.0297484247920355,0.107962896136042,0.0482769499079569,0.104501342628653,0.0345784064549616,0.0349692028185603,0.112583128794658,0.0257136983338223,0.129033434983697,0.0419779755687683,0.0906342472232115,0.0860095105364023,0.120179207200567,0.0260140480751982,0.0224223341437319,0.115398534890093,0.055869732601029,0.0553874000996512,0.0424905692179294,0.0646688357082358,0.0718314868658365,0.13933666448216,0.0471287346909489,0.0701873405145269,0.0662148899119261,0.101174105296215,0.143280831641743,0.0422160985841513,0.0758538957019466,0.0629086279904684,0.0523095812301484,0.0468048931832116,0.0613097460776819,0.0558867931929233,0.113719120883896,0.1008821426789,0.115632003908633,0.0774041727905418,0.0740271543722443,0.100798706643385,0.122679126706983,0.0881915277647093,0.136789048114196,0.0568996372550332,0.046751565258604,0.0350175619592892,0.0382479670148053,0.100653739064845,0.0816183620735972,0.0883924131771748,0.0432179939822248
"X_Arctotheca_calendula",0.125327619196579,0,0.0947049792116186,0.179828291366986,0.0596666490967917,0.170163368390314,0.162921825152486,0.188476291054409,0.119268115200173,0.137392403134796,0.12584473014523,0.19874824023849,0.147317152232884,0.145517159974261,0.211700600471006,0.110153188393287,0.208147728932977,0.208957935334382,0.197171778389288,0.167000895828451,0.153997665705183,0.211894813415023,0.089713151755213,0.212507210605837,0.0613380640755972,0.0697570182249835,0.225519719595903,0.102557863094633,0.20508227987437,0.0760246053975305,0.0727795698676868,0.167471658701547,0.0622991996603121,0.192070847423827,0.0947660652474564,0.175693487441046,0.15883410978179,0.224758724961508,0.0545906157409177,0.0535310849801785,0.201627965493284,0.12754903746337,0.12508810467038,0.110242820770404,0.146636326541491,0.14382755570752,0.204067759691528,0.0957830333520149,0.140555095346379,0.140755405547784,0.184434430584766,0.22431755772696,0.105056516516759,0.151741890655812,0.150133291674719,0.113928141410493,0.119155820954584,0.13804277870725,0.124670654796931,0.163925360139224,0.19986922970297,0.190781568159755,0.115552682442138,0.19145952359037,0.195117384930728,0.214245256210862,0.152668687324358,0.203919079953269,0.150549644185202,0.0910957109843241,0.0774190497878135,0.0906889879804555,0.167582295177962,0.15005124396353,0.142467500332688,0.0880738268200314
"X_Asparagus_asparagoides",0.0429734787991771,0.0947049792116186,0,0.0712895891186897,0.0206761882770482,0.0762875126174667,0.0782628452972709,0.104022482566614,0.063526388523142,0.0526696100315799,0.0627165927486276,0.103439297196035,0.0635781706072355,0.0821435469429477,0.0779341018746734,0.0449524874275876,0.103012145158508,0.11435543687756,0.103257065261552,0.0904025861035149,0.0535019460783454,0.104875126723348,0.0340439924049595,0.0749631331720109,0.0267561973149695,0.0295781765354683,0.0814786855417664,0.0368031903086758,0.0746147869102679,0.0373446497486208,0.0252739807931682,0.0901685536896266,0.0223952454232048,0.0998491976414772,0.0352008590693343,0.0844249585984854,0.0577860278177303,0.0907048116800742,0.0220790854566995,0.0240791122400771,0.0994836952331905,0.0558291416065177,0.0588079542529873,0.0447556505966561,0.0476947554155918,0.0592185179646335,0.101072222296078,0.0381634251128403,0.0595779490222963,0.0572598432138622,0.0824941819127721,0.105226395546466,0.0391623960577462,0.0736454028478026,0.0845963726032568,0.0405449974039351,0.041613825330267,0.0801817604087827,0.0543947532469179,0.105159560736132,0.0756523264608675,0.0813704870536487,0.0634126419328669,0.0704040307727229,0.0777725819019813,0.109642080752888,0.0759520679578864,0.0962298591846294,0.0589630526254601,0.0295731612225131,0.0468084292728279,0.0326626606408815,0.0743686252967779,0.0629276688355925,0.0684505843230609,0.0345674221077409
"X_Avena_barbata",0.0945896607012693,0.179828291366986,0.0712895891186897,0,0.0433584007970877,0.136109600864657,0.139470499781495,0.210690869521346,0.113311064387778,0.1146554961481,0.119357483579684,0.161932600931491,0.112858017516995,0.122521922843244,0.161649760032657,0.0831909257033467,0.187941639051336,0.189544393630965,0.177058143036494,0.177386599093992,0.106123153402758,0.185415162677193,0.0793995374915571,0.152720788797946,0.0445874729156009,0.0630139911851894,0.171710762118966,0.080662989070138,0.144601486209559,0.0605014679068873,0.0588926184533226,0.146033020801911,0.0463889705305901,0.169014407547985,0.0779759122451022,0.143677580791339,0.116194806413277,0.179237607392359,0.0421517693470254,0.03947377939059,0.167029685995162,0.102892990418567,0.118661990196436,0.0812373412657535,0.108005693340899,0.109140517636733,0.181463714430692,0.0740261598823332,0.104569066790454,0.110072301944674,0.141617830878842,0.197544046282051,0.0774414121962649,0.125352860901768,0.117045127866092,0.0799752410177119,0.0899403198976641,0.108449113433595,0.0940263980681974,0.196286538154019,0.170777436358589,0.166791855795579,0.12067658681037,0.140648080527808,0.141454648994298,0.199677942305611,0.120132753566668,0.185989691227551,0.115937857072805,0.0726733260700094,0.0814137138243519,0.07232322158943,0.141916293918935,0.128164968368925,0.142522741250484,0.075901922522648
"X_Briza_maxima",0.0292428964842527,0.0596666490967917,0.0206761882770482,0.0433584007970877,0,0.0465263546218152,0.0611188185248149,0.058136479917245,0.0325698254419128,0.028143810015422,0.0337445788472121,0.0767297300976796,0.0356739206244661,0.0351495792299401,0.0474208887319377,0.0325971286462871,0.0742242664482036,0.0771344226355924,0.0688923080300413,0.0577019136837902,0.0391955640765474,0.0795484924060058,0.0230458596887269,0.0488099234702698,0.0153499676712782,0.0165152748774594,0.0537785907313382,0.027288894417567,0.0535103720295852,0.0204384318651119,0.0147184935024981,0.0630207842601876,0.0140532361300397,0.065617085024059,0.0207915779172811,0.039089864884071,0.0460457200699974,0.0586113595908937,0.0140126696194964,0.0190697824420641,0.0481171508193073,0.03205815073722,0.0346123784907428,0.0265688041849193,0.0285211404595097,0.0469585289462059,0.0720107833104062,0.02690870214377,0.0327467708837126,0.0423146451865092,0.0632023254878328,0.0656110534778858,0.0262820170029621,0.0525371976634338,0.0476334776706449,0.0261663966772272,0.0225684005183899,0.0478059844880719,0.0277073584459498,0.058992677528004,0.0514571327347467,0.0620084126777068,0.0369459304806437,0.0421024172439109,0.0634188962138299,0.0724394035238902,0.0373554969826233,0.0659843533168195,0.0429848316432203,0.0222801749330212,0.0313916670135531,0.0227992774495412,0.0603531227700296,0.0448344844120377,0.0423379804965152,0.0240324435146804
"X_Briza_minor",0.0724443340728683,0.170163368390314,0.0762875126174667,0.136109600864657,0.0465263546218152,0,0.111864203755023,0.146418051979674,0.154107982604212,0.133696826748564,0.142367109129017,0.309465655939818,0.165099800896466,0.155761417748053,0.147671619640054,0.161089048294191,0.129276871573798,0.154602766707627,0.134760504870541,0.168231005791245,0.0937928108720088,0.149408509473635,0.0923337892640095,0.156412701438362,0.0810857293157807,0.111927611550028,0.178580300528438,0.107065284356084,0.143977344895761,0.136485064870533,0.0728603482392072,0.136586242027841,0.0801971782903091,0.142173442253368,0.109805114536464,0.204295059016635,0.10538341703481,0.153122891979232,0.0728647593675125,0.0836738031048641,0.234761709782859,0.223336741803796,0.136603994614548,0.149354709849615,0.104130609151098,0.171520416247528,0.128518229747245,0.106552592387288,0.120420330963202,0.120945389655806,0.207920005318332,0.177707622374449,0.153030306248602,0.266892633197728,0.257117051121333,0.0941568557214716,0.120726178475001,0.226174690199109,0.187224464336221,0.156499999996411,0.162348629517954,0.144256083456974,0.0943680885091566,0.21114116691349,0.228553301636474,0.183150420957692,0.122081047496396,0.156450227892256,0.186111180614818,0.0785032541005957,0.0866052144161807,0.120371050442251,0.136360376590616,0.111074221759758,0.10914478052085,0.0799494203631063
"X_Bromus_diandrus",0.106206678857596,0.162921825152486,0.0782628452972709,0.139470499781495,0.0611188185248149,0.111864203755023,0,0.118447913831917,0.10335780511141,0.110893366723814,0.100425422888319,0.160179602835706,0.126505567767377,0.106203840470753,0.170119559182661,0.105843456225791,0.0979523142332823,0.1147384304545,0.117398255622721,0.144703032652901,0.139714454248395,0.10501929016717,0.0781171857522888,0.185926902106969,0.0622229299869945,0.0602855971647244,0.188787087599236,0.0811307665692722,0.19575542383285,0.0672800161603244,0.0576907528507507,0.119111124348419,0.0565788272012229,0.126335256601602,0.0855412083301775,0.141009536554054,0.145687194250213,0.185644504093118,0.0561260066556367,0.0598925117360405,0.167655866213289,0.102269199347683,0.101804262317302,0.107039124196668,0.118162843461604,0.116764186262542,0.110786778105578,0.095454394931526,0.118822974970076,0.148559652597257,0.117846241762597,0.15543053622893,0.0951002556129032,0.132548900178062,0.123769919813479,0.0955649126614628,0.0920608770866803,0.13031986449196,0.0850160292552273,0.135158595903069,0.159931023194158,0.0948520312698981,0.0770760889760038,0.132990012378921,0.182073547815962,0.126768712168171,0.109497980332183,0.104837489388996,0.152744296363874,0.0796586034896992,0.0845168725580521,0.0766577887472539,0.114775065530725,0.113664096307862,0.0830953048296608,0.0662779372596874
"X_Carex_divisa",0.120975372088345,0.188476291054409,0.104022482566614,0.210690869521346,0.058136479917245,0.146418051979674,0.118447913831917,0,0.200975490683256,0.172534643499588,0.190076155464017,0.254709073069267,0.16531046979797,0.15510076526296,0.22195552319483,0.119512621223592,0.116885656622744,0.21421548472475,0.146250964367779,0.314080732205404,0.140311400321148,0.140752650388159,0.125852150018508,0.206526764269923,0.0841686523689816,0.10108457080968,0.223203400164442,0.0953607678981767,0.212867295518947,0.072376173735661,0.0916247235861471,0.202233736197221,0.0562578334800424,0.172050643480891,0.12628908966107,0.180005606986067,0.1584540209938,0.198653877159934,0.0613786598769369,0.0574705647769578,0.230655400842444,0.143938835114686,0.204942086099871,0.125426173944714,0.154600710461936,0.13639908373812,0.137506527055343,0.115273208846978,0.140745225042396,0.149414814428481,0.156517050686888,0.210764718662484,0.128170249609852,0.166061716575262,0.1608460389731,0.117230729639677,0.129508386387769,0.173891620237192,0.108191730743537,0.287714718254988,0.222315965535338,0.112914533396195,0.145374140266768,0.165002324738428,0.194077813764787,0.278671224829669,0.134624302947977,0.146213287972554,0.183372474597165,0.0951073594201134,0.152029070986362,0.110502456414874,0.157252155247223,0.145630715450528,0.169521154319037,0.0989561892533292
"X_Carpobrotus_edulis",0.0525905271982642,0.119268115200173,0.063526388523142,0.113311064387778,0.0325698254419128,0.154107982604212,0.10335780511141,0.200975490683256,0,0.0902517181702852,0.118814465709713,0.164716832651305,0.110217711281249,0.109502500598556,0.106128355658901,0.061712522516363,0.124587293910364,0.178058515416839,0.130322653263964,0.219724792186958,0.0701640879611064,0.128376260706801,0.0860244119879056,0.115852269572851,0.0472743660487875,0.060732827874994,0.130023516181087,0.0652279939989187,0.105389991738752,0.0668285996548597,0.0457311545390948,0.148875429637025,0.0449712198292573,0.142436674691067,0.0701855859253062,0.13125865700194,0.0829869383329487,0.125235288082912,0.0429206145676752,0.0531453274399373,0.151810570360595,0.114155236731672,0.137761914750147,0.0837944137962215,0.0847987692512608,0.0917336607977171,0.125249878117953,0.0697838620345607,0.0839824986182796,0.0977392917383147,0.110987401109419,0.153813657912872,0.0838335550594648,0.109528387995365,0.128168477664062,0.0832141908396682,0.0863418495965104,0.125822330270852,0.108773034875454,0.203426076813893,0.126873243825375,0.114922557024229,0.104108554901947,0.137552050512883,0.114996629677021,0.209077874879726,0.10916710396514,0.143272619253849,0.106671511739482,0.0487522814534023,0.102797198698094,0.0693006540399097,0.116021006785388,0.0873115018700448,0.128961576907424,0.0667733830242416
"X_Cerastium_glomeratum",0.0707588203679615,0.137392403134796,0.0526696100315799,0.1146554961481,0.028143810015422,0.133696826748564,0.110893366723814,0.172534643499588,0.0902517181702852,0,0.102600563632072,0.152594306957945,0.111805379425709,0.111912585519548,0.119569206505393,0.0672965799861317,0.148071034834106,0.169057945922836,0.141774288054104,0.154200038153264,0.0733145942910368,0.146098492938495,0.0672991318233671,0.118777420883117,0.0392073848140911,0.046326461643024,0.119194636089719,0.062287367446857,0.0937361483366888,0.0641433342295527,0.0429228952749698,0.120201213725167,0.0372115798935437,0.148065655233117,0.062676656892126,0.123940750093959,0.0780701621918275,0.119264525634909,0.0319818648139703,0.0355982538814298,0.139000384213833,0.08940884386969,0.0987814871191965,0.0792574824773453,0.0777988160438597,0.0885641457309436,0.143957249602433,0.0582841933993717,0.0847381566377871,0.101443359351358,0.117821212630843,0.155538210099204,0.0688879535511058,0.115141811760006,0.124242975222519,0.0698610439852783,0.0723531944492221,0.118369815966113,0.0943894411160279,0.172276030107583,0.132522139901565,0.12791631491897,0.0976394529626171,0.113072414844753,0.109369981952764,0.186131917046198,0.107632975849036,0.151336674974706,0.0848858469432322,0.053983554722723,0.073777276198379,0.0537918024349031,0.115659202368015,0.0915721663650758,0.113292292698856,0.0568799095370766
